V1, V2, V3, V4, V5
10.151761000,9.458996000,9.552846000,9.987257000,9.782701000
10.029543000,9.382242000,9.495284000,9.758839000,9.556821000
9.783400000,9.219142000,9.311021000,9.422500000,9.239906000
9.402765000,8.956879000,8.980203000,8.960584000,8.814650000
8.895764000,8.595776000,8.500163000,8.371699000,8.277075000
8.292390000,8.153704000,7.890967000,7.676177000,7.642135000
7.639937000,7.664182000,7.194594000,6.914889000,6.943762000
6.992473000,7.169066000,6.468042000,6.142566000,6.229009000
6.400327000,6.710980000,5.773821000,5.419339000,5.550043000
5.903656000,6.327147000,5.170939000,4.801938000,4.956390000
5.527985000,6.045712000,4.706766000,4.335247000,4.488060000
5.281934000,5.882794000,4.410488000,4.045514000,4.170007000
5.159314000,5.841757000,4.290339000,3.936995000,4.009421000
5.143636000,5.914631000,4.335392000,3.993959000,3.996799000
5.212901000,6.084677000,4.519558000,4.186390000,4.110285000
5.343045000,6.330184000,4.807778000,4.477184000,4.321159000
5.511489000,6.627978000,5.163198000,4.829968000,4.599742000
5.701592000,6.957036000,5.553768000,5.214979000,4.920904000
5.906534000,7.301677000,5.956631000,5.612650000,5.267167000
6.129549000,7.653374000,6.358702000,6.013424000,5.629668000
6.380523000,8.009227000,6.755135000,6.414975000,6.005974000
6.670679000,8.369163000,7.146368000,6.818499000,6.397067000
7.007645000,8.733544000,7.534980000,7.225208000,6.803735000
7.391907000,9.101978000,7.923058000,7.634645000,7.224376000
7.817076000,9.472369000,8.311434000,8.044718000,7.653888000
8.271914000,9.841023000,8.699637000,8.452190000,8.084411000
8.742908000,10.203404000,9.086404000,8.853334000,8.506971000
9.216442000,10.555966000,9.469674000,9.244392000,8.913131000
9.679915000,10.896037000,9.846141000,9.621557000,9.296078000
10.123981000,11.221581000,10.210894000,9.980654000,9.651962000
10.543931000,11.529618000,10.558204000,10.317131000,9.980047000
10.939827000,11.816998000,10.882302000,10.627045000,10.281672000
11.313976000,12.081864000,11.178301000,10.907946000,10.559474000
11.669027000,12.323666000,11.442782000,11.160227000,10.816486000
12.008045000,12.543553000,11.675334000,11.387869000,11.056136000
12.334732000,12.744274000,11.879152000,11.597198000,11.282833000
12.652223000,12.930062000,12.059997000,11.795678000,11.501818000
12.962006000,13.105474000,12.225019000,11.990546000,11.718493000
13.264372000,13.274768000,12.381378000,12.188063000,11.937824000
13.559576000,13.440801000,12.535255000,12.392844000,12.163484000
13.847988000,13.605598000,12.690866000,12.607701000,12.397602000
14.130114000,13.770828000,12.850501000,12.833976000,12.641291000
14.404877000,13.937987000,13.015160000,13.071536000,12.894783000
14.669229000,14.108276000,13.185277000,13.319443000,13.157344000
14.920007000,14.282734000,13.361241000,13.576641000,13.426462000
15.156399000,14.463224000,13.543697000,13.842234000,13.698869000
15.379622000,14.652100000,13.733481000,14.114971000,13.971205000
15.591670000,14.851034000,13.931714000,14.393012000,14.240983000
15.794344000,15.060321000,14.140222000,14.673698000,14.506608000
15.989255000,15.278373000,14.361710000,14.953770000,14.767155000
16.179379000,15.503194000,14.598147000,15.230762000,15.021966000
16.369009000,15.733337000,14.850248000,15.503598000,15.272064000
16.561594000,15.966588000,15.116783000,15.772182000,15.520663000
16.758165000,16.199907000,15.394947000,16.035101000,15.770245000
16.958210000,16.429825000,15.680818000,16.291121000,16.020288000
17.160339000,16.653248000,15.970248000,16.540480000,16.267801000
17.362314000,16.867729000,16.259182000,16.784336000,16.509472000
17.561970000,17.071274000,16.543882000,17.022848000,16.742737000
17.758499000,17.262697000,16.821466000,17.254946000,16.965813000
17.952295000,17.441616000,17.090017000,17.479298000,17.177605000
18.143515000,17.608675000,17.348108000,17.695484000,17.377296000
18.331453000,17.765070000,17.594763000,17.904629000,17.564873000
18.514641000,17.911661000,17.829178000,18.107756000,17.741665000
18.691269000,18.048824000,18.050724000,18.305017000,17.909914000
18.859514000,18.176468000,18.259192000,18.495922000,18.070766000
19.017639000,18.294203000,18.454235000,18.679232000,18.223948000
19.163538000,18.400969000,18.635406000,18.852781000,18.368498000
19.294590000,18.495066000,18.801346000,19.013670000,18.503321000
19.407597000,18.573952000,18.950069000,19.158602000,18.626440000
19.498949000,18.634727000,19.078783000,19.283789000,18.735109000
19.564676000,18.674129000,19.184349000,19.385635000,18.825806000
19.600925000,18.688959000,19.263186000,19.461071000,18.894833000
19.604376000,18.676130000,19.311975000,19.507345000,18.938574000
19.572382000,18.632427000,19.328018000,19.522247000,18.953600000
19.502951000,18.554953000,19.309160000,19.504204000,18.937132000
19.394766000,18.440969000,19.253578000,19.451838000,18.886726000
19.246988000,18.287653000,19.159414000,19.363705000,18.800705000
19.058592000,18.091928000,19.024271000,19.237394000,18.677355000
18.828289000,17.850357000,18.845259000,19.069902000,18.514837000
18.554058000,17.558983000,18.618752000,18.857473000,18.310495000
18.232716000,17.213026000,18.339970000,18.595831000,18.060289000
17.859509000,16.806644000,18.003233000,18.280191000,17.758686000
17.428312000,16.332880000,17.601690000,17.905464000,17.398283000
16.931885000,15.783815000,17.127316000,17.466066000,16.969973000
16.362392000,15.151114000,16.571285000,16.955770000,16.463625000
15.711926000,14.426738000,15.924424000,16.367458000,15.868808000
14.972592000,13.603479000,15.177835000,15.692908000,15.175875000
14.136550000,12.675520000,14.323428000,14.923129000,14.376423000
13.196220000,11.639518000,13.354584000,14.048874000,13.464016000
12.145112000,10.495393000,12.266844000,13.061794000,12.434691000
10.978883000,9.246928000,11.059237000,11.955996000,11.287988000
9.696532000,7.902584000,9.734815000,10.728970000,10.028101000
8.300919000,6.475923000,8.301275000,9.383223000,8.664483000
6.799847000,4.985516000,6.771685000,7.926973000,7.212089000
5.206975000,3.454061000,5.164428000,6.374496000,5.691810000
3.541737000,1.906788000,3.502910000,4.745802000,4.129364000
1.828490000,0.369579000,1.813283000,3.065876000,2.553795000
0.093960000,-1.131968000,0.121879000,1.362208000,0.994402000
-1.634259000,-2.571677000,-1.546824000,-0.337856000,-0.521667000
-3.328095000,-3.921335000,-3.169566000,-2.008507000,-1.969285000
-4.957323000,-5.148467000,-4.721010000,-3.623907000,-3.323210000
