V1, V2, V3, V4, V5
43.355850000,44.889122000,43.398365000,44.696239000,43.564774000
43.463970000,44.984356000,43.665302000,44.816357000,43.664520000
43.555626000,45.060352000,43.911438000,44.943413000,43.814129000
43.616928000,45.100101000,44.117451000,45.060051000,43.996719000
43.637051000,45.088242000,44.267670000,45.150188000,44.193554000
43.610271000,45.014084000,44.352142000,45.201088000,44.386761000
43.535805000,44.872662000,44.368465000,45.204697000,44.561001000
43.417542000,44.665184000,44.321365000,45.157555000,44.704926000
43.262123000,44.397221000,44.219711000,45.059280000,44.810089000
43.076084000,44.075283000,44.073933000,44.911018000,44.869644000
42.862740000,43.704536000,43.893543000,44.713272000,44.876987000
42.620220000,43.288280000,43.684982000,44.464096000,44.825508000
42.341949000,42.828106000,43.449345000,44.158417000,44.707947000
42.017574000,42.323257000,43.182533000,43.788933000,44.516201000
41.635178000,41.770931000,42.876438000,43.347588000,44.241688000
41.184814000,41.168793000,42.520214000,42.827415000,43.877373000
40.661224000,40.516449000,42.102386000,42.224815000,43.419765000
40.065163000,39.816643000,41.614429000,41.541985000,42.869717000
39.405365000,39.076435000,41.053703000,40.788292000,42.234428000
38.698658000,38.307610000,40.424229000,39.979771000,41.527920000
37.967686000,37.525772000,39.737343000,39.137386000,40.769093000
37.237034000,36.748978000,39.010681000,38.284779000,39.979828000
36.530285000,35.995102000,38.265385000,37.445526000,39.182346000
35.866692000,35.279408000,37.522717000,36.640587000,38.397297000
35.258957000,34.611835000,36.801552000,35.886318000,37.641575000
34.711929000,33.996098000,36.116341000,35.192837000,36.927189000
34.223221000,33.430359000,35.475777000,34.564201000,36.260666000
33.784237000,32.908180000,34.882401000,33.997768000,35.643497000
33.381096000,32.419842000,34.333248000,33.484871000,35.072094000
32.996185000,31.953249000,33.820244000,33.012352000,34.539566000
32.611401000,31.495348000,33.331055000,32.564785000,34.037395000
32.211327000,31.033699000,32.851002000,32.126148000,33.556389000
31.784256000,30.557383000,32.364597000,31.681993000,33.086494000
31.322510000,30.057474000,31.856689000,31.221285000,32.617752000
30.823210000,29.528238000,31.314741000,30.737017000,32.142239000
30.287508000,28.967531000,30.730562000,30.225163000,31.655039000
29.719782000,28.376787000,30.100847000,29.684881000,31.154192000
29.127296000,27.759472000,29.427004000,29.118299000,30.639471000
28.518665000,27.120663000,28.713629000,28.530159000,30.111240000
27.902521000,26.466692000,27.968004000,27.927696000,29.570467000
27.287306000,25.805307000,27.199131000,27.320398000,29.018633000
26.680235000,25.145262000,26.416933000,26.717340000,28.457560000
26.085428000,24.495192000,25.631897000,26.125498000,27.890154000
25.504164000,23.862696000,24.854778000,25.550127000,27.320887000
24.936047000,23.253843000,24.095985000,24.994831000,26.754541000
24.379471000,22.672531000,23.364622000,24.461491000,26.195204000
23.832291000,22.121023000,22.667736000,23.950899000,25.646286000
23.292404000,21.600597000,22.009483000,23.463198000,25.110697000
22.758678000,21.111908000,21.391760000,22.997869000,24.590359000
22.231182000,20.654753000,20.815039000,22.553492000,24.086100000
21.710819000,20.227871000,20.279305000,22.127977000,23.597441000
21.198809000,19.828741000,19.784193000,21.719109000,23.122673000
20.696636000,19.454451000,19.328617000,21.324461000,22.659061000
20.205156000,19.102001000,18.910357000,20.940718000,22.203161000
19.724941000,18.768068000,18.526423000,20.563721000,21.751064000
19.256546000,18.449104000,18.172665000,20.189537000,21.299736000
18.800972000,18.141863000,17.844061000,19.815207000,20.846882000
18.359707000,17.843979000,17.534801000,19.438610000,20.391050000
17.934158000,17.553415000,17.239136000,19.058744000,19.931877000
17.525925000,17.268751000,16.951733000,18.675451000,19.470167000
17.136475000,16.988844000,16.668417000,18.289591000,19.008011000
16.767267000,16.712593000,16.386295000,17.903427000,18.548695000
16.418753000,16.439070000,16.103985000,17.520451000,18.095806000
16.090405000,16.167858000,15.820705000,17.144579000,17.653387000
15.781549000,15.899241000,15.536305000,16.779240000,17.225327000
15.491198000,15.633754000,15.250894000,16.427069000,16.815058000
15.217710000,15.371262000,14.964914000,16.089476000,16.424747000
14.958590000,15.111315000,14.678852000,15.766493000,16.055271000
14.710435000,14.853237000,14.393448000,15.456767000,15.705758000
14.469262000,14.596581000,14.109392000,15.158168000,15.373572000
14.230555000,14.340722000,13.827567000,14.868150000,15.055168000
13.989824000,14.085020000,13.548696000,14.584270000,14.746295000
13.743095000,13.828989000,13.273408000,14.304729000,14.442525000
13.487945000,13.572417000,13.002772000,14.028772000,14.140000000
13.223567000,13.315639000,12.738518000,13.756407000,13.836194000
12.951053000,13.059565000,12.482859000,13.488449000,13.530513000
12.673594000,12.805877000,12.238620000,13.226126000,13.224732000
12.395616000,12.557058000,12.008009000,12.970678000,12.923161000
12.122437000,12.316087000,11.792830000,12.723661000,12.632136000
11.859592000,12.086397000,11.594794000,12.486818000,12.359358000
11.612103000,11.871380000,11.415663000,12.262058000,12.112147000
11.384402000,11.673918000,11.257233000,12.050866000,11.896678000
11.180944000,11.496731000,11.121186000,11.854705000,11.717360000
11.005810000,11.342405000,11.008774000,11.676007000,11.576682000
10.862466000,11.213411000,10.920794000,11.518308000,11.475781000
10.754149000,11.112890000,10.857453000,11.386408000,11.414646000
10.685320000,11.045236000,10.820227000,11.286189000,11.393256000
10.662529000,11.016094000,10.812202000,11.225127000,11.411987000
10.694133000,11.032575000,10.838494000,11.212304000,11.472838000
10.789646000,11.102966000,10.906730000,11.257656000,11.580223000
10.958746000,11.235569000,11.026657000,11.370548000,11.741055000
11.209693000,11.437716000,11.208706000,11.558417000,11.964211000
11.547194000,11.714511000,11.462091000,11.825877000,12.258683000
11.970967000,12.067642000,11.793111000,12.173110000,12.631529000
12.476163000,12.495159000,12.203909000,12.596351000,13.086038000
13.054233000,12.992035000,12.692487000,13.088610000,13.620457000
13.693954000,13.550451000,13.252740000,13.641844000,14.228552000
14.383263000,14.161629000,13.875962000,14.248241000,14.901215000
15.112764000,14.818412000,14.552146000,14.901841000,15.627874000
15.878009000,15.516257000,15.272883000,15.598942000,16.399086000
16.679649000,16.254030000,16.033033000,16.338795000,17.208530000
