V1, V2, V3, V4, V5
-5.283459000,-2.245112000,-2.866333000,-3.632488000,-5.668918000
-5.120718000,-2.072744000,-2.646777000,-3.467610000,-5.462828000
-4.934193000,-1.902396000,-2.419077000,-3.282868000,-5.238643000
-4.729103000,-1.735261000,-2.184925000,-3.080981000,-5.000672000
-4.510366000,-1.572706000,-1.946877000,-2.864348000,-4.752846000
-4.282579000,-1.416451000,-1.708728000,-2.635746000,-4.498584000
-4.049756000,-1.268346000,-1.475010000,-2.398280000,-4.240795000
-3.815062000,-1.130053000,-1.250010000,-2.155529000,-3.982381000
-3.580288000,-1.002583000,-1.036559000,-1.911369000,-3.726135000
-3.345694000,-0.886056000,-0.835237000,-1.668966000,-3.474509000
-3.110626000,-0.779261000,-0.644800000,-1.429942000,-3.229189000
-2.873906000,-0.679788000,-0.463032000,-1.194377000,-2.990913000
-2.634382000,-0.584145000,-0.287670000,-0.960849000,-2.759336000
-2.390981000,-0.488214000,-0.116674000,-0.727172000,-2.532950000
-2.142121000,-0.387683000,0.051734000,-0.490768000,-2.309004000
-1.885893000,-0.278283000,0.219229000,-0.249411000,-2.083884000
-1.620810000,-0.156247000,0.387227000,-0.001958000,-1.854004000
-1.346826000,-0.018815000,0.555948000,0.251167000,-1.616924000
-1.065877000,0.135034000,0.724046000,0.507674000,-1.372259000
-0.781484000,0.304394000,0.888473000,0.763557000,-1.121665000
-0.498283000,0.486336000,1.045208000,1.014041000,-0.868292000
-0.221363000,0.676354000,1.190136000,1.254632000,-0.616130000
0.044201000,0.869177000,1.319918000,1.481485000,-0.369422000
0.293532000,1.059271000,1.432437000,1.691813000,-0.132161000
0.522007000,1.241006000,1.526947000,1.884031000,0.092267000
0.725532000,1.408970000,1.604040000,2.057618000,0.301186000
0.900827000,1.558822000,1.665406000,2.212634000,0.492903000
1.046155000,1.687643000,1.713570000,2.349350000,0.667364000
1.161662000,1.794201000,1.751742000,2.468494000,0.825970000
1.249479000,1.878680000,1.783445000,2.571086000,0.970958000
1.313571000,1.942578000,1.811752000,2.658389000,1.104693000
1.358933000,1.988478000,1.838853000,2.731415000,1.229040000
1.390602000,2.019768000,1.865742000,2.790916000,1.344977000
1.412710000,2.040060000,1.892416000,2.837558000,1.452495000
1.428353000,2.052502000,1.917731000,2.871739000,1.550636000
1.439509000,2.059644000,1.939877000,2.894021000,1.637681000
1.447588000,2.063352000,1.956948000,2.905205000,1.711318000
1.453974000,2.064984000,1.967686000,2.906449000,1.769336000
1.460113000,2.065422000,1.971653000,2.899240000,1.810106000
1.467523000,2.065333000,1.969060000,2.885243000,1.832832000
1.477643000,2.065235000,1.960915000,2.866341000,1.837907000
1.491693000,2.065479000,1.948588000,2.844349000,1.826802000
1.510405000,2.066188000,1.933918000,2.820825000,1.802092000
1.533996000,2.067415000,1.918814000,2.797209000,1.767390000
1.562639000,2.069055000,1.905138000,2.774801000,1.727156000
1.596272000,2.070834000,1.894437000,2.754991000,1.686230000
1.634815000,2.072357000,1.888090000,2.739273000,1.649287000
1.677972000,2.073446000,1.887294000,2.729015000,1.620003000
1.725645000,2.074133000,1.893152000,2.724664000,1.600899000
1.777517000,2.074788000,1.906631000,2.725839000,1.593437000
1.832693000,2.075918000,1.928620000,2.731857000,1.598207000
1.889760000,2.078167000,1.959854000,2.741956000,1.614882000
1.947242000,2.081941000,2.000710000,2.755101000,1.642120000
2.003661000,2.087704000,2.050337000,2.769935000,1.677811000
2.057944000,2.095711000,2.106788000,2.784780000,1.719577000
2.109474000,2.105465000,2.167585000,2.797822000,1.765146000
2.158093000,2.115602000,2.229856000,2.807559000,1.812309000
2.204208000,2.124347000,2.290659000,2.813011000,1.859032000
2.248585000,2.129788000,2.346950000,2.813863000,1.903534000
2.292147000,2.130306000,2.395886000,2.810172000,1.944467000
2.335683000,2.124775000,2.435007000,2.802574000,1.981101000
2.379568000,2.112654000,2.462408000,2.792138000,2.013089000
2.423367000,2.093901000,2.477051000,2.780065000,2.040219000
2.465816000,2.069246000,2.478660000,2.767257000,2.062138000
2.505087000,2.040117000,2.467525000,2.754048000,2.078197000
2.538941000,2.008020000,2.444365000,2.740073000,2.087256000
2.565002000,1.974328000,2.410124000,2.724255000,2.087715000
2.581071000,1.939911000,2.365924000,2.704728000,2.077773000
2.585336000,1.905184000,2.313129000,2.679224000,2.055665000
2.576643000,1.870034000,2.253264000,2.645516000,2.019954000
2.554680000,1.834180000,2.188017000,2.601890000,1.970088000
2.520320000,1.796999000,2.119157000,2.547425000,1.906400000
2.475545000,1.757817000,2.048567000,2.482296000,1.830064000
2.423026000,1.716292000,1.978234000,2.408054000,1.743175000
2.365734000,1.672346000,1.910188000,2.327724000,1.648715000
2.306863000,1.626496000,1.846441000,2.245120000,1.550380000
2.249656000,1.579726000,1.788903000,2.164467000,1.452028000
2.196841000,1.533275000,1.739230000,2.089751000,1.357414000
2.150046000,1.488077000,1.698639000,2.023956000,1.269893000
2.109743000,1.444779000,1.667634000,1.968580000,1.192337000
2.075000000,1.403226000,1.645888000,1.923482000,1.126717000
2.043426000,1.362147000,1.631812000,1.886833000,1.073815000
2.011487000,1.319153000,1.622651000,1.855132000,1.032848000
1.975004000,1.271114000,1.614393000,1.823695000,1.001248000
1.929452000,1.214198000,1.601940000,1.786921000,0.974689000
1.870176000,1.144319000,1.579275000,1.739299000,0.947122000
1.793019000,1.057489000,1.540190000,1.675770000,0.911521000
1.694870000,0.950244000,1.478893000,1.591992000,0.860533000
1.573345000,0.819513000,1.390509000,1.484041000,0.787139000
1.426539000,0.662518000,1.271319000,1.348166000,0.685183000
1.252845000,0.476701000,1.118367000,1.180774000,0.549522000
1.050467000,0.259735000,0.929180000,0.978612000,0.376227000
0.817157000,0.009749000,0.701737000,0.739183000,0.162689000
0.550388000,-0.274380000,0.434596000,0.460864000,-0.092290000
0.248269000,-0.592744000,0.127350000,0.143520000,-0.388360000
-0.090035000,-0.944210000,-0.219250000,-0.211419000,-0.723476000
-0.463918000,-1.325925000,-0.602877000,-0.600548000,-1.094093000
-0.870581000,-1.733312000,-1.019226000,-1.018250000,-1.495300000
-1.304572000,-2.159852000,-1.461786000,-1.456896000,-1.920631000
-1.757321000,-2.597384000,-1.921751000,-1.907316000,-2.361727000
-2.217284000,-3.036556000,-2.388686000,-2.359497000,-2.808306000
