"V1","V2","V3","V4","V5"
-27.698608,-27.794327,-35.456944,-31.439428,-28.739752
-27.266462,-27.518888,-34.726376,-31.411596,-28.934006
-26.667269,-27.091053,-33.687984,-31.152533,-28.956045
-25.903719,-26.497293,-32.363636,-30.644218,-28.779928
-24.987633,-25.732454,-30.78957,-29.879164,-28.38389
-23.943182,-24.806051,-29.017469,-28.866169,-27.756523
-22.804014,-23.742996,-27.112436,-27.631712,-26.902508
-21.608213,-22.580589,-25.147482,-26.219469,-25.846819
-20.392412,-21.363098,-23.194981,-24.685446,-24.632624
-19.187084,-20.135189,-21.319801,-23.09259,-23.316053
-18.015324,-18.937531,-19.575058,-21.504652,-21.959986
-16.892265,-17.802773,-17.999928,-19.981138,-20.62821
-15.828407,-16.753841,-16.61854,-18.571682,-19.377026
-14.832012,-15.802495,-15.441942,-17.313217,-18.248999
-13.912173,-14.951427,-14.469711,-16.227787,-17.269861
-13.079239,-14.197503,-13.6937,-15.32391,-16.4484
-12.342607,-13.534556,-13.100192,-14.599128,-15.778393
-11.707048,-12.95536,-12.672618,-14.043295,-15.243623
-11.171628,-12.452189,-12.392735,-13.640481,-14.821965
-10.728744,-12.017108,-12.241376,-13.369938,-14.489756
-10.366487,-11.641696,-12.198313,-13.207599,-14.224249
-10.069497,-11.317689,-12.242486,-13.127318,-14.005329
-9.820005,-11.03652,-12.351781,-13.102697,-13.81706
-9.599028,-10.788683,-12.502314,-13.108662,-13.646151
-9.389565,-10.564574,-12.669535,-13.122867,-13.481513
-9.17907,-10.35487,-12.829989,-13.125649,-13.313722
-8.96194,-10.151292,-12.963631,-13.102566,-13.13454
-8.738566,-9.947541,-13.054399,-13.04441,-12.937057
-8.513277,-9.740886,-13.091472,-12.947455,-12.716475
-8.29211,-9.532763,-13.069121,-12.811126,-12.471381
-8.080564,-9.327657,-12.986335,-12.639046,-12.203778
-7.883331,-9.131654,-12.846684,-12.437357,-11.918229
-7.704578,-8.951281,-12.657577,-12.213969,-11.620475
