V1, V2, V3, V4, V5
1.158651000,0.321397000,0.607703000,1.739553000,2.457115000
0.573842000,-0.267475000,-0.105007000,1.118552000,1.852260000
0.027405000,-0.825493000,-0.728375000,0.502788000,1.190615000
-0.443015000,-1.314652000,-1.222084000,-0.063307000,0.517384000
-0.812918000,-1.704914000,-1.561853000,-0.542772000,-0.122153000
-1.074292000,-1.979495000,-1.742516000,-0.910918000,-0.688703000
-1.234084000,-2.135730000,-1.776847000,-1.157151000,-1.153450000
-1.308026000,-2.182816000,-1.690001000,-1.282988000,-1.499850000
-1.313958000,-2.136168000,-1.511362000,-1.297144000,-1.721913000
-1.267234000,-2.013103000,-1.269797000,-1.212857000,-1.822700000
-1.179051000,-1.830917000,-0.991347000,-1.047229000,-1.813155000
-1.056179000,-1.605322000,-0.698700000,-0.820673000,-1.711718000
-0.902261000,-1.350138000,-0.410638000,-0.555713000,-1.541663000
-0.719453000,-1.076306000,-0.142098000,-0.274843000,-1.327545000
-0.511617000,-0.792138000,0.096295000,0.002221000,-1.091989000
-0.285826000,-0.504382000,0.298150000,0.260732000,-0.852588000
-0.051550000,-0.218880000,0.461137000,0.492238000,-0.620088000
0.181821000,0.058939000,0.587509000,0.694266000,-0.398566000
0.406807000,0.324655000,0.683081000,0.869602000,-0.186434000
0.618818000,0.574721000,0.756170000,1.024941000,0.021075000
0.815436000,0.807420000,0.815621000,1.168124000,0.228901000
0.995965000,1.022118000,0.868995000,1.306053000,0.440327000
1.160721000,1.218837000,0.921603000,1.443662000,0.655683000
1.311499000,1.398265000,0.976620000,1.583763000,0.873597000
1.451210000,1.562065000,1.035782000,1.727370000,1.092189000
1.583923000,1.713255000,1.100078000,1.874735000,1.310085000
1.714058000,1.855440000,1.170529000,2.025781000,1.527137000
1.845594000,1.992003000,1.248651000,2.180687000,1.743302000
1.981279000,2.125119000,1.336097000,2.339174000,1.958161000
2.122327000,2.255904000,1.434669000,2.500234000,2.170349000
2.267734000,2.384187000,1.545434000,2.661037000,2.377374000
2.413841000,2.508254000,1.667905000,2.817799000,2.575861000
2.555051000,2.625217000,1.800021000,2.966155000,2.761899000
2.685539000,2.731943000,1.938420000,3.101201000,2.931434000
2.800086000,2.825666000,2.079275000,3.218679000,3.080770000
2.894783000,2.904272000,2.218145000,3.315815000,3.207162000
2.967184000,2.966790000,2.350961000,3.391523000,3.309334000
3.016066000,3.013393000,2.474488000,3.446582000,3.387403000
3.041644000,3.045566000,2.586648000,3.482986000,3.443171000
3.045254000,3.065318000,2.686933000,3.503987000,3.479244000
3.029278000,3.075175000,2.775565000,3.513130000,3.498803000
2.997185000,3.077550000,2.853983000,3.514033000,3.505191000
2.953303000,3.074923000,2.923681000,3.510154000,3.501641000
2.902873000,3.069445000,2.986212000,3.504359000,3.490991000
2.850834000,3.063115000,3.042832000,3.498857000,3.475626000
2.802082000,3.057875000,3.094423000,3.494725000,3.457150000
2.760219000,3.055157000,3.141439000,3.491923000,3.436482000
2.727727000,3.055952000,3.184115000,3.489247000,3.414272000
2.705145000,3.060543000,3.222382000,3.485402000,3.390757000
2.691848000,3.068509000,3.255821000,3.479279000,3.365913000
2.686934000,3.078718000,3.283402000,3.470244000,3.339501000
2.689456000,3.089995000,3.303878000,3.458066000,3.311615000
2.698238000,3.101201000,3.316457000,3.443206000,3.283679000
2.712042000,3.111066000,3.321842000,3.426071000,3.257398000
2.729631000,3.118416000,3.321733000,3.407457000,3.233896000
2.749915000,3.122499000,3.318069000,3.388551000,3.213548000
2.771780000,3.122990000,3.312598000,3.370838000,3.196883000
2.793900000,3.119445000,3.306798000,3.355797000,3.184735000
2.815546000,3.111972000,3.301963000,3.344607000,3.178319000
2.836043000,3.100585000,3.299072000,3.338316000,3.178134000
2.854063000,3.085877000,3.298411000,3.337029000,3.183555000
2.867887000,3.068497000,3.299616000,3.339289000,3.192806000
2.875809000,3.048778000,3.301657000,3.342433000,3.203853000
2.876503000,3.026243000,3.303410000,3.343567000,3.215019000
2.868944000,2.999596000,3.303417000,3.340168000,3.224288000
2.852545000,2.967549000,3.300192000,3.329955000,3.229481000
2.827063000,2.928993000,3.292102000,3.311002000,3.228716000
2.792438000,2.883013000,3.278113000,3.281822000,3.220511000
2.749205000,2.828704000,3.257034000,3.241418000,3.203699000
2.698306000,2.764933000,3.227897000,3.189043000,3.177345000
2.640951000,2.690820000,3.189474000,3.124457000,3.140575000
2.578043000,2.606004000,3.140877000,3.048280000,3.092489000
2.509755000,2.510155000,3.081450000,2.961566000,3.032287000
2.436378000,2.402708000,3.010424000,2.864889000,2.959496000
2.358411000,2.282877000,2.926846000,2.757722000,2.873556000
2.276496000,2.149801000,2.829650000,2.639420000,2.773301000
2.190283000,2.002985000,2.717586000,2.508878000,2.657682000
2.098902000,1.841760000,2.589808000,2.364967000,2.526472000
2.001160000,1.666209000,2.446103000,2.207058000,2.379770000
1.895967000,1.476671000,2.286871000,2.035638000,2.217319000
1.782394000,1.274439000,2.112798000,1.852455000,2.038481000
1.659925000,1.061987000,1.925736000,1.659926000,1.843039000
1.528702000,0.843281000,1.728364000,1.461330000,1.631376000
1.390046000,0.622897000,1.524584000,1.260208000,1.405668000
1.246250000,0.406358000,1.319672000,1.060633000,1.169997000
1.100438000,0.199925000,1.120079000,0.866253000,0.930333000
0.955871000,0.009961000,0.932638000,0.680340000,0.693007000
0.815215000,-0.157077000,0.764212000,0.505926000,0.464085000
0.681036000,-0.295005000,0.621291000,0.345833000,0.249113000
0.555233000,-0.398998000,0.508629000,0.203251000,0.052963000
0.438868000,-0.466506000,0.428911000,0.080498000,-0.120670000
0.331616000,-0.497969000,0.382157000,-0.021628000,-0.270137000
0.231778000,-0.497156000,0.365291000,-0.104412000,-0.396014000
0.136277000,-0.469994000,0.372259000,-0.170518000,-0.501722000
0.040040000,-0.424430000,0.394566000,-0.224792000,-0.592978000
-0.063410000,-0.369628000,0.421923000,-0.273120000,-0.677386000
-0.180523000,-0.316090000,0.443276000,-0.321889000,-0.762568000
-0.317221000,-0.275031000,0.446996000,-0.378675000,-0.854664000
-0.479764000,-0.258814000,0.421852000,-0.451481000,-0.958544000
-0.675361000,-0.279409000,0.356819000,-0.548421000,-1.079133000
-0.911047000,-0.348553000,0.242335000,-0.677448000,-1.221837000
