V1, V2, V3, V4, V5
6.228547000,6.698617000,8.695520000,4.994909000,3.541503000
6.176604000,6.898299000,8.753108000,5.411475000,4.032378000
5.992393000,6.929496000,8.561131000,5.642021000,4.381934000
5.690624000,6.791908000,8.142884000,5.678617000,4.568277000
5.294680000,6.496518000,7.534851000,5.521874000,4.576138000
4.835926000,6.067146000,6.784039000,5.182250000,4.399999000
4.345282000,5.534542000,5.938592000,4.675302000,4.043318000
3.847422000,4.931808000,5.041902000,4.022432000,3.521693000
3.360809000,4.291702000,4.130939000,3.252721000,2.864906000
2.896308000,3.644889000,3.237785000,2.403977000,2.116533000
2.457289000,3.016321000,2.389225000,1.519512000,1.328501000
2.041345000,2.422468000,1.608358000,0.644799000,0.555722000
1.644390000,1.870232000,0.913528000,-0.177983000,-0.152718000
1.264029000,1.357445000,0.317717000,-0.915994000,-0.760710000
0.902124000,0.876859000,-0.173385000,-1.550238000,-1.249291000
0.563827000,0.418908000,-0.560611000,-2.075482000,-1.617589000
0.252146000,-0.026002000,-0.852160000,-2.499317000,-1.881128000
-0.038232000,-0.466781000,-1.063652000,-2.837910000,-2.067445000
-0.322923000,-0.911818000,-1.215862000,-3.114003000,-2.211687000
-0.625199000,-1.368044000,-1.330273000,-3.352369000,-2.351314000
-0.966735000,-1.838576000,-1.425603000,-3.574469000,-2.518190000
-1.361265000,-2.319911000,-1.514478000,-3.794674000,-2.733238000
-1.811496000,-2.802392000,-1.602721000,-4.018828000,-3.002107000
-2.310068000,-3.273505000,-1.691711000,-4.246473000,-3.318162000
-2.843078000,-3.720689000,-1.782429000,-4.476160000,-3.666771000
-3.393970000,-4.135831000,-1.878636000,-4.710792000,-4.031195000
-3.946311000,-4.517795000,-1.988880000,-4.957979000,-4.398715000
-4.487263000,-4.873324000,-2.126776000,-5.228860000,-4.763247000
-5.008762000,-5.212835000,-2.307113000,-5.533084000,-5.125698000
-5.509355000,-5.546832000,-2.541644000,-5.874649000,-5.491638000
-5.993173000,-5.881579000,-2.836244000,-6.248015000,-5.868373000
-6.463844000,-6.216548000,-3.188591000,-6.639496000,-6.260655000
-6.919092000,-6.545565000,-3.588302000,-7.029796000,-6.667963000
-7.350548000,-6.859084000,-4.019433000,-7.396389000,-7.082777000
-7.745439000,-7.146141000,-4.463290000,-7.717904000,-7.491315000
-8.089656000,-7.396533000,-4.899792000,-7.978103000,-7.877353000
-8.369362000,-7.601977000,-5.310022000,-8.167439000,-8.223491000
-8.572407000,-7.756119000,-5.678985000,-8.283566000,-8.514674000
-8.691191000,-7.855133000,-5.996583000,-8.328459000,-8.740472000
-8.723728000,-7.896185000,-6.257135000,-8.307478000,-8.894106000
-8.673942000,-7.878517000,-6.457736000,-8.226964000,-8.973454000
