"V1","V2","V3","V4","V5"
7.433432,8.55688,6.135047,6.978992,5.578726
7.15687,8.326314,5.921077,6.766943,5.380588
6.73139,7.980886,5.63275,6.44298,5.137319
6.137794,7.497659,5.257499,5.996557,4.842573
5.381676,6.869635,4.797983,5.436176,4.499187
4.499973,6.114815,4.276275,4.793818,4.122143
3.557908,5.278605,3.7311,4.12014,3.736576
2.634871,4.424674,3.208496,3.472736,3.371122
1.808607,3.620973,2.75263,2.905477,3.052396
1.141925,2.927263,2.399112,2.460768,2.800923
0.674103,2.385597,2.169705,2.16416,2.6285
0.417694,2.013631,2.069759,2.021561,2.537706
0.359745,1.804307,2.089152,2.020267,2.522817
0.468456,1.731907,2.206515,2.13371,2.571576
0.701495,1.761635,2.394284,2.328066,2.667934
1.013429,1.857951,2.623314,2.568221,2.795487
1.361442,1.989702,2.86648,2.822551,2.939975
1.710667,2.132933,3.101956,3.066691,3.090974
2.037976,2.273196,3.316068,3.287326,3.243563
2.334497,2.40792,3.505466,3.484708,3.399665
2.605205,2.546918,3.677087,3.672004,3.568057
2.866833,2.709822,3.846814,3.870855,3.762296
3.142518,2.920868,4.035823,4.104668,3.997607
3.455595,3.201939,4.265368,4.392365,4.287087
3.823426,3.566195,4.552022,4.743586,4.638834
4.253145,4.014369,4.903896,5.156712,5.05411
4.740692,4.534672,5.318991,5.620018,5.526888
5.272467,5.105276,5.785902,6.114746,6.045199
5.828816,5.699227,6.286357,6.619123,6.593396
6.387723,6.289966,6.799686,7.112008,7.154456
6.92831,6.855351,7.306548,7.576469,7.712063
7.434176,7.380271,7.791296,8.001948,8.25254
7.895015,7.856862,8.243425,8.384538,8.766124
8.306863,8.284141,8.657798,8.726076,9.247531
8.671268,8.665974,9.034567,9.032469,9.695812
8.993749,9.009069,9.378075,9.312318,10.113461
9.282379,9.321393,9.695568,9.575166,10.505211
9.546227,9.610809,9.995381,9.829111,10.876224
9.794241,9.883783,10.285305,10.079533,11.230697
10.034189,10.144922,10.571205,10.328831,11.571207
10.271768,10.39741,10.855678,10.577422,11.898616
10.509722,10.643609,11.138374,10.82408,12.212315
10.747954,10.885065,11.416857,11.066474,12.510744
10.985225,11.122894,11.688044,11.302351,12.792449
11.220526,11.358199,11.949539,11.53074,13.056831
11.453505,11.592166,12.20015,11.75241,13.304171
11.684556,11.826667,12.440234,11.969256,13.535154
11.914907,12.063783,12.671748,12.183198,13.750973
12.146235,12.30477,12.896961,12.395026,13.953194
12.380284,12.54967,13.117391,12.604503,14.143144
12.618011,12.79761,13.333611,12.810733,14.321639
12.859414,13.04672,13.545278,13.012667,14.488865
13.103742,13.294413,13.751572,13.209245,14.643685
13.349257,13.537559,13.951792,13.39979,14.784668
13.594204,13.773587,14.145751,13.584105,14.910921
13.83756,14.000657,14.333898,13.762609,15.022527
14.078794,14.217838,14.51682,13.936209,15.120488
14.31753,14.424654,14.695551,14.105751,15.206562
14.55328,14.62157,14.871147,14.271827,15.283025
14.785187,14.809712,15.044564,14.434581,15.352393
15.012428,14.990792,15.216487,14.593459,15.416956
15.233964,15.166412,15.387341,14.747431,15.478545
15.448597,15.337362,15.557557,14.895539,15.538322
15.655287,15.503803,15.727691,15.037099,15.596527
15.852924,15.665274,15.89747,15.171456,15.652616
16.04044,15.820838,16.065418,15.298007,15.705817
16.217106,15.969399,16.230066,15.416337,15.755508
16.382603,16.110247,16.390465,15.526194,15.801675
16.536963,16.243364,16.546074,15.627449,15.844453
16.6803,16.369087,16.696508,15.719756,15.884208
16.81263,16.487703,16.841446,15.803101,15.920813
16.933836,16.599384,16.980213,15.877464,15.953734
17.043661,16.704035,17.111774,15.942269,15.981673
17.141348,16.801117,17.234743,15.995627,16.002607
17.225449,16.889124,17.347267,16.034462,16.01412
17.29402,16.965858,17.446894,16.054995,16.012716
17.344643,17.028778,17.530027,16.053247,15.994326
17.374208,17.074594,17.59201,16.025045,15.954364
17.378365,17.098629,17.627012,15.965643,15.887206
17.351059,17.094477,17.627888,15.869068,15.785981
17.284517,17.053621,17.585976,15.727544,15.641919
17.168673,16.965343,17.491072,15.531379,15.444263
16.990812,16.817177,17.331066,15.269114,15.180479
16.735146,16.594561,17.092417,14.927693,14.837021
16.383007,16.281496,16.760597,14.492936,14.399653
15.913823,15.860628,16.320107,13.950072,13.853789
15.305819,15.313465,15.755255,13.284133,13.184117
14.537401,14.621257,15.050458,12.480733,12.376045
13.588088,13.765944,14.191228,11.527316,11.416502
12.440665,12.731257,13.165098,10.4148,10.295703
11.083446,11.504544,11.963982,9.138874,9.008627
9.51295,10.079336,10.585223,7.700871,7.556778
7.736171,8.457457,9.033392,6.108983,5.950119
5.772585,6.651397,7.32165,4.379354,4.208748
3.655136,4.684833,5.472387,2.536972,2.363224
1.429555,2.591989,3.517674,0.616301,0.454232
-0.848018,0.416322,1.498622,-1.339123,-1.469428
-3.113668,-1.791506,-0.53646,-3.279178,-3.354607
-5.301445,-3.978492,-2.535101,-5.150917,-5.147585
-7.348551,-6.093286,-4.444102,-6.902209,-6.796873
-9.197513,-8.08754,-6.212201,-8.482959,-8.254786
