V1, V2, V3, V4, V5
51.047077000,49.699478000,48.392586000,48.842560000,48.001812000
51.029324000,49.583683000,48.241608000,48.607716000,47.799740000
50.972237000,49.438480000,48.107521000,48.344521000,47.616940000
50.859764000,49.249275000,47.979832000,48.043129000,47.447826000
50.681217000,49.004242000,47.847717000,47.697464000,47.284271000
50.433842000,48.697773000,47.701748000,47.307590000,47.116829000
50.124798000,48.333115000,47.536564000,46.880096000,46.937691000
49.769600000,47.922752000,47.352039000,46.427269000,46.741127000
49.388386000,47.485291000,47.151310000,45.963314000,46.523571000
49.001236000,47.040161000,46.937733000,45.500473000,46.282528000
48.623508000,46.603291000,46.713482000,45.046650000,46.015587000
48.263321000,46.183624000,46.479893000,44.604485000,45.719868000
47.919868000,45.781055000,46.235615000,44.171623000,45.391872000
47.584515000,45.386993000,45.974953000,43.740658000,45.027054000
47.242813000,44.986889000,45.687790000,43.300316000,44.620453000
46.877277000,44.564728000,45.360931000,42.837414000,44.166607000
46.469952000,44.106892000,44.981289000,42.338852000,43.660286000
46.005810000,43.604050000,44.537560000,41.794239000,43.097115000
45.475189000,43.052299000,44.021881000,41.198685000,42.474854000
44.876160000,42.454578000,43.432209000,40.554829000,41.794521000
44.215076000,41.820789000,42.774960000,39.873383000,41.062492000
43.506981000,41.166801000,42.064629000,39.171833000,40.290977000
42.774250000,40.513123000,41.321632000,38.471203000,39.495987000
42.042637000,39.881042000,40.569290000,37.792137000,38.695374000
41.336624000,39.288082000,39.830925000,37.150753000,37.906517000
40.674995000,38.744862000,39.126579000,36.555870000,37.144680000
40.067570000,38.253777000,38.470154000,36.008331000,36.421673000
39.515614000,37.809143000,37.868279000,35.502163000,35.744579000
39.014229000,37.399292000,37.320557000,35.026211000,35.115383000
38.552872000,37.010021000,36.820747000,34.565742000,34.531357000
38.117043000,36.627777000,36.358105000,34.104782000,33.986965000
37.691879000,36.240631000,35.919273000,33.628868000,33.474743000
37.264488000,35.838253000,35.489090000,33.126827000,32.985592000
36.824100000,35.412220000,35.052830000,32.591782000,32.509708000
36.361427000,34.955708000,34.599018000,32.021530000,32.036964000
35.867287000,34.462883000,34.119926000,31.417921000,31.557787000
35.333641000,33.929226000,33.610977000,30.785107000,31.063637000
34.754295000,33.352364000,33.069927000,30.127705000,30.547945000
34.126572000,32.732090000,32.496410000,29.449156000,30.006418000
33.452129000,32.070625000,31.890900000,28.752451000,29.436819000
32.735382000,31.372408000,31.253893000,28.041927000,28.838615000
31.982819000,30.643219000,30.585913000,27.322569000,28.212484000
31.203108000,29.890533000,29.888008000,26.598408000,27.560135000
30.406363000,29.122612000,29.161783000,25.872410000,26.884737000
29.602612000,28.347828000,28.410826000,25.146957000,26.191378000
28.801275000,27.573591000,27.640690000,24.424124000,25.485950000
28.010212000,26.806833000,26.859270000,23.705952000,24.773218000
27.235130000,26.054119000,26.076139000,22.994881000,24.056660000
26.479980000,25.321373000,25.300810000,22.293114000,23.338976000
25.748211000,24.611990000,24.541483000,21.602509000,22.622780000
25.042206000,23.927372000,23.803740000,20.924734000,21.911016000
24.362928000,23.267786000,23.090345000,20.261055000,21.206985000
23.710108000,22.632240000,22.401819000,19.611969000,20.513874000
