"V1","V2","V3","V4","V5"
3.831405,3.13436,2.486409,3.133984,2.038968
3.790274,3.22003,2.464411,3.215776,2.159912
3.764723,3.304859,2.441513,3.291494,2.270666
3.764705,3.38937,2.422536,3.358017,2.370497
3.796012,3.473315,2.412066,3.412716,2.46087
3.858653,3.554413,2.413496,3.453306,2.544331
3.946543,3.6282,2.428821,3.478298,2.623374
4.04901,3.688614,2.458665,3.487329,2.700017
4.153207,3.729595,2.502584,3.481161,2.77585
4.247342,3.746692,2.559504,3.462056,2.85221
4.32386,3.738759,2.628335,3.434195,2.930753
4.38157,3.709419,2.708604,3.404374,3.014089
4.426342,3.66784,2.801598,3.382342,3.106017
4.469879,3.628113,2.910936,3.380297,3.211273
4.527267,3.607191,3.042217,3.411545,3.335092
4.614265,3.622223,3.201499,3.488563,3.482477
4.744707,3.687943,3.393706,3.620843,3.657688
4.92817,3.814887,3.621524,3.813124,3.863183
5.168285,4.007871,3.884551,4.063648,4.09874
5.461804,4.264902,4.178524,4.363542,4.360515
5.798717,4.576895,4.494974,4.697128,4.640588
6.163146,4.928379,4.821438,5.043772,4.927687
6.535269,5.299222,5.142501,5.380502,5.208383
6.894034,5.66707,5.441476,5.685309,5.46863
7.219467,6.010183,5.702506,5.940201,5.695535
7.495019,6.309953,5.91221,6.133214,5.879036
7.708989,6.552613,6.061377,6.259139,6.013248
7.855368,6.730187,6.146039,6.319373,6.096719
7.933767,6.840622,6.167531,6.320806,6.132166
7.948969,6.887274,6.132019,6.274337,6.125436
7.909486,6.877694,6.049262,6.192808,6.084427
7.825863,6.822248,5.931087,6.089147,6.018069
7.709496,6.732133,5.789324,5.974803,5.935185
7.571424,6.617946,5.634504,5.858331,5.843445
7.421504,6.488847,5.475135,5.745319,5.74838
7.268415,6.352915,5.317608,5.638671,5.653276
7.119656,6.21719,5.166545,5.539233,5.559637
6.981115,6.087371,5.025103,5.446782,5.467841
6.856756,5.967438,4.894991,5.360567,5.377709
6.748761,5.859612,4.776727,5.279414,5.288884
6.657765,5.764791,4.669744,5.201778,5.201066
6.582973,5.682635,4.572914,5.125992,5.113928
6.522442,5.61138,4.484707,5.050731,5.027218
6.473502,5.548244,4.403206,4.975048,4.94078
6.433276,5.489909,4.326281,4.898289,4.85422
6.399118,5.433215,4.252002,4.819938,4.766676
6.368378,5.375411,4.178796,4.739613,4.677119
6.338511,5.314186,4.105371,4.657291,4.584843
6.307077,5.247808,4.030658,4.573384,4.489717
6.271975,5.174897,3.953937,4.488416,4.392169
6.231074,5.094716,3.874828,4.402855,4.293039
6.181649,5.007215,3.792961,4.316991,4.193313
6.121176,4.912686,3.707944,4.231221,4.094162
6.048263,4.811551,3.619581,4.146182,3.996839
5.962671,4.704371,3.52769,4.062619,3.902535
5.864683,4.591912,3.431994,3.981123,3.812203
5.755397,4.475218,3.332524,3.901927,3.726083
5.636966,4.355778,3.229586,3.824873,3.643551
5.512184,4.235386,3.123822,3.749472,3.563236
5.384024,4.116003,3.016182,3.67512,3.483114
5.255207,3.999578,2.907844,3.600924,3.400969
5.127677,3.887619,2.799912,3.525806,3.314581
5.002588,3.78087,2.693616,3.448629,3.221991
4.879872,3.679215,2.589609,3.368023,3.121476
4.758519,3.581899,2.487519,3.28218,3.011517
4.636793,3.487594,2.385715,3.188813,2.890412
4.512701,3.39404,2.281428,3.085777,2.756717
4.384317,3.298063,2.171353,2.971584,2.609678
4.249973,3.195777,2.052591,2.845123,2.449128
4.108335,3.083611,1.922827,2.705405,2.275324
3.958695,2.959493,1.780625,2.551413,2.088864
3.800951,2.822476,1.625191,2.382479,1.890882
3.635826,2.672249,1.457056,2.198562,1.682659
3.465121,2.509053,1.27788,2.000411,1.465914
3.291348,2.334309,1.089668,1.789849,1.242622
3.11656,2.150594,0.894792,1.569603,1.015014
2.942071,1.961013,0.695859,1.342858,0.785519
2.768626,1.768959,0.495448,1.112629,0.556596
2.596339,1.57793,0.296117,0.881853,0.330678
2.425339,1.391297,0.100653,0.653744,0.110091
2.256647,1.212279,-0.088054,0.431421,-0.1029
2.092139,1.043466,-0.267349,0.217761,-0.305967
1.93409,0.886803,-0.434978,0.015323,-0.496803
1.784985,0.743565,-0.589059,-0.173975,-0.673364
1.646773,0.614425,-0.728453,-0.349034,-0.833775
1.520988,0.499177,-0.852904,-0.509652,-0.976323
1.408765,0.396429,-0.96278,-0.65636,-1.099514
1.310874,0.303771,-1.058954,-0.790192,-1.202181
1.227492,0.217518,-1.142449,-0.912458,-1.283952
1.157311,0.133363,-1.21503,-1.02487,-1.346136
1.097065,0.047371,-1.279599,-1.129709,-1.392578
1.041226,-0.042994,-1.340497,-1.230454,-1.429482
0.982406,-0.14024,-1.403335,-1.332894,-1.465206
0.911233,-0.248933,-1.474161,-1.444575,-1.509043
0.817701,-0.374726,-1.558426,-1.572694,-1.569587
0.693101,-0.523054,-1.659907,-1.722045,-1.65295
0.531213,-0.697902,-1.779972,-1.894419,-1.761495
0.329652,-0.901037,-1.916945,-2.087815,-1.893384
0.091018,-1.130636,-2.065623,-2.295778,-2.043078
-0.176543,-1.380421,-2.217775,-2.506926,-2.202701
-0.460651,-1.639992,-2.363109,-2.706745,-2.363168
