V1, V2, V3, V4, V5
-14.287933000,-17.974918000,-13.122403000,-14.509530000,-14.595974000
-13.928629000,-17.280928000,-13.135810000,-13.819146000,-14.216549000
-13.554006000,-16.515091000,-13.080815000,-13.119499000,-13.809401000
-13.171717000,-15.701913000,-12.955750000,-12.447903000,-13.390257000
-12.794902000,-14.873263000,-12.766265000,-11.839681000,-12.974340000
-12.440973000,-14.067599000,-12.523714000,-11.324492000,-12.575092000
-12.128604000,-13.325781000,-12.242893000,-10.921360000,-12.201312000
-11.870861000,-12.683591000,-11.939203000,-10.636166000,-11.854871000
-11.668367000,-12.164181000,-11.624188000,-10.459864000,-11.530379000
-11.506823000,-11.771331000,-11.303182000,-10.367910000,-11.216487000
-11.361287000,-11.488797000,-10.975680000,-10.324134000,-10.899261000
-11.203403000,-11.284065000,-10.639853000,-10.287656000,-10.566460000
-11.007154000,-11.116627000,-10.296170000,-10.219831000,-10.210629000
-10.752455000,-10.945834000,-9.948873000,-10.089499000,-9.830072000
-10.426651000,-10.737386000,-9.605322000,-9.876677000,-9.428455000
-10.023894000,-10.467259000,-9.274222000,-9.574761000,-9.012902000
-9.544679000,-10.122588000,-8.962492000,-9.189465000,-8.592236000
-8.996546000,-9.700890000,-8.673883000,-8.736094000,-8.176112000
-8.395689000,-9.209484000,-8.410410000,-8.237105000,-7.775457000
-7.767704000,-8.665514000,-8.173857000,-7.719147000,-7.402299000
-7.144711000,-8.094967000,-7.966615000,-7.210751000,-7.068151000
-6.561905000,-7.528800000,-7.791056000,-6.738307000,-6.781181000
-6.051470000,-6.997879000,-7.647712000,-6.322745000,-6.544231000
-5.638103000,-6.527563000,-7.534122000,-5.977185000,-6.354275000
-5.334333000,-6.132947000,-7.444620000,-5.705196000,-6.203895000
-5.137994000,-5.817842000,-7.369732000,-5.500630000,-6.082312000
-5.035888000,-5.575921000,-7.295838000,-5.349226000,-5.976822000
-5.007772000,-5.392933000,-7.207647000,-5.231838000,-5.874541000
-5.029558000,-5.250491000,-7.090622000,-5.129488000,-5.763626000
-5.077190000,-5.130341000,-6.933352000,-5.026178000,-5.635411000
-5.128964000,-5.017823000,-6.730160000,-4.911415000,-5.486112000
-5.168118000,-4.903475000,-6.482402000,-4.781050000,-5.316084000
-5.184717000,-4.784557000,-6.198533000,-4.635641000,-5.128465000
-5.175476000,-4.664879000,-5.893304000,-4.480471000,-4.928410000
-5.143383000,-4.551999000,-5.585046000,-4.324263000,-4.722326000
-5.096285000,-4.454310000,-5.292778000,-4.178801000,-4.517476000
-5.045533000,-4.379207000,-5.033169000,-4.054633000,-4.320899000
-5.002518000,-4.332602000,-4.818422000,-3.957906000,-4.138381000
-4.975229000,-4.317604000,-4.654676000,-3.889587000,-3.973398000
-4.967237000,-4.332441000,-4.541236000,-3.846959000,-3.825682000
-4.977156000,-4.369741000,-4.472078000,-3.824291000,-3.691362000
-4.997983000,-4.417811000,-4.437501000,-3.813451000,-3.563573000
-5.017322000,-4.462183000,-4.425068000,-3.803634000,-3.434680000
-5.021495000,-4.489011000,-4.421167000,-3.782032000,-3.297648000
-4.997866000,-4.488380000,-4.412391000,-3.735178000,-3.147870000
-4.934927000,-4.452810000,-4.387189000,-3.652766000,-2.983202000
-4.823039000,-4.375079000,-4.337083000,-3.528130000,-2.802647000
-4.655347000,-4.248557000,-4.256848000,-3.357311000,-2.605127000
-4.427617000,-4.069585000,-4.143385000,-3.139625000,-2.390567000
-4.140037000,-3.838682000,-3.994001000,-2.876341000,-2.159398000
-3.798594000,-3.559067000,-3.805828000,-2.571746000,-1.912446000
-3.412861000,-3.235361000,-3.577606000,-2.232877000,-1.651424000
-2.992243000,-2.874335000,-3.309636000,-1.867213000,-1.378527000
-2.544466000,-2.483924000,-3.002540000,-1.482005000,-1.096202000
-2.077941000,-2.072539000,-2.658375000,-1.084019000,-0.806327000
-1.604498000,-1.649096000,-2.282414000,-0.680650000,-0.510111000
-1.137739000,-1.222473000,-1.882861000,-0.279874000,-0.210235000
-0.689785000,-0.800938000,-1.468775000,0.108777000,0.088468000
-0.269416000,-0.391707000,-1.049157000,0.476557000,0.380325000
0.117308000,0.000554000,-0.632789000,0.817516000,0.659935000
0.466647000,0.373424000,-0.227578000,1.128617000,0.922852000
0.776919000,0.726290000,0.160293000,1.408724000,1.165680000
1.048110000,1.059882000,0.526855000,1.656704000,1.386836000
1.282411000,1.376494000,0.870704000,1.871148000,1.586731000
1.483615000,1.679974000,1.192105000,2.051145000,1.766745000
1.656127000,1.975534000,1.492485000,2.196047000,1.928021000
1.802583000,2.268229000,1.773617000,2.306715000,2.071507000
1.925598000,2.559469000,2.036304000,2.387848000,2.198008000
2.027544000,2.845218000,2.280385000,2.445875000,2.308407000
2.112317000,3.118896000,2.503819000,2.487135000,2.403401000
2.186718000,3.375787000,2.703372000,2.515517000,2.484698000
2.258011000,3.613048000,2.876374000,2.533966000,2.554953000
2.334515000,3.828641000,3.021203000,2.546466000,2.617784000
2.425858000,4.021039000,3.136148000,2.558488000,2.675556000
2.540151000,4.188491000,3.217657000,2.574986000,2.729303000
2.681742000,4.328388000,3.260690000,2.598109000,2.779081000
2.849577000,4.435265000,3.261321000,2.625602000,2.824367000
3.036025000,4.502512000,3.216545000,2.650941000,2.863344000
3.227708000,4.525229000,3.124760000,2.666162000,2.892797000
3.410247000,4.501921000,2.988166000,2.664285000,2.908332000
3.570347000,4.435155000,2.813270000,2.640176000,2.905170000
3.695635000,4.329491000,2.609557000,2.589630000,2.878113000
3.776407000,4.189021000,2.387257000,2.509558000,2.819890000
3.806393000,4.018207000,2.155127000,2.396975000,2.719968000
3.781237000,3.821469000,1.918296000,2.247895000,2.566015000
3.696843000,3.601655000,1.677837000,2.057962000,2.345297000
3.548643000,3.357129000,1.432143000,1.821424000,2.046429000
3.332063000,3.083176000,1.176970000,1.531987000,1.660235000
3.045343000,2.772238000,0.905983000,1.182102000,1.181691000
2.688315000,2.415848000,0.609896000,0.763228000,0.611919000
2.262378000,2.008210000,0.278635000,0.270317000,-0.040689000
1.770552000,1.548350000,-0.093980000,-0.292958000,-0.759970000
1.219598000,1.038777000,-0.507445000,-0.915712000,-1.523777000
0.618836000,0.483321000,-0.955880000,-1.581050000,-2.306421000
-0.019352000,-0.110093000,-1.428718000,-2.266950000,-3.079257000
-0.679955000,-0.729212000,-1.912751000,-2.947456000,-3.813616000
-1.347472000,-1.359934000,-2.394365000,-3.597782000,-4.482526000
-2.009222000,-1.989738000,-2.861080000,-4.197504000,-5.064634000
-2.654649000,-2.608227000,-3.301281000,-4.731097000,-5.547202000
-3.273257000,-3.207388000,-3.705321000,-5.186187000,-5.928379000
-3.856108000,-3.781611000,-4.066322000,-5.554355000,-6.216974000
