"V1","V2","V3","V4","V5"
13.306313,15.034293,14.13637,16.269012,15.282107
13.983798,15.527277,14.491519,16.63463,15.642137
14.638323,16.008499,14.949936,17.011322,16.118908
15.211515,16.419127,15.456948,17.35047,16.6735
15.669156,16.718855,15.968546,17.62154,17.270044
16.009356,16.897161,16.458469,17.81967,17.881193
16.265177,16.979239,16.922808,17.96677,18.492222
16.497334,17.022137,17.378677,18.106134,19.100739
16.779238,17.101236,17.855724,18.289803,19.713184
17.176916,17.289637,18.383596,18.562937,20.337423
17.731497,17.638819,18.980793,18.951525,20.974779
18.449888,18.165142,19.649008,19.456478,21.616194
19.303087,18.845993,20.371016,20.053371,22.242445
20.234222,19.626043,21.113251,20.697222,22.826817
21.171291,20.431141,21.831417,21.331488,23.33897
22.040567,21.184216,22.478287,21.898613,23.749985
22.777637,21.818892,23.011971,22.350521,24.037506
23.336771,22.289061,23.402493,22.655844,24.189743
23.696053,22.574305,23.636393,22.804949,24.208332
23.859812,22.68199,23.719505,22.812035,24.109341
23.856234,22.644894,23.676504,22.712477,23.922365
23.732784,22.514479,23.547602,22.555189,23.68639
23.546862,22.351189,23.381357,22.392252,23.443617
23.355352,22.212126,23.225552,22.268658,23.232676
23.204132,22.139833,23.119545,22.213663,23.083229
23.120413,22.155453,23.08832,22.23653,23.011993
23.110773,22.25779,23.13932,22.327517,23.021236
23.164038,22.426434,23.263123,22.462326,23.100323
23.257235,22.62911,23.436745,22.608549,23.229246
23.360954,22.829794,23.630379,22.731972,23.383001
23.444685,22.995588,23.813339,22.80303,23.536402
23.483051,23.101685,23.958546,22.801973,23.667898
23.459251,23.132891,24.045362,22.720585,23.761715
23.365892,23.084305,24.06151,22.561348,23.809391
23.203665,22.959288,24.004173,22.33485,23.809305
22.978939,22.766895,23.878702,22.05714,23.765388
22.701889,22.519352,23.696173,21.745958,23.684923
22.384241,22.230051,23.470428,21.416855,23.575941
22.038313,21.910889,23.215626,21.080273,23.44521
21.676161,21.57148,22.943794,20.741545,23.297228
21.308018,21.22007,22.662163,20.403507,23.134165
20.940952,20.863932,22.373316,20.067091,22.956024
20.579021,20.509075,22.076485,19.731647,22.761322
20.225151,20.159971,21.769381,19.396376,22.548531
19.882092,19.820295,21.450783,19.061974,22.317183
19.552626,19.493177,21.121265,18.731401,22.067844
19.239201,19.182426,20.783876,18.408936,21.80164
18.944233,18.89254,20.444506,18.098795,21.520706
18.670107,18.627251,20.109848,17.803991,21.228144
18.4195,18.388409,19.785564,17.52632,20.927158
18.194073,18.176056,19.47541,17.266499,20.620911
17.994083,17.988134,19.180952,17.024214,20.312563
17.818758,17.820824,18.902271,16.798281,20.004187
17.66596,17.668619,18.638519,16.587446,19.697702
17.533388,17.526499,18.388933,16.391253,19.395353
17.419867,17.390678,18.153944,16.210472,19.099926
17.325085,17.259108,17.934969,16.046661,18.814713
17.248564,17.131086,17.734503,15.900993,18.543175
17.188793,17.008207,17.555021,15.773617,18.288866
17.143335,16.893641,17.397575,15.663931,18.054779
17.110239,16.791601,17.261496,15.570733,17.843418
17.088455,16.706333,17.145454,15.492556,17.656717
17.077892,16.640499,17.04917,15.428881,17.496077
17.079193,16.595079,16.974106,15.380676,17.362074
17.092516,16.569887,16.921635,15.349613,17.254606
17.117643,16.564323,16.891699,15.337931,17.173735
17.155647,16.578199,16.883774,15.34876,17.120413
17.209324,16.612831,16.898071,15.385622,17.097244
17.282747,16.671299,16.936008,15.452286,17.107513
17.380396,16.757393,17.000051,15.552205,17.155376
17.506401,16.874784,17.093349,15.689344,17.243809
17.664434,17.027313,17.21874,15.867318,17.375187
17.857584,17.218842,17.378977,16.088875,17.550646
18.087891,17.452835,17.577007,16.354692,17.770695
18.356796,17.731695,17.816002,16.663744,18.035887
18.665871,18.057276,18.099602,17.014338,18.34634
19.017313,18.431988,18.430885,17.405272,18.702646
19.414207,18.858818,18.812626,17.836563,19.106195
19.860558,19.340689,19.24733,18.309347,19.559074
20.361065,19.880173,19.736872,18.82539,20.063871
20.921482,20.479254,20.282349,19.386818,20.622948
21.547853,21.139532,20.885088,19.996395,21.238577
22.245825,21.863632,21.546638,20.657892,21.913185
23.019978,22.654427,22.26947,21.375942,22.650337
23.873875,23.515608,23.057831,22.156502,23.454882
24.810928,24.451653,23.917439,23.006893,24.333075
25.834475,25.467505,24.855925,23.935587,25.291449
26.948992,26.569042,25.882204,24.952276,26.33746
28.159422,27.763714,27.006176,26.068037,27.478685
29.471283,29.059301,28.237537,27.294771,28.722027
30.890471,30.462765,29.585581,28.642923,30.072527
32.422615,31.980595,31.05652,30.119385,31.532366
34.071053,33.617523,32.652233,31.726717,33.101006
35.835346,35.375877,34.369961,33.46225,34.77573
37.71077,37.253437,36.202225,35.318165,36.551006
39.687458,39.242077,38.137878,37.281757,38.417931
41.750336,41.327263,40.162411,39.336468,40.364407
43.880634,43.489403,42.257393,41.462814,42.375389
46.056831,45.704819,44.400879,43.6395,44.433773
48.255505,47.947895,46.568684,45.844521,46.52166
50.452007,50.193233,48.737282,48.056461,48.621193
