"V1","V2","V3","V4","V5"
-0.935206,-1.678718,-0.924823,-1.480092,-1.415516
-0.925585,-1.761366,-0.993063,-1.497855,-1.55285
-0.905946,-1.806821,-1.046996,-1.488608,-1.665907
-0.885951,-1.809401,-1.08215,-1.449326,-1.748633
-0.875419,-1.772157,-1.096105,-1.382746,-1.80031
-0.880919,-1.704847,-1.087614,-1.295353,-1.823589
-0.902644,-1.619692,-1.056394,-1.194572,-1.821896
-0.931896,-1.525298,-1.001528,-1.084888,-1.796916
-0.950842,-1.422661,-0.919241,-0.964647,-1.74693
-0.936466,-1.304483,-0.802465,-0.826484,-1.666807
-0.867902,-1.159466,-0.643337,-0.660744,-1.550436
-0.733195,-0.977864,-0.43744,-0.460435,-1.394271
-0.532085,-0.756218,-0.18722,-0.224285,-1.199643
-0.274328,-0.498174,0.097495,0.04268,-0.972953
0.023684,-0.212293,0.401179,0.329923,-0.724694
0.342275,0.089812,0.705264,0.622427,-0.467785
0.661351,0.394851,0.991548,0.902167,-0.216143
0.962023,0.688572,1.244103,1.151074,0.016583
1.227611,0.956922,1.450438,1.354311,0.218307
1.4448,1.187939,1.602379,1.50319,0.380253
1.60577,1.373511,1.696852,1.597278,0.499261
1.709334,1.51143,1.736689,1.644275,0.578685
1.761719,1.606135,1.730781,1.658133,0.627815
1.774819,1.66769,1.692846,1.655572,0.659889
1.7645,1.709564,1.639147,1.651993,0.689042
1.7478,1.745085,1.586651,1.659489,0.72734
1.73913,1.785439,1.551286,1.685574,0.782728
1.748297,1.838617,1.545404,1.73332,0.858423
1.780422,1.908867,1.577023,1.801652,0.953463
1.83584,1.996952,1.649044,1.885807,1.06386
1.91169,2.100274,1.759041,1.978425,1.183304
2.002506,2.213449,1.899751,2.07087,1.304435
2.100877,2.329135,2.061038,2.155617,1.419928
2.19861,2.439173,2.23123,2.227216,1.523464
2.287763,2.536029,2.398926,2.282256,1.611142
2.360694,2.613466,2.554317,2.31942,1.681798
2.410882,2.666644,2.689885,2.340111,1.736436
2.434508,2.692796,2.800528,2.347687,1.777634
2.431041,2.692005,2.883706,2.34646,1.808375
2.402538,2.667158,2.939278,2.340622,1.831649
2.353081,2.622975,2.96905,2.333965,1.850265
2.288521,2.565229,2.9758,2.329788,1.866988
2.216022,2.500158,2.963281,2.330871,1.883937
2.142509,2.433633,2.935977,2.339792,1.902644
2.074126,2.370661,2.899014,2.358829,1.924102
2.01529,2.315524,2.857376,2.389756,1.949452
1.969473,2.272121,2.815563,2.434139,1.980437
1.939498,2.243695,2.777428,2.493469,2.019017
1.92773,2.232476,2.746638,2.568121,2.066669
1.935181,2.240331,2.726552,2.657572,2.124714
1.962083,2.268406,2.72057,2.760687,2.194157
2.009282,2.316955,2.731815,2.875957,2.275151
2.077539,2.385792,2.76262,3.00151,2.366757
2.166468,2.474702,2.81397,3.134509,2.466904
2.274279,2.582987,2.885785,3.271384,2.572881
2.398347,2.709088,2.976527,3.408404,2.681862
2.535008,2.850643,3.08276,3.542299,2.791082
2.679883,3.004186,3.199887,3.670285,2.897936
2.828753,3.165211,3.322603,3.790408,3.000018
2.977602,3.328476,3.445898,3.901058,3.095605
3.122445,3.488411,3.565701,4.001413,3.183346
3.259173,3.639088,3.678891,4.091369,3.262576
3.384117,3.775496,3.782421,4.171014,3.332968
3.495741,3.894263,3.873982,4.240211,3.394962
3.594496,3.993297,3.952002,4.298995,3.449409
3.681631,4.071418,4.015828,4.347774,3.498045
3.757651,4.128488,4.066664,4.386361,3.542735
3.822015,4.164912,4.106473,4.413408,3.584429
3.873102,4.181694,4.136532,4.426597,3.623226
3.909102,4.179826,4.156981,4.423755,3.658357
3.928631,4.160047,4.166805,4.40352,3.687863
3.930683,4.123328,4.164742,4.365486,3.708204
3.914387,4.071757,4.148275,4.309901,3.71499
3.878728,4.008264,4.11372,4.237375,3.703407
3.82203,3.934371,4.05753,4.147975,3.669027
3.743387,3.84973,3.976023,4.041009,3.608263
3.642899,3.752125,3.866175,3.914963,3.518371
3.520978,3.637931,3.725466,3.767827,3.397275
3.378493,3.502722,3.551937,3.59716,3.243442
3.216331,3.341965,3.344441,3.400053,3.055716
3.034227,3.151491,3.103011,3.173738,2.833277
2.830165,2.928029,2.829059,2.915516,2.575464
2.601331,2.668905,2.524673,2.623072,2.28124
2.34497,2.372733,2.192512,2.294803,1.949249
2.059447,2.039859,1.835395,1.929956,1.578072
1.743936,1.673099,1.456396,1.529245,1.166496
1.398517,1.276918,1.058704,1.094506,0.713901
1.024163,0.857352,0.645665,0.628644,0.220069
0.624575,0.421391,0.219785,0.134689,-0.314316
0.20638,-0.023386,-0.217705,-0.384722,-0.886898
-0.221673,-0.46977,-0.666678,-0.927056,-1.492812
-0.650161,-0.912581,-1.126267,-1.488132,-2.124591
-1.069498,-1.349051,-1.593883,-2.061653,-2.77199
-1.471223,-1.777675,-2.066052,-2.639934,-3.422904
-1.849617,-2.198406,-2.538462,-3.215171,-4.064276
-2.203153,-2.612788,-3.006942,-3.779599,-4.683313
-2.535166,-3.023468,-3.467911,-4.326005,-5.267703
-2.854487,-3.434425,-3.918723,-4.849391,-5.807281
-3.173803,-3.852024,-4.357897,-5.347406,-6.295532
-3.506669,-4.285219,-4.785353,-5.819561,-6.731237
-3.864381,-4.744756,-5.203001,-6.266316,-7.119261
