V1, V2, V3, V4, V5
-0.196141000,3.547079000,-3.557575000,0.906888000,-3.639091000
0.077012000,3.386450000,-2.962080000,0.925194000,-3.108149000
0.406041000,3.225952000,-2.313567000,1.009769000,-2.456835000
0.800675000,3.096203000,-1.617467000,1.190830000,-1.684508000
1.271687000,3.031237000,-0.880450000,1.492743000,-0.797782000
1.825008000,3.065563000,-0.112547000,1.928824000,0.187598000
2.453010000,3.224395000,0.669259000,2.491685000,1.243191000
3.127652000,3.510873000,1.438134000,3.149570000,2.325268000
3.800537000,3.901324000,2.155907000,3.849561000,3.378292000
4.410439000,4.346516000,2.776768000,4.523441000,4.340791000
4.898049000,4.781203000,3.257014000,5.101951000,5.155237000
5.223130000,5.140821000,3.569206000,5.531816000,5.779488000
5.373117000,5.379273000,3.711483000,5.787513000,6.196348000
5.361404000,5.475649000,3.706670000,5.873019000,6.414871000
5.219460000,5.432705000,3.594893000,5.815321000,6.466445000
4.986347000,5.272014000,3.423394000,5.654940000,6.396449000
4.698657000,5.024094000,3.235253000,5.434207000,6.253963000
4.384290000,4.719189000,3.061325000,5.186795000,6.083437000
4.060185000,4.380252000,2.917643000,4.934574000,5.919826000
3.733636000,4.020668000,2.806253000,4.686491000,5.785369000
3.404896000,3.644798000,2.718990000,4.444201000,5.690351000
3.072284000,3.251901000,2.642391000,4.206174000,5.633475000
2.735019000,2.841376000,2.562128000,3.972463000,5.605752000
2.395993000,2.417439000,2.465703000,3.747210000,5.595105000
2.060263000,1.989330000,2.345431000,3.538296000,5.590055000
1.731665000,1.571283000,2.198010000,3.353534000,5.581900000
1.414881000,1.179957000,2.022756000,3.195815000,5.563439000
1.115007000,0.830592000,1.821800000,3.061383000,5.528745000
0.836859000,0.533347000,1.597142000,2.940614000,5.471269000
0.584805000,0.289676000,1.349280000,2.821251000,5.384343000
0.359399000,0.092032000,1.077558000,2.691413000,5.263268000
0.158183000,-0.073930000,0.781918000,2.543352000,5.107209000
-0.023768000,-0.225196000,0.463503000,2.374748000,4.919135000
-0.192456000,-0.375968000,0.127729000,2.190419000,4.706079000
-0.353095000,-0.534401000,-0.215791000,2.000937000,4.477688000
-0.508227000,-0.700596000,-0.553003000,1.821267000,4.245980000
-0.657040000,-0.867211000,-0.867830000,1.665144000,4.024073000
-0.795911000,-1.020017000,-1.143536000,1.542850000,3.823380000
-0.919357000,-1.142240000,-1.365437000,1.459131000,3.652781000
-1.020229000,-1.220066000,-1.524123000,1.414311000,3.517629000
-1.090937000,-1.245611000,-1.617288000,1.405668000,3.419482000
-1.126425000,-1.218299000,-1.649537000,1.426506000,3.356953000
-1.126122000,-1.144143000,-1.631441000,1.466775000,3.326101000
-1.094201000,-1.033336000,-1.577524000,1.513727000,3.320059000
-1.039129000,-0.897107000,-1.502778000,1.553885000,3.329963000
-0.972329000,-0.746879000,-1.421092000,1.577292000,3.346509000
-0.906585000,-0.594600000,-1.344161000,1.577507000,3.360680000
-0.853280000,-0.451537000,-1.280253000,1.548879000,3.365883000
-0.821707000,-0.328572000,-1.235223000,1.489959000,3.357303000
-0.817671000,-0.234200000,-1.213555000,1.403228000,3.330240000
-0.842474000,-0.175155000,-1.219024000,1.294990000,3.280541000
-0.893903000,-0.155657000,-1.253756000,1.172822000,3.207052000
-0.967611000,-0.176354000,-1.317928000,1.043159000,3.112137000
-1.059219000,-0.233087000,-1.410344000,0.910389000,3.001208000
-1.163123000,-0.318733000,-1.527755000,0.778076000,2.880951000
-1.270391000,-0.424150000,-1.664065000,0.649719000,2.756984000
-1.370456000,-0.539750000,-1.810811000,0.530235000,2.635406000
-1.454742000,-0.657042000,-1.959194000,0.425711000,2.522383000
-1.519314000,-0.768624000,-2.101575000,0.340838000,2.423768000
-1.562629000,-0.869098000,-2.232718000,0.277030000,2.343964000
-1.584187000,-0.955188000,-2.349887000,0.233512000,2.286931000
-1.584049000,-1.025812000,-2.451587000,0.208838000,2.255276000
-1.561925000,-1.082136000,-2.536072000,0.203682000,2.250814000
-1.517939000,-1.126994000,-2.602277000,0.220827000,2.273699000
-1.452955000,-1.163620000,-2.649797000,0.263813000,2.323206000
-1.368209000,-1.195472000,-2.679276000,0.336738000,2.398403000
-1.262712000,-1.225001000,-2.691260000,0.442607000,2.498681000
-1.134365000,-1.251133000,-2.684507000,0.580584000,2.623270000
-0.980481000,-1.268146000,-2.656706000,0.748128000,2.770945000
-0.799823000,-1.268504000,-2.603819000,0.942032000,2.940419000
-0.595200000,-1.247407000,-2.521229000,1.160017000,3.128445000
-0.372040000,-1.202015000,-2.405401000,1.398497000,3.330574000
-0.138315000,-1.130739000,-2.254770000,1.650803000,3.540992000
0.095443000,-1.032881000,-2.068717000,1.907501000,3.754797000
0.319193000,-0.908161000,-1.846552000,2.158535000,3.967920000
0.526875000,-0.756951000,-1.587462000,2.396180000,4.176198000
0.716754000,-0.578014000,-1.293324000,2.616057000,4.376373000
0.892119000,-0.369775000,-0.967629000,2.818303000,4.565770000
1.060483000,-0.133341000,-0.616161000,3.004268000,4.741752000
1.228309000,0.126352000,-0.249010000,3.173410000,4.900884000
1.398863000,0.399351000,0.118496000,3.321858000,5.037671000
1.571486000,0.672063000,0.467078000,3.443975000,5.144214000
1.739688000,0.929670000,0.776040000,3.531947000,5.212018000
1.890630000,1.155242000,1.025288000,3.576618000,5.233971000
2.007524000,1.330977000,1.197260000,3.568492000,5.204193000
2.071001000,1.438149000,1.277134000,3.497368000,5.116632000
2.060181000,1.460115000,1.253220000,3.354743000,4.965289000
1.953720000,1.381716000,1.117867000,3.135259000,4.745723000
1.729672000,1.192594000,0.868396000,2.839458000,4.455841000
1.370880000,0.887781000,0.508720000,2.474307000,4.095578000
0.869791000,0.467831000,0.049901000,2.050618000,3.666451000
0.231182000,-0.062500000,-0.493150000,1.577797000,3.170802000
-0.530706000,-0.691656000,-1.103598000,1.064210000,2.612376000
-1.392523000,-1.399258000,-1.762997000,0.516599000,1.996077000
-2.324450000,-2.160806000,-2.453556000,-0.062572000,1.326443000
-3.293662000,-2.951858000,-3.158827000,-0.673683000,0.608858000
-4.265648000,-3.748428000,-3.862272000,-1.314858000,-0.150328000
-5.203049000,-4.525076000,-4.547762000,-1.977592000,-0.940225000
-6.068492000,-5.254746000,-5.198717000,-2.645854000,-1.741933000
-6.829709000,-5.909817000,-5.798041000,-3.300447000,-2.527631000
-7.462635000,-6.463821000,-6.327838000,-3.922534000,-3.265586000
