"V1","V2","V3","V4","V5"
0.015523,0.012801,0.015666,0.008791,0.003849
0.019392,0.018063,0.019816,0.01336,0.006806
0.023139,0.023534,0.023713,0.018385,0.010758
0.02627,0.028479,0.027044,0.023313,0.01533
0.028241,0.031883,0.029131,0.027274,0.019853
0.028346,0.033088,0.029286,0.029369,0.023442
0.026379,0.031925,0.027356,0.029314,0.02509
0.023312,0.029086,0.024384,0.02777,0.02516
0.020572,0.025761,0.021577,0.025834,0.02454
0.019457,0.023233,0.020243,0.02483,0.024492
0.021016,0.022706,0.02115,0.025803,0.025971
0.025439,0.02479,0.024874,0.029044,0.029416
0.032039,0.029293,0.030734,0.034072,0.034499
0.039363,0.035318,0.037854,0.039943,0.040152
0.045896,0.041412,0.044777,0.045368,0.045284
0.05025,0.046332,0.050348,0.049289,0.04887
0.051602,0.049049,0.053667,0.050814,0.050164
0.049763,0.049128,0.054163,0.049728,0.049056
0.045292,0.046646,0.051655,0.04624,0.045797
0.038977,0.042213,0.046709,0.040934,0.040943
0.032064,0.036617,0.040137,0.034859,0.035409
0.025464,0.03072,0.033067,0.028922,0.029946
0.020016,0.025392,0.026528,0.023752,0.02527
0.016149,0.021059,0.021184,0.019951,0.021884
0.013952,0.017994,0.017368,0.017752,0.019928
0.013291,0.016153,0.015276,0.016894,0.019269
0.013772,0.015415,0.014816,0.017201,0.019609
0.014961,0.015479,0.015741,0.018113,0.02052
0.016268,0.015966,0.017617,0.019242,0.021545
0.017295,0.016772,0.019704,0.020142,0.022411
0.017337,0.017266,0.021578,0.020573,0.02291
0.016489,0.01724,0.022752,0.020342,0.0229
0.015159,0.01671,0.023033,0.019362,0.022477
0.013655,0.015596,0.022214,0.017647,0.021589
0.012115,0.014137,0.02023,0.015545,0.02026
0.010655,0.012447,0.017539,0.013479,0.018601
0.009394,0.010597,0.014647,0.011741,0.016817
0.008327,0.008945,0.012039,0.010403,0.015223
0.00747,0.007551,0.010009,0.009555,0.013954
0.006905,0.00636,0.008582,0.009033,0.013108
0.006503,0.005207,0.007739,0.008583,0.012518
0.006207,0.004205,0.007207,0.008039,0.012065
0.005915,0.003305,0.006666,0.007353,0.011825
0.005625,0.002466,0.00609,0.00657,0.011727
0.005305,0.001776,0.005542,0.005762,0.011572
0.00495,0.001055,0.004851,0.004975,0.011301
0.004518,0.00045,0.003953,0.004208,0.010728
0.003921,-0.00011,0.002908,0.003376,0.009874
0.003128,-0.000573,0.001949,0.00251,0.008902
0.00205,-0.001077,0.001064,0.001739,0.00766
0.000864,-0.001432,0.000229,0.001063,0.006372
-0.000445,-0.001943,-0.000486,0.000485,0.005141
-0.001716,-0.002463,-0.001248,-0.000178,0.003857
-0.002993,-0.003017,-0.002078,-0.000839,0.002545
-0.004175,-0.003782,-0.002854,-0.001546,0.001183
-0.005295,-0.0048,-0.003644,-0.002458,-0.000121
-0.00646,-0.006182,-0.004646,-0.003517,-0.001495
-0.007544,-0.007808,-0.005977,-0.004898,-0.002903
-0.008733,-0.009904,-0.007625,-0.006615,-0.004488
-0.010036,-0.012239,-0.009641,-0.008748,-0.006278
-0.011549,-0.014718,-0.011954,-0.011314,-0.008305
-0.013268,-0.017448,-0.01455,-0.013995,-0.010465
-0.015154,-0.020257,-0.017235,-0.016762,-0.012723
-0.017127,-0.023019,-0.020053,-0.019533,-0.015094
-0.019177,-0.025649,-0.02283,-0.022197,-0.017457
-0.021211,-0.028064,-0.025576,-0.024651,-0.0198
-0.02315,-0.030265,-0.02811,-0.026827,-0.022111
-0.02493,-0.032107,-0.030438,-0.028781,-0.024241
-0.026617,-0.033749,-0.03241,-0.030536,-0.026182
-0.028115,-0.035038,-0.034237,-0.03217,-0.028011
-0.029464,-0.036207,-0.035683,-0.033653,-0.029755
-0.030683,-0.037358,-0.037056,-0.035007,-0.031404
-0.031851,-0.038343,-0.038291,-0.036187,-0.032909
-0.032988,-0.03928,-0.039438,-0.03721,-0.034399
-0.034178,-0.040176,-0.040528,-0.038042,-0.035846
-0.035322,-0.04108,-0.041601,-0.038899,-0.037326
-0.036429,-0.041946,-0.042511,-0.03955,-0.038672
-0.037462,-0.042847,-0.043474,-0.040217,-0.039973
-0.038439,-0.043784,-0.044343,-0.040779,-0.041244
-0.039399,-0.044892,-0.045081,-0.041415,-0.042353
-0.040402,-0.046086,-0.045944,-0.042352,-0.043375
-0.041503,-0.047474,-0.046864,-0.043526,-0.044334
-0.042759,-0.048902,-0.047824,-0.044723,-0.045258
-0.044163,-0.050448,-0.048951,-0.045981,-0.046212
-0.045679,-0.051902,-0.050136,-0.04712,-0.047273
-0.047071,-0.053027,-0.051248,-0.047973,-0.048376
-0.048081,-0.053503,-0.052025,-0.048355,-0.049285
-0.04853,-0.053212,-0.052232,-0.048248,-0.049767
-0.048264,-0.052165,-0.051743,-0.047547,-0.04962
-0.047214,-0.050299,-0.050508,-0.04632,-0.048578
-0.045594,-0.047739,-0.048384,-0.044551,-0.046718
-0.043387,-0.044675,-0.045589,-0.042263,-0.044024
-0.040803,-0.041289,-0.04232,-0.039612,-0.040733
-0.038059,-0.037808,-0.038812,-0.036838,-0.037181
-0.035308,-0.034631,-0.035467,-0.033881,-0.03366
-0.032726,-0.031693,-0.032319,-0.031111,-0.030415
-0.030198,-0.029274,-0.029728,-0.028467,-0.027725
-0.027896,-0.027463,-0.027655,-0.026088,-0.025577
-0.025889,-0.025881,-0.026227,-0.024068,-0.024149
-0.024178,-0.02474,-0.025332,-0.022396,-0.023428
-0.022856,-0.023676,-0.025058,-0.021066,-0.023252
