"V1","V2","V3","V4","V5"
-0.002612,0.005873,0.008732,-0.000601,-0.004832
0.002632,0.0102,0.01541,0.005559,0.000135
0.007532,0.014529,0.021899,0.012268,0.005837
0.011732,0.018454,0.027592,0.01874,0.011971
0.015014,0.021458,0.032138,0.024412,0.017875
0.017163,0.023347,0.035103,0.028656,0.022796
0.018333,0.024086,0.036332,0.031237,0.026218
0.019011,0.024123,0.036386,0.032702,0.028267
0.019774,0.024117,0.036021,0.033652,0.029377
0.021207,0.02466,0.035987,0.034531,0.030149
0.023627,0.026165,0.03684,0.035793,0.030986
0.026833,0.02854,0.038751,0.037575,0.032186
0.030555,0.031725,0.041704,0.039964,0.034007
0.034386,0.035392,0.045473,0.042989,0.036477
0.038155,0.039313,0.049918,0.046677,0.039643
0.041868,0.04335,0.054644,0.050839,0.043444
0.045636,0.047255,0.059525,0.055319,0.047746
0.049345,0.051022,0.064201,0.059775,0.052298
0.052681,0.054257,0.06846,0.063887,0.056553
0.055375,0.056975,0.071838,0.067182,0.060056
0.057341,0.059051,0.074055,0.069533,0.062627
0.058713,0.060624,0.075156,0.070889,0.064191
0.059657,0.061795,0.075238,0.071422,0.065063
0.060524,0.062701,0.074628,0.071344,0.065535
0.061529,0.063547,0.073557,0.070972,0.065829
0.062838,0.064173,0.072363,0.07057,0.066191
0.064239,0.06474,0.071249,0.070294,0.066582
0.065667,0.065136,0.070318,0.070095,0.067
0.066744,0.06551,0.069535,0.069926,0.067274
0.067352,0.065734,0.068684,0.069569,0.067377
0.067513,0.065771,0.067658,0.069117,0.067271
0.067332,0.065671,0.06648,0.06849,0.067086
0.067037,0.065401,0.065036,0.067765,0.066833
0.066867,0.06505,0.063386,0.067107,0.066615
0.066888,0.064654,0.061674,0.066531,0.06639
0.066963,0.064363,0.06008,0.06612,0.066422
0.067088,0.064218,0.058657,0.06588,0.066486
0.067169,0.064268,0.05758,0.065795,0.066615
0.067312,0.064385,0.056891,0.065886,0.066784
0.06751,0.064582,0.056446,0.065985,0.066992
0.067707,0.064632,0.056268,0.06608,0.067147
0.067728,0.064674,0.056182,0.066093,0.067185
0.067584,0.064596,0.056082,0.065924,0.066958
0.067204,0.064452,0.05592,0.065521,0.066474
0.066566,0.064296,0.055778,0.064802,0.065686
0.065591,0.064042,0.055581,0.063874,0.064752
0.064549,0.063739,0.055344,0.062724,0.063873
0.063323,0.063471,0.05505,0.061795,0.063149
0.062116,0.063294,0.054713,0.061213,0.062542
0.061304,0.06312,0.0544,0.060715,0.062021
0.060724,0.062974,0.054,0.060328,0.061635
0.060393,0.062892,0.053718,0.060144,0.061301
0.060276,0.062762,0.053835,0.060167,0.061123
0.060306,0.062636,0.054371,0.060308,0.060997
0.060446,0.062714,0.055092,0.060579,0.060942
0.060724,0.063087,0.055929,0.060974,0.061037
0.06113,0.063571,0.056789,0.061422,0.061199
0.061612,0.064097,0.057688,0.061903,0.061473
0.062183,0.064459,0.058574,0.062412,0.061725
0.062902,0.0648,0.059517,0.062882,0.061961
0.063711,0.06509,0.060494,0.063171,0.06222
0.064582,0.065414,0.061371,0.063415,0.062495
0.065457,0.065542,0.062138,0.063648,0.062658
0.066237,0.065455,0.062767,0.063776,0.062822
0.066912,0.06524,0.063148,0.06376,0.063015
0.06745,0.064859,0.063363,0.06373,0.063198
0.06785,0.064442,0.063508,0.063786,0.063285
0.067997,0.064056,0.063521,0.063863,0.063377
0.067945,0.063648,0.063428,0.063986,0.063431
0.067743,0.063218,0.063301,0.064002,0.063276
0.067309,0.062869,0.063141,0.063908,0.062923
0.066682,0.062423,0.06286,0.063768,0.062486
0.065922,0.061884,0.062503,0.063459,0.061951
0.064972,0.061262,0.062019,0.062888,0.06131
0.063866,0.06039,0.061376,0.06212,0.06054
0.062457,0.059201,0.060598,0.060901,0.0597
0.060771,0.057645,0.059527,0.059429,0.058719
0.05885,0.055787,0.058187,0.05769,0.057521
0.056669,0.053546,0.056548,0.055736,0.056097
0.054218,0.05105,0.054634,0.053594,0.054392
0.051669,0.048346,0.052393,0.051238,0.052368
0.049007,0.045591,0.049959,0.048822,0.050056
0.046407,0.042747,0.047422,0.046395,0.047589
0.043965,0.040046,0.044889,0.044187,0.045077
0.041804,0.037588,0.042581,0.042094,0.042625
0.039873,0.035475,0.040568,0.040171,0.040333
0.03807,0.033763,0.038773,0.03834,0.038059
0.036381,0.032342,0.037102,0.036562,0.035884
0.034535,0.031101,0.035439,0.034656,0.033694
0.032421,0.029826,0.03361,0.032467,0.031378
0.029871,0.028274,0.031413,0.029892,0.028748
0.026665,0.026181,0.028645,0.02682,0.025651
0.022804,0.023423,0.02517,0.023331,0.021948
0.01818,0.020019,0.021001,0.019362,0.017633
0.01311,0.016123,0.016299,0.015105,0.012772
0.007735,0.011891,0.011253,0.010828,0.007686
0.002506,0.00778,0.006136,0.006595,0.002798
-0.002088,0.003791,0.001309,0.002641,-0.001568
-0.005881,0.000265,-0.003021,-0.000848,-0.005201
-0.008773,-0.002877,-0.00663,-0.003715,-0.007981
-0.010828,-0.005944,-0.00949,-0.006061,-0.010176
