V1, V2, V3, V4, V5
-0.280747500,-0.285285000,-0.635200500,-0.383196000,-0.242401500
-0.285318000,-0.327657000,-0.622347000,-0.427168500,-0.293617500
-0.279757500,-0.361003500,-0.584034000,-0.460152000,-0.348034500
-0.257152500,-0.376315500,-0.516433500,-0.473302500,-0.394647000
-0.210045000,-0.358446000,-0.417070500,-0.454129500,-0.420502500
-0.143731500,-0.306619500,-0.288255000,-0.400224000,-0.413209500
-0.067732500,-0.227733000,-0.140101500,-0.312526500,-0.363396000
0.003861000,-0.133237500,0.006897000,-0.203890500,-0.279477000
0.060175500,-0.039847500,0.136389000,-0.086130000,-0.173233500
0.098142000,0.042619500,0.238260000,0.026169000,-0.058872000
0.112827000,0.104197500,0.306273000,0.122232000,0.052206000
0.110962500,0.140827500,0.336517500,0.191383500,0.142840500
0.095931000,0.148714500,0.333580500,0.230703000,0.200805000
0.075108000,0.132610500,0.300366000,0.237369000,0.221628000
0.050919000,0.099940500,0.248176500,0.216315000,0.206976000
0.024288000,0.057354000,0.184915500,0.175461000,0.162211500
-0.007342500,0.012886500,0.117463500,0.124195500,0.100749000
-0.041563500,-0.030343500,0.049879500,0.067402500,0.029931000
-0.077682000,-0.068838000,-0.013233000,0.006237000,-0.039369000
-0.110368500,-0.103521000,-0.072270000,-0.054862500,-0.101722500
-0.141933000,-0.133023000,-0.126241500,-0.113932500,-0.154803000
-0.171979500,-0.158499000,-0.175873500,-0.168465000,-0.196465500
-0.202158000,-0.181186500,-0.223641000,-0.215704500,-0.231016500
-0.227782500,-0.198610500,-0.266095500,-0.251559000,-0.259099500
-0.245701500,-0.211893000,-0.300795000,-0.278206500,-0.281292000
-0.249562500,-0.218014500,-0.323895000,-0.291076500,-0.297643500
-0.241296000,-0.214896000,-0.335313000,-0.292842000,-0.304936500
-0.223905000,-0.202174500,-0.333910500,-0.280203000,-0.301884000
-0.199996500,-0.182803500,-0.322839000,-0.260172000,-0.287562000
-0.174058500,-0.159934500,-0.303682500,-0.230043000,-0.263389500
-0.145315500,-0.133996500,-0.276589500,-0.196680000,-0.232914000
-0.115450500,-0.104593500,-0.243589500,-0.162063000,-0.198693000
-0.087763500,-0.075388500,-0.207025500,-0.124014000,-0.163234500
-0.061363500,-0.045969000,-0.167409000,-0.085767000,-0.127545000
-0.035937000,-0.018364500,-0.123865500,-0.049648500,-0.091971000
-0.013761000,0.007012500,-0.082318500,-0.017704500,-0.057618000
0.003580500,0.028611000,-0.043708500,0.006847500,-0.024964500
0.014899500,0.044715000,-0.012342000,0.026697000,0.002986500
0.022060500,0.055027500,0.010560000,0.039055500,0.026466000
0.024354000,0.058938000,0.027126000,0.045985500,0.041761500
0.021483000,0.059598000,0.036085500,0.047520000,0.051397500
0.011352000,0.053955000,0.041860500,0.043609500,0.054879000
-0.006402000,0.047520000,0.044979000,0.036102000,0.052635000
-0.025987500,0.038626500,0.045309000,0.024189000,0.042982500
-0.045622500,0.028413000,0.044616000,0.009520500,0.028033500
-0.061429500,0.020229000,0.042619500,-0.006715500,0.011896500
-0.074431500,0.012292500,0.039732000,-0.021367500,-0.000346500
-0.081444000,0.005890500,0.035739000,-0.029502000,-0.007342500
-0.082170000,0.000478500,0.031234500,-0.031581000,-0.011236500
-0.071890500,-0.000775500,0.027637500,-0.028693500,-0.010263000
-0.056677500,-0.001584000,0.023364000,-0.022060500,-0.003894000
-0.038824500,-0.000594000,0.016929000,-0.013629000,0.002689500
-0.023562000,-0.000924000,0.014569500,-0.004653000,0.010461000
-0.009058500,-0.003102000,0.015823500,0.004735500,0.018001500
0.003498000,-0.003696000,0.017226000,0.013893000,0.024585000
0.014289000,0.000297000,0.018331500,0.023298000,0.028611000
0.024717000,0.005940000,0.021417000,0.028660500,0.031614000
0.034518000,0.010345500,0.026251500,0.029518500,0.031234500
0.043675500,0.015361500,0.031713000,0.028743000,0.031119000
0.051612000,0.017440500,0.037092000,0.027687000,0.031201500
0.057700500,0.017869500,0.041613000,0.030261000,0.034138500
0.062749500,0.016978500,0.043675500,0.033214500,0.036877500
0.064878000,0.016186500,0.042586500,0.033693000,0.040177500
0.066066000,0.015642000,0.040771500,0.034122000,0.042702000
0.066808500,0.016846500,0.035805000,0.035095500,0.043065000
0.065389500,0.017787000,0.032356500,0.034699500,0.041233500
0.060736500,0.019437000,0.026235000,0.032158500,0.039055500
0.052965000,0.019833000,0.019536000,0.029040000,0.033627000
0.043428000,0.021813000,0.012820500,0.024915000,0.025954500
0.030277500,0.020443500,0.008662500,0.022291500,0.015576000
0.014767500,0.017968500,0.004471500,0.017242500,0.004900500
-0.001666500,0.015262500,0.001237500,0.011253000,-0.004801500
-0.018859500,0.009438000,0.000082500,0.004818000,-0.016533000
-0.035491500,0.002722500,-0.002029500,-0.002557500,-0.027357000
-0.050952000,-0.006946500,-0.004851000,-0.012936000,-0.036993000
-0.063046500,-0.020526000,-0.009751500,-0.022770000,-0.044253000
-0.075768000,-0.034947000,-0.017209500,-0.035310000,-0.052701000
-0.084925500,-0.053262000,-0.028495500,-0.051727500,-0.058756500
-0.091938000,-0.071131500,-0.040722000,-0.071098500,-0.063739500
-0.096822000,-0.089842500,-0.054499500,-0.089694000,-0.067930500
-0.097746000,-0.106606500,-0.068689500,-0.104296500,-0.072666000
-0.094429500,-0.120285000,-0.081543000,-0.112381500,-0.076015500
-0.088506000,-0.128403000,-0.092004000,-0.112810500,-0.078078000
-0.077665500,-0.129838500,-0.097416000,-0.105171000,-0.080487000
-0.060208500,-0.124261500,-0.099132000,-0.087730500,-0.078639000
-0.037273500,-0.111078000,-0.092449500,-0.064432500,-0.070867500
-0.009900000,-0.092944500,-0.078523500,-0.037785000,-0.056463000
0.016450500,-0.070636500,-0.060505500,-0.009718500,-0.038791500
0.041233500,-0.046002000,-0.038610000,0.013480500,-0.022291500
0.059763000,-0.019750500,-0.015592500,0.034122000,-0.007243500
0.074844000,0.007111500,0.006996000,0.050044500,0.006418500
0.084034500,0.034369500,0.030937500,0.063112500,0.015559500
0.089611500,0.056776500,0.053592000,0.070026000,0.024073500
0.093505500,0.077929500,0.075289500,0.075652500,0.032488500
0.097779000,0.096904500,0.095353500,0.079926000,0.042355500
0.100848000,0.116556000,0.111903000,0.083110500,0.051579000
0.102778500,0.135382500,0.127528500,0.088737000,0.057684000
0.106161000,0.156321000,0.140068500,0.095122500,0.062914500
0.111210000,0.174603000,0.152625000,0.103735500,0.070257000
0.116011500,0.194568000,0.163828500,0.113503500,0.078886500
0.119971500,0.214384500,0.175543500,0.121819500,0.092152500
