V1, V2, V3, V4, V5
-0.005989500,0.003844500,-0.013216500,-0.010395000,-0.001584000
-0.006484500,0.002425500,-0.010378500,-0.010131000,-0.001353000
-0.006814500,0.000478500,-0.007458000,-0.009636000,-0.001171500
-0.006930000,-0.002161500,-0.004702500,-0.008745000,-0.001584000
-0.006616500,-0.004917000,-0.002128500,-0.007144500,-0.002161500
-0.004752000,-0.006303000,0.001683000,-0.003630000,-0.001584000
-0.001056000,-0.006154500,0.006814500,0.001237500,0.000214500
0.002772000,-0.004900500,0.011946000,0.005890500,0.002343000
0.006220500,-0.003399000,0.015526500,0.009174000,0.003498000
0.009207000,-0.001303500,0.017523000,0.010873500,0.004059000
0.010906500,0.001056000,0.017028000,0.010741500,0.003844500
0.010906500,0.003234000,0.014338500,0.008877000,0.002772000
0.009025500,0.004686000,0.009999000,0.006204000,0.001023000
0.005676000,0.004900500,0.004983000,0.003399000,-0.001023000
0.001468500,0.004389000,0.000148500,0.000891000,-0.003151500
-0.001996500,0.003432000,-0.003894000,-0.000693000,-0.004966500
-0.003613500,0.002640000,-0.006451500,-0.001765500,-0.005956500
-0.003118500,0.002376000,-0.007788000,-0.002013000,-0.006187500
-0.000957000,0.002442000,-0.008563500,-0.002326500,-0.005577000
0.001122000,0.002112000,-0.009537000,-0.003316500,-0.005412000
0.001765500,0.000957000,-0.011368500,-0.005478000,-0.006385500
0.000726000,-0.000825000,-0.014107500,-0.008679000,-0.009190500
-0.001864500,-0.002508000,-0.017473500,-0.012144000,-0.013348500
-0.004719000,-0.003234000,-0.020064000,-0.014173500,-0.017803500
-0.006715500,-0.001980000,-0.020740500,-0.013678500,-0.021301500
-0.006880500,0.001798500,-0.018595500,-0.010279500,-0.022522500
-0.004719000,0.008596500,-0.013497000,-0.004356000,-0.020674500
-0.000445500,0.017226000,-0.006435000,0.003036000,-0.015642000
0.005956500,0.026598000,0.001320000,0.010461000,-0.007903500
0.013678500,0.035260500,0.008910000,0.017028000,0.001666500
0.021400500,0.042454500,0.015543000,0.022324500,0.011550000
0.027901500,0.048526500,0.021004500,0.026664000,0.021054000
0.032983500,0.053625000,0.025476000,0.030640500,0.029436000
0.037075500,0.058162500,0.029634000,0.034914000,0.036531000
0.041019000,0.062634000,0.033759000,0.040128000,0.043345500
0.044649000,0.067171500,0.037785000,0.046266000,0.049813500
0.047998500,0.071577000,0.042339000,0.053311500,0.056545500
0.051727500,0.076197000,0.047305500,0.060670500,0.063723000
0.056067000,0.080305500,0.052486500,0.068013000,0.070966500
0.061017000,0.084381000,0.057552000,0.074943000,0.078210000
0.066478500,0.088192500,0.062551500,0.081279000,0.085338000
0.071296500,0.092037000,0.067633500,0.086889000,0.092301000
0.075306000,0.096261000,0.072781500,0.092152500,0.099165000
0.079315500,0.100699500,0.078028500,0.097317000,0.105253500
0.084430500,0.106062000,0.083572500,0.102762000,0.111177000
0.090436500,0.111969000,0.089067000,0.108388500,0.116622000
0.096673500,0.117859500,0.094611000,0.114064500,0.121918500
0.102861000,0.123436500,0.100551000,0.119229000,0.126802500
0.108999000,0.128832000,0.106920000,0.123997500,0.131241000
0.115698000,0.134706000,0.113107500,0.129211500,0.135135000
0.123106500,0.141553500,0.119295000,0.135250500,0.139293000
0.129987000,0.148236000,0.125070000,0.141867000,0.144523500
0.135894000,0.154671000,0.130531500,0.147279000,0.149226000
0.141273000,0.160578000,0.135300000,0.151998000,0.152509500
0.146421000,0.165775500,0.139821000,0.156931500,0.154242000
0.151486500,0.170412000,0.143863500,0.161766000,0.155611500
0.156370500,0.174322500,0.147691500,0.165825000,0.156766500
0.161749500,0.178101000,0.151222500,0.168927000,0.158053500
0.167574000,0.181731000,0.154836000,0.171336000,0.159192000
0.173101500,0.185806500,0.158086500,0.173728500,0.159819000
0.177820500,0.190096500,0.161040000,0.176550000,0.160512000
0.181962000,0.194205000,0.164109000,0.179206500,0.161947500
0.185724000,0.198396000,0.167244000,0.181764000,0.164191500
0.189354000,0.202801500,0.170610000,0.184338000,0.166419000
0.193083000,0.207504000,0.174042000,0.186945000,0.168316500
0.196647000,0.212487000,0.177688500,0.189403500,0.170395500
0.199947000,0.217239000,0.181368000,0.191614500,0.172854000
0.203412000,0.221694000,0.184965000,0.193594500,0.175510500
0.206745000,0.225835500,0.188661000,0.195046500,0.178348500
0.209962500,0.229515000,0.192159000,0.196218000,0.181005000
0.213279000,0.232831500,0.195574500,0.197241000,0.183793500
0.216496500,0.235471500,0.198726000,0.197934000,0.186565500
0.219549000,0.237270000,0.201679500,0.198412500,0.189040500
0.222139500,0.238260000,0.203989500,0.198676500,0.191367000
0.224317500,0.238705500,0.205524000,0.198627000,0.192918000
0.226198500,0.238606500,0.206134500,0.198462000,0.194073000
0.227403000,0.237781500,0.206349000,0.197884500,0.194683500
0.228195000,0.236461500,0.205936500,0.196597500,0.194997000
0.228376500,0.234217500,0.205128000,0.194700000,0.194931000
0.227716500,0.230967000,0.203313000,0.192406500,0.194419500
0.226198500,0.226644000,0.200656500,0.189469500,0.193413000
0.223245000,0.221248500,0.196713000,0.186153000,0.191515500
0.218724000,0.214731000,0.191433000,0.182193000,0.188760000
0.212685000,0.206893500,0.184866000,0.177408000,0.184470000
0.204897000,0.198049500,0.176962500,0.171715500,0.178728000
0.195162000,0.188034000,0.167755500,0.164868000,0.171270000
0.183397500,0.176781000,0.156997500,0.156535500,0.162046500
0.169240500,0.164356500,0.144903000,0.146355000,0.150876000
0.152856000,0.150348000,0.131175000,0.134062500,0.137511000
0.134788500,0.135184500,0.116127000,0.119988000,0.121885500
0.116028000,0.119014500,0.100353000,0.104494500,0.104824500
0.097383000,0.102415500,0.084447000,0.088473000,0.086641500
0.079282500,0.085536000,0.069118500,0.072138000,0.068046000
0.062271000,0.068673000,0.054417000,0.055803000,0.050028000
0.046150500,0.051595500,0.040161000,0.039517500,0.032389500
0.030789000,0.035194500,0.026185500,0.023991000,0.015823500
0.016153500,0.019470000,0.013002000,0.009454500,0.000330000
0.002623500,0.005956500,0.001336500,-0.003514500,-0.013117500
-0.008547000,-0.004884000,-0.008019000,-0.014272500,-0.023842500
-0.016450500,-0.012441000,-0.014388000,-0.022225500,-0.031152000
-0.021087000,-0.016417500,-0.017259000,-0.026301000,-0.034534500
