"V1","V2","V3","V4","V5"
-0.00093,-0.000764,-0.000787,-0.00086,-0.000795
-0.001707,-0.001524,-0.00167,-0.001729,-0.001578
-0.002763,-0.002529,-0.002828,-0.002861,-0.002578
-0.004097,-0.003775,-0.004237,-0.004237,-0.00377
-0.005666,-0.005234,-0.005834,-0.005797,-0.005093
-0.007369,-0.006832,-0.007515,-0.007439,-0.006459
-0.009073,-0.008464,-0.009165,-0.00904,-0.007767
-0.01065,-0.010026,-0.010688,-0.010499,-0.008938
-0.012006,-0.011439,-0.012017,-0.011739,-0.009917
-0.013078,-0.012631,-0.013096,-0.012688,-0.010666
-0.01382,-0.01354,-0.013885,-0.013287,-0.011148
-0.014221,-0.014133,-0.014368,-0.01351,-0.011344
-0.014304,-0.01441,-0.014561,-0.013368,-0.011252
-0.014116,-0.014398,-0.014497,-0.012893,-0.010887
-0.01371,-0.014128,-0.01421,-0.012124,-0.010276
-0.013137,-0.013626,-0.013729,-0.011095,-0.009437
-0.012445,-0.012916,-0.013079,-0.009837,-0.008389
-0.011676,-0.012023,-0.01228,-0.008377,-0.007148
-0.01086,-0.010977,-0.011343,-0.00673,-0.005727
-0.010006,-0.009796,-0.010272,-0.004903,-0.00414
-0.009108,-0.008492,-0.009061,-0.002893,-0.002396
-0.008143,-0.00707,-0.0077,-0.000704,-0.000503
-0.007083,-0.005532,-0.006179,0.001655,0.001527
-0.005898,-0.003884,-0.004491,0.004167,0.003679
-0.004561,-0.00213,-0.002634,0.006813,0.005937
-0.003053,-0.000277,-0.000614,0.009568,0.008285
-0.001365,0.001668,0.001554,0.012402,0.010706
5e-04,0.00369,0.003849,0.015285,0.013183
0.002527,0.005773,0.006245,0.018185,0.0157
0.004693,0.007898,0.008713,0.021073,0.018243
0.006971,0.010044,0.011221,0.023922,0.020801
0.009333,0.012194,0.013744,0.02671,0.023366
0.011752,0.014329,0.016258,0.029416,0.025932
0.014201,0.016438,0.018745,0.032028,0.028497
0.016659,0.01851,0.021193,0.034532,0.03106
0.019109,0.020541,0.023597,0.036922,0.033619
0.021536,0.022529,0.025954,0.039194,0.036171
0.02393,0.024477,0.028267,0.041348,0.038712
0.026285,0.026385,0.030537,0.043387,0.041234
0.028597,0.028254,0.032767,0.045317,0.043728
0.030865,0.030085,0.034955,0.047146,0.046179
0.033086,0.031879,0.037098,0.048884,0.048577
0.03526,0.033641,0.039192,0.050544,0.050908
0.03739,0.035379,0.041236,0.052143,0.053163
0.039477,0.037108,0.043231,0.053697,0.055335
0.04153,0.038843,0.045182,0.055225,0.057423
0.043559,0.040607,0.047095,0.056742,0.059427
0.045575,0.042421,0.048979,0.058262,0.061349
0.047594,0.044299,0.050841,0.059789,0.063191
0.049629,0.046244,0.052683,0.061325,0.064955
0.051683,0.048256,0.054507,0.062872,0.066639
0.053759,0.050325,0.056312,0.064429,0.068242
0.055854,0.052444,0.058098,0.065999,0.069759
0.057962,0.054599,0.059869,0.067586,0.07119
0.060079,0.05678,0.06163,0.069196,0.072541
0.062201,0.05898,0.063389,0.070833,0.073821
0.064323,0.061191,0.065152,0.0725,0.075046
0.066441,0.06341,0.066928,0.074201,0.076229
0.068554,0.065629,0.068723,0.075935,0.077384
0.07066,0.067845,0.070544,0.077703,0.078527
0.072756,0.070054,0.072395,0.079496,0.079668
0.074839,0.072249,0.074276,0.081305,0.08082
0.076903,0.074418,0.076187,0.083116,0.081992
0.078938,0.076549,0.078119,0.084914,0.083186
0.080939,0.078629,0.080058,0.086678,0.084402
0.082895,0.080646,0.081981,0.088383,0.085636
0.084797,0.082585,0.083861,0.090005,0.08688
0.086633,0.084434,0.085674,0.091518,0.088121
0.088388,0.086179,0.087393,0.092893,0.08934
0.090048,0.087808,0.088996,0.094102,0.090518
0.091598,0.089307,0.090457,0.095121,0.091628
0.09302,0.090663,0.091753,0.095925,0.09264
0.094296,0.09186,0.092859,0.096497,0.093521
0.095408,0.092882,0.093751,0.096815,0.094237
0.096333,0.093708,0.094402,0.09686,0.094752
0.097046,0.094315,0.094784,0.096612,0.095031
0.09752,0.094677,0.094863,0.096051,0.095035
0.097718,0.09476,0.094605,0.095158,0.094726
0.097599,0.094525,0.093975,0.093906,0.094062
0.097112,0.093927,0.092937,0.092268,0.092998
0.096199,0.092917,0.091452,0.090208,0.091483
0.0948,0.09144,0.089484,0.08769,0.089466
0.092844,0.089438,0.086994,0.084677,0.086895
0.090263,0.086853,0.083949,0.081137,0.083729
0.086988,0.083635,0.080325,0.077048,0.079943
0.082969,0.079751,0.076111,0.072411,0.07553
0.078181,0.075187,0.071315,0.067251,0.070512
0.072638,0.06996,0.06597,0.061619,0.064938
0.066395,0.064119,0.060135,0.055596,0.05889
0.059559,0.057752,0.053898,0.049289,0.052482
0.052285,0.050988,0.047381,0.042836,0.045855
0.044776,0.043991,0.040733,0.036391,0.039172
0.037263,0.036951,0.034123,0.030113,0.032603
0.029993,0.030079,0.02773,0.024156,0.026321
0.023192,0.023585,0.021732,0.018661,0.020479
0.017058,0.017657,0.016281,0.013743,0.015214
0.011738,0.01245,0.011499,0.009489,0.010631
0.007321,0.008069,0.007462,0.005941,0.006784
0.003819,0.004546,0.004193,0.00309,0.003674
0.00117,0.001837,0.00166,0.00088,0.001256
-0.000731,-0.000158,-0.000213,-0.000764,-0.000541
