"V1","V2","V3","V4","V5"
0.010578,0.016309,0.007984,0.015147,0.005276
0.018822,0.020136,0.011694,0.017755,0.006028
0.02636,0.02419,0.016551,0.02089,0.008369
0.032062,0.027642,0.0219,0.024063,0.011854
0.034815,0.029424,0.026853,0.026497,0.01589
0.033547,0.028596,0.030079,0.027232,0.019546
0.028566,0.0247,0.030782,0.025926,0.022228
0.021537,0.018603,0.029444,0.02332,0.023854
0.015082,0.01237,0.027281,0.020743,0.025187
0.011564,0.008297,0.02582,0.019715,0.027055
0.012441,0.008437,0.026261,0.021368,0.03013
0.01812,0.013679,0.029221,0.026032,0.034537
0.027555,0.023415,0.034519,0.033048,0.039813
0.038649,0.035474,0.041134,0.041018,0.045331
0.049252,0.047338,0.047769,0.048453,0.050173
0.057654,0.056953,0.053158,0.053825,0.053504
0.062696,0.062841,0.056409,0.056431,0.054694
0.063969,0.064326,0.056958,0.056021,0.053478
0.061492,0.061365,0.054631,0.052505,0.049996
0.055896,0.054605,0.049828,0.046353,0.044618
0.047997,0.045353,0.043168,0.038692,0.038186
0.039274,0.035268,0.03573,0.030879,0.031617
0.030999,0.026151,0.028691,0.024054,0.025908
0.024426,0.019329,0.023054,0.019209,0.021544
0.020359,0.015556,0.019384,0.016814,0.019144
0.01891,0.014603,0.01799,0.016761,0.018645
0.019638,0.015962,0.018575,0.018392,0.019685
0.021817,0.018558,0.020727,0.020885,0.021733
0.024653,0.021456,0.023438,0.02343,0.024018
0.027429,0.02399,0.025935,0.025205,0.02602
0.029468,0.025467,0.027667,0.025721,0.027216
0.030339,0.025611,0.02826,0.024978,0.027424
0.029844,0.02447,0.027702,0.023026,0.026517
0.028168,0.022318,0.026113,0.020289,0.024546
0.025533,0.019536,0.02371,0.017085,0.021665
0.022276,0.016732,0.02081,0.013905,0.018326
0.018957,0.014061,0.017774,0.011116,0.015035
0.016009,0.011776,0.014811,0.009021,0.012253
0.01364,0.009956,0.012189,0.007692,0.010071
0.011889,0.00861,0.010276,0.007023,0.008402
0.01081,0.007666,0.009067,0.00676,0.007327
0.010502,0.007166,0.008396,0.006861,0.006716
0.010504,0.007189,0.008171,0.007161,0.006416
0.010518,0.007487,0.008079,0.007443,0.006266
0.010649,0.00795,0.008105,0.007493,0.006102
0.01095,0.00838,0.008127,0.00732,0.005842
0.011129,0.008663,0.007896,0.006858,0.005483
0.01128,0.008576,0.007378,0.006035,0.004849
0.011201,0.00807,0.006558,0.00499,0.003985
0.010779,0.007316,0.005625,0.003791,0.00294
0.01003,0.006554,0.004781,0.002592,0.001741
0.009249,0.005743,0.003917,0.001525,0.000417
0.008478,0.005088,0.003063,0.000588,-0.000924
0.007661,0.004475,0.002179,-0.000301,-0.002087
0.006783,0.003897,0.001215,-0.001191,-0.003142
0.005829,0.003234,0.000166,-0.002133,-0.00427
0.004836,0.0024,-0.000894,-0.00326,-0.005533
0.003954,0.001331,-0.002005,-0.004517,-0.006902
0.003202,0.000198,-0.003134,-0.005851,-0.00821
0.002491,-0.001016,-0.004285,-0.007192,-0.009602
0.001696,-0.002397,-0.005401,-0.008584,-0.010887
0.000709,-0.003768,-0.006539,-0.010027,-0.012061
-0.000421,-0.005168,-0.007749,-0.011596,-0.013274
-0.001612,-0.006476,-0.008925,-0.013262,-0.014419
-0.002948,-0.007652,-0.010092,-0.015094,-0.015722
-0.004648,-0.008823,-0.011201,-0.017051,-0.01707
-0.006562,-0.010191,-0.012411,-0.019093,-0.018717
-0.008579,-0.011817,-0.013856,-0.021257,-0.020363
-0.010629,-0.013583,-0.015454,-0.023427,-0.022278
-0.012604,-0.015581,-0.017202,-0.025642,-0.024039
-0.014575,-0.017576,-0.018986,-0.027699,-0.025984
-0.016466,-0.019494,-0.020834,-0.029622,-0.027823
-0.018117,-0.021322,-0.022736,-0.031334,-0.029639
-0.019679,-0.02297,-0.024645,-0.032913,-0.031364
-0.021213,-0.024533,-0.026593,-0.03433,-0.032989
-0.0228,-0.026228,-0.028346,-0.035708,-0.034528
-0.024402,-0.027966,-0.029991,-0.037058,-0.035965
-0.025979,-0.029586,-0.031447,-0.038336,-0.037357
-0.027459,-0.031081,-0.032656,-0.039531,-0.038681
-0.028938,-0.032487,-0.033637,-0.040675,-0.039959
-0.030487,-0.033717,-0.034576,-0.041725,-0.041252
-0.032115,-0.035158,-0.035488,-0.042771,-0.04258
-0.033863,-0.036547,-0.036479,-0.043837,-0.044026
-0.035685,-0.037765,-0.037572,-0.045002,-0.045551
-0.03763,-0.039,-0.038661,-0.046017,-0.047027
-0.039643,-0.040271,-0.039739,-0.046861,-0.048137
-0.041567,-0.041368,-0.040663,-0.047292,-0.048768
-0.043106,-0.042393,-0.041297,-0.04735,-0.048737
-0.044017,-0.043009,-0.041434,-0.046976,-0.047987
-0.043894,-0.043068,-0.041157,-0.045906,-0.046377
-0.042785,-0.042538,-0.040042,-0.043926,-0.04398
-0.04077,-0.041124,-0.038211,-0.041269,-0.04091
-0.037861,-0.038986,-0.035698,-0.038024,-0.0375
-0.034369,-0.03601,-0.032469,-0.034439,-0.034024
-0.030536,-0.032457,-0.028977,-0.030733,-0.03064
-0.026637,-0.028706,-0.025409,-0.027071,-0.027538
-0.023015,-0.024865,-0.021966,-0.023519,-0.024712
-0.019535,-0.021023,-0.018837,-0.02019,-0.022284
-0.01636,-0.017366,-0.016114,-0.017239,-0.020388
-0.013647,-0.014196,-0.013882,-0.014809,-0.019015
-0.011721,-0.011748,-0.012085,-0.013246,-0.018109
