"V1","V2","V3","V4","V5"
-0.002419,-0.001689,-0.001461,-0.005386,-0.003596
-0.002786,5.4e-05,-8.4e-05,-0.003395,-0.001194
-0.002576,0.001862,0.001629,-0.000731,0.00116
-0.001238,0.00381,0.003809,0.002471,0.003509
0.001608,0.00615,0.006557,0.006217,0.005965
0.00574,0.008966,0.009518,0.010005,0.008442
0.010665,0.012036,0.012297,0.013424,0.010792
0.015666,0.01506,0.014786,0.016393,0.012721
0.020107,0.017872,0.017009,0.018728,0.014288
0.023353,0.02012,0.019143,0.02043,0.01554
0.025231,0.021682,0.021106,0.021459,0.016521
0.025935,0.022391,0.022866,0.022069,0.017452
0.026005,0.022602,0.02455,0.022613,0.018626
0.026117,0.022779,0.026367,0.023417,0.020321
0.026656,0.023497,0.028605,0.024833,0.02268
0.027962,0.025094,0.031477,0.026947,0.025728
0.030232,0.027802,0.03496,0.029859,0.029364
0.033396,0.031499,0.038874,0.03349,0.033415
0.037363,0.035923,0.042999,0.037793,0.037732
0.041931,0.040831,0.047173,0.042811,0.042326
0.047073,0.045889,0.051294,0.048253,0.047096
0.052505,0.050861,0.055281,0.05363,0.051759
0.057759,0.055585,0.058946,0.058394,0.056028
0.062478,0.059594,0.062088,0.061975,0.059659
0.066118,0.062567,0.064621,0.064234,0.062433
0.068496,0.064462,0.066395,0.06521,0.064148
0.069612,0.06537,0.067297,0.065158,0.064913
0.069707,0.065427,0.067513,0.064328,0.064812
0.068966,0.064985,0.067092,0.062996,0.064062
0.067704,0.06419,0.066176,0.06143,0.063039
0.066297,0.063208,0.064906,0.05987,0.061984
0.064809,0.062142,0.063437,0.058657,0.061124
0.063392,0.06109,0.061984,0.057881,0.060589
0.062192,0.06023,0.060743,0.057404,0.060435
0.061098,0.059555,0.059827,0.057388,0.060573
0.060245,0.059116,0.059213,0.057682,0.0609
0.059562,0.058925,0.058802,0.058106,0.061276
0.059134,0.058889,0.058663,0.058408,0.06154
0.05881,0.058898,0.058516,0.058364,0.06156
0.058575,0.058789,0.058264,0.057902,0.06129
0.058206,0.058493,0.057696,0.057049,0.060702
0.057633,0.057945,0.056927,0.055812,0.059728
0.056665,0.05718,0.05599,0.054275,0.058358
0.055425,0.056219,0.054987,0.052567,0.056705
0.053821,0.055084,0.053883,0.050887,0.055162
0.052064,0.053856,0.052644,0.049382,0.053806
0.050365,0.052493,0.05138,0.04805,0.052459
0.048665,0.0511,0.050148,0.046817,0.051166
0.047011,0.049858,0.048934,0.045821,0.050028
0.045699,0.04874,0.047845,0.045108,0.049027
0.044944,0.047817,0.046992,0.044696,0.048338
0.044628,0.04715,0.046226,0.04443,0.047944
0.044339,0.04676,0.045518,0.044136,0.047682
0.044122,0.046583,0.044909,0.043838,0.047437
0.044133,0.04649,0.044412,0.043756,0.047195
0.044388,0.046447,0.043969,0.043944,0.046984
0.044641,0.046343,0.043543,0.044422,0.046803
0.044963,0.046213,0.043167,0.045137,0.0467
0.045421,0.046098,0.042721,0.045991,0.046738
0.046037,0.046068,0.042392,0.047153,0.046931
0.046945,0.046303,0.042269,0.04844,0.047322
0.048037,0.046706,0.042261,0.049768,0.047905
0.04925,0.047194,0.04244,0.051136,0.048557
0.050324,0.047684,0.042973,0.052485,0.049323
0.051208,0.048213,0.043969,0.053829,0.050096
0.051966,0.048852,0.045219,0.054921,0.050789
0.052512,0.049631,0.046462,0.055493,0.051122
0.052857,0.050624,0.047531,0.055554,0.051094
0.053015,0.051585,0.048303,0.055317,0.050838
0.052876,0.052201,0.04878,0.05487,0.050386
0.05256,0.052492,0.048993,0.054037,0.049751
0.051929,0.052577,0.048659,0.052806,0.048997
0.050892,0.052494,0.047882,0.051356,0.04799
0.049547,0.052045,0.046891,0.049599,0.046776
0.048285,0.051223,0.04585,0.04771,0.04537
0.047229,0.050206,0.04472,0.045759,0.043766
0.046324,0.048934,0.043493,0.043864,0.042021
0.045655,0.047391,0.042023,0.041882,0.040106
0.044935,0.04557,0.04017,0.039623,0.038027
0.043794,0.043443,0.037826,0.037174,0.03571
0.042262,0.041162,0.035171,0.034496,0.033103
0.040422,0.038776,0.032251,0.031658,0.030351
0.038185,0.036243,0.029152,0.028749,0.027633
0.035811,0.033526,0.026102,0.025911,0.024991
0.03326,0.030778,0.023248,0.023161,0.022537
0.030465,0.028278,0.020619,0.020645,0.02034
0.027479,0.026107,0.018381,0.018411,0.018452
0.024497,0.024341,0.016523,0.016543,0.016746
0.022005,0.022888,0.015033,0.015083,0.015173
0.020242,0.021471,0.013792,0.013777,0.013623
0.019144,0.019573,0.012659,0.012291,0.011844
0.018115,0.017335,0.011472,0.010714,0.0099
0.017106,0.01507,0.010118,0.009083,0.007859
0.015705,0.012473,0.00845,0.007176,0.00583
0.01369,0.009476,0.006551,0.004977,0.003935
0.011168,0.006167,0.004619,0.002884,0.002088
0.008126,0.002771,0.002533,0.000854,0.000349
0.004371,-0.000698,6.2e-05,-0.001384,-0.001364
-0.000283,-0.004364,-0.002812,-0.004095,-0.002959
-0.005496,-0.008192,-0.006136,-0.007071,-0.004595
-0.010569,-0.011946,-0.00942,-0.009566,-0.006451
