"V1","V2","V3","V4","V5"
0.000101,-0.006347,-0.005055,-0.003391,-0.003914
-0.000202,-0.00498,-0.00564,-6.5e-05,-0.002212
0.000167,-0.003019,-0.005524,0.00359,-0.000305
0.001016,-0.000378,-0.004639,0.006961,0.001671
0.002409,0.002923,-0.003203,0.009802,0.003532
0.004207,0.006526,-0.001455,0.0116,0.004952
0.00563,0.009751,0.000306,0.012209,0.005613
0.005864,0.011903,0.001546,0.011332,0.005427
0.00453,0.012202,0.002,0.008872,0.00446
0.002041,0.010612,0.001583,0.005131,0.002907
-0.001047,0.007323,0.000647,0.000621,0.001145
-0.004316,0.002991,-0.000582,-0.004082,-0.000651
-0.007466,-0.001751,-0.001863,-0.008418,-0.002384
-0.010325,-0.006306,-0.003235,-0.012001,-0.004011
-0.012949,-0.010299,-0.004724,-0.014536,-0.00561
-0.015217,-0.013525,-0.006479,-0.015881,-0.00712
-0.016776,-0.015822,-0.008405,-0.016089,-0.008423
-0.017232,-0.016964,-0.010095,-0.015245,-0.009308
-0.016295,-0.016741,-0.011294,-0.013591,-0.009624
-0.014173,-0.015191,-0.01184,-0.011324,-0.009503
-0.01119,-0.012774,-0.011917,-0.009017,-0.009265
-0.008288,-0.01004,-0.011923,-0.007203,-0.009251
-0.006028,-0.007708,-0.012131,-0.00618,-0.009681
-0.005007,-0.006391,-0.012729,-0.006152,-0.010472
-0.005501,-0.006243,-0.013778,-0.007064,-0.011563
-0.007016,-0.007145,-0.015245,-0.008531,-0.012797
-0.009139,-0.00882,-0.01679,-0.010214,-0.013949
-0.011472,-0.010753,-0.018076,-0.011616,-0.0149
-0.013534,-0.012451,-0.018821,-0.01258,-0.015469
-0.015056,-0.013494,-0.018778,-0.012851,-0.015465
-0.01588,-0.013735,-0.017878,-0.012379,-0.014932
-0.01581,-0.01314,-0.016262,-0.011338,-0.013894
-0.014996,-0.011858,-0.014092,-0.009777,-0.012458
-0.01358,-0.010257,-0.011673,-0.007992,-0.01082
-0.011861,-0.008587,-0.00924,-0.006061,-0.009069
-0.009898,-0.00703,-0.007006,-0.004342,-0.007395
