"V1","V2","V3","V4","V5"
-0.008796,-0.010451,-0.010357,-0.010594,-0.009589
-0.009238,-0.009975,-0.009674,-0.009643,-0.008524
-0.009358,-0.009374,-0.008935,-0.008585,-0.007496
-0.008962,-0.008537,-0.008048,-0.007335,-0.006416
-0.007875,-0.00732,-0.006846,-0.005767,-0.005174
-0.005879,-0.005552,-0.005056,-0.003681,-0.003567
-0.002985,-0.003061,-0.002515,-0.00099,-0.001483
0.000546,5.9e-05,0.000646,0.00215,0.001043
0.004295,0.003496,0.004152,0.005489,0.003817
0.007875,0.006872,0.007691,0.008718,0.00663
0.011019,0.009825,0.01101,0.011588,0.00926
0.013617,0.012161,0.013965,0.014007,0.011611
0.015792,0.013939,0.01656,0.016051,0.013721
0.017809,0.015468,0.018935,0.017899,0.015675
0.019928,0.017113,0.02124,0.019723,0.017575
0.022314,0.019132,0.023612,0.021678,0.019499
0.025032,0.02165,0.026093,0.023787,0.021477
0.028042,0.024651,0.028693,0.026025,0.023496
0.031261,0.028029,0.031371,0.028366,0.025502
0.034541,0.03161,0.034047,0.030727,0.027461
0.037746,0.035179,0.036613,0.032958,0.029295
0.040684,0.038514,0.038943,0.034911,0.030913
0.043235,0.041399,0.040936,0.036498,0.03223
0.045285,0.043723,0.042526,0.037647,0.033253
0.046795,0.045429,0.043705,0.038329,0.033928
0.04777,0.046591,0.044471,0.038566,0.034304
0.048265,0.047255,0.044868,0.038425,0.034414
0.048349,0.04753,0.044932,0.037957,0.034287
0.04805,0.047484,0.044756,0.037199,0.03398
0.047403,0.047126,0.044388,0.036212,0.033526
0.046452,0.046485,0.043845,0.035045,0.032968
0.04523,0.045582,0.043132,0.033708,0.032302
0.043759,0.044405,0.042253,0.032226,0.031563
0.042036,0.042976,0.041215,0.030601,0.030756
0.040083,0.041322,0.040031,0.028856,0.029908
0.037948,0.039437,0.038705,0.026996,0.02899
0.035639,0.037402,0.037245,0.025048,0.027982
0.03321,0.035249,0.035681,0.023013,0.026856
0.030724,0.033032,0.034018,0.020924,0.025626
0.028225,0.030787,0.032224,0.01883,0.024316
0.025748,0.028556,0.030327,0.016787,0.022913
0.023305,0.026359,0.028376,0.014782,0.021442
0.020961,0.02418,0.026374,0.012839,0.019924
0.018738,0.022054,0.024378,0.010992,0.0184
0.016617,0.019991,0.022395,0.009276,0.016903
0.014593,0.018034,0.020451,0.007699,0.015435
0.012708,0.016215,0.018599,0.006302,0.014002
0.010946,0.014587,0.016862,0.005108,0.01265
0.00936,0.013139,0.015258,0.004086,0.011391
0.007974,0.011852,0.013758,0.003215,0.010231
0.006787,0.010681,0.01233,0.002455,0.009164
0.005733,0.009623,0.011006,0.001767,0.008204
0.004806,0.008618,0.009779,0.00113,0.007318
0.003987,0.007687,0.008656,0.000556,0.006453
0.003268,0.006821,0.007644,4.7e-05,0.005625
0.002649,0.006031,0.006757,-0.000401,0.004854
0.002112,0.005325,0.005973,-0.000773,0.004155
0.001626,0.004703,0.0053,-0.001086,0.003533
0.001202,0.004143,0.004696,-0.001331,0.002966
0.000851,0.003647,0.004163,-0.001511,0.002494
0.000596,0.003235,0.003715,-0.00162,0.002087
0.000438,0.002882,0.003384,-0.001652,0.001744
0.000352,0.002591,0.003191,-0.001582,0.001495
0.00031,0.002372,0.003109,-0.001418,0.001328
0.000319,0.002229,0.003147,-0.001147,0.001283
0.000439,0.002188,0.003271,-0.000767,0.001343
0.000661,0.002294,0.003503,-0.000278,0.001562
0.000975,0.002555,0.003867,0.000333,0.001888
0.001384,0.002949,0.004342,0.001051,0.002383
0.001882,0.003501,0.004926,0.001887,0.002968
0.002487,0.004186,0.005598,0.002821,0.003725
0.003199,0.004998,0.006353,0.003869,0.004601
0.004005,0.005936,0.007189,0.005016,0.005619
0.004937,0.006982,0.008097,0.006268,0.006748
0.006004,0.008136,0.0091,0.007596,0.007997
0.007213,0.009423,0.010151,0.009006,0.00934
0.008544,0.010816,0.011269,0.010478,0.010762
0.009982,0.012266,0.012434,0.011987,0.012272
0.011503,0.013764,0.013629,0.013515,0.013837
0.013109,0.015306,0.014846,0.015056,0.015453
0.014801,0.016858,0.016116,0.016581,0.017118
0.016552,0.018477,0.01742,0.018095,0.018807
0.018358,0.020091,0.018744,0.019581,0.020499
0.020195,0.021634,0.020071,0.021035,0.022169
0.022027,0.023129,0.021357,0.022382,0.023761
0.023797,0.02455,0.022571,0.023597,0.025207
0.025425,0.025816,0.023655,0.024599,0.026436
0.026796,0.02691,0.024537,0.025367,0.027368
0.027795,0.027706,0.025123,0.025833,0.027909
0.028279,0.028107,0.025358,0.025894,0.027938
0.028182,0.028025,0.025087,0.025444,0.027396
0.027421,0.027338,0.024259,0.024458,0.026232
0.02594,0.026031,0.022845,0.022938,0.024505
0.023803,0.024064,0.02084,0.020929,0.022302
0.021118,0.021522,0.018369,0.01853,0.01973
0.018072,0.018553,0.015566,0.015868,0.01694
0.014854,0.015291,0.012594,0.013086,0.014051
0.011587,0.011921,0.009619,0.010333,0.011218
0.008451,0.008642,0.006804,0.007748,0.008619
0.005616,0.005666,0.004307,0.00547,0.006347
0.003277,0.003171,0.002254,0.003643,0.004475
