V1, V2, V3, V4, V5
-0.009207000,0.001683000,-0.000445500,-0.007375500,-0.011599500
-0.008266500,0.002442000,-0.002541000,-0.006715500,-0.017572500
-0.004801500,0.005082000,-0.002458500,-0.002755500,-0.020988000
0.001435500,0.009471000,0.000000000,0.004356000,-0.021516000
0.010362000,0.015576000,0.005115000,0.014041500,-0.018892500
0.020905500,0.022786500,0.012474000,0.025344000,-0.013398000
0.032785500,0.030145500,0.021879000,0.037570500,-0.005049000
0.046447500,0.038164500,0.034716000,0.051975000,0.006171000
0.063640500,0.049384500,0.053064000,0.070339500,0.021763500
0.085932000,0.066148500,0.079018500,0.094462500,0.043032000
0.114493500,0.090255000,0.112711500,0.125103000,0.070603500
0.149424000,0.121654500,0.153730500,0.162343500,0.104676000
0.189997500,0.159901500,0.201003000,0.205722000,0.144969000
0.235867500,0.203676000,0.253291500,0.254215500,0.190756500
0.286407000,0.252631500,0.309457500,0.306718500,0.241015500
0.340774500,0.306207000,0.367900500,0.361366500,0.294145500
0.397270500,0.363594000,0.426426000,0.415404000,0.348150000
0.452892000,0.422004000,0.481767000,0.465762000,0.400389000
0.504388500,0.477130500,0.531052500,0.510279000,0.448420500
0.549120000,0.525525000,0.572170500,0.547998000,0.491023500
0.586245000,0.564712500,0.604477500,0.578770500,0.527934000
0.615483000,0.594313500,0.628534500,0.602811000,0.559366500
0.637032000,0.615681000,0.645166500,0.620598000,0.586129500
0.651766500,0.629722500,0.655495500,0.633171000,0.609114000
0.660396000,0.638071500,0.661105500,0.641784000,0.629178000
0.664455000,0.642262500,0.663069000,0.647658000,0.646684500
0.665032500,0.643731000,0.662590500,0.651535500,0.662194500
0.663052500,0.643285500,0.660742500,0.653466000,0.675427500
0.659076000,0.641652000,0.657855000,0.653565000,0.685954500
0.653334000,0.638814000,0.654109500,0.651519000,0.693957000
0.646816500,0.634639500,0.649539000,0.647097000,0.699055500
0.639111000,0.628947000,0.643731000,0.640315500,0.700903500
0.630184500,0.621390000,0.636652500,0.631240500,0.699666000
0.620037000,0.612150000,0.628221000,0.619971000,0.695310000
0.608338500,0.601128000,0.618354000,0.607480500,0.687885000
0.595072500,0.588901500,0.607068000,0.594016500,0.677919000
0.580074000,0.575734500,0.594495000,0.580090500,0.665775000
0.563920500,0.562006500,0.581295000,0.566115000,0.652294500
0.546678000,0.548196000,0.567402000,0.552189000,0.637890000
0.529089000,0.534633000,0.553327500,0.538444500,0.623122500
0.511186500,0.521581500,0.538923000,0.525178500,0.608355000
0.493564500,0.509190000,0.524700000,0.512424000,0.593785500
0.476157000,0.497607000,0.510823500,0.500395500,0.579496500
0.459508500,0.486618000,0.497392500,0.489175500,0.565620000
0.443817000,0.476157000,0.484390500,0.478978500,0.552948000
0.429330000,0.466240500,0.471652500,0.470052000,0.541447500
0.416575500,0.456604500,0.459591000,0.462396000,0.530541000
0.405306000,0.447364500,0.448140000,0.456093000,0.520492500
0.395455500,0.438751500,0.437332500,0.451539000,0.511483500
0.387651000,0.430963500,0.427548000,0.448816500,0.503580000
0.382107000,0.424495500,0.419265000,0.447958500,0.497590500
0.379038000,0.419529000,0.412104000,0.448569000,0.493597500
0.377800500,0.416278500,0.406576500,0.450450000,0.491040000
0.378394500,0.414892500,0.402600000,0.453799500,0.489654000
0.380754000,0.415057500,0.400356000,0.458997000,0.489439500
0.385209000,0.416740500,0.399745500,0.466059000,0.490479000
0.391066500,0.419908500,0.400603500,0.475134000,0.492739500
0.398491500,0.424644000,0.402996000,0.486073500,0.496270500
0.407616000,0.431161500,0.406345500,0.498762000,0.501204000
0.418176000,0.439329000,0.411097500,0.513265500,0.507655500
0.430666500,0.449823000,0.417318000,0.528742500,0.515394000
0.444229500,0.461769000,0.424561500,0.544582500,0.524568000
0.458089500,0.474507000,0.432646500,0.560571000,0.534550500
0.471289500,0.487360500,0.442117500,0.576361500,0.545655000
0.484093500,0.500214000,0.453304500,0.591723000,0.557155500
0.496699500,0.512902500,0.464887500,0.606094500,0.568821000
0.508728000,0.525145500,0.476074500,0.618766500,0.580140000
0.520047000,0.536530500,0.486453000,0.629491500,0.590782500
0.530524500,0.546694500,0.495528000,0.638236500,0.600979500
0.539616000,0.554680500,0.503184000,0.644523000,0.610929000
0.547536000,0.560323500,0.509190000,0.647740500,0.620482500
0.553822500,0.563590500,0.512935500,0.647856000,0.629277000
0.558096000,0.564580500,0.514420500,0.645546000,0.636091500
0.560439000,0.563491500,0.513612000,0.640431000,0.640200000
0.561231000,0.560224500,0.510988500,0.632692500,0.641140500
0.560274000,0.555027000,0.506154000,0.622314000,0.638616000
0.557106000,0.547585500,0.499191000,0.609328500,0.632428500
0.551760000,0.537867000,0.489406500,0.593389500,0.622182000
0.543823500,0.525838500,0.476454000,0.574002000,0.607662000
0.532570500,0.511269000,0.459921000,0.551380500,0.588720000
0.518413500,0.494307000,0.440005500,0.525525000,0.564993000
0.501451500,0.474870000,0.416823000,0.496534500,0.536910000
0.481404000,0.452545500,0.390324000,0.464541000,0.504867000
0.458518500,0.427086000,0.361053000,0.429973500,0.469161000
0.432498000,0.398475000,0.329587500,0.392980500,0.430584000
0.402913500,0.367570500,0.296488500,0.354502500,0.389961000
0.369979500,0.334900500,0.262647000,0.315199500,0.348381000
0.334290000,0.301323000,0.228937500,0.276226500,0.306454500
0.297561000,0.267333000,0.196053000,0.238557000,0.265435500
0.261162000,0.233755500,0.164802000,0.202950000,0.226050000
0.226314000,0.200277000,0.135762000,0.169669500,0.188826000
0.193231500,0.168448500,0.109444500,0.139573500,0.154489500
0.163350000,0.139375500,0.086278500,0.113470500,0.123783000
0.136851000,0.113371500,0.066148500,0.091096500,0.097696500
0.113833500,0.090766500,0.049384500,0.072303000,0.076477500
0.094974000,0.071560500,0.036432000,0.057238500,0.059416500
0.079662000,0.055671000,0.026482500,0.045111000,0.045936000
0.066594000,0.042949500,0.018529500,0.034501500,0.034864500
0.054318000,0.032538000,0.011517000,0.024403500,0.025707000
0.041860500,0.023793000,0.004075500,0.014536500,0.017473500
0.029089500,0.015741000,-0.003547500,0.005577000,0.009273000
