V1, V2, V3, V4, V5
-0.011550000,-0.008283000,-0.022671000,-0.018216000,-0.039418500
-0.013084500,-0.010791000,-0.023496000,-0.018529500,-0.037966500
-0.013843500,-0.012127500,-0.021483000,-0.016780500,-0.033594000
-0.013563000,-0.012144000,-0.017044500,-0.013596000,-0.026499000
-0.011154000,-0.010692000,-0.010131000,-0.008860500,-0.016929000
-0.005379000,-0.006913500,-0.001204500,-0.001881000,-0.005379000
0.003399000,0.000198000,0.009141000,0.007095000,0.007705500
0.013645500,0.009718500,0.020212500,0.016500000,0.020872500
0.023281500,0.020080500,0.030607500,0.025245000,0.033033000
0.030096000,0.029337000,0.038412000,0.031053000,0.042652500
0.031977000,0.034930500,0.041629500,0.031878000,0.047982000
0.028132500,0.034749000,0.039006000,0.026977500,0.047520000
0.019519500,0.029023500,0.031482000,0.017391000,0.041794500
0.007920000,0.019404000,0.020658000,0.005643000,0.031927500
-0.004603500,0.007623000,0.008695500,-0.005841000,0.019767000
-0.015411000,-0.003613500,-0.002178000,-0.014767500,0.007903500
-0.022786500,-0.012127500,-0.010345500,-0.019453500,-0.001683000
-0.026020500,-0.016483500,-0.014916000,-0.020031000,-0.008068500
-0.025146000,-0.016566000,-0.015840000,-0.016500000,-0.010378500
-0.021087000,-0.012870000,-0.013860000,-0.010312500,-0.009306000
-0.015279000,-0.006963000,-0.010048500,-0.003019500,-0.005197500
-0.009306000,-0.000561000,-0.005808000,0.003630000,0.000544500
-0.004801500,0.004306500,-0.001947000,0.008431500,0.006534000
-0.002524500,0.006649500,0.000577500,0.010890000,0.012193500
-0.002277000,0.005940000,0.001600500,0.011847000,0.016978500
-0.003877500,0.002838000,0.001584000,0.012771000,0.021499500
-0.006517500,-0.001402500,0.000841500,0.014404500,0.026004000
-0.009537000,-0.005329500,0.000627000,0.017589000,0.031119000
-0.012193500,-0.007293000,0.001567500,0.021879000,0.036960000
-0.013249500,-0.006649500,0.004059000,0.027126000,0.043362000
-0.012738000,-0.003432000,0.007771500,0.032752500,0.049698000
-0.010263000,0.001782000,0.012573000,0.038428500,0.056017500
-0.006418500,0.007771500,0.017490000,0.043494000,0.061990500
-0.001633500,0.013480500,0.022209000,0.047916000,0.067584000
0.003316500,0.017952000,0.026136000,0.051628500,0.072600000
0.008118000,0.021268500,0.029419500,0.055308000,0.076956000
0.012111000,0.023199000,0.031944000,0.058789500,0.081081000
0.015295500,0.024238500,0.034204500,0.062304000,0.084892500
0.017721000,0.025179000,0.036498000,0.065884500,0.088374000
0.019420500,0.026614500,0.039171000,0.069036000,0.091707000
