"V1","V2","V3","V4","V5"
3.19955,2.54592,2.3766,2.83062,2.42936
2.92339,2.20834,2.01894,2.44926,2.116
2.5193,1.71993,1.49705,1.94345,1.66794
1.97857,1.08357,0.80587,1.3195,1.08625
1.30981,0.3252,-0.03058,0.60424,0.39733
0.5452,-0.50343,-0.95599,-0.15431,-0.34621
-0.2617,-1.33389,-1.89273,-0.89611,-1.07702
-1.04847,-2.09791,-2.75966,-1.56393,-1.73072
-1.75604,-2.74019,-3.48767,-2.11516,-2.25723
-2.33676,-3.2247,-4.03019,-2.52643,-2.62686
-2.75979,-3.53679,-4.36818,-2.79321,-2.83243
-3.01363,-3.68228,-4.50942,-2.92667,-2.88674
-3.10459,-3.68394,-4.48232,-2.94859,-2.81655
-3.05288,-3.57512,-4.32662,-2.88519,-2.65537
-2.88695,-3.39167,-4.0845,-2.76152,-2.43729
-2.63764,-3.16494,-3.79391,-2.59811,-2.19143
-2.33286,-2.91737,-3.48362,-2.40926,-1.93786
-1.99404,-2.66107,-3.17075,-2.20183,-1.68497
-1.63512,-2.39958,-2.8608,-1.97594,-1.42984
-1.26252,-2.1306,-2.55032,-1.72762,-1.16147
-0.87586,-1.84962,-2.22999,-1.45221,-0.86506
-0.47083,-1.55151,-1.88877,-1.14695,-0.52732
-0.04256,-1.23347,-1.51801,-0.81248,-0.14085
0.4116,-0.89626,-1.11501,-0.45308,0.29241
0.88984,-0.54398,-0.68384,-0.07589,0.76086
1.38531,-0.1826,-0.23363,0.31088,1.24583
1.88726,0.18157,0.2239,0.69999,1.72598
2.38379,0.54297,0.67666,1.0861,2.18209
2.86378,0.89735,1.114,1.46565,2.60017
3.31833,1.24221,1.52885,1.83702,2.97252
3.74166,1.57711,1.91858,2.19957,3.29783
4.13128,1.90286,2.28458,2.55274,3.57945
4.48762,2.22122,2.63058,2.89557,3.82335
4.81284,2.53424,2.96126,3.22621,4.03627
5.11016,2.84381,3.2811,3.54264,4.22502
5.38361,3.15105,3.59388,3.84323,4.39602
5.63815,3.45579,3.90265,4.12727,4.5549
5.87823,3.75726,4.21027,4.39556,4.70582
6.1074,4.05464,4.51861,4.64984,4.85137
6.32824,4.34747,4.82744,4.89225,4.99369
6.54278,4.6351,5.13536,5.12411,5.13543
6.75266,4.91743,5.44114,5.3468,5.28105
6.95946,5.19478,5.74382,5.56227,5.43669
7.16462,5.46758,6.0426,5.77332,5.60745
7.36972,5.73645,6.33697,5.98303,5.79628
7.57601,6.00204,6.62685,6.1943,6.00427
7.78478,6.26588,6.91248,6.40954,6.23094
7.99781,6.52992,7.19453,6.63044,6.47386
8.21593,6.7962,7.47446,6.85721,6.72854
8.43796,7.06579,7.75486,7.08941,6.9895
8.66203,7.33855,8.03889,7.32718,7.25153
8.88628,7.61325,8.32944,7.57163,7.50952
9.1089,7.88838,8.62858,7.82348,7.75873
9.32864,8.16242,8.93754,8.0822,7.99628
9.54465,8.43421,9.25628,8.34622,8.22089
9.75576,8.70347,9.5835,8.61316,8.43226
9.96071,8.97009,9.91593,8.88011,8.63215
10.1584,9.23366,10.24807,9.14378,8.82378
10.34795,9.49351,10.57349,9.40131,9.01023
10.52836,9.74897,10.88639,9.65061,9.19418
10.69877,9.99961,11.18313,9.8895,9.37757
10.8582,10.24518,11.46239,10.11524,9.56081
11.00601,10.48594,11.72426,10.32588,9.74307
11.14316,10.72284,11.96933,10.52066,9.92351
11.27135,10.95667,12.19813,10.7001,10.10127
11.39212,11.18782,12.41121,10.86621,10.27555
11.50687,11.41607,12.60936,11.02152,10.44573
11.61709,11.64048,12.79364,11.16838,10.61079
11.72414,11.85985,12.96523,11.30904,10.76886
11.8291,12.07272,13.12471,11.44516,10.91733
11.93263,12.27718,13.27248,11.57762,11.05329
12.03493,12.4709,13.4091,11.70601,11.17368
12.13549,12.651,13.53462,11.82845,11.27511
12.23303,12.81411,13.64849,11.9419,11.35427
12.32517,12.95622,13.7495,12.04217,11.4078
12.40791,13.07292,13.83543,12.12461,11.43256
12.47549,13.15925,13.90312,12.1838,11.42556
12.52066,13.20992,13.9485,12.21349,11.3839
12.5349,13.2191,13.96637,12.20664,11.30413
12.50927,13.1807,13.95065,12.15527,11.18251
12.43451,13.08814,13.89458,12.05021,11.01491
12.30122,12.93418,13.79029,11.88174,10.7965
12.10008,12.71053,13.62808,11.64006,10.52197
11.82204,12.40779,13.397,11.31602,10.18567
11.45821,12.01578,13.08543,10.90089,9.7814
10.99984,11.52367,12.68141,10.38616,9.30171
10.43803,10.92035,12.17297,9.76381,8.73807
9.76357,10.19451,11.54777,9.02556,8.08093
8.96703,9.33537,10.79344,8.16304,7.31972
8.03974,8.33419,9.89924,7.16929,6.44456
6.97444,7.18491,8.85702,6.0403,5.44776
5.76652,5.88566,7.66241,4.77619,4.32477
4.41491,4.44097,6.31573,3.3819,3.07472
2.9236,2.86339,4.82436,1.8688,1.70099
1.30282,1.17515,3.20495,0.25491,0.21192
-0.42954,-0.59132,1.48434,-1.43524,-1.37876
-2.24635,-2.39378,-0.30205,-3.17283,-3.05206
-4.11162,-4.18203,-2.11382,-4.92853,-4.78455
-5.98154,-5.90158,-3.91098,-6.67543,-6.55111
-7.80754,-7.49901,-5.65874,-8.38882,-8.32743
-9.53952,-8.92635,-7.32855,-10.04209,-10.08912
