"V1","V2","V3","V4","V5"
48.91393,48.4983,48.81417,47.08042,49.4035
48.90564,48.55006,48.86665,47.06021,49.32123
48.89516,48.59657,48.92117,47.07025,49.22762
48.87434,48.62855,48.96753,47.10721,49.11877
48.83681,48.63897,48.99852,47.16603,48.99432
48.77913,48.62447,49.01026,47.23976,48.85826
48.70027,48.58525,49.00239,47.32032,48.71729
48.60027,48.52229,48.97724,47.39899,48.57666
48.47894,48.43432,48.93718,47.46577,48.43626
48.33426,48.31524,48.88166,47.50812,48.28815
48.16154,48.15404,48.8051,47.51032,48.11662
47.95294,47.93646,48.69529,47.45416,47.90097
47.6986,47.64743,48.53495,47.32093,47.61967
47.38884,47.27374,48.30603,47.09431,47.25461
47.01634,46.80687,47.99398,46.76426,46.79556
46.57827,46.24603,47.59072,46.32956,46.24342
46.07792,45.59952,47.09692,45.79741,45.61149
45.52555,44.88411,46.52252,45.18172,44.92331
44.93695,44.12228,45.88556,44.50148,44.20825
44.33099,43.33887,45.20914,43.77872,43.49696
43.72784,42.55911,44.51855,43.03596,42.81758
43.1468,41.80692,43.83824,42.29411,42.19239
42.60404,41.1028,43.18855,41.57153,41.63561
42.11066,40.46155,42.58291,40.8834,41.15123
41.67186,39.89171,42.02643,40.24147,40.73294
41.2861,39.39562,41.51744,39.65368,40.36538
40.946,38.96939,41.04964,39.12405,40.02703
40.63982,38.6036,40.61399,38.65249,39.69489
40.35328,38.28465,40.20016,38.23461,39.34756
40.07104,37.99659,39.79802,37.8623,38.96701
39.77859,37.7227,39.39805,37.52406,38.54002
39.46338,37.44723,38.99184,37.20584,38.05872
39.11538,37.1566,38.57228,36.89194,37.51941
38.72701,36.83983,38.13366,36.5662,36.92181
38.29337,36.48891,37.67116,36.21443,36.26965
37.81246,36.09904,37.18031,35.82663,35.57012
37.28502,35.66788,36.65805,35.39795,34.83202
36.71364,35.1956,36.10479,34.9292,34.06572
36.10338,34.68568,35.52435,34.42487,33.28299
35.46215,34.1446,34.92243,33.89067,32.49711
34.80104,33.58109,34.30641,33.33343,31.72156
34.13256,33.0055,33.68541,32.76179,30.96876
33.46906,32.42891,33.06876,32.1856,30.24977
32.82164,31.86157,32.46508,31.61449,29.57341
32.19946,31.31234,31.8815,31.0572,28.94529
31.60821,30.78812,31.32312,30.5214,28.36756
31.04775,30.29422,30.79277,30.01331,27.83932
30.51408,29.83409,30.2912,29.5364,27.3562
30.0034,29.40749,29.81747,29.09149,26.90901
29.51257,29.00822,29.36891,28.67773,26.48658
29.03977,28.62737,28.94135,28.2935,26.07949
28.58344,28.25724,28.52998,27.9368,25.67983
28.14141,27.89164,28.13046,27.60515,25.2839
27.7118,27.52638,27.73994,27.29604,24.89392
27.29431,27.15985,27.35682,27.00773,24.51446
26.88851,26.7927,26.98064,26.7392,24.14965
26.49378,26.42696,26.61152,26.48937,23.8024
26.10944,26.0652,26.24957,26.25489,23.47435
25.73491,25.70964,25.895,26.03049,23.16546
25.36948,25.36234,25.54843,25.80974,22.8742
25.01259,25.02493,25.21049,25.58489,22.59752
24.66365,24.69874,24.88112,25.34967,22.3311
24.32215,24.38466,24.55883,25.10144,22.07008
23.98723,24.08302,24.24123,24.83999,21.81047
23.65748,23.79332,23.92501,24.56621,21.54969
23.33089,23.51441,23.60679,24.28167,21.28571
23.00511,23.24481,23.28345,23.98851,21.01696
22.67742,22.9834,22.95215,23.6894,20.74236
22.34503,22.72908,22.61063,23.38719,20.46098
22.00587,22.48091,22.25711,23.08488,20.17337
21.65909,22.23784,21.89123,22.78501,19.88145
21.30464,21.99855,21.51397,22.48925,19.58852
20.94315,21.76177,21.12748,22.19791,19.29817
20.57584,21.52647,20.73472,21.91039,19.01385
20.205,21.29203,20.33946,21.62556,18.73921
19.83377,21.05843,19.94596,21.34273,18.47791
19.46621,20.82741,19.55915,21.06204,18.23338
19.10777,20.60205,19.18447,20.78521,18.00903
18.76458,20.38652,18.82738,20.51535,17.80785
18.44344,20.18489,18.49331,20.25653,17.63207
18.15087,20.00034,18.18747,20.01326,17.48309
17.89236,19.83472,17.91454,19.78953,17.36065
17.67144,19.68789,17.678,19.58843,17.26291
17.4891,19.55791,17.4798,19.41203,17.18839
17.345,19.44195,17.3201,19.26192,17.13693
17.23951,19.33836,17.19765,19.14013,17.11028
17.17594,19.24891,17.11109,19.05144,17.11337
17.16146,19.17936,17.0612,19.00367,17.15505
17.20644,19.13996,17.05252,19.00711,17.24688
17.3233,19.14463,17.09386,19.07283,17.40059
17.52424,19.20875,17.19754,19.21085,17.62579
17.81899,19.34668,17.37575,19.42893,17.92864
18.21252,19.56978,17.6376,19.73195,18.31132
18.70434,19.88486,17.98736,20.12309,18.77212
19.28846,20.29385,18.42474,20.60348,19.30653
19.95402,20.79354,18.94636,21.17263,19.90824
20.68789,21.37718,19.5466,21.82868,20.5704
21.47813,22.03609,20.21875,22.5668,21.28695
22.31676,22.76148,20.95631,23.37886,22.05309
23.1994,23.5453,21.75388,24.2551,22.86624
24.12533,24.38178,22.60807,25.18728,23.72587
