"V1","V2","V3","V4","V5"
1.05361,0.79366,-1.2523,-0.90548,0.25313
1.28632,0.84735,-1.14308,-0.78396,0.38367
1.53348,0.91521,-1.00891,-0.62575,0.52849
1.78655,0.99147,-0.85782,-0.44016,0.6807
2.03712,1.07053,-0.69807,-0.23582,0.83387
2.27738,1.14706,-0.53751,-0.01998,0.98234
2.50073,1.21607,-0.38276,0.20097,1.12238
2.70251,1.27365,-0.23884,0.42143,1.25297
2.88035,1.31805,-0.10822,0.63703,1.37624
3.03416,1.35036,0.00985,0.84483,1.49702
3.16607,1.37452,0.11914,1.04332,1.62197
3.27985,1.39625,0.2261,1.23249,1.75869
3.38037,1.42196,0.33847,1.41307,1.91454
3.47289,1.45789,0.46413,1.5858,2.09485
3.56257,1.50922,0.60995,1.75051,2.30178
3.65416,1.57919,0.78088,1.90659,2.53465
3.75099,1.66878,0.97868,2.05354,2.78958
3.8543,1.77646,1.20079,2.19101,3.05992
3.9634,1.89904,1.44079,2.31885,3.33706
4.07599,2.03258,1.6897,2.43685,3.61148
4.18818,2.17288,1.93728,2.54485,3.87373
4.29509,2.3152,2.17265,2.64267,4.11452
4.39137,2.45467,2.38538,2.73032,4.32541
4.47174,2.58681,2.56737,2.80858,4.49973
4.53155,2.70801,2.71429,2.8792,4.63379
4.56766,2.81612,2.82556,2.94467,4.72732
4.57911,2.91033,2.90378,3.00729,4.78364
4.56736,2.9909,2.95406,3.06835,4.80958
4.53536,3.05915,2.98311,3.12802,4.81432
4.48682,3.11688,2.99785,3.18505,4.80721
4.42569,3.16595,3.00466,3.23679,4.79598
4.35567,3.20784,3.00884,3.27948,4.78611
4.28017,3.24333,3.01386,3.30881,4.78069
4.20172,3.27223,3.02095,3.32081,4.7808
4.12157,3.29367,3.02919,3.31287,4.78609
4.03981,3.30658,3.03644,3.28408,4.79497
3.95577,3.31029,3.04013,3.23605,4.80534
3.86826,3.30493,3.03836,3.17325,4.81525
3.77566,3.292,3.03055,3.10268,4.82302
3.67682,3.27431,3.01717,3.0324,4.82771
3.57178,3.25556,3.00003,2.96972,4.82895
3.46198,3.23974,2.9824,2.92069,4.82722
3.34987,3.23025,2.96826,2.88992,4.82375
3.23849,3.22982,2.96176,2.8802,4.82035
3.13116,3.24014,2.96658,2.89244,4.81898
3.03115,3.26216,2.98494,2.92539,4.82121
2.94132,3.29607,3.01701,2.97594,4.82792
2.86387,3.34174,3.06116,3.03927,4.83882
2.80014,3.39902,3.11475,3.1099,4.85259
2.75042,3.46716,3.17428,3.18208,4.86758
2.71392,3.54373,3.23531,3.24975,4.88239
2.689,3.6242,3.29292,3.30669,4.89573
2.6734,3.70312,3.34322,3.34805,4.90665
2.66438,3.77534,3.38375,3.37146,4.91476
2.65906,3.83659,3.41359,3.37713,4.92065
2.65496,3.88461,3.4335,3.36766,4.92577
2.65026,3.91948,3.44604,3.34721,4.93223
2.6443,3.94341,3.45483,3.32066,4.94263
2.63758,3.95974,3.46371,3.2929,4.95996
2.63165,3.97287,3.47632,3.26826,4.98716
2.62863,3.98739,3.49551,3.25032,5.02664
2.63095,4.00779,3.52288,3.24172,5.08021
2.64082,4.03771,3.55899,3.24348,5.14848
2.65998,4.0794,3.60378,3.25533,5.23045
2.68985,4.13362,3.65682,3.27605,5.32323
2.73202,4.19982,3.71717,3.3038,5.42296
2.7878,4.27633,3.78348,3.33638,5.52547
2.85779,4.36079,3.85398,3.37139,5.62663
2.94175,4.45044,3.92661,3.40607,5.72273
3.03853,4.54252,3.99911,3.43778,5.8109
3.14629,4.63408,4.06906,3.46435,5.88957
3.26293,4.72242,4.13395,3.48425,5.95906
3.38621,4.80525,4.19158,3.49686,6.02107
3.51412,4.88111,4.24047,3.50282,6.07844
3.64536,4.9496,4.28001,3.50423,6.13485
3.77936,5.0116,4.31049,3.50434,6.19467
3.91642,5.06871,4.33307,3.50702,6.26233
4.0579,5.12319,4.34953,3.5161,6.34167
4.20574,5.17755,4.36226,3.53443,6.43523
4.36197,5.23397,4.37426,3.56266,6.54406
4.5281,5.29354,4.38846,3.5987,6.66761
4.70463,5.35566,4.40694,3.63761,6.80323
4.89027,5.41805,4.43046,3.67183,6.94597
5.08161,5.47666,4.45828,3.69182,7.08953
5.27309,5.52607,4.48762,3.68759,7.2267
5.45736,5.56028,4.5136,3.65051,7.35052
5.62586,5.57334,4.52966,3.57515,7.45448
5.76984,5.5598,4.52881,3.45998,7.53262
5.88069,5.51502,4.5045,3.3065,7.57906
5.9503,5.4353,4.45129,3.11748,7.58812
5.9717,5.31801,4.36527,2.8954,7.55409
5.93937,5.16198,4.24406,2.64128,7.47134
5.84999,4.96789,4.08659,2.35566,7.33546
5.70331,4.73833,3.89312,2.03978,7.14437
5.503,4.47748,3.66525,1.69675,6.8992
5.25642,4.19088,3.40603,1.33261,6.6041
4.97367,3.88496,3.12006,0.95672,6.26614
4.6661,3.567,2.81377,0.58166,5.89487
4.34564,3.24513,2.49517,0.2223,5.5019
4.02491,2.92855,2.17406,-0.10598,5.09999
3.71618,2.62683,1.86168,-0.38938,4.70222
