"V1","V2","V3","V4","V5"
-17.7021,-21.86883,-18.38478,-19.29071,-16.48295
-16.40855,-20.614,-17.69212,-18.60123,-15.38066
-15.14357,-19.26423,-16.95584,-17.8413,-14.34955
-13.93065,-17.86771,-16.19659,-17.02387,-13.42655
-12.7892,-16.47546,-15.43748,-16.15995,-12.63825
-11.73557,-15.14213,-14.70285,-15.26152,-11.99684
-10.77979,-13.92236,-14.01299,-14.34506,-11.49189
-9.91972,-12.85946,-13.37748,-13.42949,-11.08399
-9.13947,-11.9754,-12.79121,-12.53316,-10.70872
-8.41349,-11.26721,-12.23614,-11.67168,-10.28988
-7.7156,-10.71064,-11.68785,-10.85634,-9.76014
-7.02703,-10.26678,-11.122,-10.0913,-9.0785
-6.34224,-9.88758,-10.5209,-9.37317,-8.2385
-5.66809,-9.52332,-9.87724,-8.6935,-7.2663
-5.02017,-9.12927,-9.19542,-8.04304,-6.21219
-4.41776,-8.67226,-8.48756,-7.41372,-5.13903
-3.87984,-8.13326,-7.76712,-6.79748,-4.10869
-3.42184,-7.50759,-7.04547,-6.18439,-3.17128
-3.05113,-6.80235,-6.3305,-5.56513,-2.35781
-2.76377,-6.03318,-5.62919,-4.93304,-1.67893
-2.54644,-5.22154,-4.94876,-4.28576,-1.12709
-2.37914,-4.39481,-4.29749,-3.62528,-0.68276
-2.23807,-3.58257,-3.6844,-2.95905,-0.32239
-2.09957,-2.81223,-3.11602,-2.30244,-0.02198
-1.94544,-2.10849,-2.59522,-1.6759,0.23939
-1.7644,-1.49263,-2.12486,-1.10036,0.47631
-1.552,-0.98079,-1.7079,-0.59337,0.69739
-1.3103,-0.58086,-1.34547,-0.16738,0.90578
-1.04515,-0.29214,-1.03394,0.17226,1.10031
-0.76445,-0.10577,-0.76841,0.42727,1.27802
-0.47701,-0.00732,-0.54368,0.60638,1.4357
-0.1927,0.02047,-0.35596,0.72258,1.57148
0.07777,-0.00475,-0.20172,0.78944,1.68535
0.32634,-0.06629,-0.07733,0.81929,1.77882
0.55061,-0.14912,0.02143,0.82088,1.85272
0.75161,-0.24073,0.09909,0.80036,1.90812
0.93195,-0.33242,0.16053,0.76261,1.94699
1.09717,-0.41894,0.2116,0.71245,1.97173
1.25527,-0.49635,0.25891,0.65355,1.98464
1.41451,-0.56015,0.30936,0.58763,1.99033
1.58119,-0.60482,0.37038,0.5141,1.99534
1.75987,-0.626,0.44893,0.43205,2.00595
1.95261,-0.62115,0.55113,0.3403,2.02633
2.16057,-0.58929,0.6803,0.23685,2.0588
2.38381,-0.53153,0.83629,0.11998,2.10433
2.62077,-0.45075,1.01449,-0.01242,2.16325
2.86663,-0.35064,1.2073,-0.16195,2.23547
3.11427,-0.23443,1.40481,-0.32927,2.31935
3.35713,-0.10504,1.59768,-0.51049,2.40959
3.5905,0.03517,1.77706,-0.69566,2.50091
3.81101,0.18385,1.93503,-0.87413,2.58943
4.01715,0.33741,2.06477,-1.0373,2.67241
4.2078,0.49058,2.16143,-1.17847,2.74862
4.38333,0.63747,2.22173,-1.29316,2.81835
4.54525,0.77172,2.24431,-1.37997,2.88054
4.69447,0.88579,2.2305,-1.441,2.9328
4.82976,0.97125,2.1846,-1.48272,2.97151
4.94932,1.02204,2.11428,-1.51394,2.99287
5.04993,1.03652,2.02806,-1.54465,2.99351
5.12803,1.01582,1.9324,-1.58437,2.97038
5.17938,0.96224,1.83057,-1.64025,2.92183
5.19837,0.87789,1.7234,-1.71392,2.8502
5.17992,0.76418,1.61075,-1.80349,2.75992
5.12307,0.62289,1.49275,-1.90679,2.65435
5.03157,0.45728,1.36961,-2.02219,2.53373
4.91112,0.27335,1.24312,-2.14699,2.39671
4.76768,0.07882,1.11563,-2.2754,2.24164
4.60746,-0.11797,0.99024,-2.39967,2.06968
4.43609,-0.30923,0.86943,-2.51201,1.88575
4.25812,-0.48716,0.7564,-2.60567,1.69762
4.07784,-0.64436,0.65517,-2.67455,1.51291
3.89924,-0.77387,0.57076,-2.71362,1.33774
3.72652,-0.86961,0.50717,-2.71893,1.17847
3.56378,-0.92715,0.46751,-2.68816,1.0408
3.4142,-0.94432,0.45279,-2.62096,0.93041
3.28132,-0.92154,0.46288,-2.51986,0.85072
3.16914,-0.86091,0.49619,-2.38953,0.80398
3.08188,-0.76651,0.55095,-2.23607,0.79049
3.02479,-0.64367,0.62604,-2.06669,0.81152
3.00249,-0.49886,0.71979,-1.88825,0.86747
3.01768,-0.3389,0.8293,-1.70526,0.957
3.06909,-0.1706,0.95102,-1.52195,1.07676
3.15155,-0.0022,1.08201,-1.34317,1.22082
3.25495,0.15544,1.21738,-1.17538,1.37863
3.36483,0.28949,1.34972,-1.02776,1.53617
3.46222,0.38624,1.46899,-0.91118,1.67839
3.52672,0.4332,1.56355,-0.838,1.7903
3.54086,0.42082,1.62267,-0.81934,1.86027
3.49265,0.34377,1.63761,-0.86452,1.88155
3.37561,0.20141,1.60183,-0.97985,1.85077
3.19044,-0.00181,1.51286,-1.16893,1.76718
2.94329,-0.256,1.3722,-1.43043,1.63179
2.64572,-0.54747,1.18418,-1.75686,1.4464
2.31359,-0.85904,0.95525,-2.13431,1.21457
1.96446,-1.17289,0.69405,-2.54225,0.9412
1.61406,-1.47313,0.41143,-2.956,0.63098
1.27407,-1.74839,0.11986,-3.3513,0.28781
0.95119,-1.99281,-0.16878,-3.70796,-0.08479
0.64679,-2.20584,-0.44606,-4.01396,-0.48417
0.35813,-2.39139,-0.70898,-4.26677,-0.90917
0.07854,-2.55746,-0.96036,-4.47249,-1.3597
