V1, V2, V3, V4, V5
7.977120000,7.512100000,6.983500000,9.447140000,8.192720000
8.636020000,8.177720000,7.797190000,9.812970000,8.960830000
9.353170000,8.896670000,8.641770000,10.310480000,9.730320000
10.089320000,9.629190000,9.470050000,10.905780000,10.468440000
10.815330000,10.345910000,10.253200000,11.570200000,11.165090000
11.518920000,11.035850000,10.987090000,12.285010000,11.836100000
12.206510000,11.708670000,11.691730000,13.043890000,12.517210000
12.897140000,12.386700000,12.402820000,13.848890000,13.248470000
13.612330000,13.091580000,13.156290000,14.701060000,14.058080000
14.365180000,13.831900000,13.973050000,15.590280000,14.949410000
15.152590000,14.596710000,14.850330000,16.490090000,15.896420000
15.953500000,15.356180000,15.759700000,17.359040000,16.848780000
16.733520000,16.067360000,16.653640000,18.148020000,17.743850000
17.452460000,16.682910000,17.477200000,18.809830000,18.520740000
18.072790000,17.161470000,18.179960000,19.308870000,19.132560000
18.566890000,17.476550000,18.725270000,19.627160000,19.554960000
18.922610000,17.620860000,19.095650000,19.765400000,19.788820000
19.144910000,17.605830000,19.294270000,19.741150000,19.858720000
19.252580000,17.456830000,19.342230000,19.584390000,19.806270000
19.273650000,17.207210000,19.273100000,19.331250000,19.680050000
19.241190000,16.892010000,19.126690000,19.017710000,19.526860000
19.188400000,16.544860000,18.942850000,18.675260000,19.384960000
19.144930000,16.193570000,18.755340000,18.328250000,19.280290000
19.133080000,15.857320000,18.586290000,17.993800000,19.222620000
19.164640000,15.547510000,18.445000000,17.682260000,19.205620000
19.239270000,15.269410000,18.330770000,17.398810000,19.211130000
19.345660000,15.023600000,18.236430000,17.145470000,19.214350000
19.465580000,14.807130000,18.150820000,16.921810000,19.189450000
19.577490000,14.614010000,18.060530000,16.724290000,19.114670000
19.660230000,14.436790000,17.953670000,16.547100000,18.975810000
19.696570000,14.268360000,17.821400000,16.382820000,18.767970000
19.676030000,14.103040000,17.658960000,16.223120000,18.493570000
19.595540000,13.937690000,17.465220000,16.059630000,18.159660000
19.457330000,13.771190000,17.242220000,15.884390000,17.775510000
19.267150000,13.603840000,16.993690000,15.691550000,17.352530000
19.033970000,13.436760000,16.724410000,15.478270000,16.902570000
18.768470000,13.270350000,16.440390000,15.244850000,16.436200000
18.480220000,13.104880000,16.150430000,14.994630000,15.962610000
18.177060000,12.941430000,15.864110000,14.732520000,15.489820000
17.865640000,12.781820000,15.587540000,14.462920000,15.025320000
17.552030000,12.627690000,15.324110000,14.188890000,14.576670000
17.241710000,12.481640000,15.076980000,13.914060000,14.152600000
16.940450000,12.346960000,14.848580000,13.643810000,13.763460000
16.653530000,12.227070000,14.640730000,13.385110000,13.418950000
16.385750000,12.125410000,14.454720000,13.145350000,13.126600000
16.140260000,12.045150000,14.291520000,12.931700000,12.890960000
15.917690000,11.989210000,14.151370000,12.750580000,12.713510000
15.717530000,11.959570000,14.034210000,12.606910000,12.591640000
15.539200000,11.955900000,13.939530000,12.502500000,12.517070000
15.380840000,11.973240000,13.866660000,12.435680000,12.477640000
15.240480000,12.003360000,13.814930000,12.403730000,12.461310000
