"V1","V2","V3","V4","V5"
1.36585,1.26023,1.40347,0.77097,1.15257
1.30761,1.13344,1.26969,0.71098,1.07353
1.26062,1.03304,1.15067,0.61395,1.02705
1.23624,0.97856,1.06259,0.50366,1.01424
1.24006,0.97755,1.01327,0.39997,1.02918
1.27265,1.02611,1.00287,0.31672,1.06241
1.33242,1.11332,1.0272,0.26369,1.10613
1.41915,1.22812,1.08361,0.24845,1.15997
1.53631,1.36279,1.17341,0.27727,1.23297
1.69034,1.51237,1.3002,0.35389,1.34079
1.88639,1.67196,1.46717,0.47783,1.49987
2.12492,1.83655,1.67413,0.64419,1.72112
2.39956,2.00323,1.91687,0.84523,2.00566
2.69781,2.17215,2.18689,1.07297,2.34358
3.00275,2.34592,2.47184,1.32071,2.71472
3.29527,2.52812,2.7566,1.58279,3.09115
3.55751,2.72169,3.0273,1.85472,3.44438
3.77593,2.92781,3.27482,2.13371,3.75221
3.94271,3.14581,3.49589,2.41734,4.0036
4.05766,3.37332,3.69086,2.70372,4.199
4.12776,3.60751,3.86269,2.99184,4.348
4.16506,3.84579,4.01715,3.28178,4.46624
4.18398,4.08589,4.16178,3.57397,4.57104
4.19955,4.32571,4.30422,3.86653,4.67903
4.22477,4.56192,4.45059,4.15544,4.80311
4.26941,4.78989,4.60394,4.43539,4.95039
4.33826,5.00421,4.76447,4.70072,5.12181
4.43087,5.19974,4.93054,4.9463,5.31188
4.5439,5.37198,5.1003,5.16831,5.50992
4.67273,5.5181,5.2708,5.36473,5.70365
4.8119,5.63702,5.43822,5.53561,5.882
4.95443,5.7292,5.5972,5.68218,6.0366
5.09183,5.79592,5.74228,5.80577,6.16183
5.2162,5.83943,5.86881,5.90741,6.25442
5.32264,5.86264,5.97399,5.98693,6.31197
5.40856,5.86855,6.05673,6.04439,6.33407
5.47308,5.86,6.11728,6.08005,6.32234
5.51752,5.83992,6.1566,6.09437,6.28034
5.54545,5.81099,6.17638,6.08708,6.21381
5.56132,5.77565,6.18043,6.05905,6.13036
5.56902,5.73602,6.17344,6.01327,6.03855
5.57141,5.69401,6.15928,5.95391,5.94631
5.56984,5.6514,6.14096,5.88486,5.86002
5.56504,5.60984,6.11984,5.8093,5.78359
5.55781,5.57097,6.09569,5.73015,5.71851
5.54897,5.53595,6.06752,5.64968,5.66457
5.53958,5.50557,6.03444,5.56958,5.62103
5.53078,5.48037,5.99599,5.49133,5.58699
5.52332,5.4604,5.95232,5.41641,5.56191
5.51784,5.44527,5.9046,5.34685,5.54531
5.51469,5.43445,5.85544,5.28577,5.53605
5.51393,5.42795,5.80838,5.23732,5.53285
5.5156,5.42663,5.76593,5.20465,5.53384
5.52013,5.43114,5.7297,5.18787,5.53685
5.52838,5.4418,5.7008,5.18445,5.53973
5.54083,5.45776,5.67959,5.19046,5.54063
5.55769,5.47684,5.66452,5.20168,5.53871
5.57871,5.49652,5.65283,5.21492,5.534
5.60279,5.51563,5.64125,5.22782,5.52709
5.62842,5.53333,5.62605,5.23887,5.5188
5.65325,5.54902,5.60443,5.24674,5.51027
5.67334,5.56171,5.57608,5.24955,5.50249
5.68472,5.57024,5.54225,5.24578,5.49619
5.68627,5.57376,5.50485,5.23476,5.49158
5.67925,5.57201,5.46541,5.21689,5.48842
5.66497,5.56548,5.42559,5.19443,5.48578
5.64458,5.55476,5.38691,5.17052,5.48218
5.61963,5.54013,5.3508,5.1482,5.47631
5.5917,5.52139,5.31803,5.12996,5.46762
5.56221,5.49755,5.28921,5.11735,5.45598
5.53193,5.46781,5.26485,5.11093,5.4412
5.50097,5.43158,5.24546,5.11062,5.42218
5.46887,5.38888,5.23051,5.11546,5.3978
5.43458,5.3399,5.21835,5.12354,5.36744
5.3962,5.28467,5.20598,5.13186,5.33079
5.35139,5.22223,5.19,5.13609,5.28647
5.2981,5.15146,5.16692,5.13102,5.23258
5.23444,5.07064,5.13368,5.11099,5.1666
5.15957,4.97815,5.08788,5.07068,5.08649
5.07376,4.87285,5.02711,5.00671,4.99024
4.97809,4.75519,4.94951,4.91916,4.87622
4.87391,4.62757,4.85456,4.81067,4.74458
4.76355,4.49294,4.74323,4.68628,4.59777
4.65021,4.35466,4.61725,4.5529,4.43915
4.53775,4.21659,4.47915,4.41829,4.27272
4.42948,4.08278,4.33209,4.29053,4.10284
4.32821,3.9581,4.17969,4.17711,3.93413
4.2361,3.8474,4.02547,4.08389,3.77254
4.1552,3.75481,3.87293,4.01378,3.62587
4.08681,3.68336,3.72597,3.96691,3.50175
4.03146,3.63495,3.58886,3.94034,3.40675
3.98809,3.61013,3.4655,3.92877,3.34589
3.95421,3.60751,3.35899,3.92426,3.3212
3.92601,3.62412,3.2709,3.9177,3.33025
3.89772,3.65585,3.20175,3.90098,3.3658
3.86229,3.69792,3.15055,3.86816,3.41619
3.81223,3.74457,3.11574,3.81607,3.46598
3.73977,3.7893,3.09472,3.74456,3.49819
3.63659,3.82559,3.0834,3.65482,3.49559
3.49525,3.84675,3.07445,3.54774,3.44189
3.30945,3.84569,3.05724,3.4223,3.32291
