"V1","V2","V3","V4","V5"
1.42629,6.41905,1.03094,6.55764,1.89564
1.04823,5.96172,1.00689,6.30992,1.48697
0.80477,5.35477,0.95822,6.0274,1.21703
0.70695,4.63933,0.89838,5.7211,1.13001
0.75305,3.86241,0.84324,5.3952,1.25415
0.92948,3.07646,0.80875,5.05099,1.59491
1.20884,2.33571,0.80486,4.69096,2.12232
1.54531,1.68591,0.82835,4.31983,2.76353
1.87552,1.15554,0.86072,3.94432,3.41021
2.12752,0.75268,0.87365,3.57176,3.93927
2.23677,0.46723,0.83907,3.20997,4.24242
2.16139,0.27543,0.73589,2.86441,4.25149
1.89206,0.14322,0.55505,2.537,3.95172
1.45134,0.03118,0.30014,2.22477,3.38054
0.88569,-0.0994,-0.01357,1.92122,2.61564
0.25337,-0.28122,-0.36558,1.61733,1.75356
-0.38904,-0.54038,-0.74153,1.29929,0.885
-0.9977,-0.89602,-1.138,0.94729,0.07577
-1.54925,-1.36031,-1.56256,0.53848,-0.64319
-2.04223,-1.93694,-2.02713,0.05043,-1.2736
-2.48966,-2.62048,-2.54231,-0.53333,-1.83957
-2.91052,-3.39344,-3.11154,-1.21806,-2.37336
-3.32044,-4.22711,-3.72838,-1.99403,-2.90067
-3.72701,-5.08696,-4.37909,-2.83313,-3.43426
-4.12773,-5.93374,-5.043,-3.69569,-3.97354
-4.51425,-6.72871,-5.69322,-4.53887,-4.50578
-4.87804,-7.43955,-6.30092,-5.32493,-5.01441
-5.21489,-8.04614,-6.84294,-6.0266,-5.48645
-5.52724,-8.54306,-7.30866,-6.63217,-5.91514
-5.82236,-8.93831,-7.69836,-7.14464,-6.29905
-6.10864,-9.24873,-8.02254,-7.57772,-6.63887
-6.38982,-9.49394,-8.29727,-7.94993,-6.93571
-6.66271,-9.69144,-8.53986,-8.27817,-7.18988
-6.92013,-9.85413,-8.765,-8.57359,-7.40028
-7.15524,-9.99033,-8.98218,-8.8395,-7.56342
-7.36046,-10.10365,-9.19491,-9.07342,-7.67664
-7.53026,-10.19476,-9.40134,-9.27163,-7.74105
-7.66296,-10.26245,-9.59517,-9.43414,-7.75896
-7.76096,-10.30614,-9.76856,-9.56464,-7.73187
-7.82854,-10.32731,-9.91551,-9.66933,-7.66383
-7.87132,-10.32936,-10.03442,-9.75202,-7.56295
-7.89552,-10.31511,-10.12761,-9.81578,-7.44206
-7.90565,-10.28628,-10.20034,-9.86152,-7.31536
-7.90636,-10.24359,-10.25791,-9.88752,-7.19367
-7.90263,-10.18735,-10.30508,-9.89099,-7.08315
-7.89925,-10.11641,-10.34439,-9.86862,-6.98771
-7.90077,-10.02991,-10.37717,-9.81759,-6.90918
-7.91155,-9.92811,-10.4023,-9.73602,-6.84652
-7.9328,-9.81367,-10.41854,-9.6265,-6.79685
-7.96301,-9.69293,-10.42489,-9.49954,-6.7592
-7.99907,-9.57523,-10.41985,-9.36774,-6.73227
-8.03805,-9.46905,-10.40149,-9.24269,-6.71339
-8.0768,-9.37957,-10.36798,-9.1346,-6.69901
-8.11342,-9.30813,-10.31698,-9.05078,-6.68672
-8.14708,-9.25142,-10.24652,-8.99463,-6.67307
-8.17741,-9.2026,-10.15751,-8.96506,-6.65425
-8.20338,-9.15057,-10.05272,-8.95486,-6.62689
-8.22489,-9.08391,-9.93638,-8.95455,-6.58714
-8.23843,-8.99644,-9.81137,-8.95365,-6.5312
-8.23874,-8.88568,-9.67859,-8.94248,-6.4551
-8.22021,-8.75124,-9.53802,-8.91519,-6.35623
-8.1754,-8.59316,-9.38863,-8.87055,-6.23538
-8.09648,-8.41087,-9.23032,-8.81069,-6.09551
-7.9792,-8.20481,-9.06299,-8.73667,-5.93758
-7.82477,-7.97683,-8.88648,-8.64845,-5.75847
-7.63724,-7.73108,-8.70162,-8.54777,-5.5517
-7.42062,-7.47152,-8.50871,-8.43877,-5.3109
-7.17887,-7.20096,-8.30785,-8.32574,-5.03242
-6.91453,-6.92074,-8.09799,-8.21115,-4.71742
-6.62822,-6.63169,-7.87839,-8.09451,-4.37209
-6.3196,-6.33552,-7.64934,-7.97459,-4.00372
-5.98803,-6.03463,-7.41275,-7.85052,-3.62107
-5.63357,-5.73233,-7.17026,-7.72323,-3.23626
-5.2578,-5.43261,-6.92392,-7.59619,-2.8629
-4.86331,-5.1394,-6.67526,-7.47494,-2.51541
-4.45589,-4.85688,-6.42659,-7.36491,-2.20499
-4.04468,-4.58986,-6.18068,-7.27026,-1.94064
-3.64286,-4.34275,-5.9422,-7.19453,-1.72861
-3.26742,-4.12207,-5.71883,-7.14228,-1.57419
-2.93522,-3.93632,-5.52037,-7.11831,-1.48141
-2.66233,-3.79656,-5.35779,-7.12851,-1.45357
-2.46129,-3.71653,-5.24207,-7.17733,-1.49347
-2.34231,-3.70833,-5.18422,-7.26743,-1.60433
-2.31248,-3.78143,-5.19328,-7.39929,-1.7882
-2.37601,-3.94331,-5.27529,-7.56991,-2.04479
-2.53269,-4.19827,-5.4339,-7.7754,-2.37334
-2.77947,-4.54756,-5.67063,-8.01221,-2.77173
-3.11194,-4.99027,-5.98587,-8.27795,-3.23701
