V1, V2, V3, V4, V5
6.506200000,6.881660000,6.426030000,6.924260000,6.301070000
5.930830000,6.373500000,6.120910000,6.602810000,6.113620000
5.190550000,5.700130000,5.676920000,6.098640000,5.809540000
4.291080000,4.866300000,5.091490000,5.408810000,5.377340000
3.268920000,3.907790000,4.383820000,4.561430000,4.823170000
2.196060000,2.894920000,3.599200000,3.619690000,4.176360000
1.171240000,1.920290000,2.803250000,2.672810000,3.488520000
0.298220000,1.078020000,2.069110000,1.818540000,2.824210000
-0.338280000,0.445280000,1.464190000,1.144140000,2.249320000
-0.689760000,0.069370000,1.038940000,0.709130000,1.820050000
-0.751130000,-0.039640000,0.818450000,0.534290000,1.573320000
-0.557870000,0.092110000,0.799410000,0.601420000,1.519840000
-0.173650000,0.410410000,0.953640000,0.863490000,1.643410000
0.326220000,0.846810000,1.235880000,1.257990000,1.907010000
0.869630000,1.332320000,1.594320000,1.720410000,2.262580000
1.396740000,1.809160000,1.979510000,2.192610000,2.660410000
1.864940000,2.239850000,2.351420000,2.631080000,3.056940000
2.253280000,2.612100000,2.684740000,3.012070000,3.420030000
2.564370000,2.938400000,2.971720000,3.331610000,3.732650000
2.822060000,3.248930000,3.223060000,3.604010000,3.994480000
3.064600000,3.580780000,3.463990000,3.857880000,4.220070000
3.334390000,3.965520000,3.726090000,4.128360000,4.434610000
3.666450000,4.419300000,4.037290000,4.447540000,4.667330000
4.079210000,4.938950000,4.414100000,4.835260000,4.944780000
4.571760000,5.504870000,4.858000000,5.294220000,5.284890000
5.126800000,6.088470000,5.356390000,5.810570000,5.693680000
5.716130000,6.660430000,5.886950000,6.358360000,6.164270000
6.307800000,7.197190000,6.423430000,6.907300000,6.677860000
6.873320000,7.684110000,6.941600000,7.429690000,7.208820000
7.391930000,8.116000000,7.423400000,7.905550000,7.730870000
7.852600000,8.495420000,7.859180000,8.324880000,8.221420000
8.253900000,8.829970000,8.248010000,8.687060000,8.664210000
8.602280000,9.130150000,8.595630000,8.999070000,9.051240000
8.909430000,9.407160000,8.911180000,9.272680000,9.383300000
9.188890000,9.670660000,9.203980000,9.520860000,9.668920000
9.453140000,9.927550000,9.481580000,9.755180000,9.921370000
