"V1","V2","V3","V4","V5"
53.42173,55.18994,54.61794,54.98885,54.07537
53.15131,54.86613,54.52034,54.80452,53.93262
52.88739,54.53204,54.40162,54.59522,53.7755
52.63811,54.18905,54.25748,54.35813,53.59713
52.41424,53.84067,54.08762,54.09597,53.3952
52.22791,53.49411,53.89611,53.81838,53.17289
52.0914,53.15955,53.69083,53.54176,52.93837
52.01493,52.84617,53.48167,53.28606,52.70279
52.00241,52.55747,53.2765,53.0666,52.47665
52.04703,52.2896,53.07673,52.88655,52.26616
52.12953,52.03061,52.87471,52.73399,52.07029
52.22021,51.76114,52.65478,52.58575,51.88029
52.28307,51.45703,52.39623,52.41351,51.6805
52.28047,51.09423,52.07614,52.18791,51.44972
52.17834,50.65392,51.67396,51.8822,51.16403
51.95324,50.12676,51.17593,51.47455,50.8013
51.59697,49.51505,50.57851,50.95281,50.34683
51.11578,48.83319,49.88877,50.31867,49.79629
50.52782,48.10757,49.12296,49.58711,49.15587
49.86083,47.3733,48.30682,48.78437,48.44139
49.14688,46.66655,47.47087,47.94449,47.6777
48.41884,46.01826,46.64501,47.10346,46.8959
47.70604,45.45145,45.85776,46.29537,46.1272
47.02872,44.978,45.13489,45.54892,45.39948
46.39768,44.59528,44.49497,44.88319,44.7352
45.81542,44.28736,43.94498,44.30523,44.14848
45.27804,44.02796,43.48023,43.81055,43.64269
44.77809,43.78455,43.08782,43.38725,43.21002
44.30387,43.52195,42.74978,43.01775,42.83497
43.83919,43.20621,42.44452,42.68062,42.49842
43.36636,42.81079,42.14807,42.35324,42.17904
42.87151,42.32195,41.83754,42.01442,41.854
42.34866,41.74043,41.49614,41.64983,41.50124
41.79942,41.08019,41.11423,41.25377,41.10297
41.22995,40.36364,40.68933,40.82621,40.6488
40.64756,39.61688,40.22397,40.36954,40.13658
40.05862,38.86599,39.72403,39.88811,39.572
39.4678,38.13292,39.196,39.38759,38.96562
38.87784,37.43226,38.64569,38.87395,38.32814
38.28907,36.76965,38.07841,38.35241,37.66861
37.70029,36.1436,37.49844,37.82571,36.99467
37.11044,35.55031,36.90881,37.29389,36.31244
36.51842,34.98637,36.31185,36.75593,35.62572
35.92385,34.44599,35.70925,36.211,34.9366
35.32773,33.92153,35.10223,35.65869,34.24723
34.73203,33.40541,34.49159,35.09969,33.5604
34.13727,32.89087,33.8787,34.53516,32.87874
33.54153,32.3724,33.26547,33.96553,32.20429
32.94343,31.84663,32.65394,33.39025,31.53884
32.34524,31.31133,32.04591,32.80829,30.88454
31.75089,30.76593,31.4433,32.21864,30.2438
31.16388,30.21222,30.84793,31.62111,29.61868
30.58682,29.65367,30.26098,31.01707,29.01061
30.02095,29.09393,29.68235,30.40967,28.42006
29.46679,28.5363,29.11122,29.80385,27.8464
28.9237,27.98331,28.54694,29.20518,27.28812
28.38949,27.43725,27.99056,28.61934,26.74305
27.86179,26.8999,27.44476,28.05127,26.20888
27.33962,26.37198,26.91268,27.50486,25.68365
26.82218,25.85352,26.39682,26.98228,25.16616
26.30822,25.34503,25.89877,26.48361,24.65618
25.79751,24.84782,25.41937,26.00703,24.15426
25.29171,24.36357,24.95944,25.54923,23.66095
24.79402,23.89379,24.52004,25.10572,23.17647
24.30871,23.43899,24.10266,24.67153,22.70023
23.84035,22.99887,23.70842,24.24301,22.23148
23.39197,22.57254,23.33743,23.8175,21.76965
22.96429,22.15922,22.98834,23.39337,21.31454
22.55582,21.75772,22.65853,22.96993,20.86646
22.1639,21.36689,22.34471,22.54809,20.42619
21.78579,20.98536,22.04313,22.12983,19.9943
21.41893,20.61139,21.74988,21.71728,19.57061
21.06077,20.24342,21.46097,21.31252,19.15452
20.70942,19.88034,21.17312,20.91777,18.74562
20.3643,19.52215,20.8841,20.53583,18.34433
20.02677,19.16978,20.59289,20.16908,17.95237
19.7001,18.82494,20.3002,19.8195,17.57261
19.38926,18.49085,20.00884,19.48934,17.20913
19.10069,18.17221,19.72329,19.18203,16.8672
18.84119,17.87468,19.44952,18.90179,16.55309
18.61629,17.60373,19.19463,18.65262,16.27313
18.42974,17.3641,18.96556,18.43777,16.03274
18.28274,17.15856,18.7677,18.25911,15.83538
18.17361,16.98713,18.60362,18.11673,15.68225
18.09836,16.84847,18.47296,18.00913,15.57268
18.05277,16.74171,18.37346,17.93416,15.50525
18.03512,16.6692,18.30359,17.89064,15.47895
18.0484,16.63614,18.26495,17.87968,15.49491
18.0998,16.65037,18.26287,17.90615,15.55667
18.19959,16.72068,18.30639,17.97919,15.67058
18.35883,16.85489,18.40692,18.11066,15.84517
18.588,17.06008,18.57643,18.31218,16.09
18.89656,17.34339,18.82619,18.59513,16.414
19.29211,17.71086,19.1659,18.97056,16.82416
19.7794,18.1682,19.60306,19.44825,17.32491
20.36087,18.72165,20.1421,20.03557,17.91752
21.03633,19.37626,20.78509,20.73715,18.60029
21.80424,20.13495,21.53273,21.55476,19.36941
22.66337,20.99756,22.38486,22.48675,20.21958
23.61229,21.96131,23.33963,23.52888,21.14523
24.64977,23.02147,24.39355,24.67484,22.14131
