"V1","V2","V3","V4","V5"
-2.14031,-1.31251,-1.85713,-1.65677,-1.42525
-2.14812,-1.35359,-1.87473,-1.61385,-1.4018
-2.1631,-1.39793,-1.89287,-1.58769,-1.37971
-2.18817,-1.44846,-1.91814,-1.58769,-1.36724
-2.22387,-1.50834,-1.95765,-1.62225,-1.37317
-2.26812,-1.58025,-2.01773,-1.69704,-1.40535
-2.31597,-1.66474,-2.10202,-1.8127,-1.46874
-2.36014,-1.7596,-2.20994,-1.9639,-1.5637
-2.3922,-1.86046,-2.33692,-2.13978,-1.68496
-2.40436,-1.96134,-2.47557,-2.32588,-1.82258
-2.39064,-2.05469,-2.61708,-2.50604,-1.96382
-2.34615,-2.13106,-2.752,-2.66392,-2.09514
-2.26716,-2.17966,-2.8698,-2.78411,-2.20356
-2.15169,-2.18995,-2.95812,-2.8531,-2.27761
-2.00004,-2.15355,-3.00359,-2.86153,-2.3083
-1.81341,-2.06538,-2.99469,-2.80695,-2.28964
-1.59287,-1.92437,-2.92529,-2.6948,-2.21903
-1.34191,-1.73358,-2.79552,-2.53611,-2.09727
-1.06864,-1.5013,-2.61007,-2.34493,-1.92881
-0.78535,-1.24113,-2.3778,-2.13634,-1.72178
-0.50668,-0.97077,-2.11262,-1.92506,-1.48654
-0.24722,-0.70836,-1.83351,-1.72541,-1.23448
-0.01958,-0.46886,-1.56147,-1.54927,-0.97894
0.16585,-0.2628,-1.31521,-1.40396,-0.73465
0.30172,-0.09657,-1.10888,-1.29257,-0.51634
0.38444,0.02755,-0.95168,-1.21601,-0.33651
0.41542,0.11051,-0.84806,-1.17331,-0.20386
0.40103,0.1544,-0.7983,-1.16121,-0.12242
0.34963,0.16164,-0.79898,-1.17521,-0.09223
0.26873,0.1338,-0.84342,-1.2111,-0.11032
0.16399,0.07181,-0.92261,-1.26587,-0.17146
0.03971,-0.02282,-1.02648,-1.33776,-0.26957
-0.09956,-0.14701,-1.14464,-1.42464,-0.39911
-0.24889,-0.29617,-1.26768,-1.52268,-0.5549
-0.40308,-0.46439,-1.38809,-1.62644,-0.73123
-0.55686,-0.64492,-1.5006,-1.72952,-0.92148
-0.7055,-0.83075,-1.60222,-1.82613,-1.11846
-0.84556,-1.0157,-1.69223,-1.91171,-1.31489
-0.97513,-1.195,-1.7712,-1.98354,-1.50447
-1.09322,-1.36543,-1.84025,-2.0411,-1.68231
-1.19944,-1.52443,-1.90019,-2.08563,-1.84474
-1.29452,-1.66887,-1.9513,-2.11983,-1.98977
-1.38025,-1.79557,-1.99373,-2.147,-2.117
-1.45873,-1.90378,-2.0276,-2.17031,-2.22744
-1.53208,-1.99541,-2.05312,-2.19226,-2.32315
-1.60203,-2.0736,-2.07097,-2.21456,-2.40691
-1.66979,-2.14181,-2.08262,-2.23824,-2.48143
-1.73588,-2.20387,-2.09054,-2.26363,-2.54889
-1.80066,-2.26345,-2.09804,-2.2904,-2.61096
-1.86495,-2.3241,-2.1083,-2.31755,-2.6688
-1.93013,-2.38879,-2.12405,-2.3442,-2.723
-1.99768,-2.45984,-2.14733,-2.37002,-2.77362
-2.06929,-2.53857,-2.17948,-2.39605,-2.82062
-2.1465,-2.62504,-2.22115,-2.42433,-2.86451
-2.23076,-2.71807,-2.27231,-2.45714,-2.90633
-2.32336,-2.81523,-2.33235,-2.49599,-2.94766
-2.42508,-2.91358,-2.40055,-2.54134,-2.99067
-2.53593,-3.01106,-2.47604,-2.59262,-3.03784
-2.65473,-3.10665,-2.55734,-2.64876,-3.09156
-2.77884,-3.1998,-2.64217,-2.70868,-3.15391
-2.90454,-3.29002,-2.72763,-2.77117,-3.22621
-3.02762,-3.37712,-2.81061,-2.83455,-3.30894
-3.14419,-3.46155,-2.88825,-2.89714,-3.40179
-3.25134,-3.54458,-2.95893,-2.95734,-3.50388
-3.34712,-3.62807,-3.02212,-3.01382,-3.61388
-3.43085,-3.71399,-3.07852,-3.06584,-3.72976
-3.50351,-3.80399,-3.12994,-3.11386,-3.84905
-3.56748,-3.89901,-3.17917,-3.15896,-3.96928
-3.62613,-3.99949,-3.22963,-3.20241,-4.08838
-3.68359,-4.10553,-3.28489,-3.24542,-4.20506
-3.74464,-4.21719,-3.34806,-3.28906,-4.31865
-3.81382,-4.33456,-3.42154,-3.33465,-4.42922
-3.8942,-4.45738,-3.5069,-3.38397,-4.53745
-3.98715,-4.58461,-3.60473,-3.43896,-4.64445
-4.09264,-4.71474,-3.71448,-3.50102,-4.75151
-4.20915,-4.84611,-3.8344,-3.57105,-4.85994
-4.33348,-4.9774,-3.96142,-3.64954,-4.97068
-4.46148,-5.10793,-4.09159,-3.73664,-5.08422
-4.58912,-5.23747,-4.22048,-3.83189,-5.20068
-4.71308,-5.36573,-4.3437,-3.9344,-5.31972
-4.83069,-5.49218,-4.45733,-4.04316,-5.44063
-4.94033,-5.6165,-4.55838,-4.15719,-5.56239
-5.04182,-5.73864,-4.64504,-4.27566,-5.68375
-5.13549,-5.8586,-4.71651,-4.39754,-5.80332
-5.22114,-5.97611,-4.77302,-4.52132,-5.91941
-5.29758,-6.09087,-4.81592,-4.6448,-6.03035
-5.36278,-6.2022,-4.84761,-4.76473,-6.13452
-5.41368,-6.3086,-4.87104,-4.87704,-6.23011
-5.44707,-6.407,-4.88914,-4.97725,-6.31504
-5.4607,-6.49322,-4.90436,-5.06173,-6.38749
-5.4543,-6.56311,-4.9185,-5.13013,-6.4466
-5.43029,-6.61418,-4.9337,-5.1851,-6.4929
-5.39408,-6.64719,-4.95284,-5.23076,-6.52787
-5.35289,-6.6661,-4.97872,-5.27196,-6.55347
-5.31425,-6.67681,-5.01267,-5.31366,-6.57177
-5.28472,-6.68525,-5.05402,-5.35996,-6.58467
-5.26809,-6.69566,-5.09977,-5.41341,-6.59324
-5.26528,-6.7093,-5.14484,-5.47381,-6.59721
-5.27471,-6.72442,-5.18286,-5.53804,-6.59498
-5.29287,-6.73696,-5.2075,-5.60055,-6.58406
-5.31472,-6.74158,-5.21323,-5.65453,-6.56161
