"V1","V2","V3","V4","V5"
-11.41698,-14.57999,-13.87376,-13.66587,-18.86698
-11.73327,-14.1911,-13.62203,-13.37772,-18.42423
-12.1089,-13.80983,-13.30623,-13.04768,-17.81987
-12.52881,-13.46792,-12.94389,-12.69299,-17.06783
-12.9759,-13.19667,-12.56099,-12.3395,-16.1981
-13.43327,-13.02417,-12.1921,-12.02233,-15.25515
-13.88607,-12.97022,-11.87836,-11.78351,-14.29476
-14.3198,-13.03729,-11.66008,-11.66297,-13.37661
-14.71428,-13.20392,-11.56604,-11.68541,-12.55458
-15.04185,-13.42879,-11.60713,-11.85069,-11.86942
-15.27136,-13.66155,-11.77629,-12.13222,-11.34323
-15.37681,-13.85449,-12.05065,-12.48659,-10.97837
-15.34618,-13.97018,-12.39501,-12.86426,-10.76089
-15.18509,-13.98575,-12.76622,-13.2162,-10.66491
-14.91539,-13.89449,-13.11933,-13.50111,-10.65837
-14.57036,-13.7051,-13.41459,-13.68901,-10.7091
-14.18638,-13.43815,-13.62371,-13.76268,-10.78857
-13.79485,-13.11922,-13.7316,-13.71714,-10.8737
-13.41789,-12.7739,-13.7333,-13.55757,-10.94759
-13.0699,-12.4244,-13.63272,-13.29681,-10.99887
-12.75718,-12.08627,-13.44097,-12.95364,-11.02077
-12.4782,-11.76678,-13.17442,-12.54873,-11.01105
-12.2242,-11.46399,-12.85234,-12.10023,-10.97149
-11.97936,-11.16803,-12.4929,-11.6228,-10.90636
-11.72599,-10.86577,-12.10901,-11.1279,-10.82019
-11.45084,-10.54586,-11.70673,-10.62466,-10.716
-11.14747,-10.20054,-11.28795,-10.12154,-10.59306
-10.81714,-9.82754,-10.85546,-9.62815,-10.44604
-10.46459,-9.43033,-10.41544,-9.1553,-10.26729
-10.09533,-9.01462,-9.97876,-8.71435,-10.05149
-9.71636,-8.58912,-9.55949,-8.31589,-9.79687
-9.33748,-8.16715,-9.17371,-7.97087,-9.50498
-8.97147,-7.76561,-8.83672,-7.69012,-9.18073
-8.63228,-7.40256,-8.55975,-7.48204,-8.83268
-8.33388,-7.09312,-8.34873,-7.35028,-8.47401
-8.08757,-6.84672,-8.20547,-7.29218,-8.12233
-7.89834,-6.66533,-8.12866,-7.29934,-7.79744
-7.76296,-6.54303,-8.11118,-7.35908,-7.51707
-7.67075,-6.46923,-8.13846,-7.45537,-7.29369
-7.60551,-6.4303,-8.19175,-7.57001,-7.13346
-7.54702,-6.40994,-8.25253,-7.68472,-7.03344
-7.47413,-6.39209,-8.30467,-7.78331,-6.98259
-7.36738,-6.36208,-8.33361,-7.85303,-6.96546
-7.21178,-6.30734,-8.32593,-7.88568,-6.96475
-6.99918,-6.21918,-8.26943,-7.87738,-6.96269
-6.73055,-6.09521,-8.15485,-7.82805,-6.942
-6.41586,-5.93753,-7.97817,-7.74124,-6.88795
-6.07263,-5.7514,-7.74184,-7.62391,-6.78981
-5.71919,-5.54433,-7.45461,-7.48506,-6.64089
-5.36941,-5.32426,-7.12787,-7.33346,-6.43745
-5.03177,-5.09823,-6.77334,-7.17633,-6.17908
-4.71089,-4.87125,-6.4025,-7.01747,-5.86996
-4.40956,-4.64594,-6.02494,-6.85668,-5.51848
-4.12773,-4.42235,-5.64718,-6.69045,-5.13604
-3.86222,-4.19784,-5.27331,-6.514,-4.73449
-3.6077,-3.96883,-4.90574,-6.32378,-4.32323
-3.36004,-3.7336,-4.54438,-6.11798,-3.90881
-3.11736,-3.49331,-4.18793,-5.896,-3.49519
-2.88043,-3.25104,-3.83477,-5.65809,-3.08512
-2.65227,-3.00995,-3.48461,-5.40463,-2.68066
-2.43722,-2.77368,-3.13873,-5.1373,-2.28407
-2.23922,-2.54696,-2.79984,-4.85831,-1.89867
-2.06104,-2.33456,-2.47207,-4.56921,-1.52842
-1.90439,-2.13954,-2.1596,-4.27148,-1.17674
-1.77064,-1.96368,-1.8664,-3.96868,-0.84646
-1.659,-1.80813,-1.59601,-3.66802,-0.54015
-1.56695,-1.67339,-1.35012,-3.37902,-0.26129
-1.49227,-1.55982,-1.12876,-3.1106,-0.01481
-1.43337,-1.46767,-0.93124,-2.86962,0.1926
-1.38741,-1.39694,-0.75779,-2.66083,0.35308
-1.34926,-1.34671,-0.60973,-2.48615,0.46213
-1.3136,-1.31433,-0.48762,-2.34523,0.5215
-1.27592,-1.29629,-0.39086,-2.23478,0.53772
-1.23203,-1.28864,-0.31729,-2.14909,0.5198
-1.17691,-1.28704,-0.26297,-2.08129,0.47708
-1.10607,-1.28642,-0.22261,-2.02302,0.41755
-1.01676,-1.28132,-0.19073,-1.9657,0.34797
-0.90821,-1.26612,-0.16254,-1.9012,0.27527
-0.7799,-1.23567,-0.13367,-1.82239,0.20747
-0.63121,-1.18612,-0.10004,-1.72288,0.15252
-0.46339,-1.11601,-0.05687,-1.59719,0.11677
-0.28016,-1.02706,0.00026,-1.44376,0.10308
-0.08757,-0.92338,0.07314,-1.26495,0.10991
0.10463,-0.8124,0.15853,-1.06658,0.13078
0.28119,-0.70695,0.24784,-0.85864,0.15536
0.42288,-0.62355,0.32863,-0.6557,0.1706
0.50857,-0.57957,0.38748,-0.47689,0.16304
0.51969,-0.59037,0.41243,-0.34378,0.11931
0.44365,-0.6675,0.3947,-0.27845,0.02799
0.27437,-0.81821,0.32883,-0.29916,-0.11721
0.01133,-1.04538,0.21115,-0.41559,-0.31627
-0.33986,-1.34628,0.03861,-0.62851,-0.56425
-0.7673,-1.71212,-0.18925,-0.93311,-0.85339
-1.25651,-2.1294,-0.46844,-1.32117,-1.17392
-1.79184,-2.58251,-0.7918,-1.78166,-1.51347
-2.35717,-3.05576,-1.14897,-2.30068,-1.85789
-2.9366,-3.53484,-1.52744,-2.86138,-2.19395
-3.51432,-4.00527,-1.91385,-3.4443,-2.51096
-4.07469,-4.45245,-2.29643,-4.02912,-2.80162
-4.60091,-4.86197,-2.66606,-4.59696,-3.06138
-5.07563,-5.22123,-3.0164,-5.13205,-3.28793
