"V1","V2","V3","V4","V5"
-0.00101,-0.0012,-0.00119,-0.00064,-0.00152
-0.00215,-0.00251,-0.00244,-0.00166,-0.00283
-0.00366,-0.00422,-0.00409,-0.00303,-0.00449
-0.00555,-0.0063,-0.00611,-0.00469,-0.00646
-0.00775,-0.00863,-0.0084,-0.00654,-0.00866
-0.01013,-0.01104,-0.01081,-0.00843,-0.01091
-0.01256,-0.01338,-0.01318,-0.01026,-0.01308
-0.01488,-0.0155,-0.01538,-0.01195,-0.01505
-0.01698,-0.0173,-0.0173,-0.01346,-0.01672
-0.01877,-0.0187,-0.01884,-0.01476,-0.01801
-0.02017,-0.01965,-0.01995,-0.01585,-0.01891
-0.02113,-0.02016,-0.02064,-0.0167,-0.01941
-0.02164,-0.02027,-0.02093,-0.01734,-0.01955
-0.02172,-0.02005,-0.0209,-0.01778,-0.01937
-0.02138,-0.01956,-0.0206,-0.01803,-0.01891
-0.02068,-0.01887,-0.02011,-0.01812,-0.01821
-0.01967,-0.01804,-0.01948,-0.01806,-0.01727
-0.01839,-0.01712,-0.01876,-0.01788,-0.01613
-0.01689,-0.01612,-0.01799,-0.01759,-0.01478
-0.01523,-0.01506,-0.01719,-0.01719,-0.01323
-0.01342,-0.01395,-0.01637,-0.01669,-0.01146
-0.01149,-0.01278,-0.01553,-0.01608,-0.00947
-0.00945,-0.01154,-0.01466,-0.01534,-0.00727
-0.00731,-0.0102,-0.01374,-0.01445,-0.00486
-0.00508,-0.00877,-0.01275,-0.01338,-0.00228
-0.00278,-0.00723,-0.0117,-0.01214,0.00044
-0.00043,-0.0056,-0.01057,-0.01071,0.00323
0.00193,-0.00387,-0.00935,-0.0091,0.00604
0.00427,-0.00207,-0.00807,-0.00732,0.0088
0.00655,-2e-04,-0.00672,-0.00539,0.01147
0.00876,0.00173,-0.00531,-0.00332,0.01401
0.01088,0.00371,-0.00386,-0.00113,0.0164
0.01291,0.00575,-0.00236,0.00117,0.01863
0.01485,0.00783,-0.00081,0.00354,0.02071
0.0167,0.00996,0.00078,0.00597,0.02264
0.01848,0.01213,0.00242,0.00845,0.02443
0.02017,0.01433,0.00412,0.01095,0.0261
0.02179,0.01654,0.00588,0.01348,0.02767
0.02335,0.01877,0.00771,0.01601,0.02916
0.02485,0.02099,0.00962,0.01853,0.0306
0.02631,0.0232,0.0116,0.02104,0.03201
0.02773,0.02539,0.01366,0.02353,0.03343
0.02913,0.02757,0.0158,0.026,0.03488
0.03053,0.02974,0.01803,0.02843,0.0364
0.03194,0.03189,0.02033,0.03084,0.03801
0.03338,0.03404,0.02272,0.03321,0.03975
0.03487,0.03618,0.02517,0.03555,0.04162
0.03643,0.03834,0.0277,0.03786,0.04365
0.03807,0.04051,0.03029,0.04012,0.04583
0.0398,0.04271,0.03296,0.04234,0.04816
0.04164,0.04494,0.0357,0.04452,0.05062
0.04358,0.0472,0.03851,0.04666,0.05319
0.04563,0.0495,0.04139,0.04877,0.05583
0.04778,0.05183,0.04434,0.05084,0.0585
0.05004,0.05419,0.04735,0.05287,0.06117
0.05238,0.05657,0.05041,0.05486,0.06379
0.05481,0.05896,0.05352,0.05681,0.06633
0.05731,0.06137,0.05665,0.05871,0.06877
0.05986,0.06379,0.05979,0.06056,0.07109
0.06246,0.06621,0.0629,0.06237,0.07329
0.06507,0.06863,0.06597,0.06414,0.07536
0.06768,0.07104,0.06896,0.06585,0.07732
0.07026,0.07343,0.07184,0.0675,0.07917
0.07278,0.0758,0.0746,0.06909,0.08092
0.07523,0.07813,0.0772,0.0706,0.08256
0.07758,0.08039,0.07964,0.07203,0.08409
0.07982,0.08257,0.08189,0.07337,0.08552
0.08193,0.08465,0.08395,0.07463,0.08684
0.08391,0.0866,0.08581,0.07579,0.08803
0.08575,0.0884,0.08749,0.07687,0.0891
0.08744,0.09003,0.08896,0.07786,0.09003
0.08897,0.09148,0.09024,0.07876,0.09081
0.09033,0.09271,0.09133,0.07958,0.09143
0.09151,0.09372,0.09221,0.08031,0.09187
0.0925,0.09449,0.09289,0.08096,0.09211
0.09327,0.095,0.09335,0.08149,0.09212
0.09379,0.09521,0.09358,0.0819,0.09188
0.094,0.09509,0.09356,0.08214,0.09137
0.09386,0.09462,0.09327,0.08216,0.09054
0.09332,0.09373,0.09266,0.0819,0.08936
0.09229,0.09239,0.09171,0.0813,0.0878
0.09073,0.09055,0.09035,0.08028,0.08581
0.08858,0.08816,0.08854,0.07878,0.08335
0.08579,0.08517,0.0862,0.07673,0.0804
0.08233,0.08156,0.08328,0.0741,0.07692
0.07817,0.07732,0.07973,0.07085,0.0729
0.07334,0.07245,0.07552,0.06697,0.06834
0.06787,0.06699,0.07064,0.06249,0.06327
0.06183,0.061,0.06513,0.05745,0.05774
0.05533,0.0546,0.05905,0.05194,0.05182
0.04853,0.0479,0.05253,0.04607,0.04564
0.0416,0.04108,0.04573,0.04,0.03933
0.03473,0.03432,0.03882,0.03388,0.03306
0.02813,0.0278,0.03203,0.02791,0.02701
0.02198,0.02172,0.02557,0.02227,0.02136
0.01644,0.01622,0.01962,0.01713,0.01625
0.01164,0.01142,0.01435,0.01263,0.0118
0.00762,0.00739,0.00988,0.00883,0.00808
0.00441,0.00416,0.00624,0.00573,0.0051
0.00195,0.00169,0.00341,0.00329,0.00279
0.00015,-1e-04,0.0013,0.00141,0.00108
