"V1","V2","V3","V4","V5"
0.01451,0.01896,0.01418,0.01578,0.01402
0.01549,0.02024,0.01694,0.01474,0.01468
0.0169,0.02156,0.01996,0.01373,0.0153
0.01864,0.02316,0.02286,0.01319,0.01574
0.02051,0.02425,0.02482,0.01317,0.01554
0.0219,0.02383,0.02519,0.01321,0.01437
0.02263,0.02236,0.02382,0.01329,0.01305
0.02321,0.02095,0.02197,0.0139,0.01258
0.02446,0.0207,0.02119,0.01578,0.01407
0.02717,0.02248,0.02261,0.01937,0.01821
0.03169,0.02631,0.02666,0.02466,0.02485
0.0376,0.03156,0.03264,0.03087,0.03267
0.04399,0.03699,0.0393,0.03684,0.04006
0.0495,0.04133,0.04523,0.04124,0.0456
0.05325,0.04363,0.04925,0.0432,0.04845
0.05445,0.0434,0.05079,0.04251,0.04838
0.05303,0.04095,0.04968,0.03956,0.04552
0.04965,0.03698,0.04647,0.03521,0.04069
0.04508,0.03237,0.04186,0.03055,0.03522
0.04006,0.02805,0.03675,0.02649,0.03013
0.03533,0.02439,0.03192,0.02357,0.02611
0.03133,0.02189,0.02796,0.02197,0.02339
0.02844,0.02077,0.02533,0.02143,0.02226
0.02678,0.02055,0.02404,0.02166,0.02247
0.02636,0.02079,0.02372,0.02218,0.02347
0.02695,0.02105,0.02392,0.02269,0.02466
0.02796,0.02123,0.02423,0.02305,0.02555
0.02913,0.02133,0.02469,0.02329,0.0259
0.03015,0.02132,0.02482,0.02342,0.02551
0.03067,0.02117,0.02453,0.02344,0.02441
0.03043,0.02083,0.02377,0.02327,0.02274
0.02942,0.02032,0.02277,0.02288,0.02086
0.02781,0.01974,0.02156,0.02228,0.01905
0.02577,0.0191,0.02042,0.02134,0.01723
0.0234,0.0184,0.01925,0.02017,0.01552
0.02075,0.0177,0.01798,0.01882,0.01393
0.01836,0.01708,0.01648,0.01736,0.01261
0.01655,0.01646,0.01504,0.01565,0.0117
0.01518,0.01583,0.01435,0.01401,0.0111
0.01409,0.01531,0.01412,0.01286,0.01071
0.01333,0.01482,0.01399,0.01193,0.01043
0.01271,0.01432,0.01389,0.01105,0.01019
0.01222,0.01387,0.01375,0.01011,0.00991
0.01175,0.01343,0.01348,0.0092,0.00955
0.0112,0.01306,0.01309,0.00835,0.00933
0.01048,0.01275,0.01266,0.00765,0.00929
0.0098,0.01255,0.01216,0.00706,0.00929
0.00932,0.01235,0.0117,0.00672,0.00901
0.00906,0.01221,0.01122,0.0067,0.00871
0.00885,0.01188,0.01071,0.00677,0.00841
0.00876,0.01152,0.01016,0.00689,0.00817
0.00851,0.01112,0.00956,0.00682,0.00798
0.00833,0.0106,0.00894,0.0066,0.00762
0.00813,0.00986,0.00851,0.00628,0.0069
0.00772,0.00895,0.00814,0.006,0.00572
0.00703,0.00784,0.00801,0.00548,0.00417
0.00617,0.00674,0.00809,0.00475,0.00243
0.00516,0.00564,0.00801,0.00366,0.00053
0.00398,0.00453,0.00758,0.00241,-0.00136
0.00273,0.00334,0.00673,0.00088,-0.00308
0.00146,0.00193,0.00554,-0.00078,-0.00447
0.00016,0.00043,0.00414,-0.00252,-0.00553
-0.00115,-0.00124,0.00253,-0.00436,-0.00663
-0.0023,-0.003,0.00069,-0.00643,-0.00788
-0.00344,-0.00484,-0.00131,-0.00852,-0.00923
-0.00458,-0.00665,-0.00352,-0.01056,-0.01065
-0.0057,-0.00855,-0.00579,-0.01251,-0.01213
-0.00683,-0.01043,-0.00818,-0.01445,-0.01351
-0.00806,-0.01229,-0.01054,-0.01635,-0.01479
-0.00938,-0.01415,-0.01281,-0.01805,-0.0161
-0.01075,-0.01588,-0.01495,-0.01949,-0.01743
-0.01214,-0.0175,-0.01701,-0.02056,-0.01865
-0.01355,-0.01897,-0.01902,-0.02131,-0.01985
-0.01509,-0.02034,-0.02089,-0.02187,-0.02096
-0.0166,-0.02149,-0.02254,-0.02238,-0.02203
-0.01822,-0.02248,-0.02399,-0.02284,-0.02311
-0.0199,-0.02339,-0.02521,-0.02346,-0.02411
-0.02156,-0.02419,-0.02615,-0.02423,-0.02511
-0.02328,-0.02496,-0.02693,-0.02524,-0.02612
-0.02501,-0.02576,-0.02764,-0.02629,-0.02719
-0.02695,-0.02663,-0.0285,-0.02764,-0.02843
-0.02903,-0.02771,-0.02948,-0.02914,-0.0297
-0.03135,-0.02911,-0.03086,-0.03076,-0.03106
-0.03369,-0.03076,-0.0326,-0.03244,-0.03236
-0.0359,-0.03243,-0.03461,-0.03406,-0.03335
-0.03773,-0.03395,-0.03673,-0.03554,-0.03402
-0.03895,-0.03513,-0.03868,-0.03656,-0.03411
-0.03938,-0.03571,-0.04018,-0.0372,-0.03378
-0.03914,-0.03572,-0.04093,-0.03725,-0.03303
-0.03813,-0.03518,-0.04082,-0.0367,-0.032
-0.03659,-0.03392,-0.04004,-0.03551,-0.03074
-0.03441,-0.03215,-0.03863,-0.03365,-0.02931
-0.0319,-0.02988,-0.03682,-0.0312,-0.02765
-0.02913,-0.02742,-0.03452,-0.02816,-0.02573
-0.0264,-0.02501,-0.03186,-0.02476,-0.02381
-0.02394,-0.02294,-0.02903,-0.02129,-0.0219
-0.02171,-0.02131,-0.02634,-0.01798,-0.02022
-0.02002,-0.02029,-0.02389,-0.01524,-0.01879
-0.01878,-0.01979,-0.02171,-0.01318,-0.01759
-0.01811,-0.0198,-0.01988,-0.01182,-0.01683
-0.01802,-0.02005,-0.01847,-0.01114,-0.01634
