"V1","V2","V3","V4","V5"
-0.00409,0.00725,-0.00271,-0.00851,-0.00716
-0.00129,0.01024,2e-04,-0.00612,-0.00606
0.00171,0.01258,0.00305,-0.00328,-0.00443
0.00497,0.01421,0.00574,-0.00021,-0.00219
0.00832,0.01513,0.00813,0.00298,7e-04
0.01161,0.01585,0.01014,0.00621,0.00391
0.01457,0.01656,0.01198,0.00943,0.00721
0.01722,0.01745,0.01381,0.0126,0.01053
0.01971,0.01874,0.01583,0.01573,0.01395
0.02208,0.02043,0.01834,0.01874,0.01757
0.02454,0.02277,0.02132,0.02164,0.02131
0.02737,0.02584,0.02478,0.02453,0.02492
0.03078,0.0296,0.02864,0.02755,0.02855
0.03477,0.03363,0.03268,0.03082,0.03232
0.03949,0.03762,0.03662,0.03422,0.03612
0.04475,0.04117,0.0404,0.03763,0.0403
0.05031,0.04421,0.04414,0.04105,0.04486
0.0556,0.04658,0.04779,0.04416,0.04981
0.06018,0.04842,0.05108,0.04689,0.05451
0.06385,0.04981,0.05376,0.04918,0.05854
0.0664,0.05118,0.05611,0.05135,0.06189
0.06815,0.05272,0.05824,0.05356,0.06463
0.06938,0.05438,0.06003,0.05578,0.06706
0.07033,0.05601,0.06152,0.05802,0.0691
0.07124,0.05753,0.06279,0.06039,0.07093
0.07204,0.05892,0.0638,0.06274,0.07245
0.07259,0.06021,0.06469,0.06503,0.07345
0.07296,0.06128,0.06543,0.06711,0.07374
0.07299,0.06213,0.06593,0.06888,0.07343
0.07252,0.06272,0.06608,0.07029,0.07285
0.07155,0.06313,0.06587,0.07117,0.07211
0.07017,0.06344,0.06559,0.07158,0.07141
0.06867,0.06388,0.06528,0.07166,0.07085
0.06736,0.06444,0.06511,0.07148,0.07038
0.06624,0.06501,0.06493,0.07133,0.07008
0.06528,0.06554,0.06479,0.07122,0.06984
0.06455,0.06597,0.06462,0.07098,0.0697
0.06419,0.06625,0.06445,0.07059,0.06971
0.06391,0.06627,0.06453,0.0702,0.06969
0.06353,0.0661,0.06462,0.07022,0.0696
0.06295,0.06577,0.06451,0.07036,0.0693
0.0622,0.06532,0.06424,0.07042,0.0687
0.06131,0.0648,0.06372,0.0703,0.06801
0.06034,0.06441,0.06301,0.07006,0.06727
0.05927,0.06412,0.06237,0.06977,0.06655
0.05825,0.06392,0.06186,0.0693,0.06587
0.05731,0.06388,0.06153,0.0688,0.06527
0.05652,0.06369,0.06124,0.06818,0.06485
0.05587,0.06337,0.06114,0.06742,0.06452
0.05533,0.06295,0.06128,0.06675,0.06422
0.05492,0.06259,0.06174,0.06638,0.06422
0.05465,0.06252,0.06224,0.06596,0.06438
0.05457,0.06253,0.0626,0.06533,0.06456
0.05467,0.06264,0.06297,0.06458,0.06473
0.05491,0.06279,0.06332,0.06389,0.06511
0.05536,0.06313,0.06352,0.06339,0.06579
0.0559,0.0636,0.06363,0.06316,0.06675
0.05666,0.06425,0.06379,0.0631,0.06772
0.05747,0.06488,0.06406,0.06305,0.06868
0.05831,0.06545,0.06442,0.06286,0.06959
0.05923,0.06591,0.06476,0.06269,0.07026
0.06015,0.06633,0.06522,0.06278,0.07088
0.06125,0.06688,0.06579,0.06298,0.07163
0.0622,0.06745,0.06633,0.06324,0.07247
0.06284,0.0681,0.06688,0.06335,0.07334
0.0633,0.06883,0.06739,0.0633,0.0741
0.06386,0.06956,0.06786,0.0632,0.07484
0.06451,0.07013,0.06835,0.06318,0.07553
0.06516,0.07051,0.06874,0.06309,0.07601
0.06579,0.07082,0.06902,0.06285,0.07621
0.06628,0.07105,0.06921,0.06249,0.07604
0.06664,0.07114,0.06917,0.06206,0.0757
0.06676,0.07098,0.06883,0.06148,0.07511
0.06665,0.07043,0.06817,0.06069,0.07435
0.06631,0.06955,0.0673,0.05984,0.07335
0.06567,0.06854,0.06616,0.05884,0.07207
0.06469,0.06723,0.06504,0.05774,0.07064
0.06339,0.06565,0.06371,0.05642,0.06912
0.06183,0.06384,0.06216,0.05502,0.0675
0.06006,0.06187,0.06031,0.05355,0.06565
0.05815,0.05983,0.05834,0.05199,0.06366
0.05622,0.05766,0.05628,0.05034,0.0616
0.0543,0.05559,0.0541,0.04861,0.05943
0.05248,0.05356,0.05191,0.04682,0.05727
0.05073,0.05151,0.04977,0.0449,0.05509
0.04909,0.04948,0.0477,0.04283,0.05294
0.04734,0.04748,0.0456,0.04046,0.05066
0.04546,0.04542,0.04353,0.03776,0.04822
0.04325,0.04309,0.04122,0.0347,0.04562
0.04054,0.04026,0.03847,0.03122,0.04278
0.03726,0.03679,0.0351,0.02736,0.03958
0.03333,0.03257,0.03107,0.02313,0.03585
0.02871,0.02776,0.0264,0.01863,0.03156
0.02352,0.02264,0.02112,0.01399,0.02676
0.01792,0.01738,0.01545,0.00934,0.02144
0.01221,0.01216,0.00975,0.00478,0.0159
0.00669,0.00708,0.00433,0.00052,0.01035
0.00168,0.00255,-0.00054,-0.00313,0.00493
-0.0029,-0.00151,-0.00471,-0.00611,-5e-05
-0.00693,-0.005,-0.00807,-0.00838,-0.00446
-0.01031,-0.00798,-0.01061,-0.01001,-0.00839
