"V1","V2","V3","V4","V5"
0.00115,-0.01286,-0.00467,-0.00577,0.00375
0.00416,-0.00845,-0.00287,-0.00389,0.00801
0.00666,-0.00359,-0.00091,-0.00254,0.01177
0.00876,0.00136,0.00134,-0.0014,0.01468
0.01056,0.00663,0.00385,-0.00025,0.01628
0.01176,0.01206,0.00608,0.0013,0.01577
0.01176,0.01637,0.00727,0.00298,0.01244
0.01027,0.01853,0.00686,0.00449,0.00671
0.00765,0.01811,0.00488,0.00552,-3e-04
0.00482,0.01528,0.00184,0.00582,-0.00692
0.00235,0.01059,-0.00157,0.00512,-0.01163
0.00075,0.0046,-0.00468,0.00336,-0.01363
-0.00021,-0.00176,-0.00712,0.00078,-0.01316
-8e-04,-0.00781,-0.00855,-0.00219,-0.01094
-0.00135,-0.01276,-0.00933,-0.00521,-0.00787
-0.00202,-0.01626,-0.00997,-0.00821,-0.0051
-0.00288,-0.01829,-0.01056,-0.01118,-0.0031
-0.00415,-0.01898,-0.01117,-0.01366,-0.00231
-0.00608,-0.01834,-0.01152,-0.01546,-0.00278
-0.0085,-0.01681,-0.01156,-0.01641,-0.00427
-0.01118,-0.01439,-0.01136,-0.0167,-0.0064
-0.01382,-0.01158,-0.01105,-0.01633,-0.00858
-0.01616,-0.00893,-0.01097,-0.01505,-0.0107
-0.0177,-0.00648,-0.0111,-0.01319,-0.01241
-0.01846,-0.00427,-0.011,-0.01118,-0.01341
-0.01848,-0.00245,-0.01077,-0.00931,-0.01379
-0.01769,-0.00139,-0.01051,-0.00767,-0.01354
-0.01647,-0.00098,-0.01064,-0.00644,-0.01271
-0.01495,-0.0013,-0.01061,-0.00565,-0.01152
-0.01324,-0.002,-0.01036,-0.00539,-0.01011
-0.01136,-0.00279,-0.00974,-0.00542,-0.00869
-0.00932,-0.00357,-0.00896,-0.00551,-0.00743
-0.00759,-0.00422,-0.00809,-0.00565,-0.00631
-0.00647,-0.00472,-0.00726,-0.00551,-0.00507
-0.00569,-0.00502,-0.00657,-0.00526,-0.00401
-0.00521,-0.00505,-0.00614,-0.005,-0.00327
-0.00515,-0.00488,-0.0059,-0.00478,-0.00274
-0.00541,-0.0047,-0.00582,-0.0046,-0.00228
-0.00582,-0.0047,-0.0059,-0.00451,-0.00218
-0.00608,-0.00495,-0.00611,-0.00416,-0.00235
-0.00627,-0.0051,-0.00633,-0.00373,-0.00255
-0.00613,-0.00503,-0.00658,-0.00319,-0.00251
-0.00597,-0.00482,-0.00661,-0.00252,-0.00238
-0.00574,-0.00436,-0.00638,-0.00196,-0.00217
-0.00548,-0.00367,-0.00582,-0.00134,-0.00189
-0.00522,-0.00278,-0.00514,-0.00082,-0.00161
-0.00479,-0.00186,-0.00419,-0.00039,-0.00136
-0.00421,-0.00104,-0.00327,-0.00042,-0.00107
-0.00369,-0.00064,-0.0023,-0.00111,-0.00096
-0.00306,-0.00055,-0.00138,-0.00185,-0.00078
-0.00259,-5e-04,-0.00052,-0.00244,-0.00062
-0.00216,-0.00036,0.00014,-0.00283,-0.00032
-0.0018,-3e-05,0.00075,-0.00295,0.00019
-0.00142,0.00048,0.00112,-0.00277,0.00093
-0.00094,0.00129,0.00127,-0.00228,0.0017
-0.00029,0.00234,0.00121,-0.0014,0.00248
0.00034,0.00326,0.00079,-0.00054,0.00319
0.00109,0.00382,0.00029,3e-04,0.00377
0.00181,0.00417,0,0.00095,0.00428
0.00263,0.00448,3e-05,0.00131,0.0046
0.00359,0.0049,0.00031,0.00125,0.00442
0.00446,0.00531,0.00065,0.00112,0.00403
0.00492,0.00567,0.00089,0.00106,0.00365
0.00487,0.00594,0.00116,0.00109,0.00353
0.00462,0.0058,0.00122,0.0011,0.00348
0.0043,0.00532,0.00118,0.00079,0.00345
0.00383,0.00466,0.00094,0.00024,0.0031
0.00333,0.00397,0.00069,-0.00041,0.00228
0.00287,0.00315,0.00028,-0.00101,0.00126
0.00234,0.00226,-0.00025,-0.00165,0.00026
0.00185,0.00129,-0.00093,-0.00223,-5e-04
0.00123,0.00031,-0.00153,-0.00277,-0.00129
0.00056,-0.00062,-0.00208,-0.00318,-0.00199
-3e-05,-0.00144,-0.00246,-0.00345,-0.0027
-0.00073,-0.00206,-0.00278,-0.00338,-0.00318
-0.00153,-0.00253,-0.00296,-0.00317,-0.00361
-0.00235,-0.00288,-0.00315,-0.00285,-0.00378
-0.00329,-0.00313,-0.00346,-0.00237,-0.00417
-0.00417,-0.00324,-0.0037,-0.0019,-0.00455
-0.0049,-0.00331,-0.00378,-0.00176,-0.00482
-0.0052,-0.00338,-0.00382,-0.00163,-0.00497
-0.00515,-0.00324,-0.004,-0.00152,-0.00497
-0.00449,-0.00272,-0.00394,-0.00138,-0.0045
-0.00328,-0.00193,-0.00369,-0.00099,-0.00369
-0.00147,-0.00089,-0.0031,-5e-04,-0.00278
0.00071,2e-04,-0.00214,0.00023,-0.00171
0.00271,0.00125,-0.00108,0.00091,-0.00077
0.00421,0.00205,2e-05,0.00167,-0.00017
0.00529,0.00263,0.00111,0.00241,0.00029
0.00566,0.00298,0.00186,0.00328,0.00055
0.00555,0.00295,0.00225,0.00415,0.00078
0.00496,0.00281,0.00238,0.00481,0.00115
0.00399,0.0024,0.00226,0.00521,0.00152
0.00285,0.00194,0.00199,0.00515,0.00195
0.00186,0.00151,0.00177,0.00469,0.00262
0.00114,0.00136,0.0016,0.00401,0.00342
0.00081,0.00161,0.00157,0.00317,0.00419
0.00087,0.00209,0.00187,0.00235,0.00489
0.00117,0.00279,0.0026,0.00164,0.00553
0.00177,0.00366,0.0036,0.00125,0.00603
0.00241,0.00452,0.0048,0.00107,0.00619
