"V1","V2","V3","V4","V5"
-0.01009,-0.01117,-0.00974,-0.01138,-0.00861
-0.00926,-0.0102,-0.00912,-0.01024,-0.00742
-0.00814,-0.00879,-0.0082,-0.0088,-0.00593
-0.00667,-0.00697,-0.00688,-0.0071,-0.0041
-0.0048,-0.00459,-0.00499,-0.00515,-0.00178
-0.00239,-0.00149,-0.00238,-0.00286,0.00117
0.00065,0.00224,0.00101,-0.00017,0.00467
0.00423,0.00635,0.00493,0.00283,0.00848
0.0081,0.01054,0.00903,0.00598,0.0123
0.01199,0.01451,0.01299,0.00912,0.01585
0.01568,0.01813,0.0166,0.01214,0.01899
0.01911,0.02139,0.01988,0.01507,0.02185
0.02231,0.02434,0.02292,0.01799,0.0246
0.02541,0.02708,0.02582,0.02103,0.02742
0.02842,0.02962,0.02866,0.02421,0.03036
0.03138,0.032,0.03147,0.02747,0.03341
0.03427,0.03414,0.03423,0.03067,0.03651
0.03694,0.03598,0.03687,0.03364,0.03951
0.03928,0.03745,0.0393,0.03626,0.04218
0.0412,0.0385,0.04143,0.03841,0.04437
0.04264,0.03915,0.04321,0.04005,0.04602
0.04363,0.03941,0.04464,0.04123,0.04715
0.04421,0.03931,0.04571,0.04201,0.04777
0.04446,0.03895,0.04644,0.04248,0.04795
0.04443,0.0384,0.04688,0.04274,0.04775
0.04416,0.03775,0.04712,0.04282,0.04725
0.04373,0.037,0.04719,0.04274,0.04647
0.04315,0.03613,0.04705,0.04249,0.04541
0.04241,0.03515,0.04674,0.04202,0.0441
0.04155,0.03405,0.04625,0.04136,0.04258
0.04058,0.03288,0.04559,0.04051,0.04086
0.03952,0.03163,0.04475,0.0395,0.03895
0.03838,0.03032,0.04375,0.03834,0.0369
0.03719,0.02899,0.04259,0.03709,0.03478
0.03595,0.02763,0.04128,0.03576,0.03264
0.0347,0.02626,0.03989,0.03437,0.03048
0.0334,0.02487,0.03848,0.03293,0.02831
0.03203,0.02349,0.03702,0.03146,0.02613
0.03063,0.02212,0.03546,0.02992,0.02395
0.02923,0.02076,0.03383,0.02829,0.02178
0.02781,0.01944,0.0322,0.02663,0.01963
0.02641,0.01816,0.03057,0.02496,0.01752
0.02503,0.01692,0.02895,0.02329,0.01552
0.02367,0.01573,0.02734,0.02162,0.01366
0.02235,0.01461,0.02576,0.01998,0.01194
0.02104,0.01356,0.0242,0.01836,0.01034
0.01975,0.01258,0.0227,0.01679,0.00891
0.01855,0.01164,0.02124,0.01527,0.00767
0.01741,0.01067,0.01983,0.01383,0.00661
0.01637,0.00975,0.01847,0.0125,0.00572
0.01537,0.00886,0.01719,0.01132,0.00494
0.01445,0.00797,0.01597,0.01033,0.00429
0.01355,0.00708,0.01481,0.00953,0.00376
0.01269,0.00622,0.01367,0.00892,0.0033
0.01188,0.00538,0.01258,0.00846,0.00293
0.01112,0.00459,0.01151,0.00818,0.0026
0.01037,0.0038,0.01049,0.00802,0.00228
0.00961,0.00304,0.00956,0.008,0.00199
0.00887,0.0023,0.00874,0.00804,0.00172
0.00811,0.00162,0.00805,0.00814,0.00147
0.00735,0.00104,0.00745,0.00832,0.00122
0.0066,0.00055,0.00694,0.00857,0.00102
0.00587,0.00019,0.00654,0.00886,0.00093
0.00514,-1e-05,0.00626,0.00919,0.00098
0.00448,-5e-05,0.0061,0.00952,0.00118
0.00391,7e-05,0.00608,0.00988,0.00151
0.00346,0.00039,0.00618,0.01029,0.002
0.00315,0.00089,0.00643,0.0108,0.00261
0.00303,0.00156,0.0068,0.01142,0.00336
0.00313,0.00244,0.00731,0.01214,0.00425
0.00342,0.00346,0.00794,0.01297,0.00527
0.00392,0.00464,0.00869,0.0139,0.00641
0.0046,0.00593,0.00958,0.01491,0.00763
0.00549,0.00734,0.01057,0.01598,0.00893
0.00654,0.0088,0.01163,0.01711,0.01024
0.00775,0.01033,0.01277,0.01825,0.01158
0.00909,0.0119,0.01397,0.0194,0.01289
0.0105,0.0135,0.01519,0.02052,0.01418
0.01196,0.0151,0.01642,0.02159,0.01541
0.01343,0.01668,0.01764,0.02256,0.01658
0.01493,0.01825,0.01889,0.02346,0.01771
0.01644,0.0198,0.02013,0.02425,0.01876
0.01798,0.02135,0.02139,0.02494,0.01976
0.01949,0.02288,0.02265,0.02557,0.0207
0.02095,0.02432,0.02388,0.02611,0.02157
0.02233,0.02562,0.02505,0.02658,0.02235
0.02354,0.02672,0.02614,0.02693,0.023
0.02452,0.02751,0.02705,0.02715,0.02353
0.02521,0.02793,0.02766,0.02712,0.02383
0.02551,0.0279,0.02787,0.02677,0.02384
0.02536,0.02733,0.02763,0.02603,0.02351
0.02466,0.0262,0.02686,0.02483,0.02276
0.02338,0.02447,0.02551,0.02315,0.02154
0.02151,0.02222,0.02355,0.02097,0.01984
0.01913,0.01954,0.02104,0.01837,0.01773
0.01638,0.0166,0.01812,0.01543,0.01529
0.01341,0.01358,0.01496,0.01229,0.01268
0.01048,0.01067,0.01173,0.00918,0.01
0.00773,0.00803,0.0086,0.00628,0.00742
0.00535,0.00579,0.00579,0.00378,0.0051
0.00347,0.004,0.00344,0.0018,0.00315
