"V1","V2","V3","V4","V5"
-0.00093,0.00274,0.00017,6e-05,-0.00213
-7e-04,0.00323,0.00055,0.00033,-0.00223
-0.00029,0.00379,0.00104,7e-04,-0.00205
0.00035,0.00441,0.00168,0.00115,-0.00155
0.00124,0.00507,0.00242,0.00171,-0.00071
0.00236,0.00586,0.0033,0.00237,0.00045
0.00372,0.00678,0.00434,0.00318,0.00193
0.00539,0.00792,0.00565,0.00421,0.0038
0.00745,0.00942,0.00736,0.00556,0.0061
0.00997,0.0113,0.00954,0.00726,0.00883
0.01291,0.01352,0.01213,0.0093,0.01187
0.01625,0.01594,0.01501,0.01159,0.01508
0.01988,0.01845,0.01809,0.01407,0.01843
0.02368,0.02095,0.02121,0.01667,0.02191
0.02751,0.02336,0.02427,0.01934,0.02539
0.03116,0.02559,0.02713,0.02203,0.02873
0.0344,0.0276,0.0297,0.0247,0.03175
0.03709,0.02934,0.03192,0.02727,0.03432
0.03913,0.03079,0.03377,0.02964,0.03637
0.04054,0.03195,0.03519,0.03175,0.03791
0.04138,0.03289,0.03626,0.03363,0.03901
0.04177,0.03369,0.03705,0.0353,0.03979
0.04185,0.03438,0.0376,0.03677,0.04035
0.0417,0.03499,0.03797,0.03803,0.04076
0.04144,0.03551,0.03823,0.03912,0.04109
0.04111,0.03596,0.0384,0.04004,0.04137
0.04074,0.03635,0.03852,0.04078,0.04156
0.04033,0.03666,0.03861,0.04133,0.04164
0.03986,0.03686,0.03869,0.04168,0.04159
0.03929,0.03693,0.03871,0.04184,0.04141
0.03864,0.03689,0.03869,0.04178,0.0411
0.0379,0.03674,0.03862,0.04154,0.04069
0.03712,0.03652,0.03849,0.04114,0.0402
0.0363,0.03624,0.03828,0.0406,0.03963
0.03546,0.03588,0.03797,0.03997,0.03901
0.03462,0.03546,0.03756,0.03927,0.03833
0.03379,0.03497,0.03705,0.03847,0.03761
0.03303,0.03442,0.03649,0.03761,0.03687
0.03229,0.03382,0.03589,0.0367,0.03611
0.03155,0.0332,0.03528,0.03581,0.03537
0.03082,0.03255,0.03465,0.03492,0.03464
0.0301,0.03191,0.03402,0.03404,0.03391
0.02939,0.03128,0.03338,0.03315,0.03323
0.02869,0.0307,0.03274,0.03227,0.0326
0.02799,0.03016,0.03211,0.03144,0.03203
0.02734,0.02965,0.03151,0.03064,0.03148
0.02672,0.02919,0.03092,0.02988,0.03097
0.02618,0.02872,0.03031,0.02916,0.03052
0.02569,0.02829,0.02971,0.02848,0.03011
0.02526,0.02791,0.02913,0.02786,0.02975
0.02489,0.02757,0.02861,0.02733,0.02948
0.02459,0.0273,0.02812,0.02683,0.02928
0.02435,0.02707,0.02764,0.02638,0.02913
0.02415,0.0269,0.02722,0.02597,0.02899
0.02401,0.02677,0.02683,0.02563,0.02893
0.02392,0.02671,0.02651,0.02532,0.02895
0.02387,0.0267,0.02624,0.02508,0.02905
0.0239,0.02673,0.02603,0.02485,0.02917
0.02397,0.02678,0.02587,0.02463,0.02932
0.02408,0.02683,0.0257,0.02439,0.0295
0.02425,0.02689,0.02549,0.02417,0.02968
0.02446,0.02695,0.0253,0.02399,0.02992
0.02471,0.02704,0.02512,0.02382,0.03024
0.02494,0.02716,0.02498,0.02366,0.03061
0.02518,0.02731,0.02487,0.02346,0.03104
0.02543,0.02752,0.02479,0.02326,0.03148
0.02574,0.02777,0.02477,0.02312,0.03197
0.02612,0.02803,0.02482,0.02305,0.0325
0.02654,0.0283,0.02494,0.02305,0.03302
0.02698,0.02858,0.0251,0.02309,0.03353
0.02742,0.02887,0.02531,0.02318,0.03402
0.02788,0.02916,0.02555,0.02334,0.03451
0.02832,0.0294,0.0258,0.02352,0.03496
0.02875,0.02959,0.02605,0.02371,0.03537
0.02915,0.02972,0.02628,0.0239,0.03572
0.02948,0.0298,0.02646,0.02408,0.03595
0.02974,0.02977,0.02661,0.02418,0.03605
0.0299,0.02959,0.02666,0.02416,0.03598
0.02993,0.02925,0.02659,0.02399,0.03573
0.02981,0.02871,0.02634,0.02363,0.03521
0.02949,0.02794,0.0259,0.02306,0.0344
0.02896,0.02695,0.02525,0.02227,0.0333
0.02818,0.02576,0.02437,0.02125,0.03191
0.02715,0.02437,0.02324,0.02003,0.03028
0.02589,0.02279,0.0219,0.01862,0.02843
0.02443,0.02106,0.02035,0.01705,0.02641
0.02278,0.01921,0.01862,0.01536,0.02424
0.021,0.01731,0.01678,0.0136,0.02194
0.01911,0.01538,0.01485,0.01181,0.01962
0.01715,0.01341,0.01289,0.01004,0.01735
0.01516,0.01146,0.01093,0.00834,0.01514
0.01318,0.00953,0.00904,0.00677,0.01302
0.01123,0.00772,0.00726,0.00534,0.01104
0.00936,0.00606,0.00561,0.00406,0.00921
0.00759,0.00459,0.00412,0.00294,0.00753
0.00596,0.00333,0.0028,0.00195,0.00603
0.0045,0.00225,0.00167,0.00111,0.00471
0.00326,0.00136,0.00075,0.00045,0.00357
0.0022,0.00062,4e-05,-4e-05,0.00261
0.00131,2e-05,-0.00046,-4e-04,0.00183
0.00059,-0.00046,-0.00077,-0.00068,0.00118
