V1, V2, V3, V4, V5
-0.013530000,0.023595000,0.007260000,0.007920000,-0.005280000
-0.012045000,0.025245000,0.008580000,0.007260000,-0.008085000
-0.008580000,0.025410000,0.009900000,0.007260000,-0.009405000
-0.002970000,0.023760000,0.011055000,0.007755000,-0.009240000
0.004290000,0.020955000,0.012045000,0.008580000,-0.007590000
0.012540000,0.017160000,0.012705000,0.009735000,-0.003465000
0.021285000,0.012870000,0.013365000,0.010560000,0.002640000
0.030030000,0.007755000,0.013695000,0.010560000,0.010395000
0.037455000,0.002310000,0.012540000,0.009900000,0.018150000
0.042240000,-0.003960000,0.009075000,0.007920000,0.023595000
0.042735000,-0.010725000,0.003795000,0.004455000,0.024750000
0.038280000,-0.017985000,-0.003465000,-0.000495000,0.020955000
0.028875000,-0.025080000,-0.011880000,-0.006435000,0.012045000
0.016170000,-0.031845000,-0.020790000,-0.013200000,-0.000330000
0.001980000,-0.037620000,-0.029370000,-0.019800000,-0.014025000
-0.011055000,-0.041910000,-0.036465000,-0.025740000,-0.026070000
-0.021285000,-0.044880000,-0.041250000,-0.030360000,-0.034650000
-0.028050000,-0.046365000,-0.043725000,-0.033495000,-0.038445000
-0.031350000,-0.046860000,-0.044550000,-0.035145000,-0.037950000
-0.032175000,-0.046695000,-0.044550000,-0.036135000,-0.034815000
-0.032010000,-0.046860000,-0.044715000,-0.037620000,-0.030525000
-0.032010000,-0.047520000,-0.046035000,-0.039600000,-0.027225000
-0.032835000,-0.048840000,-0.048180000,-0.042900000,-0.025575000
-0.034155000,-0.050985000,-0.051645000,-0.046365000,-0.025245000
-0.034815000,-0.052800000,-0.055275000,-0.049665000,-0.025575000
-0.034155000,-0.053625000,-0.058740000,-0.051810000,-0.025410000
-0.031350000,-0.053130000,-0.061050000,-0.051975000,-0.023430000
-0.026565000,-0.050490000,-0.061215000,-0.049665000,-0.019305000
-0.020295000,-0.046365000,-0.059235000,-0.045045000,-0.013530000
-0.013530000,-0.040920000,-0.054780000,-0.039270000,-0.006765000
-0.007425000,-0.034815000,-0.048510000,-0.032670000,0.000165000
-0.002310000,-0.028545000,-0.041415000,-0.026235000,0.006930000
0.001485000,-0.022605000,-0.034320000,-0.020295000,0.013365000
0.004785000,-0.016995000,-0.027885000,-0.015180000,0.019470000
0.007260000,-0.011550000,-0.022605000,-0.010725000,0.025575000
0.009735000,-0.005940000,-0.018150000,-0.006435000,0.031680000
0.012375000,-0.000165000,-0.014520000,-0.001155000,0.037620000
0.015510000,0.005775000,-0.011550000,0.004455000,0.043395000
0.018645000,0.011715000,-0.008250000,0.010725000,0.048840000
0.022275000,0.017655000,-0.004125000,0.016995000,0.054285000
0.026070000,0.023430000,0.000825000,0.023430000,0.060885000
0.029865000,0.029370000,0.006270000,0.029700000,0.067815000
0.033825000,0.035310000,0.012045000,0.035640000,0.074415000
0.037785000,0.041580000,0.018150000,0.041580000,0.080355000
0.041580000,0.047850000,0.024585000,0.047355000,0.085965000
0.045540000,0.054450000,0.031185000,0.052965000,0.091245000
0.049500000,0.061380000,0.037785000,0.058740000,0.095865000
0.053130000,0.068475000,0.044220000,0.064020000,0.100155000
0.056265000,0.075570000,0.050985000,0.069795000,0.104610000
0.059070000,0.082830000,0.057585000,0.075405000,0.109065000
0.061875000,0.089925000,0.063855000,0.080850000,0.113025000
0.064845000,0.096690000,0.069960000,0.085965000,0.116985000
0.067815000,0.103290000,0.075570000,0.090750000,0.121275000
0.071445000,0.109395000,0.080850000,0.094875000,0.125400000
0.075405000,0.115335000,0.086130000,0.098340000,0.129525000
0.079695000,0.120945000,0.090915000,0.100815000,0.133650000
0.084645000,0.126225000,0.095205000,0.102465000,0.137280000
0.088935000,0.131670000,0.098670000,0.103455000,0.140580000
0.093390000,0.137115000,0.101640000,0.103785000,0.143220000
0.098175000,0.142560000,0.104610000,0.103950000,0.145695000
0.102960000,0.148005000,0.107250000,0.103620000,0.147510000
0.107745000,0.152790000,0.109725000,0.103785000,0.149160000
0.112695000,0.157410000,0.111705000,0.103620000,0.150150000
0.117810000,0.161535000,0.113520000,0.103455000,0.150975000
0.123255000,0.164835000,0.114675000,0.103455000,0.151140000
0.128535000,0.167145000,0.115170000,0.103455000,0.151305000
0.133650000,0.168465000,0.115170000,0.103125000,0.151470000
0.138105000,0.168960000,0.114840000,0.102300000,0.151635000
0.142065000,0.168630000,0.114180000,0.100980000,0.152460000
0.145365000,0.167970000,0.113190000,0.099660000,0.153120000
0.148170000,0.166980000,0.112365000,0.098340000,0.154605000
0.150645000,0.165660000,0.111375000,0.097350000,0.156585000
0.152955000,0.164340000,0.110385000,0.097020000,0.158895000
0.155100000,0.163020000,0.109560000,0.097350000,0.161040000
0.157080000,0.161700000,0.108735000,0.098175000,0.162855000
0.158895000,0.160380000,0.107910000,0.099165000,0.164010000
0.160710000,0.158565000,0.107250000,0.100155000,0.164175000
0.162525000,0.156915000,0.106755000,0.101640000,0.163350000
0.163515000,0.155100000,0.106425000,0.102795000,0.161370000
0.163845000,0.152955000,0.105930000,0.103620000,0.158730000
0.162855000,0.150480000,0.105105000,0.103620000,0.154935000
0.161205000,0.147015000,0.103620000,0.102960000,0.150480000
0.158895000,0.142725000,0.101475000,0.101310000,0.145365000
0.155595000,0.137775000,0.098505000,0.099000000,0.139425000
0.151470000,0.131835000,0.094875000,0.096030000,0.132660000
0.146355000,0.124905000,0.090915000,0.092730000,0.125400000
0.139920000,0.116985000,0.086295000,0.089100000,0.117150000
0.132000000,0.108405000,0.081675000,0.084645000,0.107745000
0.122265000,0.099165000,0.076725000,0.080025000,0.097515000
0.111375000,0.088935000,0.070950000,0.075240000,0.086790000
0.098670000,0.077880000,0.064515000,0.070455000,0.076065000
0.084975000,0.066330000,0.057255000,0.064680000,0.066000000
0.070950000,0.053955000,0.048840000,0.058410000,0.056430000
0.056265000,0.041085000,0.039270000,0.051315000,0.047190000
0.041250000,0.027885000,0.028710000,0.043065000,0.038445000
0.026565000,0.015015000,0.017655000,0.033990000,0.029700000
0.012375000,0.003630000,0.006765000,0.023760000,0.020625000
-0.000825000,-0.006270000,-0.003630000,0.013365000,0.011055000
-0.012705000,-0.014025000,-0.012375000,0.003135000,0.000990000
-0.021615000,-0.019635000,-0.018645000,-0.005610000,-0.008085000
-0.027885000,-0.022770000,-0.022275000,-0.011880000,-0.015345000
