V1, V2, V3, V4, V5
-0.011220000,-0.016665000,-0.014190000,-0.019140000,-0.011385000
-0.025740000,-0.032505000,-0.029700000,-0.035640000,-0.027390000
-0.046530000,-0.053955000,-0.050160000,-0.057255000,-0.048510000
-0.073095000,-0.080685000,-0.075405000,-0.083820000,-0.074415000
-0.104445000,-0.110880000,-0.103455000,-0.113850000,-0.103785000
-0.137445000,-0.141570000,-0.132000000,-0.144870000,-0.134475000
-0.168960000,-0.170280000,-0.158400000,-0.174570000,-0.163845000
-0.196350000,-0.195030000,-0.181005000,-0.200970000,-0.190245000
-0.217965000,-0.214335000,-0.198990000,-0.222420000,-0.212190000
-0.232980000,-0.227205000,-0.211530000,-0.237600000,-0.228690000
-0.241395000,-0.232980000,-0.218460000,-0.246015000,-0.239085000
-0.243540000,-0.232155000,-0.219945000,-0.247830000,-0.243540000
-0.240900000,-0.225060000,-0.216645000,-0.244035000,-0.242715000
-0.234465000,-0.212850000,-0.209385000,-0.235785000,-0.237765000
-0.226050000,-0.196350000,-0.198990000,-0.224400000,-0.230175000
-0.216480000,-0.176220000,-0.186450000,-0.211365000,-0.220605000
-0.206415000,-0.152790000,-0.172260000,-0.197340000,-0.210210000
-0.196350000,-0.126720000,-0.156915000,-0.183150000,-0.199485000
-0.186450000,-0.097845000,-0.140250000,-0.168960000,-0.188595000
-0.176385000,-0.066495000,-0.122430000,-0.155100000,-0.177705000
-0.165825000,-0.032670000,-0.102960000,-0.141240000,-0.166650000
-0.154440000,0.003465000,-0.081675000,-0.127380000,-0.154770000
-0.141405000,0.041580000,-0.058410000,-0.112860000,-0.141735000
-0.126390000,0.081180000,-0.032835000,-0.097515000,-0.127050000
-0.108735000,0.121770000,-0.004950000,-0.081015000,-0.110220000
-0.088440000,0.162690000,0.025080000,-0.063360000,-0.090915000
-0.065340000,0.203115000,0.056925000,-0.044550000,-0.068805000
-0.039765000,0.242385000,0.090255000,-0.024915000,-0.044055000
-0.012210000,0.279840000,0.124575000,-0.004455000,-0.016830000
0.016995000,0.314985000,0.159225000,0.016335000,0.012870000
0.047025000,0.347490000,0.193710000,0.037455000,0.044715000
0.077550000,0.377025000,0.227535000,0.058740000,0.078210000
0.107910000,0.403590000,0.260700000,0.080685000,0.113025000
0.137940000,0.427350000,0.292710000,0.103125000,0.148995000
0.167310000,0.448635000,0.323565000,0.126885000,0.185955000
0.196020000,0.467610000,0.353430000,0.152130000,0.223410000
0.223740000,0.485100000,0.382140000,0.179025000,0.261525000
0.250635000,0.501270000,0.409695000,0.208065000,0.300135000
0.276540000,0.517110000,0.436260000,0.238920000,0.339075000
