"V1","V2","V3","V4","V5"
-0.00164,-0.00282,-0.00272,-0.00323,-0.00195
-2e-05,-0.00085,-0.0014,-0.00016,0.0013
0.00169,0.00186,0.00061,0.00356,0.00489
0.00356,0.00528,0.00331,0.00768,0.00866
0.00536,0.009,0.00627,0.01167,0.01211
0.00678,0.01214,0.00888,0.01467,0.01479
0.00754,0.01419,0.01071,0.01632,0.01615
0.00781,0.01537,0.01183,0.01675,0.01614
0.0085,0.01627,0.01265,0.01676,0.0155
0.01043,0.01742,0.01356,0.01708,0.01492
0.01362,0.01927,0.01498,0.01803,0.01511
0.01778,0.02213,0.017,0.01961,0.01624
0.0223,0.02604,0.01957,0.02198,0.01834
0.02665,0.03059,0.0226,0.02502,0.02132
0.03063,0.03533,0.02616,0.02846,0.02515
0.03447,0.03991,0.03,0.03209,0.02971
0.0385,0.04417,0.03398,0.03582,0.0347
0.04283,0.04815,0.03775,0.03954,0.03976
0.04711,0.0519,0.04117,0.04308,0.04465
0.05095,0.05523,0.04402,0.0463,0.04909
0.05414,0.05799,0.04638,0.04912,0.05273
0.05674,0.06025,0.04849,0.05166,0.05537
0.05902,0.06219,0.05046,0.05395,0.05723
0.06115,0.0638,0.05236,0.05604,0.05856
0.0631,0.06502,0.05424,0.0579,0.05962
0.06468,0.06569,0.05598,0.05929,0.06057
0.06574,0.06572,0.05737,0.06004,0.06143
0.06633,0.0651,0.05844,0.0602,0.06208
0.06631,0.06403,0.0591,0.05999,0.06243
0.06579,0.06271,0.05945,0.05949,0.06232
0.06499,0.06139,0.05962,0.05895,0.0619
0.06411,0.06039,0.05975,0.05864,0.06134
0.06336,0.05972,0.05987,0.05869,0.06076
0.06266,0.05935,0.0601,0.05895,0.06006
0.06197,0.05908,0.06038,0.05925,0.05944
0.06146,0.05889,0.06059,0.05958,0.05901
0.06106,0.05876,0.06077,0.05969,0.05888
0.06055,0.05848,0.06088,0.05958,0.05896
0.05973,0.05796,0.06088,0.0593,0.05905
0.05869,0.05723,0.06066,0.05882,0.05892
0.05763,0.05631,0.06013,0.05816,0.05861
0.05655,0.05537,0.05937,0.05736,0.0581
0.05539,0.05441,0.05834,0.05638,0.05748
0.05415,0.05347,0.05718,0.05516,0.05667
0.05281,0.05255,0.05606,0.05382,0.05575
0.05146,0.05172,0.05507,0.05256,0.05471
0.05015,0.05105,0.05434,0.05142,0.05354
0.04902,0.05049,0.05389,0.0504,0.05233
0.04825,0.05008,0.05335,0.04941,0.05117
0.04776,0.0497,0.05274,0.04839,0.04996
0.04732,0.04936,0.05203,0.04743,0.04877
0.0469,0.04905,0.05125,0.04673,0.04764
0.04649,0.04879,0.05053,0.04633,0.04674
0.04608,0.04861,0.04994,0.04612,0.04615
0.04571,0.04839,0.04948,0.04594,0.04571
0.04542,0.04837,0.04925,0.04588,0.04547
0.04535,0.04869,0.04914,0.04586,0.04536
0.04528,0.04921,0.04911,0.04581,0.04519
0.04517,0.0497,0.0491,0.04574,0.04507
0.04497,0.05013,0.04914,0.04571,0.04488
0.04474,0.05043,0.04918,0.04571,0.04467
0.04474,0.05067,0.04931,0.04588,0.04445
0.04506,0.05097,0.04969,0.04616,0.04434
0.04566,0.05131,0.05025,0.04651,0.04436
0.0463,0.05153,0.05089,0.04706,0.04447
0.04687,0.05171,0.0515,0.0479,0.04462
0.04735,0.0518,0.05201,0.04875,0.04483
0.04773,0.05159,0.05235,0.04951,0.04508
0.04805,0.05117,0.05243,0.05009,0.04549
0.04825,0.05069,0.05232,0.05047,0.0459
0.04823,0.05023,0.05206,0.05075,0.04615
0.0479,0.04979,0.05161,0.05093,0.04621
0.0471,0.04937,0.05093,0.05086,0.04597
0.046,0.04904,0.05008,0.05047,0.04539
0.04471,0.04886,0.04906,0.04981,0.04439
0.04329,0.04868,0.04772,0.04897,0.04306
0.04179,0.04838,0.04618,0.04773,0.04139
0.04025,0.04757,0.04441,0.04598,0.03954
0.03868,0.04618,0.04253,0.0439,0.03757
0.03697,0.0443,0.04059,0.04175,0.03545
0.03523,0.04195,0.03872,0.03963,0.03329
0.03353,0.03926,0.03687,0.03747,0.03106
0.0319,0.0364,0.03497,0.03537,0.02886
0.03024,0.03348,0.03301,0.03339,0.02665
0.02871,0.03075,0.03121,0.03151,0.02459
0.02741,0.02833,0.02953,0.02969,0.02267
0.02613,0.02634,0.02787,0.02795,0.02078
0.02478,0.02462,0.02602,0.02626,0.01879
0.02326,0.02298,0.02383,0.02438,0.01667
0.02146,0.02109,0.02131,0.02219,0.01439
0.01928,0.01861,0.01876,0.0196,0.01199
0.0167,0.01534,0.01611,0.01654,0.00934
0.01375,0.01141,0.01322,0.01309,0.00647
0.01034,0.00745,0.00999,0.00921,0.00342
0.0066,0.00368,0.00653,0.00486,0.00041
0.00256,0.00018,0.00289,9e-05,-0.00235
-0.00137,-0.00295,-0.00075,-0.00477,-0.00484
-0.0049,-0.00567,-0.0042,-0.0092,-0.0068
-0.00789,-0.00801,-0.00721,-0.01295,-0.00818
-0.01022,-0.00973,-0.00973,-0.01579,-0.00905
-0.01178,-0.01085,-0.01191,-0.01776,-0.00952
