"V1","V2","V3","V4","V5"
0.00705,-0.00157,-0.00713,-0.00509,-0.01831
0.00601,0.00116,-0.00621,-0.00383,-0.018
0.0046,0.00371,-0.00454,-0.00223,-0.01623
0.00298,0.00613,-0.00217,5e-05,-0.01276
0.00147,0.00833,0.00097,0.00309,-0.00778
0.00032,0.00996,0.00479,0.00685,-0.0016
-0.00056,0.01033,0.00857,0.01051,0.00497
-0.00191,0.00868,0.01128,0.01283,0.01088
-0.0041,0.00524,0.01221,0.01288,0.01528
-0.00698,0.00069,0.01136,0.01026,0.01745
-0.01004,-0.00427,0.00876,0.00554,0.01714
-0.01262,-0.00913,0.00463,-5e-04,0.01465
-0.01433,-0.01336,-0.00055,-0.00707,0.01038
-0.01507,-0.01649,-0.00601,-0.01316,0.00503
-0.01501,-0.01822,-0.01109,-0.0181,-0.00063
-0.01452,-0.01843,-0.01514,-0.02144,-0.00589
-0.01388,-0.01746,-0.01771,-0.02301,-0.01021
-0.0134,-0.01562,-0.01881,-0.02298,-0.01336
-0.01292,-0.0137,-0.01867,-0.02173,-0.01541
-0.01257,-0.01229,-0.01769,-0.01967,-0.01658
-0.01262,-0.01163,-0.01638,-0.01747,-0.01706
-0.01336,-0.01201,-0.01535,-0.0158,-0.01711
-0.01485,-0.01332,-0.01495,-0.01476,-0.01718
-0.01659,-0.01498,-0.0152,-0.01432,-0.01757
-0.01795,-0.01631,-0.01577,-0.01426,-0.01832
-0.01873,-0.01714,-0.01626,-0.01432,-0.0193
-0.01875,-0.01734,-0.01631,-0.01428,-0.02042
-0.01839,-0.01675,-0.01584,-0.01404,-0.0215
-0.01782,-0.01573,-0.01481,-0.01354,-0.02211
-0.01694,-0.01434,-0.01349,-0.01287,-0.02216
-0.01582,-0.01265,-0.01203,-0.01189,-0.02167
-0.01438,-0.01078,-0.01045,-0.01066,-0.02062
-0.0128,-0.00888,-0.00893,-0.00936,-0.01903
-0.01103,-0.00728,-0.00767,-0.00808,-0.01686
-0.00932,-0.0062,-0.00682,-0.00704,-0.01424
-0.00807,-0.00571,-0.00618,-0.00638,-0.01142
-0.00754,-0.00584,-0.00597,-0.00617,-0.00886
-0.00775,-0.00646,-0.00634,-0.00643,-0.00697
-0.00843,-0.00733,-0.00712,-0.0071,-0.00577
-0.00939,-0.00824,-0.008,-0.00808,-0.00535
-0.01041,-0.0089,-0.00885,-0.00913,-0.00552
-0.01134,-0.00926,-0.00966,-0.00996,-0.00608
-0.01198,-0.00941,-0.01043,-0.01035,-0.00696
-0.01214,-0.00934,-0.01119,-0.01037,-0.00803
-0.01163,-0.00906,-0.01175,-0.01006,-0.00919
-0.01066,-0.00868,-0.01185,-0.00954,-0.01026
-0.00938,-0.00814,-0.01143,-0.00888,-0.01114
-0.00806,-0.00747,-0.01044,-0.00816,-0.01166
-0.00686,-0.00681,-0.00927,-0.00747,-0.01183
-0.00591,-0.00609,-0.00811,-0.00691,-0.01158
-0.00518,-0.00534,-0.00697,-0.00661,-0.01086
-0.00454,-0.00467,-0.00599,-0.00654,-0.00973
-0.00417,-0.00417,-0.00529,-0.0066,-0.00829
-0.00401,-0.00393,-0.00483,-0.00665,-0.00686
-0.00395,-0.00376,-0.00441,-0.0065,-0.00578
-0.00374,-0.00343,-0.00407,-0.00622,-0.005
-0.00339,-0.00289,-0.00362,-0.00582,-0.00453
-0.00277,-0.00229,-0.00312,-0.00524,-0.00411
-0.00201,-0.0017,-0.00248,-0.00463,-0.00375
-0.0012,-0.00106,-0.00173,-0.00392,-0.00327
-0.00042,-0.00034,-0.00089,-0.00322,-0.00256
0.00028,0.00036,2e-05,-0.00265,-0.0017
0.00086,0.00077,0.00085,-0.00221,-0.00086
0.00133,0.00094,0.00154,-0.0017,-9e-05
0.0016,0.00088,0.00203,-0.00093,0.00061
0.00168,0.00061,0.00226,-2e-05,0.00133
0.00159,0.00024,0.00227,0.00076,0.0021
0.00138,-0.00017,0.00208,0.00121,0.00292
0.00092,-0.00056,0.00189,0.0014,0.0038
0.00019,-0.00099,0.00172,0.00127,0.00422
-0.00066,-0.00152,0.00134,0.00094,0.0039
-0.0015,-0.00202,8e-04,0.00035,0.00303
-0.00228,-0.00244,0.00014,-0.00043,0.00189
-0.00303,-0.00275,-0.00066,-0.00123,0.00076
-0.00355,-0.00301,-0.00146,-0.00211,-0.00016
-0.00378,-0.00317,-0.00211,-0.00295,-0.00088
-0.00374,-0.00324,-0.00256,-0.00362,-0.00157
-0.00353,-0.00321,-0.00278,-0.00405,-0.00233
-0.00327,-0.00304,-0.00285,-0.00433,-0.00305
-0.00284,-0.00274,-0.00295,-0.00452,-0.0036
-0.00227,-0.00225,-0.00297,-0.00435,-0.00375
-0.00163,-0.00175,-0.00281,-0.00395,-0.0035
-0.00083,-0.00116,-0.00228,-0.00339,-0.00276
0.00028,-0.00023,-0.00136,-0.00254,-0.00166
0.00158,0.00092,-2e-04,-0.0014,-0.00024
0.00305,0.00217,0.00106,0.00013,0.00125
0.00442,0.00326,0.00223,0.00191,0.00286
0.00543,0.00403,0.00321,0.00377,0.0044
0.0061,0.00447,0.00397,0.00544,0.00549
0.00644,0.00463,0.00458,0.00669,0.00601
0.00638,0.00444,0.00518,0.00746,0.00599
0.00596,0.00409,0.0056,0.00775,0.00566
0.00536,0.00364,0.0057,0.00766,0.00515
0.00464,0.00324,0.00563,0.00733,0.00432
0.00392,0.00294,0.00529,0.00683,0.00331
0.00334,0.00276,0.00474,0.00625,0.00237
0.0028,0.0025,0.00408,0.00553,0.00168
0.00236,0.0021,0.00349,0.00469,0.00124
0.00185,0.00162,0.003,0.00388,0.00097
0.00127,0.00116,0.00259,0.00314,0.00081
0.00081,0.00091,0.00237,0.00268,0.00095
