V1, V2, V3, V4, V5
-0.143220000,-0.154605000,-0.183150000,-0.146685000,-0.220935000
-0.133320000,-0.144375000,-0.173250000,-0.136620000,-0.210375000
-0.118140000,-0.128535000,-0.156750000,-0.120450000,-0.193380000
-0.097350000,-0.105930000,-0.132990000,-0.097185000,-0.168795000
-0.069795000,-0.074250000,-0.101475000,-0.065010000,-0.135630000
-0.033660000,-0.031515000,-0.061545000,-0.019965000,-0.092400000
0.012705000,0.019470000,-0.013530000,0.037290000,-0.037290000
0.066495000,0.073260000,0.038775000,0.100155000,0.026895000
0.122760000,0.125730000,0.090255000,0.161205000,0.095205000
0.177375000,0.173580000,0.136455000,0.215325000,0.162525000
0.228195000,0.216975000,0.176055000,0.261360000,0.224235000
0.276210000,0.258060000,0.210045000,0.302610000,0.278850000
0.324885000,0.301290000,0.241890000,0.343530000,0.327525000
0.378015000,0.350295000,0.275550000,0.387915000,0.373065000
0.437745000,0.406890000,0.313995000,0.437415000,0.419265000
0.504240000,0.470250000,0.357885000,0.492195000,0.469425000
0.576180000,0.537900000,0.406230000,0.551925000,0.524370000
0.649935000,0.606870000,0.457050000,0.612645000,0.582945000
0.721875000,0.673200000,0.508695000,0.671220000,0.643335000
0.788040000,0.733095000,0.559185000,0.725010000,0.702900000
0.846120000,0.784245000,0.606375000,0.772365000,0.758835000
0.894465000,0.825495000,0.647955000,0.812130000,0.809160000
0.932910000,0.857340000,0.683265000,0.844470000,0.852555000
0.962775000,0.881595000,0.712305000,0.869880000,0.888855000
0.987195000,0.899250000,0.737055000,0.890340000,0.918060000
1.006995000,0.911625000,0.758010000,0.907005000,0.940500000
1.023000000,0.918390000,0.776160000,0.921360000,0.956340000
1.035540000,0.919875000,0.791340000,0.933735000,0.966405000
1.043130000,0.915750000,0.802890000,0.943635000,0.972675000
1.045110000,0.905850000,0.810645000,0.950070000,0.974655000
1.040655000,0.890340000,0.814605000,0.951555000,0.971685000
1.030260000,0.870210000,0.814440000,0.947595000,0.963765000
1.014090000,0.846780000,0.809490000,0.938190000,0.950565000
0.992970000,0.820545000,0.799755000,0.923340000,0.932250000
0.968055000,0.791670000,0.785730000,0.903540000,0.908655000
0.939840000,0.761640000,0.768570000,0.879945000,0.880935000
0.909810000,0.730785000,0.748935000,0.853050000,0.849750000
0.878955000,0.700095000,0.726825000,0.823515000,0.815760000
0.847935000,0.670230000,0.703230000,0.792660000,0.780450000
0.818070000,0.641190000,0.678315000,0.761145000,0.744480000
0.789690000,0.613635000,0.652575000,0.729960000,0.708345000
0.762960000,0.588060000,0.626670000,0.698940000,0.673200000
0.737715000,0.563805000,0.600930000,0.668745000,0.639540000
0.713295000,0.541035000,0.575520000,0.639045000,0.606870000
0.689865000,0.518925000,0.550605000,0.610170000,0.575685000
0.666600000,0.497145000,0.526515000,0.581790000,0.545325000
0.643500000,0.475365000,0.503085000,0.553410000,0.516120000
0.620235000,0.454410000,0.480645000,0.525195000,0.487905000
0.596805000,0.433785000,0.458535000,0.497475000,0.459855000
0.573705000,0.413820000,0.436425000,0.471075000,0.432795000
0.550770000,0.394350000,0.413820000,0.446325000,0.407055000
0.528825000,0.375540000,0.391380000,0.423720000,0.382635000
0.506880000,0.357390000,0.369105000,0.402930000,0.360195000
0.484605000,0.339735000,0.346830000,0.383625000,0.339240000
0.462165000,0.321915000,0.324885000,0.365310000,0.319935000
0.439230000,0.304590000,0.303930000,0.347985000,0.302115000
0.416295000,0.288255000,0.284130000,0.330990000,0.285285000
0.393360000,0.273570000,0.264825000,0.313830000,0.269280000
0.370755000,0.260535000,0.246840000,0.296505000,0.253935000
0.348315000,0.250140000,0.229680000,0.280005000,0.239910000
0.326700000,0.242385000,0.213840000,0.264330000,0.226875000
0.306240000,0.237270000,0.199485000,0.249645000,0.214995000
0.288090000,0.234960000,0.187605000,0.236940000,0.204435000
0.272250000,0.235290000,0.178035000,0.225555000,0.195360000
0.259215000,0.237930000,0.171270000,0.216315000,0.187605000
0.249480000,0.243045000,0.166980000,0.209055000,0.181665000
0.242880000,0.250305000,0.165165000,0.204270000,0.177870000
0.239745000,0.259215000,0.165825000,0.201960000,0.176385000
0.240570000,0.269445000,0.168960000,0.201795000,0.177375000
0.244860000,0.281490000,0.174570000,0.204600000,0.180675000
0.252615000,0.294360000,0.182160000,0.210375000,0.185955000
0.263340000,0.308385000,0.191400000,0.219120000,0.193380000
0.275715000,0.322905000,0.202455000,0.230505000,0.203280000
0.289080000,0.337920000,0.214665000,0.244365000,0.215160000
0.303765000,0.353265000,0.227865000,0.260535000,0.229680000
0.319440000,0.368610000,0.241725000,0.278685000,0.246180000
0.335610000,0.383460000,0.256080000,0.297660000,0.264330000
0.351780000,0.397155000,0.270765000,0.316635000,0.283965000
0.368280000,0.410025000,0.286110000,0.335610000,0.304590000
0.384120000,0.422070000,0.301950000,0.354750000,0.325710000
0.399465000,0.433455000,0.318780000,0.374385000,0.347820000
0.414480000,0.444345000,0.336105000,0.394020000,0.369765000
0.428670000,0.454905000,0.353925000,0.413325000,0.391545000
0.442200000,0.465135000,0.371910000,0.431805000,0.411840000
0.454245000,0.474870000,0.389400000,0.448965000,0.430485000
0.464640000,0.483120000,0.405735000,0.464310000,0.445995000
0.472890000,0.489390000,0.419925000,0.476850000,0.458370000
0.477840000,0.492360000,0.430650000,0.485595000,0.465630000
0.478335000,0.491040000,0.437085000,0.489720000,0.467280000
0.473385000,0.483780000,0.437745000,0.487575000,0.462165000
0.461505000,0.468270000,0.431970000,0.478005000,0.449460000
0.441210000,0.443520000,0.418275000,0.460020000,0.428835000
0.412170000,0.409695000,0.395505000,0.432630000,0.399630000
0.373395000,0.367950000,0.363495000,0.395175000,0.362835000
0.326865000,0.320100000,0.322740000,0.348150000,0.319605000
0.274395000,0.267300000,0.274890000,0.292710000,0.272085000
0.219780000,0.213180000,0.222915000,0.232485000,0.223080000
0.166320000,0.159885000,0.170280000,0.171270000,0.175560000
0.115170000,0.110385000,0.120285000,0.112530000,0.131340000
0.069465000,0.066660000,0.075735000,0.059235000,0.092400000
0.032175000,0.031185000,0.038115000,0.014190000,0.059895000
