"V1","V2","V3","V4","V5"
-0.00049,-0.00115,-0.00099,-0.00081,-0.00093
-7e-04,-0.00104,-0.00087,-6e-04,-0.00081
-0.00087,-0.00082,-0.00071,-0.00035,-0.00064
-0.00095,-5e-04,-0.00048,-3e-05,-0.00044
-0.00085,-5e-05,-0.00014,0.00037,-0.00018
-0.00052,0.00054,0.00034,0.00091,0.00016
1e-05,0.00117,9e-04,0.0015,0.00064
0.00062,0.00171,0.00145,0.00202,0.00117
0.00117,0.00207,0.00188,0.00238,0.00164
0.00155,0.00211,0.00211,0.00247,0.00198
0.00164,0.00179,0.00205,0.00218,0.00207
0.0014,0.00116,0.00168,0.00154,0.00185
0.00088,4e-04,0.00109,0.00065,0.00136
2e-04,-0.00033,4e-04,-0.00036,0.00071
-0.00048,-0.00085,-0.00028,-0.00129,-1e-05
-0.001,-0.00106,-0.00078,-0.00202,-7e-04
-0.00125,-0.00094,-0.00102,-0.0024,-0.00121
-0.00121,-0.00054,-0.00098,-0.00239,-0.00149
-0.00089,-5e-05,-0.00069,-0.00204,-0.0015
-0.00044,4e-04,-0.00028,-0.00148,-0.00128
0,0.00068,0.00013,-0.00088,-9e-04
0.00029,0.00074,0.00042,-4e-04,-5e-04
0.00039,0.00058,5e-04,-0.00013,-0.00017
0.00031,0.00031,0.00037,-0.00012,3e-05
1e-04,6e-05,8e-05,-0.00032,7e-05
-0.00018,-7e-05,-0.00027,-0.00068,-3e-05
-0.00045,-4e-05,-0.00055,-0.00108,-0.00025
-0.00061,0.00015,-0.00065,-0.00143,-0.00053
-0.00062,0.00045,-0.00053,-0.0016,-0.00081
-0.00045,0.00079,-2e-04,-0.00158,-0.001
-0.00017,0.00111,0.00028,-0.00137,-0.00105
0.00019,0.00136,0.00078,-0.001,-9e-04
0.00055,0.00155,0.00122,-0.00054,-0.00056
0.00088,0.00169,0.00156,-6e-05,-6e-05
0.00114,0.00183,0.00176,0.00039,0.00052
0.00132,0.00201,0.00185,0.00078,0.00112
0.00145,0.00225,0.00188,0.00109,0.00165
0.00154,0.00254,0.00194,0.00135,0.00207
0.0016,0.00288,0.00204,0.00155,0.00236
0.00167,0.00327,0.00226,0.00175,0.00253
0.0018,0.00366,0.00256,0.00198,0.00263
0.00199,0.00407,0.00293,0.00223,0.00272
0.00223,0.00444,0.00335,0.00253,0.00283
0.00252,0.00479,0.00376,0.00285,0.003
0.0028,0.0051,0.00414,0.00316,0.0032
0.00306,0.00538,0.00447,0.00344,0.00344
0.00329,0.00565,0.00477,0.00368,0.00369
0.00349,0.00588,0.00505,0.00387,0.00398
0.00364,0.0061,0.00529,0.00405,0.00429
0.00378,0.00631,0.00551,0.00418,0.00461
0.00391,0.00655,0.00573,0.00431,0.00492
0.00406,0.00679,0.00596,0.00443,0.00523
0.00423,0.00706,0.00619,0.00455,0.00552
0.00441,0.00738,0.00644,0.0047,0.00578
0.00465,0.00773,0.00671,0.00488,0.00604
0.00497,0.00809,0.00701,0.0051,0.00632
0.00532,0.00845,0.00735,0.00539,0.00662
0.00567,0.0088,0.00772,0.00574,0.00699
0.00601,0.00913,0.0081,0.00614,0.00739
0.00635,0.00944,0.0085,0.00654,0.00782
0.00669,0.00974,0.00892,0.00696,0.00827
0.00703,0.01004,0.00933,0.00737,0.00872
0.00738,0.01035,0.00973,0.00776,0.00918
0.00773,0.01066,0.01011,0.00813,0.00959
0.0081,0.01096,0.01048,0.00851,0.01
0.00848,0.01123,0.01085,0.00889,0.01039
0.00884,0.01148,0.0112,0.00928,0.01074
0.00918,0.0117,0.01152,0.00962,0.01106
0.00949,0.01192,0.01179,0.00995,0.01134
0.00978,0.01211,0.01202,0.01024,0.01158
0.01003,0.01229,0.01221,0.01049,0.01181
0.01025,0.01246,0.01236,0.01071,0.01201
0.01043,0.01262,0.01247,0.01089,0.01218
0.01059,0.01277,0.01255,0.01104,0.01231
0.01074,0.01291,0.01261,0.01118,0.01242
0.01089,0.01304,0.01267,0.01129,0.01249
0.01103,0.01313,0.01269,0.01138,0.01254
0.01114,0.01318,0.01269,0.01143,0.01254
0.01121,0.01319,0.01264,0.01145,0.0125
0.01123,0.01314,0.01254,0.01142,0.0124
0.01117,0.01304,0.01238,0.01134,0.01224
0.01104,0.01287,0.01217,0.0112,0.01202
0.01085,0.01262,0.01189,0.011,0.01174
0.01063,0.01232,0.01157,0.01078,0.01139
0.01038,0.01197,0.01122,0.01054,0.011
0.01012,0.01158,0.01084,0.0103,0.01053
0.00982,0.01113,0.01043,0.01004,0.01002
0.00946,0.01059,0.00996,0.00971,0.00943
0.00903,0.00993,0.00942,0.00929,0.00877
0.00849,0.00915,0.00878,0.00874,0.00801
0.00784,0.00823,0.00804,0.00804,0.00717
0.00707,0.0072,0.00717,0.00721,0.00625
0.00616,0.0061,0.00622,0.00625,0.00528
0.00515,0.00495,0.0052,0.00521,0.0043
0.00406,0.0038,0.00413,0.00411,0.00333
0.00298,0.00269,0.00307,0.00301,0.0024
0.00196,0.00168,0.00205,0.00198,0.00155
0.00103,8e-04,0.00113,0.00104,0.00079
0.00025,7e-05,0.00034,2e-04,0.00017
-0.00037,-0.00051,-0.00033,-0.00052,-0.00035
-0.00082,-0.00093,-0.00086,-0.00108,-0.00074
