V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,
4.09671,3.490669695,2.653738271,1.605062119,0.471141559,-0.586468949,-1.519515068,-2.396872288,-3.268751288,-4.074722153,-4.677370695,-4.955085136,-4.948733864,-4.778195814,-4.588295475,-4.451446271,-4.354254695,-4.261963119,-4.166447153,-4.070331136,-3.971049,-3.863534881,-3.739777034,-3.590605932,-3.430068932,-3.271206678,-3.126105068,-3.013984085,-2.928316373,-2.846105864,-2.763826017,-2.694120983,-2.635347085,-2.587734729,-2.558559475,-2.548089797,-2.548250644,-2.547909373,-2.524728542,-2.449969627,-2.295175627,-2.061236051,-1.756873746,-1.382985305,-0.940215797,-0.411040915,0.247727729,1.08624239,2.127168034,3.306968034,4.503426034,5.666041119,6.81177022,7.92650722,8.942261,9.76308778,10.29140568,10.45610075,10.26983741,9.856003,9.424858,9.083492769,8.774858872,8.493006769,8.241060154,8.021768821,7.82892,7.645460256,7.457697436,7.272818308,7.105660821,6.962700205,6.84089,6.733076,6.634164256,6.544856,6.466089333,6.406820513,6.376171846,6.37383641,6.389618077,6.408710385,6.418248,6.412923333,6.393124,6.356522667,6.293224667,6.198935462,6.079379974,5.949014846,5.826365923,5.726667538,5.648145846,5.553237231,5.403620615,5.182433128,4.903770692,4.598830538,4.289091385,3.953888,3.618684615
3.240566,2.943839627,2.674224,2.310509932,1.732752814,1.017291712,0.397697983,0.007108186,-0.210202153,-0.35222622,-0.478924525,-0.614136949,-0.750446678,-0.865320508,-0.945569661,-0.997920339,-1.029760475,-1.034808712,-1.003747966,-0.940029746,-0.858299695,-0.779678305,-0.719099932,-0.681711559,-0.661177797,-0.642732814,-0.616827542,-0.583697407,-0.549835237,-0.522351136,-0.496921153,-0.469200203,-0.441347864,-0.406778915,-0.351748627,-0.278194288,-0.203084729,-0.137488085,-0.085333475,-0.047819441,-0.022221949,0.000626339,0.03711122,0.107987203,0.236637237,0.438791508,0.714896797,1.052376712,1.447971254,1.915967305,2.468027712,3.094699305,3.756903576,4.409977424,5.048530746,5.702271373,6.376148356,7.045871085,7.702505525,8.308016,8.740302,8.942569615,8.954169795,8.827489615,8.61611641,8.363647487,8.098265385,7.839897897,7.602344308,7.390629154,7.205200769,7.047544026,6.918366769,6.813676667,6.726975538,6.652238538,6.582928872,6.519466641,6.468164385,6.427560769,6.389812231,6.346903692,6.292800077,6.214718231,6.102265231,5.953306333,5.770194333,5.560966615,5.349473718,5.177685949,5.089864769,5.100285974,5.160848897,5.168775923,5.037472564,4.767412462,4.420932,4.049183564,3.679683128,3.33664,2.993596872
2.685232,2.293754881,1.861494458,1.371311627,0.829129712,0.270119458,-0.260714186,-0.729960458,-1.133358508,-1.489229695,-1.805701356,-2.073059864,-2.29511022,-2.480260051,-2.632852424,-2.754091593,-2.839856864,-2.886125678,-2.897548525,-2.883709203,-2.851674763,-2.806893475,-2.760637339,-2.721619712,-2.690451881,-2.658558339,-2.619408881,-2.577630966,-2.539344271,-2.506337712,-2.477071475,-2.447810542,-2.407149271,-2.345795458,-2.263646136,-2.165143068,-2.056388373,-1.942799644,-1.825932729,-1.699781847,-1.553626458,-1.377944,-1.168674915,-0.928856322,-0.661903271,-0.363335475,-0.021221576,0.383190153,0.872075424,1.448862729,2.082006288,2.708292102,3.272535407,3.747721712,4.138209763,4.459575271,4.718048407,4.906490712,5.010500305,5.018485,4.93593,4.795294667,4.605015795,4.377684154,4.127551795,3.867792,3.608489154,3.356115256,3.116434436,2.896837923,2.696039256,2.515895256,2.359512692,2.230594,2.131242769,2.059354615,2.008826256,1.976322923,1.963414846,1.972215205,2.002104256,2.052704769,2.125584282,2.223655667,2.351405,2.504592615,2.670183333,2.833795615,2.981879718,3.105478282,3.202342538,3.276583846,3.332474615,3.368570769,3.369202641,3.316368795,3.200860846,3.025885256,2.80453159,2.55095,2.29736841
0.636975,0.170040627,-0.324637542,-0.892786322,-1.535093644,-2.200932407,-2.831850746,-3.388629271,-3.861212254,-4.265601576,-4.630735814,-4.979613339,-5.310935237,-5.604745085,-5.840282542,-6.003167288,-6.094155186,-6.12800022,-6.117654153,-6.068662983,-5.982726661,-5.864167881,-5.728193881,-5.59955361,-5.495128153,-5.414853644,-5.343664017,-5.270104525,-5.203824271,-5.154374034,-5.115717034,-5.07606622,-5.023200983,-4.942541932,-4.82012439,-4.650728831,-4.43428739,-4.177152203,-3.893040831,-3.59301978,-3.280578458,-2.945394881,-2.574439559,-2.159643203,-1.705485305,-1.226049932,-0.734253966,-0.22983,0.302646203,0.88935461,1.557477186,2.309090864,3.095388661,3.835412254,4.449303068,4.891061102,5.172013881,5.341877424,5.441683254,5.47257,5.414643,5.260458308,5.015045667,4.698189846,4.329835385,3.928782333,3.517058923,3.119153205,2.752205179,2.422724923,2.127896282,1.860464103,1.614760769,1.391224333,1.196835,1.040206308,0.925715641,0.846948949,0.792042692,0.752360846,0.725493154,0.713304231,0.719371308,0.756750256,0.843885615,0.991368692,1.194379333,1.432233923,1.676586872,1.898056487,2.073436769,2.188390949,2.232868949,2.197002538,2.072495231,1.855497718,1.547502538,1.156646,0.708747231,0.24701,-0.214727231
-2.285638,-2.930054136,-3.542418373,-4.204390915,-4.97128678,-5.786252661,-6.597296831,-7.413664881,-8.190532678,-8.82582,-9.280861051,-9.587867203,-9.782013898,-9.864622271,-9.872430508,-9.846093153,-9.776403051,-9.645954949,-9.472142407,-9.276149186,-9.072312932,-8.885773847,-8.723244932,-8.563384729,-8.38311178,-8.168402966,-7.935308729,-7.702519153,-7.46833261,-7.224913136,-6.969009136,-6.698818271,-6.421303288,-6.149202322,-5.898504898,-5.690982305,-5.546720271,-5.457172881,-5.389699678,-5.304150254,-5.162011475,-4.943661169,-4.65069522,-4.297139186,-3.896109542,-3.464944797,-3.013010949,-2.526158441,-1.954881373,-1.237761644,-0.333211203,0.726503424,1.838305729,2.895405237,3.805475542,4.503344407,4.973391593,5.235759458,5.336582508,5.3397,5.270298,5.12878941,4.907619564,4.613821615,4.261515667,3.866425077,3.446614692,3.023139256,2.616207718,2.237277923,1.889458692,1.582333103,1.316626692,1.089742667,0.901627821,0.749619538,0.623464821,0.50974841,0.399684923,0.286204205,0.156287795,0.007848231,-0.153400949,-0.325150179,-0.499459692,-0.665037923,-0.811503,-0.931872538,-1.019406128,-1.057080205,-1.034512385,-0.964879949,-0.847203308,-0.692231615,-0.540460205,-0.471142538,-0.570864231,-0.877005718,-1.338366769,-1.852121,-2.365875231
5.69514,5.41769661,5.180721695,4.914266441,4.54659661,4.06553,3.524419153,2.987918814,2.482042373,1.993783051,1.502725593,1.006721525,0.524922203,0.083268136,-0.303832203,-0.640827966,-0.942295424,-1.218492034,-1.469204915,-1.688971695,-1.875080508,-2.02896322,-2.152220847,-2.245972542,-2.314007627,-2.363427797,-2.401585763,-2.433587119,-2.462442034,-2.488229661,-2.506997288,-2.514968644,-2.515263051,-2.518337288,-2.535195254,-2.569666102,-2.617741864,-2.671259831,-2.720851864,-2.757595424,-2.773655763,-2.762445763,-2.720126441,-2.648099492,-2.55459,-2.4524,-2.353510508,-2.264668983,-2.184576102,-2.101038305,-1.990185593,-1.822398983,-1.575694576,-1.249944407,-0.871338305,-0.483255254,-0.131982712,0.143656441,0.320144068,0.39445,0.38149,0.3112945,0.205234,0.07928,-0.052676,-0.178725,-0.290187,-0.383168,-0.4582,-0.51754,-0.562325,-0.591369,-0.601846,-0.5905505,-0.553311,-0.482325,-0.365984,-0.194695,0.032774,0.310774,0.6348,1.00853,1.430617,1.8953745,2.388452,2.8891525,3.376544,3.8368235,4.268,4.678364,5.077775,5.466458,5.828666,6.1351135,6.351867,6.4504375,6.416244,6.255542,5.998741,5.695566,5.40023
-2.61669,-2.664134068,-2.817684746,-3.080159322,-3.451616441,-3.928913898,-4.498290508,-5.122371356,-5.732848644,-6.246593051,-6.604087966,-6.801957119,-6.891586949,-6.945414576,-7.018524237,-7.130682542,-7.268787288,-7.403131356,-7.508695763,-7.572578983,-7.595760847,-7.588288983,-7.562434407,-7.5277,-7.487632712,-7.438121695,-7.369968814,-7.275277797,-7.152429661,-7.005781017,-6.841408644,-6.664776271,-6.479148644,-6.285277119,-6.082049492,-5.866954915,-5.636411356,-5.385268136,-5.105501864,-4.786752373,-4.419868136,-4.000462034,-3.529935085,-3.014419661,-2.463328136,-1.887470339,-1.299636441,-0.707352034,-0.108307966,0.513058136,1.181732542,1.917110339,2.711784915,3.518981017,4.261610678,4.859803559,5.258835593,5.440514576,5.415187288,5.20458,4.85238,4.415907,3.882698,3.26508,2.581158,1.8545,1.111842,0.37992,-0.317544,-0.961941,-1.54065,-2.038053,-2.464096,-2.825618,-3.133742,-3.402515,-3.647004,-3.880974,-4.11432,-4.350651,-4.58583,-4.804584,-4.991746,-5.13501,-5.2281,-5.272085,-5.274858,-5.249013,-5.208698,-5.166212,-5.12915,-5.099198,-5.070542,-5.036861,-4.992842,-4.93583,-4.866754,-4.790494,-4.7159,-4.655664,-4.62618
-0.873,-1.379523898,-1.972905254,-2.649857288,-3.405545424,-4.232547966,-5.117288644,-6.034176102,-6.941279831,-7.782165593,-8.497662203,-9.043782373,-9.404917288,-9.594786949,-9.64686322,-9.601334407,-9.495510678,-9.359124407,-9.212555593,-9.067316271,-8.929316271,-8.802198136,-8.687631356,-8.58381339,-8.485854746,-8.389972542,-8.298217288,-8.218478814,-8.159230678,-8.123702203,-8.107492034,-8.100202034,-8.090177627,-8.069127288,-8.032993729,-7.978800508,-7.900625593,-7.78834322,-7.630200169,-7.417553559,-7.148255254,-6.825856102,-6.455693729,-6.042046271,-5.588298475,-5.097844237,-4.573111695,-4.013008475,-3.410714237,-2.754145593,-2.031094746,-1.238042712,-0.388174915,0.487137119,1.346002542,2.147650847,2.858266441,3.450167458,3.902989492,4.21024,4.37969,4.4354015,4.3938235,4.24980375,3.992502,3.62128,3.155378,2.63125625,2.091864,1.57517425,1.1057275,0.69062925,0.321776,-0.01528075,-0.3308265,-0.62584875,-0.89289,-1.1194085,-1.292797,-1.4066215,-1.464705,-1.4796015,-1.4657415,-1.43147675,-1.375324,-1.289305,-1.16735,-1.0125395,-0.837881,-0.6609755,-0.49791,-0.36025125,-0.255486,-0.18935025,-0.1680285,-0.1991775,-0.291838,-0.455872,-0.7014885,-1.0391465,-1.47854
3.80611,3.54498,3.11789,2.47251,1.58837,0.49196,-0.74855,-2.04518,-3.31093,-4.46748,-5.44798,-6.20672,-6.73293,-7.05573,-7.23206,-7.32018,-7.35501,-7.34536,-7.29412,-7.21616,-7.13747,-7.08393,-7.07188,-7.10436,-7.17199,-7.25683,-7.33771,-7.39519,-7.41399,-7.38389,-7.30267,-7.17937,-7.03305,-6.88671,-6.75924,-6.6589,-6.58037,-6.50584,-6.40877,-6.25927,-6.03118,-5.70978,-5.29627,-4.8063,-4.26414,-3.69596,-3.12352,-2.56001,-2.00864,-1.46182,-0.90087,-0.29838,0.37516,1.14153,2.00303,2.93316,3.87754,4.76869,5.54552,6.16328,6.59085,6.80547,6.7948,6.56475,6.1447,5.58377,4.93871,4.25994,3.58492,2.94007,2.34515,1.81411,1.35284,0.95896,0.62639,0.35153,0.13571,-0.01649,-0.09858,-0.10228,-0.01858,0.15815,0.42509,0.7689,1.16888,1.60252,2.04838,2.48543,2.89182,3.24419,3.51957,3.70236,3.7925,3.80662,3.76943,3.70288,3.6203,3.52728,3.42525,3.31061,3.16683
-3.3431,-3.598271356,-3.883735763,-4.246691695,-4.699331525,-5.219959492,-5.771799153,-6.321837797,-6.851655254,-7.359052034,-7.850117966,-8.325933898,-8.774150339,-9.171541356,-9.493473559,-9.723840169,-9.861865593,-9.922970339,-9.932820847,-9.917529661,-9.894452712,-9.867197119,-9.826799153,-9.757938136,-9.646494915,-9.485784746,-9.280401695,-9.045565763,-8.800674746,-8.562046102,-8.341309661,-8.145492542,-7.975129322,-7.823728983,-7.679313559,-7.528391356,-7.358488983,-7.158619153,-6.919356102,-6.633838983,-6.299502203,-5.920238983,-5.507445932,-5.077112034,-4.642441186,-4.206421186,-3.758962542,-3.279109322,-2.740558305,-2.12022678,-1.408671525,-0.616709661,0.226767288,1.08334322,1.912725932,2.676417288,3.341207797,3.885086441,4.298962373,4.57872,4.711,4.697377,4.544515,4.255576,3.844002,3.3303275,2.73804,2.0901395,1.407346,0.708521,0.011715,-0.6658085,-1.30853,-1.90333,-2.439138,-2.9062925,-3.29668,-3.6047865,-3.828959,-3.972024,-4.04164,-4.048024,-4.011064,-3.9440625,-3.854202,-3.7430175,-3.609179,-3.450997,-3.268332,-3.064339,-2.847125,-2.6320305,-2.444568,-2.320739,-2.299342,-2.405285,-2.632328,-2.9387375,-3.263379,-3.5553155,-3.79957
