V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,
5.795814,4.169881186,2.416474831,0.896261831,-0.454663831,-1.878119508,-3.316682322,-4.511568441,-5.265460153,-5.443393627,-4.941337203,-3.738612949,-2.104049576,-0.453431119,0.784020068,1.364514153,1.305256712,0.832750475,0.201913847,-0.42589361,-1.003516458,-1.510182915,-1.912130898,-2.208347254,-2.361162695,-2.329626424,-2.116687644,-1.761158831,-1.35970061,-1.002029017,-0.723370407,-0.560254508,-0.492869932,-0.463029831,-0.427923339,-0.372807475,-0.297279458,-0.197855136,-0.042772593,0.220609254,0.597978593,1.004167237,1.349367136,1.581078271,1.702582458,1.781121525,1.899492034,2.106800831,2.414875271,2.776867153,3.101888559,3.356143881,3.536634102,3.653536678,3.777045034,3.971876898,4.14263222,4.072730831,3.643314763,2.975254,2.390311,2.055297667,1.919814,1.956966462,2.097023821,2.251614897,2.329151769,2.248776795,1.957361051,1.446297308,0.818658897,0.120713974,-0.635207308,-1.438346,-2.267362615,-3.094212077,-3.873640282,-4.546749718,-5.103111,-5.520180128,-5.77376259,-5.835604538,-5.669865154,-5.231739667,-4.449071,-3.330175538,-1.939771333,-0.338119154,1.40307741,3.192370846,4.911795154,6.419598128,7.524364487,8.198469308,8.458032718,8.353691949,7.978935154,7.416716077,6.683607949,5.705516,4.890746598
2.14964,1.929213797,2.598798712,4.174475475,5.436130661,5.276870593,4.057657678,2.994799034,2.712105983,3.038401068,3.624979373,4.207409458,4.592025356,4.748515271,4.810526119,4.896420864,5.016566424,5.138172678,5.241360271,5.293164983,5.271915949,5.173313475,5.018587847,4.827818492,4.589324814,4.290548712,3.918605576,3.464907712,2.947574424,2.401140831,1.849286186,1.309859915,0.832827305,0.500358593,0.373597017,0.464373322,0.728960424,1.092547814,1.465999186,1.777961322,1.985450847,2.077053797,2.063238814,1.985210508,1.916150102,1.932127119,2.081614644,2.353422119,2.676388119,2.978985017,3.25780122,3.551067339,3.86333161,4.145206542,4.311523458,4.235669949,3.778203305,2.939818119,1.943117847,1.013981,0.264586,-0.313024795,-0.733110462,-0.988720692,-1.122347795,-1.181422103,-1.191493769,-1.177684923,-1.196458513,-1.310266615,-1.553295795,-1.929353615,-2.428633231,-3.035907,-3.728020205,-4.478426923,-5.268948487,-6.085124538,-6.903328923,-7.699815795,-8.449280205,-9.090185231,-9.525521026,-9.692344846,-9.581977,-9.184430744,-8.449383333,-7.291831846,-5.631549615,-3.495002128,-1.108050385,1.13010059,2.825118333,3.781858692,4.050119436,3.845161769,3.434434923,2.993058667,2.551448103,2.126616,1.690598256
5.855076,6.15775078,6.506872966,6.692447237,6.33998561,5.297639847,3.880088847,2.637425237,1.945468983,1.878412492,2.292548525,2.895531695,3.395882966,3.653325898,3.654541407,3.475739102,3.231520339,3.030075169,2.918871661,2.882090136,2.902085814,2.931563186,2.942900102,2.943530441,2.928712424,2.864202949,2.707784678,2.441514373,2.084510983,1.702478763,1.345279593,1.041212695,0.839508712,0.788004695,0.906174322,1.161804,1.478645508,1.809455424,2.152208,2.499227102,2.818710847,3.071205254,3.24092478,3.349497288,3.445297881,3.571429932,3.762716712,4.040048068,4.393672305,4.777224814,5.099911881,5.264409797,5.230321797,5.054021322,4.829090169,4.598258475,4.351511085,4.075756085,3.793402271,3.546391,3.380963,3.290080128,3.230886821,3.191337538,3.165804359,3.146419231,3.122189462,3.081571872,3.011454282,2.886890923,2.709757897,2.489371949,2.237457231,1.961747,1.663980538,1.343650308,1.014477128,0.700159333,0.412467769,0.161360282,-0.045129564,-0.197252231,-0.283129744,-0.2924,-0.21454,-0.06792041,0.136478667,0.401380615,0.742918359,1.192189333,1.786664462,2.548324154,3.434539385,4.284394615,4.987574923,5.511030359,5.876918769,6.132405385,6.320909872,6.467551,6.642101034
-2.337612,-1.896138508,-1.471852746,-1.218794576,-1.515961017,-2.637942119,-4.315502932,-5.842458407,-6.646359186,-6.620242,-6.011342271,-5.222262949,-4.627155831,-4.40807239,-4.535972932,-4.856467458,-5.175403085,-5.339408119,-5.280322492,-5.041901932,-4.749394136,-4.479378068,-4.297731407,-4.204603814,-4.151429627,-4.122477322,-4.162539203,-4.339554424,-4.699864475,-5.232637492,-5.845819593,-6.43616661,-6.966203458,-7.390702339,-7.624296966,-7.579275814,-7.225467492,-6.657050983,-6.022817102,-5.386903373,-4.739234932,-4.098244237,-3.512859017,-3.033749169,-2.660115271,-2.339366237,-2.009174068,-1.631209169,-1.166531847,-0.577489542,0.145738085,0.952674441,1.724430678,2.294929593,2.526058237,2.434235915,2.18992622,1.929412593,1.665431441,1.344122,0.949876,0.521068769,0.089034359,-0.308313615,-0.641208974,-0.911659795,-1.136338462,-1.322334308,-1.489013154,-1.661905308,-1.86269359,-2.121261615,-2.474442846,-2.938932333,-3.500274103,-4.134962769,-4.828929769,-5.568604846,-6.298542462,-6.944350744,-7.440696256,-7.741991,-7.832987154,-7.699586026,-7.363795923,-6.877363487,-6.305869,-5.721026615,-5.199960436,-4.78202541,-4.423288692,-4.016969231,-3.493217231,-2.906463,-2.399831846,-2.073152128,-1.894814615,-1.746483897,-1.522106436,-1.19398,-0.935019547
0.219187,0.039693525,-0.530507051,-1.055849237,-1.046797169,-0.538535915,-0.065612119,-0.007998864,-0.272148831,-0.564506475,-0.751388847,-0.898987712,-1.032404203,-1.058736576,-0.953630678,-0.761889661,-0.495135119,-0.136336881,0.291957153,0.70292461,1.004705186,1.160791288,1.18288961,1.081425203,0.875956203,0.633516966,0.426923407,0.298449085,0.268179559,0.369775237,0.625257271,1.026913983,1.530676966,2.072403,2.592961508,3.080274373,3.535956729,3.960914831,4.357360068,4.719557559,5.038122492,5.32078378,5.577835542,5.792120525,5.943874102,6.049879254,6.184093797,6.428353864,6.799320712,7.225349797,7.619526847,7.982173712,8.363700898,8.746152153,9.096781746,9.445737237,9.775867475,9.951431508,9.789543949,9.185671,8.312437,7.429302641,6.581781718,5.845882,5.245854769,4.771500897,4.401930385,4.121032821,3.918808744,3.782399615,3.695560128,3.640510641,3.585793846,3.511615333,3.403694564,3.238485462,2.983873923,2.617581744,2.143692846,1.580986154,0.936288846,0.281823538,-0.316170692,-0.817681846,-1.189506769,-1.398126769,-1.408655333,-1.189324769,-0.726469513,-0.058391,0.699009,1.325090026,1.627110051,1.527233846,1.119916026,0.649827872,0.379032923,0.417524923,0.627870641,0.7108,0.878673598
17.20279,17.51181356,16.54809,14.64951712,12.68090424,11.48049119,11.38491102,12.16438068,13.25480797,14.06959424,14.25381322,13.79280068,12.94700458,12.07283203,11.45114237,11.21430339,11.36485271,11.8256,12.48272119,13.21679034,13.92468966,14.53346542,15.00790153,15.34985678,15.58909203,15.7731522,15.95900153,16.19928407,16.52231017,16.92030763,17.35390712,17.75973237,18.06521932,18.20555254,18.14902831,17.91484102,17.56846,17.19730559,16.88443136,16.69331576,16.65943678,16.77876797,17.00130085,17.24543831,17.42736763,17.48834153,17.40952458,17.21057695,16.93646102,16.63813458,16.34465983,16.03792797,15.6616322,15.17169559,14.58900424,14.00966932,13.56552559,13.36544593,13.45472339,13.80798,14.32974,14.9013455,15.468505,15.98463,16.4367,16.83828,17.213165,17.583269,17.966036,18.3738225,18.809195,19.260016,19.700804,20.100516,20.431516,20.6756025,20.826202,20.88662,20.865661,20.774853,20.62766,20.4394365,20.23648,20.0443755,19.877252,19.7216725,19.526285,19.2042805,18.656346,17.8125425,16.675425,15.3446455,14.00966,12.9055665,12.244243,12.1532125,12.652226,13.6631835,15.017436,16.435149,17.50692
-13.56782,-12.83471254,-12.04210169,-11.22175627,-10.43264525,-9.754766441,-9.239574407,-8.865239322,-8.557514068,-8.269265424,-8.040280508,-7.97205322,-8.135296949,-8.49344322,-8.907382881,-9.205985085,-9.267423559,-9.092074576,-8.749187966,-8.337161017,-7.942620847,-7.619631017,-7.388098305,-7.240189661,-7.147464237,-7.071081525,-6.975948475,-6.842069322,-6.66877322,-6.474981356,-6.300381525,-6.199441695,-6.216208475,-6.37133322,-6.65562339,-7.038131695,-7.48008322,-7.944589492,-8.397715085,-8.804168983,-9.124977797,-9.323105424,-9.375909831,-9.287143898,-9.091555085,-8.851635085,-8.649435932,-8.558569492,-8.636046271,-8.914002203,-9.392245932,-10.03090119,-10.74870881,-11.43466729,-11.97078407,-12.25507186,-12.21683458,-11.82410203,-11.08795661,-10.06974,-8.96385,-7.974543,-7.113684,-6.467401,-6.084034,-5.970065,-6.094864,-6.400381,-6.81239,-7.250842,-7.63831,-7.884073,-7.9505,-7.81475,-7.474676,-6.944785,-6.251054,-5.426681,-4.509934,-3.544229,-2.57942,-1.69112,-0.94774,-0.422437,-0.187612,-0.30589,-0.818416,-1.733035,-3.015358,-4.585542,-6.32283,-8.058318,-9.626422,-10.91307,-11.847144,-12.403915,-12.601106,-12.489593,-12.141102,-11.635138,-11.04679
-2.06315,-1.303328475,-0.808304068,-0.547061525,-0.393517797,-0.24839661,-0.104010169,-0.008461864,0.016988305,0.029569492,0.141262712,0.441626441,0.93352678,1.529775932,2.102787797,2.546477627,2.815879661,2.931915593,2.958585085,2.970785085,3.029042712,3.168072881,3.400902034,3.731064915,4.15852322,4.674306271,5.252560508,5.849452203,6.409543051,6.872395085,7.175562881,7.261785763,7.098052203,6.698135424,6.128805254,5.488462034,4.870185424,4.332870678,3.892616102,3.532019661,3.220280678,2.934096441,2.66779,2.429728136,2.23147661,2.078224915,1.965704915,1.881899153,1.807035424,1.711382542,1.556197797,1.300301864,0.908196102,0.35667322,-0.357309492,-1.206271356,-2.123683559,-3.000887627,-3.693068644,-4.04215,-3.92489,-3.33440075,-2.355295,-1.143944,0.123247,1.30942625,2.3440645,3.2156515,3.947194,4.56958425,5.103315,5.5547305,5.925865,6.2296315,6.498062,6.77601625,7.10563,7.5095435,7.974244,8.4376285,8.79077,8.89884,8.6358165,7.92179725,6.750418,5.19515875,3.389896,1.49209425,-0.35358,-2.03889625,-3.5016225,-4.7224635,-5.710262,-6.479443,-7.028965,-7.33398375,-7.35719,-7.07697425,-6.5183995,-5.76499475,-4.93331
-12.28276,-11.6672,-11.0161,-10.15827,-8.89791,-7.22432,-5.41015,-3.90653,-3.11399,-3.18618,-3.9785,-5.14615,-6.30755,-7.18041,-7.64396,-7.72818,-7.55554,-7.26885,-6.9763,-6.72984,-6.53287,-6.35906,-6.16934,-5.92449,-5.59624,-5.17837,-4.69473,-4.19856,-3.75742,-3.42905,-3.24402,-3.20213,-3.27716,-3.42251,-3.57883,-3.68888,-3.71715,-3.66377,-3.56573,-3.48466,-3.48392,-3.60244,-3.83926,-4.15806,-4.50625,-4.8364,-5.12183,-5.36263,-5.58172,-5.81208,-6.07842,-6.38236,-6.70163,-7.00128,-7.24445,-7.39721,-7.43293,-7.34123,-7.13483,-6.84084,-6.47651,-6.03056,-5.4705,-4.77203,-3.94646,-3.04559,-2.14265,-1.30492,-0.57357,0.04182,0.55425,0.98384,1.34519,1.64194,1.86889,2.02075,2.10124,2.12785,2.13209,2.15425,2.23268,2.39221,2.63542,2.93472,3.22423,3.39722,3.31754,2.84785,1.88862,0.41612,-1.49374,-3.66867,-5.875,-7.87531,-9.48434,-10.59791,-11.19195,-11.30974,-11.05319,-10.57563,-10.05159
7.79654,7.901213051,8.046014237,8.099444576,7.99923,7.795265424,7.579577458,7.377067288,7.114752881,6.693794407,6.082293559,5.347374237,4.617374407,4.017162373,3.619950339,3.432438305,3.408557797,3.480519831,3.592836949,3.723159153,3.881122881,4.09116661,4.373668983,4.733409831,5.15582322,5.609854915,6.056445424,6.458981695,6.791623559,7.041931525,7.203672373,7.269626102,7.23155678,7.091086949,6.870591864,6.601982712,6.307535763,5.994564576,5.665695763,5.330999492,5.011707966,4.734722712,4.522382712,4.383310339,4.308274915,4.271229492,4.233557119,4.15064339,3.979472542,3.68379,3.235948983,2.617847119,1.822245424,0.85468,-0.261099153,-1.469807119,-2.668263051,-3.704122881,-4.406034915,-4.63906,-4.36195,-3.6769335,-2.689121,-1.515141,-0.26907,0.9551775,2.092163,3.105437,3.983834,4.736696,5.388695,5.9735585,6.527102,7.0811085,7.658554,8.27003,8.912998,9.5751915,10.238826,10.88164,11.47634,11.9855115,12.380383,12.633202,12.722096,12.6312975,12.352237,11.8881235,11.260756,10.515022,9.71698,8.9435215,8.26431,7.7204125,7.309103,6.9871175,6.6983,6.4140725,6.157985,5.9911365,5.96485
-5.04033,-3.49382339,-1.802013051,-0.104742881,1.515856441,2.996691186,4.243397119,5.14114339,5.587760339,5.498852203,4.808376271,3.522561186,1.89301339,0.274369153,-0.956639322,-1.559338305,-1.511277966,-0.974763898,-0.191967627,0.619734068,1.315180508,1.818162542,2.11443661,2.205669661,2.116273729,1.88765322,1.566855254,1.202958475,0.851368644,0.570160847,0.411488136,0.388151017,0.460037458,0.567853898,0.6597,0.703949831,0.678491864,0.557479153,0.317529153,-0.035987966,-0.450033898,-0.834070339,-1.124657119,-1.309436949,-1.427450847,-1.547820678,-1.737165593,-2.030834915,-2.418975254,-2.850087797,-3.246212881,-3.550273898,-3.751382881,-3.879753898,-3.980776441,-4.060660339,-4.051117288,-3.851347458,-3.425572203,-2.86407,-2.39568,-2.150642,-2.068417,-2.1233145,-2.258656,-2.40028,-2.470535,-2.3922075,-2.119464,-1.6872795,-1.11949,-0.440488,0.327798,1.1665035,2.055833,2.94727,3.796208,4.5633175,5.21349,5.7166095,6.0472,6.1343165,5.994353,5.6073225,4.958314,4.0420975,2.867329,1.4496055,-0.145622,-1.8030075,-3.43012,-4.932419,-6.222038,-7.226903,-7.854424,-8.12784,-8.093672,-7.7716825,-7.177293,-6.3267405,-5.24747
-1.91426,-1.979371864,-2.582204237,-3.418206102,-3.947944915,-3.831640678,-3.225273051,-2.608957458,-2.37464339,-2.599263559,-3.109142203,-3.658045254,-4.066169831,-4.277196271,-4.338229153,-4.333077288,-4.328711525,-4.352293051,-4.397980847,-4.441703559,-4.456350169,-4.422174068,-4.334263559,-4.200273898,-4.024764407,-3.796024576,-3.491276949,-3.094188305,-2.604663729,-2.036194746,-1.412761864,-0.778425593,-0.192373051,0.277965254,0.567100169,0.633303729,0.478189831,0.150385932,-0.264991186,-0.667526949,-0.970314915,-1.125729492,-1.136081525,-1.047735085,-0.935016271,-0.881552542,-0.94017339,-1.114616271,-1.372060508,-1.671266949,-1.990146271,-2.322722203,-2.649632881,-2.913496102,-3.020903729,-2.874072373,-2.422337458,-1.703990508,-0.838839153,0.02466,0.71049,1.154568,1.426958,1.548982,1.563748,1.52554,1.490868,1.510125,1.619828,1.837054,2.15992,2.58742,3.096768,3.678563,4.320182,5.006415,5.722516,6.456379,7.197318,7.930924,8.63269,9.247156,9.725878,10.016153,10.065968,9.820465,9.222122,8.22026,6.79157,4.968811,2.86966,0.744715,-1.096134,-2.437833,-3.181938,-3.35638,-3.087102,-2.552007,-1.939554,-1.427426,-1.18097
