V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,
1.484069,-0.030435593,-2.016142542,-3.608145898,-4.352179356,-4.311335864,-3.780886407,-3.059518305,-2.248492983,-1.294043712,-0.192934356,0.926976746,1.921694203,2.749818644,3.460590847,4.106303051,4.696763661,5.218717288,5.671529559,6.061667373,6.384443525,6.649838407,6.891372983,7.148313492,7.441523559,7.776158305,8.151162593,8.562772424,8.990767,9.413420085,9.826785119,10.24903539,10.70719985,11.19547422,11.67422005,12.12275263,12.54244932,12.9214439,13.2481211,13.51122958,13.69578742,13.79550978,13.80246568,13.69875441,13.46930763,13.08093385,12.50409761,11.73419908,10.74830159,9.467215864,7.769126508,5.577304949,2.892159119,-0.200647051,-3.49182861,-6.702123034,-9.559399576,-11.84666786,-13.32875454,-13.707504,-12.884395,-11.28543431,-9.401770154,-7.614078692,-6.021025103,-4.498169282,-2.887294,-1.107249103,0.813935692,2.758363538,4.570231564,6.102707308,7.258999846,8.024493333,8.458705667,8.653205923,8.700621103,8.66745,8.565679692,8.368699795,8.058484205,7.614108615,7.037448,6.345055077,5.542738308,4.621507513,3.595998667,2.527831231,1.532136,0.745050513,0.268037385,0.120151487,0.231077487,0.481349769,0.762126795,1.022565333,1.269871769,1.491052179,1.540726308,1.099433,1.234860269
-1.073101,-1.906234576,-3.087004627,-4.387715186,-5.341384271,-5.475028746,-4.822486407,-3.792281729,-2.696178559,-1.650615424,-0.713803932,0.106744508,0.859417949,1.582345169,2.261713169,2.849905424,3.324631102,3.724394678,4.085637186,4.404071458,4.679631136,4.927966627,5.157831492,5.374555051,5.592787661,5.821255085,6.062195085,6.324202407,6.610915814,6.929938407,7.278936424,7.636927169,7.979017288,8.277315407,8.507080661,8.653034576,8.715160627,8.698173983,8.585337881,8.351023085,7.981419881,7.486795525,6.873644254,6.119266661,5.198182169,4.098962271,2.798336,1.268960051,-0.478788373,-2.401229492,-4.466383085,-6.673528322,-9.021254017,-11.45757856,-13.83018673,-15.90630602,-17.51577097,-18.62331446,-19.22782405,-19.317467,-18.898588,-18.01319092,-16.70413626,-15.07923754,-13.2945769,-11.49880956,-9.782949769,-8.174061,-6.655580103,-5.197808154,-3.791522385,-2.441678077,-1.153392769,0.040267333,1.070574231,1.876605154,2.437166128,2.769521205,2.921070154,2.953245692,2.912316769,2.808645385,2.631068154,2.374688974,2.041395077,1.635093641,1.186137333,0.771897846,0.49751859,0.448021821,0.621144846,0.880896897,1.009504231,0.854265462,0.445957795,-0.042525949,-0.423990846,-0.622959718,-0.765913923,-1.112167,-1.283128538
2.953467,0.468263,-2.477066,-4.90751,-6.034158,-5.734866,-4.628191,-3.490732,-2.637434,-1.86656,-0.874981,0.389063,1.75719,3.039048,4.129447,5.009586,5.714891,6.265498,6.64078,6.869222,7.074366,7.396934,7.873245,8.427243,8.978255,9.499458,9.986318,10.448309,10.909113,11.397326,11.92846,12.48431,13.036476,13.577813,14.114141,14.637044,15.12253,15.539603,15.856205,16.052071,16.110212,16.013493,15.749556,15.299608,14.640876,13.765949,12.68141,11.392023,9.877094,8.082447,5.928683,3.323302,0.243564,-3.124442,-6.425648,-9.397373,-11.995029,-14.19814,-15.782604,-16.431826,-16.133533,-15.30458903,-14.47787441,-13.78519385,-12.98339569,-11.79759377,-10.17861946,-8.299371333,-6.388763744,-4.599646308,-2.982075026,-1.513652256,-0.166962615,1.050182333,2.117751821,3.034447846,3.808498923,4.449294744,4.980418692,5.432181949,5.81620041,6.121535769,6.337274282,6.459387769,6.482565615,6.409451513,6.263841,6.088533538,5.928169744,5.808525308,5.725875308,5.645994923,5.523274923,5.346893462,5.169872846,5.093745026,5.173282769,5.266082949,4.935507205,3.588414,3.469526218
1.177894,0.141779712,-1.861685542,-3.782951458,-4.514850644,-4.056281356,-3.064959831,-1.982801864,-0.917272068,0.164739627,1.262436915,2.306696831,3.24602439,4.079061966,4.824247322,5.467079458,5.954829559,6.285554441,6.525606237,6.738885644,6.976958593,7.275687508,7.643618,8.066694847,8.502095475,8.920498186,9.345725831,9.821151831,10.3611508,10.93642558,11.50478115,12.05120336,12.5798769,13.07999764,13.52493685,13.90163278,14.21286531,14.46182717,14.64703361,14.75338371,14.75182802,14.63044112,14.38848905,14.02337825,13.52720951,12.89583914,12.12785588,11.19965549,10.05764366,8.609046237,6.738051288,4.352228542,1.425103763,-1.970292153,-5.643222051,-9.333554373,-12.77509729,-15.70143888,-17.70198342,-18.317301,-17.518877,-15.88395421,-13.88060615,-11.83027146,-9.866914256,-8.020630436,-6.317246231,-4.762293692,-3.306357692,-1.877837462,-0.419357949,1.099901154,2.670225769,4.218321667,5.625807974,6.808252769,7.755499,8.496508564,9.079540769,9.512359462,9.698597538,9.558081154,9.115074359,8.457020359,7.684725846,6.850174051,5.923061667,4.859552846,3.686888385,2.524240974,1.525774231,0.802324641,0.386444282,0.244049077,0.303490795,0.501104231,0.815638615,1.201922846,1.482883718,1.368271,1.701893551
6.959372,3.767198915,-0.535495915,-4.017825102,-5.851620525,-6.438832475,-6.235898475,-5.574941119,-4.806349797,-4.153359119,-3.551402678,-2.849199288,-2.052953254,-1.264713508,-0.539589441,0.151381017,0.846061068,1.567944983,2.323049441,3.099905542,3.904134525,4.746752864,5.604188627,6.454033712,7.295251373,8.117501305,8.925236898,9.721078203,10.49329066,11.23431878,11.93363892,12.57437505,13.14363276,13.65863253,14.13087739,14.5403412,14.86700234,15.10956734,15.27521956,15.36771031,15.37571425,15.27681807,15.06448653,14.75415188,14.34710332,13.82146739,13.14781459,12.27354176,11.10772314,9.537056085,7.429848814,4.851699339,2.056139254,-0.728505593,-3.52636378,-6.457770051,-9.41800322,-12.03691859,-13.81704154,-14.216427,-13.126801,-11.34071474,-9.317600333,-7.394550077,-5.765689077,-4.480518205,-3.471204308,-2.601143077,-1.724717231,-0.731831,0.360951,1.492674487,2.590777769,3.594009333,4.468496154,5.213049,5.834931667,6.344281821,6.766875308,7.117543154,7.396596846,7.593434846,7.696465,7.704329872,7.616080692,7.465169385,7.316092667,7.227789154,7.227221103,7.301703308,7.410033,7.509415154,7.568410385,7.580475615,7.601714282,7.720532641,7.967675923,8.227061,8.180755718,7.317861,7.424400897
10.23432,7.954386102,4.968517458,2.316034746,0.838110169,0.690151356,1.449079322,2.602896271,3.863151695,5.123216441,6.320286271,7.40308661,8.360008983,9.213772542,9.988952203,10.69647424,11.33473729,11.89174542,12.35288831,12.71555051,12.99675492,13.22523508,13.42556068,13.60824356,13.77220949,13.91616864,14.04839034,14.18629119,14.34770254,14.54250983,14.77137712,15.02692475,15.29706492,15.56855881,15.82846102,16.06617847,16.27537203,16.4526578,16.59284407,16.68459441,16.70989576,16.64703678,16.47474203,16.17556407,15.73907153,15.16477847,14.45932492,13.62380661,12.63770542,11.45121593,9.989464407,8.161234068,5.866346102,3.015415593,-0.407341356,-4.234130169,-8.029510169,-11.15381186,-13.01725932,-13.3881,-12.54682,-11.1429195,-9.593912,-8.0920505,-6.638764,-5.15136,-3.555111,-1.8230965,0.021586,1.9190565,3.791685,5.5652955,7.186044,8.6255365,9.873797,10.928615,11.790288,12.462028,12.950044,13.262389,13.40962,13.3982295,13.252982,12.992144,12.643022,12.2427425,11.82415,11.395585,10.936132,10.417397,9.83861,9.249689,8.747,8.4456285,8.442931,8.785505,9.440614,10.265568,10.982515,11.1995925,10.53521
0.55758,-0.04957,-0.48114,-0.6408,-0.43738,0.18807,1.21786,2.54646,4.02075,5.49943,6.89,8.15169,9.27991,10.28855,11.19556,12.01254,12.74124,13.37704,13.91599,14.36076,14.72265,15.01888,15.26668,15.4786,15.66274,15.82631,15.97649,16.11635,16.24043,16.33515,16.38371,16.37193,16.29225,16.1454,15.9399,15.6896,15.4097,15.11318,14.80791,14.4938,14.16047,13.78711,13.34532,12.80286,12.12617,11.28062,10.22958,8.93181,7.33699,5.38293,3.00337,0.15384,-3.14684,-6.77903,-10.51843,-14.07951,-17.18138,-19.59043,-21.1255,-21.65586,-21.12504,-19.59106,-17.23983,-14.33991,-11.15891,-7.89914,-4.68952,-1.61871,1.23288,3.78984,6.00156,7.85957,9.39489,10.65619,11.68345,12.49154,13.06846,13.38257,13.39289,13.06258,12.37791,11.36686,10.10431,8.69824,7.26637,5.91644,4.73339,3.77096,3.04924,2.55768,2.26213,2.11541,2.06887,2.08157,2.12266,2.16377,2.16525,2.07131,1.82815,1.41828,0.88116
1.76333,0.16426,-1.6253,-3.11225,-3.95068,-4.08532,-3.67274,-2.90896,-1.92979,-0.82097,0.34279,1.49155,2.57209,3.55172,4.41545,5.16366,5.80754,6.36047,6.83183,7.22636,7.54655,7.79651,7.98604,8.13116,8.2498,8.35677,8.46105,8.56502,8.66652,8.76387,8.86086,8.96725,9.09435,9.24939,9.43142,9.63066,9.83115,10.01363,10.15706,10.23891,10.23441,10.11684,9.86074,9.44616,8.86042,8.09676,7.1498,6.00754,4.63853,2.97481,0.8969,-1.76281,-5.17839,-9.44159,-14.44717,-19.82066,-24.97368,-29.28888,-32.30751,-33.79617,-33.71198,-32.17367,-29.4741,-26.06404,-22.45037,-19.05277,-16.11001,-13.67442,-11.66587,-9.93937,-8.34124,-6.75224,-5.12048,-3.47115,-1.88301,-0.44632,0.77236,1.74664,2.48946,3.04134,3.45427,3.7746,4.02847,4.2173,4.32569,4.3354,4.23661,4.03109,3.72964,3.35051,2.9222,2.48759,2.10403,1.83605,1.73971,1.8402,2.10549,2.42005,2.57519,2.31212,1.44605
5.54858,3.989766102,2.117500508,0.410678136,-0.768219661,-1.321414576,-1.370239661,-1.101510508,-0.650768305,-0.080512712,0.585939153,1.329147288,2.118027288,2.910979492,3.665720339,4.350278305,4.949128475,5.461988475,5.897181356,6.26572678,6.579811525,6.853281356,7.100519831,7.33427,7.565057966,7.802410847,8.055210678,8.330478475,8.632810678,8.965263898,9.329248305,9.721750339,10.13193712,10.54066356,10.92356254,11.25485644,11.50929356,11.66279864,11.69431,11.58933542,11.34215068,10.95293475,10.42082407,9.738572542,8.892312034,7.86441678,6.635307288,5.181191695,3.469261864,1.455350339,-0.910512542,-3.669342373,-6.833378475,-10.36778695,-14.17577797,-18.08002203,-21.79708288,-24.93300627,-27.05509051,-27.8532,-27.27174,-25.54315125,-23.18686,-20.63927375,-18.122088,-15.64769875,-13.125905,-10.48491175,-7.742156,-5.00661075,-2.43241,-0.15978375,1.727395,3.21394475,4.338738,5.16572125,5.756874,6.157597,6.393803,6.4746065,6.39821,6.16333175,5.785696,5.31110775,4.813268,4.37195875,4.0425215,3.83723625,3.731057,3.68528,3.67142,3.682184,3.72914,3.834647,4.025257,4.3248325,4.732033,5.16863175,5.428178,5.20149925,4.23091
-5.74706,-5.045247119,-4.081227966,-2.99935,-1.904934746,-0.86533678,0.084410847,0.932382373,1.680396441,2.338087288,2.919526441,3.43946678,3.908525254,4.330025593,4.701534237,5.020466102,5.289524915,5.518361525,5.720594576,5.908114915,6.086052542,6.253018136,6.40765678,6.55180339,6.68995322,6.827948983,6.972466949,7.128941356,7.297673898,7.471350339,7.636654746,7.778985424,7.886690847,7.952204237,7.970276102,7.935186102,7.838781695,7.670644068,7.420046102,7.077150678,6.627508644,6.060759831,5.368553051,4.54365,3.579825254,2.467548983,1.190634576,-0.274711864,-1.957861186,-3.886176102,-6.069654576,-8.481508136,-11.04602458,-13.64374729,-16.13117034,-18.36120356,-20.19568593,-21.51516932,-22.23361271,-22.31505,-21.72626,-20.45954925,-18.768196,-16.8615935,-14.877515,-12.8481125,-10.725206,-8.44857975,-6.01633,-3.5199445,-1.131505,0.94746825,2.556215,3.63366875,4.2172895,4.45375625,4.476314,4.356782,4.1136245,3.739175,3.236025,2.64458375,2.047257,1.546098,1.22876,1.1405575,1.269562,1.55105475,1.888852,2.20569725,2.4548,2.57353575,2.437912,1.870019,0.7268905,-0.97260375,-2.979955,-4.87849225,-6.2515395,-6.85477425,-6.68247
