V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,
-9.050554,-11.01527654,-13.00785468,-15.03426756,-17.18066875,-19.33813519,-21.28668681,-22.85530169,-24.01965542,-24.84167605,-25.3497432,-25.53485181,-25.4114732,-25.03756785,-24.49443653,-23.82985605,-23.04886568,-22.14699383,-21.13537878,-20.04263114,-18.88391312,-17.68825464,-16.51567747,-15.41651853,-14.39655756,-13.44298197,-12.55492861,-11.74343393,-11.01141705,-10.35802536,-9.776808458,-9.250553712,-8.775639119,-8.35501478,-7.983659373,-7.667816864,-7.42654861,-7.27067339,-7.214921475,-7.28206561,-7.507089949,-7.908996559,-8.495916186,-9.273365322,-10.24960573,-11.42093054,-12.78562925,-14.3659998,-16.19791549,-18.31685244,-20.74443159,-23.49668668,-26.56868349,-29.92668781,-33.5274088,-37.30390029,-41.16212585,-44.97843815,-48.62533022,-52.019512,-54.965496,-57.47555418,-59.70629621,-61.62505715,-63.18059356,-64.34287441,-65.12606908,-65.57445349,-65.72432913,-65.59415685,-65.18369621,-64.47386595,-63.44922415,-62.11965467,-60.51179272,-58.66672285,-56.64874328,-54.48692833,-52.14558431,-49.59486408,-46.83170692,-43.86744269,-40.72218877,-37.4248829,-34.01433254,-30.52660556,-26.99778067,-23.47896746,-20.03523744,-16.74071997,-13.67999538,-10.94265759,-8.612067,-6.761386923,-5.453970564,-4.737253718,-4.632813154,-5.131929256,-6.181322128,-7.65509,-7.882936113
-12.967862,-14.2813958,-15.0260539,-15.54458186,-16.39422486,-17.647919,-18.94885119,-19.98627715,-20.67434081,-21.0203668,-21.00524671,-20.66395439,-20.14537,-19.57578502,-18.96294359,-18.25506954,-17.4227142,-16.46457993,-15.39539329,-14.26546981,-13.12852629,-12.0037439,-10.89108975,-9.786374441,-8.70101,-7.674100915,-6.73380761,-5.885190288,-5.139220136,-4.507369441,-3.98794478,-3.573773136,-3.260487712,-3.034157712,-2.872234458,-2.763734661,-2.721504966,-2.772153847,-2.939592373,-3.240186678,-3.685711237,-4.297099746,-5.09706161,-6.098280407,-7.314915644,-8.771849288,-10.48246858,-12.4449958,-14.67319912,-17.19845481,-20.04111166,-23.1944048,-26.63857092,-30.34587341,-34.276159,-38.383817,-42.57547008,-46.68009181,-50.53450159,-54.048618,-57.08728,-59.71064995,-62.02452059,-64.04002885,-65.7365101,-67.07623241,-68.04689638,-68.6617371,-68.93734267,-68.87635554,-68.47102287,-67.72049113,-66.64292277,-65.265594,-63.60983231,-61.68235338,-59.47308136,-56.98430295,-54.24679954,-51.29729841,-48.15827967,-44.83672962,-41.34213418,-37.70836136,-33.989783,-30.25121495,-26.56504167,-22.99101177,-19.56905164,-16.35295856,-13.44665785,-10.99144303,-9.115471333,-7.89812,-7.374743436,-7.552896923,-8.417146231,-9.824222179,-11.47935362,-13.085979,-14.31043105
-3.887193,-4.64048,-5.301334,-6.073267,-7.196634,-8.648717,-10.131956,-11.328516,-12.198038,-12.95643,-13.750713,-14.475477,-14.928249,-14.994297,-14.667255,-14.013744,-13.156708,-12.205253,-11.206036,-10.211763,-9.315409,-8.587887,-8.005532,-7.476481,-6.938283,-6.398589,-5.883962,-5.415656,-5.003973,-4.65191,-4.365794,-4.148242,-4.002197,-3.936163,-3.954652,-4.05045,-4.204533,-4.391438,-4.59691,-4.827441,-5.09189,-5.399207,-5.767127,-6.208454,-6.732143,-7.366184,-8.157215,-9.150281,-10.373162,-11.844269,-13.59626,-15.664967,-18.071976,-20.837786,-23.962261,-27.374245,-30.927206,-34.458847,-37.857281,-41.067509,-44.054367,-46.83945121,-49.32500936,-51.58426385,-53.76497287,-55.95343531,-58.08645515,-59.99262592,-61.50500213,-62.52903246,-63.03894118,-63.05144938,-62.59424169,-61.70639967,-60.45027249,-58.89323954,-57.07827215,-55.03456372,-52.79323115,-50.36851951,-47.74564926,-44.90405492,-41.85141687,-38.61788374,-35.24997585,-31.79054995,-28.2745,-24.73367638,-21.20129608,-17.72060962,-14.35589731,-11.19488603,-8.342095872,-5.913644231,-4.032261205,-2.812320692,-2.312426231,-2.472802538,-3.11254459,-3.928556,-3.837506703
-8.312963,-9.907479881,-10.69542846,-11.11128083,-11.75524073,-12.75287393,-13.8240278,-14.68447656,-15.28755629,-15.70284381,-15.89469439,-15.76846305,-15.33139244,-14.68733451,-13.93979617,-13.13560105,-12.27980054,-11.39257595,-10.50401612,-9.617294,-8.745761441,-7.904469746,-7.112825169,-6.403368729,-5.772835288,-5.228589119,-4.824675542,-4.591604186,-4.499746898,-4.496070864,-4.539057356,-4.603049627,-4.674504627,-4.742028525,-4.794378576,-4.835928203,-4.908471712,-5.08118639,-5.402298949,-5.860135966,-6.441908932,-7.178159814,-8.066931136,-9.084486746,-10.22434214,-11.50015234,-12.93935932,-14.58933103,-16.50032798,-18.74188571,-21.37917886,-24.41202329,-27.76295966,-31.29159517,-34.87259286,-38.44971846,-42.00060032,-45.49597437,-48.89877247,-52.14893,-55.013664,-57.46117415,-59.62356803,-61.47607446,-62.986344,-64.12202605,-64.86031915,-65.21151931,-65.23957305,-65.02168646,-64.60179597,-63.99097441,-63.17461708,-62.10037867,-60.68652495,-58.87168377,-56.66489697,-54.13847608,-51.37877408,-48.40400721,-45.14668279,-41.57016392,-37.70134495,-33.61421087,-29.43121115,-25.26146549,-21.160798,-17.143326,-13.2325799,-9.508781872,-6.136221385,-3.350316462,-1.396024821,-0.429329615,-0.433980436,-1.239491897,-2.632881615,-4.424235641,-6.410498897,-8.300531,-9.971436456
-6.284713,-6.497707186,-5.926164508,-5.427654254,-5.643205153,-6.363457949,-7.253503017,-8.075771746,-8.60135878,-8.732586559,-8.568040678,-8.237797949,-7.813505932,-7.300139525,-6.707045373,-6.115062356,-5.650752593,-5.408282339,-5.388806356,-5.537992288,-5.817677407,-6.183953678,-6.568797508,-6.92790539,-7.257004136,-7.542076339,-7.777831898,-7.95892761,-8.067528034,-8.109071814,-8.105229,-8.057517305,-7.960909,-7.853927814,-7.783819627,-7.767164424,-7.815939102,-7.957878424,-8.220834949,-8.620912237,-9.180031153,-9.896224458,-10.77243888,-11.82421425,-13.05190402,-14.44880761,-16.01729956,-17.76817503,-19.73529119,-21.99326015,-24.66519788,-27.80766398,-31.42744836,-35.42642103,-39.62188295,-43.83407897,-47.93984661,-51.8018889,-55.22292119,-58.162064,-60.570602,-62.55544005,-64.38402313,-65.98186877,-67.30363223,-68.33521977,-69.08681954,-69.58191277,-69.84179831,-69.86600038,-69.68941972,-69.30626238,-68.69970315,-67.85304767,-66.75478741,-65.39854123,-63.76662318,-61.86338615,-59.73483477,-57.39537954,-54.84105674,-52.05524146,-49.02407269,-45.75500982,-42.25839577,-38.58978974,-34.815214,-30.99743854,-27.19662849,-23.46730649,-19.86133131,-16.43496354,-13.28957385,-10.46930338,-8.091921256,-6.351510128,-5.401705231,-5.247709897,-5.681866615,-6.303112,-5.852190313
-18.43632,-19.45212,-20.51815119,-22.01091559,-23.96923458,-26.08365644,-28.00839085,-29.61167576,-30.95619831,-32.12979559,-33.1391778,-33.9331739,-34.46576475,-34.71635085,-34.68274169,-34.38437034,-33.86148847,-33.15535695,-32.29566864,-31.31339322,-30.25908576,-29.20120475,-28.20524831,-27.31338559,-26.53864186,-25.87459424,-25.31085593,-24.84176407,-24.46461068,-24.1730139,-23.95406254,-23.78654017,-23.64408831,-23.50017831,-23.33315203,-23.13230746,-22.9000661,-22.64848644,-22.39367695,-22.15188593,-21.93991492,-21.7786778,-21.69543136,-21.72211153,-21.89170898,-22.2357322,-22.78354237,-23.56422593,-24.61069542,-25.96060017,-27.64729017,-29.68217203,-32.03716864,-34.63709102,-37.3718061,-40.13096153,-42.84767305,-45.52183305,-48.19592593,-50.8889,-53.45683,-55.75792,-57.835324,-59.6394955,-61.149392,-62.3510025,-63.229455,-63.7753085,-63.989704,-63.880648,-63.45678,-62.7277445,-61.710894,-60.4355245,-58.938299,-57.2525025,-55.398322,-53.3793995,-51.187971,-48.8162625,-46.26594,-43.537559,-40.645495,-37.5846565,-34.350744,-30.9565025,-27.444971,-23.8984745,-20.442932,-17.24302,-14.48166,-12.326144,-10.894824,-10.2384945,-10.338342,-11.111145,-12.413116,-14.04287,-15.75367,-17.291887,-18.47914
-19.08892,-21.96317,-24.85895,-27.5379,-29.83225,-31.66653,-33.04131,-34.00555,-34.63349,-35.0062,-35.19364,-35.24007,-35.15988,-34.94625,-34.58551,-34.06853,-33.39551,-32.57536,-31.62291,-30.55674,-29.39857,-28.17186,-26.89827,-25.59452,-24.27369,-22.94991,-21.64099,-20.3663,-19.14269,-17.98274,-16.89532,-15.88735,-14.96548,-14.13741,-13.41386,-12.81097,-12.35138,-12.06167,-11.96634,-12.08144,-12.41079,-12.94566,-13.66747,-14.55212,-15.57391,-16.70855,-17.93678,-19.24895,-20.64887,-22.15628,-23.80753,-25.6534,-27.75123,-30.15034,-32.8735,-35.90134,-39.16909,-42.58092,-46.03561,-49.44679,-52.74604,-55.87517,-58.78067,-61.41679,-63.75295,-65.77557,-67.47824,-68.84706,-69.85437,-70.46614,-70.65505,-70.40908,-69.73199,-68.63897,-67.15095,-65.2904,-63.07967,-60.54135,-57.69889,-54.57765,-51.20795,-47.63127,-43.90558,-40.10386,-36.30548,-32.58504,-29.00296,-25.60125,-22.41011,-19.46079,-16.79496,-14.46643,-12.5379,-11.07527,-10.14045,-9.78201,-10.02642,-10.8748,-12.30414,-14.26341,-16.65559
-8.383,-10.38655,-12.51961,-14.74473,-16.96057,-19.01367,-20.77632,-22.20759,-23.3428,-24.23348,-24.90191,-25.34197,-25.54181,-25.49805,-25.22063,-24.73448,-24.07464,-23.27557,-22.36335,-21.35356,-20.25388,-19.07135,-17.82093,-16.52749,-15.21981,-13.92356,-12.65748,-11.4322,-10.25293,-9.12513,-8.05854,-7.0668,-6.16513,-5.36955,-4.69637,-4.16122,-3.77903,-3.56381,-3.52674,-3.67322,-4.00063,-4.49832,-5.15101,-5.94394,-6.86632,-7.91177,-9.07748,-10.36453,-11.78011,-13.33998,-15.07026,-17.00836,-19.19837,-21.67511,-24.44182,-27.45605,-30.6341,-33.87611,-37.10497,-40.29185,-43.44291,-46.55763,-49.59462,-52.46921,-55.07814,-57.32818,-59.15036,-60.50131,-61.36345,-61.74872,-61.7022,-61.2943,-60.59573,-59.65255,-58.47921,-57.06658,-55.39461,-53.44595,-51.21689,-48.72078,-45.98586,-43.05113,-39.95867,-36.74424,-33.43039,-30.02652,-26.5381,-22.98021,-19.38894,-15.82806,-12.39211,-9.20673,-6.42453,-4.21184,-2.72182,-2.05567,-2.22503,-3.13581,-4.60778,-6.42782,-8.41902
-9.46642,-10.85070305,-12.22658102,-13.68018949,-15.20740814,-16.70501932,-18.04083678,-19.12909644,-19.95241644,-20.53273271,-20.89165271,-21.03017441,-20.93037322,-20.56967085,-19.9381839,-19.05136254,-17.95287339,-16.70580186,-15.37565763,-14.01549695,-12.66086288,-11.3325422,-10.04158729,-8.793843559,-7.593029322,-6.441697119,-5.341234237,-4.293552542,-3.305579322,-2.393054576,-1.578238136,-0.881223559,-0.311462881,-0.173630678,-0.463925254,-0.688868644,-0.815491864,-0.847135254,-0.782388136,-0.612974576,-0.323687119,-0.189182373,-0.683284068,-1.424283729,-2.331529661,-3.412157119,-4.67969322,-6.153785424,-7.856614915,-9.810650169,-12.03946763,-14.56781712,-17.41572814,-20.58636746,-24.05372305,-27.75780237,-31.61100051,-35.51481237,-39.37924492,-43.13445,-46.78866,-50.31606275,-53.580971,-56.5313075,-59.112399,-61.2826475,-63.025816,-64.3478925,-65.262212,-65.77743925,-65.896325,-65.6224505,-64.967432,-63.953689,-62.612087,-60.9761475,-59.07603,-56.93538775,-54.5714465,-51.99549725,-49.21233,-46.220953,-43.0202315,-39.62009825,-36.052634,-32.37310875,-28.646708,-24.93041575,-21.26494,-17.68374,-14.2365725,-11.0152645,-8.1646,-5.86504975,-4.2879635,-3.53935875,-3.614635,-4.38263775,-5.610273,-7.031571,-8.44584
-19.63795,-20.90463203,-21.89754661,-22.56658356,-22.91604119,-22.99211237,-22.86274746,-22.59346847,-22.2284339,-21.78447729,-21.25829915,-20.64061034,-19.92848542,-19.12945831,-18.25720949,-17.32483797,-16.34227898,-15.31885661,-14.2666039,-13.20022458,-12.13495271,-11.08466136,-10.05846542,-9.062472203,-8.100190169,-7.17415678,-6.288773729,-5.452250508,-4.675706102,-3.970287797,-3.34478678,-2.805859831,-2.360389661,-2.017620169,-1.789331356,-1.688090339,-1.724710678,-1.906303729,-2.235611525,-2.711066102,-3.332447797,-4.089936949,-4.97759,-5.999543898,-7.169369831,-8.510607797,-10.05637627,-11.84770102,-13.92931831,-16.34275525,-19.11775966,-22.26350068,-25.76057136,-29.55489339,-33.55647525,-37.64777627,-41.70327085,-45.61338407,-49.30048797,-52.72093,-56.00549,-59.152487,-61.889984,-64.18459675,-66.00981,-67.35916,-68.247472,-68.70015775,-68.738746,-68.3718685,-67.596945,-66.41025925,-64.817803,-62.84178225,-60.5105725,-57.89386375,-55.06002,-52.0545155,-48.8958775,-45.57679575,-42.075305,-38.36953975,-34.4503095,-30.33324625,-26.076372,-21.80131875,-17.703249,-14.051567,-11.152243,-9.198663,-8.2836475,-8.337582,-9.129866,-10.3261625,-11.6003945,-12.765685,-13.84589,-15.0116335,-16.4044525,-17.997478,-19.60973
