V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,,
0.11989,0.147646122,0.170196735,0.186232449,0.195815306,0.199635714,0.198461429,0.192814286,0.183005306,0.169266939,0.151952653,0.131568163,0.108835102,0.08459449,0.059721429,0.035035714,0.011190408,-0.011385102,-0.032496122,-0.052206735,-0.070802653,-0.088725714,-0.106470204,-0.124510204,-0.143223673,-0.162835918,-0.1834,-0.204818776,-0.22688,-0.249284082,-0.271718776,-0.293895306,-0.315576939,-0.336618776,-0.356984082,-0.376744286,-0.396042245,-0.415120204,-0.434215306,-0.453582245,-0.47342102,-0.493878571,-0.515032857,-0.536903673,-0.559501633,-0.582828163,-0.606883265,-0.631734082,-0.657464694,-0.68421,-0.712133469,-0.741363265,-0.772034286,-0.804230612,-0.838019388,-0.873404286,-0.910411429,-0.949026939,-0.98921898,-1.030939388,-1.074064694,-1.118419388,-1.163722245,-1.209618571,-1.255662449,-1.30132898,-1.34603449,-1.389169592,-1.430068571,-1.468056327,-1.502468571,-1.532642857,-1.557934082,-1.577721837,-1.591390204,-1.59832898,-1.597911633,-1.589501429,-1.572449796,-1.546104898,-1.509857347,-1.463175714,-1.405689184,-1.337246327,-1.25803,-1.168656531,-1.070249388,-0.964500816,-0.853655306,-0.74044102,-0.627858776,-0.51892,-0.416373469,-0.322402857,-0.238556939,-0.165652449,-0.103932449,-0.053215714,-0.01306,0.043158368,0.094007776
0.03331,0.053278776,0.074707347,0.095760612,0.114445918,0.128836735,0.137424082,0.13936,0.134597959,0.123823061,0.108314898,0.089612857,0.069256531,0.048569796,0.028545714,0.009807959,-0.007339796,-0.022815306,-0.036680612,-0.049114286,-0.060353061,-0.070677143,-0.080368571,-0.089693878,-0.098888163,-0.108138163,-0.117560612,-0.127235306,-0.137207143,-0.14754,-0.15834,-0.169725918,-0.181838163,-0.194784898,-0.208664898,-0.223548571,-0.23951102,-0.256652245,-0.275078367,-0.294887551,-0.316150816,-0.338906735,-0.363152857,-0.388834694,-0.415852653,-0.44411898,-0.473539388,-0.504075918,-0.535745714,-0.56865,-0.602966735,-0.638870816,-0.676495918,-0.715898367,-0.757038163,-0.799797347,-0.844045714,-0.889628163,-0.936340816,-0.9839,-1.031922449,-1.079924082,-1.127358367,-1.173662857,-1.218287347,-1.260741224,-1.300631224,-1.337654082,-1.371570612,-1.402168571,-1.429218571,-1.45242102,-1.471391633,-1.485682245,-1.49482,-1.49839102,-1.496073469,-1.487688571,-1.473182245,-1.45254551,-1.425746735,-1.392595714,-1.352688571,-1.305346531,-1.249641429,-1.18456102,-1.109222449,-1.023193469,-0.926792449,-0.821355714,-0.709309592,-0.594095714,-0.479887551,-0.371089184,-0.271832041,-0.18539449,-0.11378898,-0.057650612,-0.01634,0.047531939,0.103862123
0.02702,0.046716939,0.068612857,0.091720408,0.115382449,0.138789592,0.160756122,0.179694286,0.193924082,0.201963469,0.202959388,0.196898776,0.184642857,0.167711837,0.147882857,0.126801224,0.105652245,0.085068776,0.065208367,0.045875714,0.026700204,0.00727,-0.01278102,-0.033687755,-0.055580816,-0.078499184,-0.102416327,-0.127295306,-0.153087143,-0.17974,-0.207223673,-0.235561224,-0.264857959,-0.295251837,-0.326894694,-0.35986,-0.394069388,-0.429297347,-0.46518551,-0.501317347,-0.537309184,-0.572864898,-0.607785714,-0.642022857,-0.67559102,-0.708557347,-0.740986735,-0.772933265,-0.804391224,-0.83529,-0.865540816,-0.895051837,-0.923803061,-0.951800204,-0.979119592,-1.005857959,-1.032114286,-1.05794,-1.083364694,-1.108352449,-1.132854694,-1.156851837,-1.180375714,-1.203487143,-1.226220816,-1.248536735,-1.270297551,-1.291283265,-1.311231429,-1.329849796,-1.34682,-1.361814694,-1.374503673,-1.38454898,-1.391584694,-1.395218163,-1.39501898,-1.390507143,-1.381149592,-1.366327143,-1.345301633,-1.317150612,-1.280764898,-1.234942449,-1.178527143,-1.110695306,-1.031247959,-0.940852041,-0.841208163,-0.735055102,-0.62595,-0.517821429,-0.41449102,-0.319136735,-0.2341,-0.160792653,-0.099915714,-0.051537755,-0.01523,0.039397449,0.087904041
0.07936,0.117953265,0.159617347,0.201121633,0.239382041,0.271961633,0.297379184,0.315191429,0.32572,0.329678571,0.327884694,0.321090612,0.309982041,0.295328367,0.27801,0.258989592,0.239199388,0.219454286,0.20037102,0.182378571,0.165707143,0.150385714,0.136266531,0.12306449,0.110429388,0.098005918,0.08548102,0.072611429,0.059225714,0.045237959,0.030601224,0.015304694,-0.00063449,-0.017208571,-0.034396735,-0.052167143,-0.070473265,-0.089292245,-0.108613469,-0.128458163,-0.14889898,-0.170062653,-0.192095714,-0.215181837,-0.239503061,-0.265258163,-0.292620612,-0.32178898,-0.352945306,-0.38629,-0.422084898,-0.460435918,-0.501497959,-0.545349388,-0.591986122,-0.641359592,-0.69336,-0.747779184,-0.804358367,-0.862754286,-0.922545714,-0.983229796,-1.044241429,-1.104958571,-1.164709592,-1.222812041,-1.278569184,-1.331292041,-1.380333265,-1.425074082,-1.46495,-1.499440612,-1.528101224,-1.550567755,-1.566577959,-1.575972653,-1.578701224,-1.57482,-1.564454082,-1.547752041,-1.524856122,-1.495793265,-1.460426735,-1.418433673,-1.369235714,-1.312061429,-1.246033265,-1.17035,-1.084486327,-0.988478163,-0.883116735,-0.770077143,-0.651995714,-0.532320612,-0.415122653,-0.304701429,-0.205145918,-0.119834898,-0.05105,0.041383266,0.126009796
0.00209,0.01418,0.030286531,0.048956531,0.067489592,0.082646735,0.091599388,0.092747143,0.086082653,0.072925306,0.055313061,0.035385306,0.01487102,-0.005017347,-0.023552857,-0.040372245,-0.055338367,-0.068524694,-0.080163878,-0.09070102,-0.100758163,-0.111052857,-0.122287551,-0.135020408,-0.149569796,-0.165988163,-0.184068571,-0.203416327,-0.22354,-0.243914898,-0.264051633,-0.283590816,-0.302343878,-0.320324898,-0.337761224,-0.355057143,-0.372727755,-0.391299184,-0.411206122,-0.432756327,-0.456046122,-0.481042653,-0.507581429,-0.535436327,-0.564355918,-0.594131429,-0.624570612,-0.655530408,-0.686882653,-0.71853,-0.750410816,-0.782456531,-0.814624694,-0.846872857,-0.87915551,-0.911394694,-0.94349,-0.975372857,-1.006951429,-1.038151429,-1.068894082,-1.099081429,-1.128599388,-1.157318571,-1.185120612,-1.211847143,-1.237314286,-1.261305306,-1.283539388,-1.303692449,-1.321397143,-1.336274286,-1.347972449,-1.356186327,-1.360701633,-1.361396327,-1.35818551,-1.350961429,-1.339507959,-1.32341,-1.301962041,-1.274149388,-1.23869898,-1.19419,-1.13924,-1.07275102,-0.994174082,-0.903773673,-0.802820612,-0.693724694,-0.579980204,-0.465952857,-0.356453061,-0.256208163,-0.169193878,-0.09810898,-0.043936939,-0.005868776,0.01842,0.064540102,0.103305612
0.07781,0.11536,0.15478,0.19266,0.22587,0.25186,0.26908,0.27719,0.27698,0.26996,0.25781,0.24197,0.22354,0.2032,0.18128,0.15774,0.13214,0.10384,0.0722,0.03682,-0.00231,-0.04474,-0.08967,-0.13605,-0.18274,-0.22874,-0.27324,-0.31576,-0.3561,-0.39423,-0.43021,-0.46418,-0.49628,-0.52672,-0.55574,-0.58366,-0.61079,-0.63743,-0.66379,-0.68998,-0.71601,-0.74181,-0.76728,-0.79232,-0.81686,-0.84087,-0.86443,-0.88763,-0.91066,-0.93371,-0.95699,-0.98068,-1.00489,-1.02972,-1.05519,-1.08127,-1.10789,-1.13495,-1.16235,-1.18995,-1.21761,-1.24516,-1.27238,-1.29904,-1.32487,-1.34957,-1.37278,-1.39408,-1.41304,-1.4292,-1.44208,-1.45128,-1.45643,-1.45728,-1.45368,-1.44556,-1.43295,-1.41595,-1.39472,-1.36943,-1.34023,-1.30712,-1.26991,-1.22808,-1.18078,-1.12684,-1.0649,-0.99367,-0.91231,-0.82078,-0.72022,-0.61301,-0.50277,-0.39399,-0.29146,-0.19956,-0.12162,-0.05942,-0.01311,0.01859,0.03792
0.0876,0.12673,0.16882,0.2111,0.2512,0.28742,0.31884,0.3451,0.36617,0.382,0.3924,0.397,0.39542,0.3875,0.37345,0.35391,0.32981,0.30218,0.27195,0.23988,0.20652,0.17227,0.13743,0.10224,0.06692,0.03168,-0.00332,-0.03797,-0.07224,-0.10616,-0.13984,-0.17343,-0.20708,-0.2409,-0.27492,-0.3091,-0.3433,-0.37735,-0.41102,-0.44408,-0.47633,-0.5076,-0.53778,-0.56681,-0.59468,-0.62145,-0.64721,-0.67209,-0.69624,-0.7198,-0.74289,-0.76558,-0.78794,-0.80998,-0.83173,-0.85322,-0.8745,-0.89561,-0.91662,-0.93759,-0.95855,-0.97949,-1.00035,-1.02104,-1.0414,-1.06129,-1.08053,-1.09895,-1.1164,-1.13271,-1.14771,-1.16122,-1.17305,-1.18296,-1.19071,-1.19599,-1.19845,-1.19766,-1.19314,-1.18426,-1.17031,-1.15048,-1.12386,-1.08951,-1.04656,-0.99431,-0.93242,-0.86108,-0.78117,-0.69432,-0.60287,-0.50972,-0.41804,-0.33089,-0.25088,-0.17992,-0.11909,-0.06869,-0.02846,0.00231,0.02454
0.0472,0.06847,0.09252,0.11749,0.14113,0.16119,0.17578,0.18361,0.18411,0.17735,0.16395,0.14489,0.12132,0.0944,0.06522,0.0347,0.00358,-0.0276,-0.05845,-0.08872,-0.11821,-0.1468,-0.17436,-0.20081,-0.22606,-0.2501,-0.2729,-0.29447,-0.3148,-0.33391,-0.35178,-0.3684,-0.38375,-0.39783,-0.41068,-0.42235,-0.43298,-0.44274,-0.45186,-0.46063,-0.46935,-0.47835,-0.48795,-0.49845,-0.51012,-0.52324,-0.53804,-0.55475,-0.57357,-0.59471,-0.61831,-0.64455,-0.67354,-0.70538,-0.74011,-0.77769,-0.81802,-0.86089,-0.90601,-0.95304,-1.00157,-1.05116,-1.10135,-1.1517,-1.20179,-1.25126,-1.29975,-1.34696,-1.39262,-1.43645,-1.47818,-1.5175,-1.55407,-1.58749,-1.61732,-1.64303,-1.66406,-1.67978,-1.68955,-1.6927,-1.68859,-1.67654,-1.65587,-1.62588,-1.58577,-1.5347,-1.47182,-1.39639,-1.30792,-1.20646,-1.09283,-0.96885,-0.83751,-0.70284,-0.56962,-0.44284,-0.32701,-0.22559,-0.1406,-0.07261,-0.02099
0.12943,0.18023,0.23272,0.28369,0.33048,0.37102,0.4039,0.4283,0.44385,0.45055,0.44866,0.4387,0.42147,0.39794,0.36921,0.33631,0.30014,0.26144,0.22084,0.17886,0.13598,0.09262,0.04921,0.00619,-0.036,-0.07688,-0.11602,-0.15304,-0.18765,-0.21963,-0.24888,-0.27532,-0.29892,-0.31966,-0.33758,-0.35276,-0.36534,-0.37561,-0.38391,-0.3907,-0.39647,-0.40174,-0.40702,-0.41275,-0.41934,-0.42714,-0.43644,-0.44749,-0.4605,-0.47568,-0.49325,-0.51341,-0.5364,-0.56242,-0.59168,-0.62428,-0.6603,-0.69971,-0.74238,-0.78808,-0.83649,-0.88717,-0.93964,-0.99332,-1.04762,-1.1019,-1.15549,-1.20774,-1.25798,-1.30553,-1.34973,-1.38993,-1.42547,-1.45576,-1.48028,-1.49857,-1.51032,-1.51533,-1.51351,-1.50485,-1.48941,-1.46725,-1.43842,-1.40294,-1.36071,-1.31156,-1.25523,-1.19134,-1.11951,-1.03946,-0.95115,-0.85503,-0.75225,-0.64479,-0.53547,-0.42779,-0.32552,-0.23221,-0.1508,-0.08318,-0.03013
0.01203,0.02519,0.04279,0.06385,0.08637,0.10787,0.12598,0.13897,0.14599,0.14703,0.14267,0.13376,0.12115,0.10565,0.08801,0.069,0.04939,0.02993,0.01122,-0.00628,-0.02236,-0.03699,-0.0503,-0.06251,-0.07386,-0.08464,-0.09506,-0.10533,-0.11559,-0.12597,-0.13654,-0.14738,-0.15854,-0.17012,-0.18222,-0.19497,-0.20852,-0.22299,-0.23852,-0.25517,-0.27299,-0.292,-0.31221,-0.33362,-0.35626,-0.38017,-0.40543,-0.43214,-0.46039,-0.49028,-0.52191,-0.5553,-0.59046,-0.62733,-0.66578,-0.70567,-0.7468,-0.78895,-0.83185,-0.87525,-0.91884,-0.96233,-1.00542,-1.0478,-1.08923,-1.12947,-1.16837,-1.20582,-1.24175,-1.27609,-1.30874,-1.3395,-1.36812,-1.39423,-1.41741,-1.43721,-1.45313,-1.46467,-1.47132,-1.47252,-1.46769,-1.45616,-1.43716,-1.40981,-1.37314,-1.32612,-1.26782,-1.19754,-1.11506,-1.02086,-0.91623,-0.80339,-0.68547,-0.56631,-0.45018,-0.34135,-0.2436,-0.15979,-0.09151,-0.03904,-0.00139
