V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,,
-0.00927,-0.008765306,-0.007521224,-0.006068367,-0.004919388,-0.004340816,-0.004279592,-0.004425714,-0.004399592,-0.003919184,-0.002855918,-0.00123449,0.000823469,0.003190612,0.005771429,0.008470408,0.011192041,0.013851224,0.016402653,0.01885898,0.02128551,0.023758571,0.026337347,0.029060816,0.031925714,0.034879796,0.037838163,0.040699796,0.043341429,0.045660612,0.047583061,0.049078776,0.050154286,0.050847143,0.051217347,0.051335714,0.05125449,0.051008571,0.050660816,0.050269592,0.049928776,0.049752857,0.049841429,0.050246122,0.051009388,0.052127755,0.0536,0.055426122,0.05763551,0.06023,0.063236939,0.066596531,0.070273265,0.074170816,0.078183061,0.082200204,0.086091429,0.089771837,0.093163878,0.096227143,0.098938776,0.101309388,0.103360204,0.105141429,0.106710816,0.108150816,0.109517959,0.110864898,0.112227347,0.113619184,0.115012857,0.116382653,0.117677959,0.118834286,0.119778163,0.120398163,0.12058898,0.120265714,0.119361224,0.117846939,0.115731224,0.113061429,0.109874286,0.10619102,0.102011429,0.097317551,0.092103265,0.086391837,0.080207143,0.073635714,0.066783673,0.059774286,0.052761224,0.045840816,0.039097959,0.032570612,0.026233061,0.020082857,0.01414,0.007896123,0.001751919
0.00676,0.008,0.009486939,0.010605306,0.010756735,0.009581224,0.007056327,0.003441429,-0.00070102,-0.004847143,-0.008726735,-0.012381224,-0.015880816,-0.01909551,-0.021725714,-0.023421633,-0.023994694,-0.023422857,-0.021751429,-0.019006531,-0.015265714,-0.010697143,-0.005535918,-1.43E-05,0.005628571,0.011184694,0.016500204,0.021502857,0.026217143,0.03076,0.03526,0.03977898,0.044296531,0.048732653,0.052964082,0.05691,0.060546735,0.063931633,0.067165102,0.070345306,0.073518776,0.076725714,0.080042857,0.08359898,0.087487143,0.091737143,0.096257551,0.100855918,0.10531102,0.10945,0.113132857,0.116251224,0.118745102,0.120622653,0.121998163,0.123054082,0.123904286,0.124624694,0.125190816,0.125609184,0.125882653,0.126066735,0.126235714,0.126495714,0.126949796,0.127680408,0.128716327,0.13002898,0.13154102,0.133110408,0.13458,0.13578,0.136540612,0.136721429,0.136231633,0.135034082,0.133189388,0.130854286,0.128213878,0.125393469,0.12242102,0.119187959,0.115497551,0.111095918,0.105778571,0.09943449,0.092061837,0.083684694,0.074419796,0.06453,0.054463061,0.044792857,0.036096122,0.028730408,0.022747755,0.017905306,0.01386,0.010320408,0.00715,0.003357551,-0.000223
0.01611,0.018127551,0.019987551,0.021390816,0.02218551,0.022307959,0.021677347,0.02006,0.017092653,0.012515714,0.006434082,-0.00066898,-0.008241633,-0.015856735,-0.02314,-0.029700204,-0.035205102,-0.039572041,-0.042887143,-0.045267959,-0.046729184,-0.047164286,-0.046416939,-0.044419592,-0.041247347,-0.03710449,-0.032266939,-0.027021633,-0.02166,-0.016433061,-0.011520816,-0.007014898,-0.002922653,0.000797347,0.00421898,0.007412857,0.010405918,0.013193673,0.015757755,0.01806102,0.020101837,0.021907551,0.023552857,0.025166531,0.026877551,0.028804082,0.031015918,0.033547959,0.036432041,0.03968,0.043288776,0.047237347,0.051430204,0.055768571,0.060116531,0.064358571,0.068388571,0.072113469,0.075515714,0.078603469,0.081414694,0.083985306,0.086389592,0.088675714,0.090885918,0.093009592,0.095039592,0.096961224,0.098747551,0.100398571,0.101927143,0.103360612,0.10473898,0.106135714,0.10762551,0.109272041,0.111094898,0.113032857,0.114931224,0.116527143,0.117449592,0.117212857,0.115299796,0.111221837,0.104601429,0.095315306,0.083565714,0.06994449,0.055311224,0.040611224,0.02674102,0.014444286,0.004247755,-0.00354898,-0.008864286,-0.011889184,-0.013,-0.012697143,-0.01154,-0.01194398,-0.011808939
0.00219,0.001824898,0.001041224,-0.000483878,-0.002956122,-0.006347959,-0.010347143,-0.014434286,-0.018037143,-0.020681224,-0.022107755,-0.022324286,-0.021596122,-0.020289388,-0.018714286,-0.01705102,-0.015433469,-0.014017143,-0.012946122,-0.01228102,-0.011976939,-0.011887143,-0.011838571,-0.011701429,-0.011359796,-0.010722041,-0.009756327,-0.008463061,-0.00687,-0.005019592,-0.002948163,-0.000693878,0.001713878,0.004240408,0.006829388,0.009452857,0.012078163,0.014708163,0.017379592,0.020126939,0.023006531,0.026048571,0.029274286,0.032704898,0.036370612,0.040257347,0.044381429,0.048716122,0.05321,0.05783,0.062556531,0.067388776,0.072366122,0.077477143,0.08269551,0.087945714,0.093142857,0.098210204,0.103115918,0.107834286,0.112372041,0.116751224,0.120963878,0.125007143,0.128876531,0.132582653,0.136143061,0.139585918,0.142940204,0.146219796,0.149388571,0.152381633,0.155112857,0.157498163,0.159431837,0.160818367,0.161577959,0.161642857,0.160965918,0.159516939,0.157268367,0.154188367,0.150211429,0.145238776,0.139128571,0.131699592,0.122775918,0.112226531,0.100054082,0.086439796,0.071782245,0.056638571,0.041715306,0.027807551,0.01563,0.005770408,-0.001409184,-0.00579449,-0.00753,-0.013312449,-0.017741102
0.01164,0.014277755,0.015085918,0.013883469,0.011023061,0.00714551,0.002911633,-0.001188571,-0.004884082,-0.008058571,-0.010652449,-0.01263449,-0.014020204,-0.014854694,-0.015225714,-0.015219592,-0.014870612,-0.014157347,-0.013087143,-0.01168898,-0.010021633,-0.008165714,-0.00619551,-0.00419,-0.002248776,-0.000447755,0.001181224,0.002655918,0.004057143,0.005492245,0.007065714,0.008860408,0.010911429,0.013222653,0.015787143,0.018565714,0.021512653,0.024540204,0.02755,0.030462449,0.033219592,0.035801837,0.03825,0.040669796,0.04316898,0.045826122,0.048696735,0.051805102,0.055113673,0.05856,0.062038163,0.065438163,0.06862449,0.071502449,0.073989184,0.076032041,0.077675714,0.079050816,0.080298571,0.081516939,0.082767347,0.084100408,0.085550612,0.087128571,0.088841837,0.090674082,0.092561837,0.094409184,0.096103265,0.097562449,0.098744286,0.099642245,0.100308163,0.10081551,0.10123898,0.10162102,0.101933265,0.102067143,0.101855102,0.10112449,0.099697143,0.097414694,0.094159388,0.089852857,0.084495714,0.078237347,0.071317143,0.064075102,0.056858776,0.049958776,0.043600816,0.037902857,0.03289898,0.028520612,0.024600204,0.02098551,0.017556735,0.014295102,0.01132,0.007974796,0.00474898
8.20E-04,0.00293,0.00624,0.01009,0.01359,0.0158,0.0161,0.01459,0.01204,0.00956,0.00821,0.00858,0.01073,0.01444,0.01936,0.02509,0.03107,0.03659,0.04103,0.04414,0.04615,0.04762,0.04912,0.05101,0.05344,0.05648,0.06009,0.06417,0.06859,0.0732,0.07792,0.08271,0.08754,0.09238,0.09711,0.10159,0.10564,0.10914,0.11204,0.11443,0.11645,0.11828,0.12005,0.12181,0.12361,0.12548,0.12751,0.12972,0.13215,0.13477,0.13756,0.14049,0.14352,0.1466,0.14967,0.15267,0.15559,0.15839,0.16104,0.16352,0.16579,0.1678,0.16951,0.17094,0.17211,0.17309,0.17391,0.17455,0.17491,0.17488,0.17432,0.17314,0.1713,0.16884,0.16587,0.16253,0.15905,0.15565,0.15257,0.15003,0.14814,0.1469,0.14614,0.14557,0.14477,0.14319,0.14021,0.13525,0.12788,0.11797,0.10574,0.09174,0.07677,0.06181,0.04786,0.03582,0.0262,0.01913,0.01435,0.01138,0.00962
0.0124,0.01475,0.01672,0.01762,0.0168,0.0139,0.00903,0.00267,-0.00444,-0.01158,-0.01817,-0.02385,-0.02846,-0.03195,-0.03439,-0.03588,-0.03645,-0.03612,-0.03488,-0.03278,-0.02994,-0.02647,-0.02244,-0.01791,-0.01291,-0.00748,-0.00166,0.00451,0.01093,0.01754,0.02421,0.03086,0.03738,0.0437,0.04972,0.05533,0.0604,0.06481,0.06842,0.07118,0.07307,0.07414,0.07451,0.07429,0.0736,0.07259,0.07138,0.07013,0.06901,0.06822,0.06794,0.06827,0.06927,0.07089,0.07305,0.07562,0.07853,0.08172,0.08518,0.08892,0.09296,0.0973,0.10195,0.1069,0.11212,0.11755,0.12311,0.12868,0.13408,0.13914,0.14369,0.14758,0.15069,0.15298,0.15441,0.15499,0.15473,0.15368,0.15182,0.14914,0.14559,0.1411,0.13559,0.12897,0.12121,0.11228,0.10227,0.09137,0.07986,0.06807,0.0564,0.04524,0.03499,0.02594,0.0183,0.01216,0.00744,0.00397,0.00145,-4.40E-04,-0.00203
-0.00142,-0.00348,-0.00599,-0.00893,-0.01203,-0.01481,-0.01682,-0.01787,-0.01793,-0.01709,-0.01548,-0.01325,-0.01055,-0.0076,-0.00457,-0.00161,0.0012,0.00382,0.0062,0.00836,0.01034,0.01224,0.01415,0.01617,0.01833,0.02063,0.02303,0.02543,0.02779,0.03009,0.03233,0.03455,0.03679,0.03909,0.04147,0.04396,0.04657,0.04931,0.05218,0.05517,0.05824,0.06133,0.06439,0.06734,0.07013,0.07273,0.07509,0.07723,0.0792,0.08113,0.08315,0.08542,0.08806,0.09118,0.09484,0.09909,0.10396,0.10943,0.11549,0.12209,0.12918,0.13669,0.14453,0.15262,0.16086,0.16915,0.17737,0.18537,0.19301,0.20014,0.2066,0.21227,0.21705,0.22086,0.22363,0.22532,0.22589,0.22532,0.2236,0.22068,0.21655,0.21117,0.20453,0.1966,0.18737,0.17682,0.16499,0.15193,0.13777,0.12267,0.10687,0.09066,0.07443,0.05867,0.04392,0.03075,0.01969,0.01111,0.00514,0.00165,2.40E-04
0.00431,0.00363,0.00184,-0.00153,-0.00669,-0.01349,-0.02133,-0.02926,-0.03621,-0.04132,-0.04418,-0.04489,-0.04376,-0.04113,-0.03728,-0.03252,-0.02729,-0.022,-0.01691,-0.01205,-0.00727,-0.00243,0.00255,0.00775,0.0132,0.01891,0.02483,0.03086,0.03684,0.04258,0.04788,0.05258,0.05657,0.05981,0.06233,0.06419,0.06549,0.06628,0.0666,0.06647,0.06594,0.06509,0.06406,0.06294,0.06184,0.06085,0.06003,0.05943,0.05911,0.05913,0.05956,0.06051,0.06211,0.06449,0.06775,0.07199,0.07724,0.08353,0.09081,0.09903,0.10808,0.11783,0.12818,0.13899,0.15016,0.16155,0.17303,0.18444,0.19556,0.20617,0.21602,0.22486,0.23246,0.23863,0.24324,0.2462,0.2475,0.24716,0.24524,0.24182,0.23699,0.23086,0.22351,0.21503,0.20548,0.19489,0.18324,0.17047,0.1565,0.1413,0.12494,0.10762,0.08972,0.07178,0.05454,0.03873,0.02498,0.01366,0.00488,-0.00149,-0.00574
0.00287,-6.70E-04,-0.00495,-0.00953,-0.01383,-0.01741,-0.02007,-0.02179,-0.02279,-0.02335,-0.02366,-0.02378,-0.0237,-0.0235,-0.02322,-0.02283,-0.02215,-0.021,-0.01932,-0.01722,-0.0149,-0.01253,-0.01019,-0.00787,-0.00557,-0.00333,-0.0012,7.90E-04,0.00264,0.00436,0.00599,0.00755,0.00907,0.0106,0.0122,0.01391,0.01576,0.01775,0.01985,0.02205,0.02434,0.0267,0.02909,0.03146,0.03376,0.03596,0.03802,0.03993,0.04171,0.04338,0.04499,0.04656,0.04814,0.04977,0.05152,0.05342,0.05551,0.05781,0.0603,0.06293,0.06561,0.06822,0.07067,0.0729,0.0749,0.07671,0.07841,0.08009,0.08182,0.08363,0.0855,0.08737,0.08918,0.09084,0.09231,0.09354,0.09455,0.0954,0.09616,0.09689,0.0976,0.0982,0.09858,0.09852,0.09779,0.09616,0.09341,0.08937,0.08401,0.07738,0.06969,0.06119,0.05221,0.04313,0.03429,0.02607,0.01881,0.01278,0.00817,0.00508,0.00339
