V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,,
-0.11116,-0.079952245,-0.072295918,-0.082709388,-0.100927347,-0.114600816,-0.113057551,-0.09063,-0.04779898,0.00989,0.074532857,0.138680816,0.197179592,0.247511429,0.289077143,0.322136327,0.346980408,0.363730408,0.372513265,0.373766735,0.36835449,0.357474286,0.342413469,0.324336327,0.304160408,0.282563469,0.260060204,0.237073878,0.213974286,0.191058367,0.168519592,0.14639898,0.124494898,0.102391837,0.079577551,0.055642857,0.030546122,0.004669796,-0.021215918,-0.046177143,-0.069413878,-0.090440408,-0.109125714,-0.12562551,-0.14032102,-0.153672041,-0.166211224,-0.178441429,-0.190773265,-0.20345,-0.216536939,-0.229887959,-0.243338163,-0.25681,-0.27031102,-0.283804082,-0.297097143,-0.309755918,-0.321171837,-0.330739184,-0.337994082,-0.342738163,-0.345003265,-0.344968571,-0.34286449,-0.338907347,-0.333284898,-0.326145306,-0.317592653,-0.307666122,-0.296344286,-0.283592041,-0.269431633,-0.253951224,-0.237262449,-0.219434286,-0.200426939,-0.180082857,-0.158153061,-0.1344,-0.108691633,-0.081106327,-0.051959184,-0.021816327,0.008507143,0.038009592,0.065527143,0.08986551,0.109947551,0.125027143,0.134881429,0.139918571,0.141178163,0.140129592,0.138365306,0.137243673,0.13765,0.139981837,0.14424,0.140994752,0.141286706
-0.11862,-0.07603551,-0.049958776,-0.040030612,-0.039422449,-0.036053061,-0.017419184,0.023975714,0.087871224,0.167307959,0.25221,0.333126735,0.403446735,0.459819184,0.501582857,0.529908367,0.546939388,0.554984694,0.555845918,0.550536531,0.539352857,0.522361429,0.50003449,0.473683469,0.445460204,0.417730612,0.392219184,0.36949102,0.349108571,0.330233265,0.312051633,0.293761633,0.274306939,0.252158367,0.225596735,0.193524286,0.156305918,0.11601551,0.07578449,0.038748776,0.007020204,-0.018814286,-0.039605714,-0.057170408,-0.073633265,-0.090762857,-0.109591837,-0.130230204,-0.151944898,-0.17329,-0.192454694,-0.208030204,-0.219586327,-0.227876531,-0.234430612,-0.240833469,-0.248098571,-0.256418571,-0.265376531,-0.274429592,-0.283275918,-0.291880408,-0.300171429,-0.307831429,-0.314356939,-0.319219796,-0.321903878,-0.321835306,-0.318425714,-0.311248163,-0.300242857,-0.285761224,-0.268433673,-0.249012857,-0.228186327,-0.206436939,-0.183971224,-0.160721429,-0.136465714,-0.111022857,-0.084392041,-0.056716939,-0.028191429,0.001031429,0.030874286,0.061166531,0.091285102,0.119878571,0.144869592,0.163861429,0.17468102,0.175852857,0.166919184,0.148618776,0.12293102,0.092825714,0.061792857,0.033483878,0.01143,-0.017124869,-0.044191851
-0.21293,-0.179419388,-0.156429184,-0.147059592,-0.148088571,-0.150677347,-0.144571633,-0.123161429,-0.085921837,-0.037318367,0.015902041,0.06698898,0.110578367,0.143359184,0.164348571,0.17459551,0.176544898,0.173106327,0.166522653,0.157540612,0.145569184,0.129714286,0.109880816,0.087252449,0.063798163,0.041267551,0.020488367,0.00133898,-0.016815714,-0.034623878,-0.052389184,-0.069850816,-0.086114082,-0.099888571,-0.109982041,-0.115765714,-0.117446122,-0.116074694,-0.113354286,-0.111134082,-0.110795306,-0.112801429,-0.116772857,-0.122003469,-0.127956939,-0.134437551,-0.141578367,-0.149587551,-0.158530408,-0.16818,-0.178094898,-0.187820204,-0.197036735,-0.205595102,-0.213466531,-0.220644898,-0.227085714,-0.232802857,-0.237833673,-0.24222551,-0.245943673,-0.248878776,-0.250807959,-0.251432857,-0.250549184,-0.248067143,-0.243892041,-0.23775898,-0.229212449,-0.217836939,-0.2035,-0.186337143,-0.16654898,-0.14423102,-0.119389184,-0.092161429,-0.063005102,-0.032672857,-0.001999388,0.028300612,0.057712653,0.085877551,0.11256449,0.137606939,0.160667143,0.180975306,0.197321224,0.208293061,0.212813673,0.210719796,0.203006122,0.191608571,0.178751224,0.16619898,0.154581633,0.143202041,0.130520612,0.115149592,0.09679,0.087592945,0.074305678
-0.04341,0.031629592,0.095456939,0.142694286,0.17467551,0.200407143,0.232979388,0.283195714,0.354510816,0.442387755,0.53744898,0.629682449,0.711422041,0.778452041,0.82985,0.867236735,0.89354449,0.911518776,0.922432653,0.925767551,0.92009,0.904355714,0.878746735,0.844566735,0.803638571,0.757806939,0.708748571,0.657999796,0.607058571,0.557389184,0.51027898,0.466682449,0.427127755,0.391800612,0.36066102,0.333402857,0.309321633,0.287367551,0.266335306,0.245184898,0.22329102,0.200552041,0.177338571,0.154396531,0.132676122,0.113153673,0.096608367,0.083342857,0.073053469,0.06509,0.058788367,0.053751224,0.04984,0.04688,0.04435551,0.041480816,0.037422857,0.031657551,0.024125918,0.015215714,0.005624082,-0.003902041,-0.012728571,-0.020468571,-0.027022653,-0.032510816,-0.037173265,-0.041252857,-0.044821429,-0.047619388,-0.049064286,-0.04843,-0.045073469,-0.038586531,-0.028831429,-0.015871837,7.67E-05,0.018637143,0.039263061,0.061218163,0.083584082,0.105406531,0.125879592,0.144534694,0.16125,0.176173265,0.189519796,0.201393265,0.211650408,0.219809592,0.22514102,0.22681,0.224134286,0.216825714,0.205230816,0.190376122,0.173710612,0.156622041,0.13997,0.128921312,0.114477726
-0.07151,-0.038052041,-0.019748776,-0.016201224,-0.019845306,-0.017349388,0.004541224,0.052431429,0.12343551,0.20717,0.291014898,0.365251429,0.425544082,0.472245714,0.508082857,0.535875714,0.55736551,0.573116939,0.583017755,0.586967347,0.585306122,0.578758571,0.568064286,0.553612245,0.535450612,0.513807755,0.489580408,0.464361224,0.439902857,0.41735898,0.396814082,0.377329184,0.357420204,0.33568,0.311334286,0.284512857,0.256223878,0.227911429,0.200852653,0.175718776,0.152526939,0.130815102,0.109988571,0.089556531,0.069222653,0.048785918,0.028149184,0.007198776,-0.014093878,-0.03566,-0.057243878,-0.078403878,-0.098677959,-0.11769551,-0.135236327,-0.151225714,-0.165761429,-0.179032041,-0.191250816,-0.202477347,-0.212497551,-0.220959592,-0.227494694,-0.231837143,-0.23385551,-0.233562041,-0.231044694,-0.226423061,-0.219739388,-0.210937347,-0.199925714,-0.186686939,-0.171346939,-0.154160408,-0.135507347,-0.115833469,-0.09554,-0.074885714,-0.053968163,-0.032831429,-0.011566531,0.009683673,0.030820612,0.051822245,0.072681429,0.093247959,0.113113265,0.131502245,0.147263469,0.159032857,0.165451429,0.165445714,0.15834102,0.143927551,0.122517347,0.095177755,0.063986327,0.032127551,0.00369,-0.018045218,-0.044691078
0.01769,0.05989,0.08186,0.08303,0.07338,0.072,0.09848,0.1626,0.25909,0.37038,0.47518,0.55773,0.6128,0.64442,0.66091,0.66997,0.67656,0.68335,0.69219,0.70457,0.72107,0.74041,0.7593,0.77333,0.7783,0.77147,0.75213,0.72152,0.6822,0.63739,0.59014,0.54271,0.49631,0.45135,0.40811,0.36717,0.32922,0.29476,0.26376,0.23581,0.21036,0.18706,0.166,0.14741,0.13135,0.11743,0.105,0.09357,0.0831,0.07392,0.06644,0.06087,0.05714,0.05515,0.05491,0.05654,0.06013,0.06573,0.07331,0.0827,0.0936,0.10562,0.11833,0.13118,0.14356,0.15493,0.16513,0.1744,0.1833,0.19254,0.20281,0.21465,0.22824,0.24341,0.25981,0.27699,0.29444,0.31153,0.32751,0.34156,0.35287,0.36078,0.3649,0.3653,0.36247,0.35704,0.34942,0.33956,0.32703,0.31109,0.29101,0.26657,0.23855,0.20874,0.17936,0.15219,0.12786,0.1059,0.08549,0.06635,0.04956
-0.06585,-0.00964,0.04893,0.1104,0.17755,0.25443,0.34448,0.44874,0.56502,0.68834,0.81205,0.9293,1.03442,1.12378,1.19605,1.25184,1.29302,1.32193,1.34077,1.3513,1.35468,1.3516,1.34236,1.32696,1.30519,1.27679,1.24171,1.20018,1.1528,1.10042,1.04397,0.9844,0.92263,0.85948,0.79565,0.73168,0.66801,0.6051,0.54353,0.48397,0.42717,0.37385,0.32464,0.28006,0.24049,0.2061,0.17669,0.15167,0.13013,0.111,0.09326,0.076,0.05867,0.0411,0.02361,0.00688,-0.00826,-0.02109,-0.03108,-0.03798,-0.04182,-0.04288,-0.04166,-0.03872,-0.03448,-0.02911,-0.02259,-0.01484,-0.00584,0.00428,0.0153,0.02688,0.03863,0.0502,0.06136,0.07204,0.0823,0.09231,0.10225,0.1123,0.12253,0.13294,0.14345,0.15389,0.16411,0.17388,0.1829,0.19077,0.19699,0.20114,0.20286,0.202,0.1985,0.1924,0.18375,0.17268,0.15941,0.14439,0.12832,0.11227,0.09762
-0.01749,-0.00853,-0.00633,-0.00683,-0.00416,0.00806,0.0346,0.07683,0.13218,0.19516,0.25927,0.31888,0.37033,0.41199,0.44372,0.46609,0.47991,0.48601,0.48531,0.47874,0.46725,0.45165,0.43258,0.41046,0.3856,0.3583,0.32893,0.29795,0.26598,0.23366,0.20156,0.17012,0.13965,0.11033,0.08234,0.05584,0.03095,0.00775,-0.0138,-0.03389,-0.05278,-0.0708,-0.08822,-0.10521,-0.12182,-0.13801,-0.15368,-0.16881,-0.18346,-0.19788,-0.21241,-0.2274,-0.24313,-0.25967,-0.27695,-0.29481,-0.31308,-0.33162,-0.35023,-0.36868,-0.38669,-0.40401,-0.42043,-0.43581,-0.45003,-0.46293,-0.47428,-0.48381,-0.49125,-0.49642,-0.49931,-0.50005,-0.49885,-0.49574,-0.49058,-0.48305,-0.47284,-0.4598,-0.44397,-0.42553,-0.40463,-0.38141,-0.35594,-0.32829,-0.29855,-0.26692,-0.23382,-0.19979,-0.16556,-0.13189,-0.09955,-0.06923,-0.0414,-0.01617,0.00677,0.02804,0.04824,0.06748,0.08504,0.09946,0.10904
-0.04706,-0.0039,0.02673,0.05182,0.08274,0.13161,0.20645,0.30786,0.429,0.55859,0.68506,0.79976,0.89811,0.97896,1.04307,1.09172,1.12607,1.14731,1.15698,1.15698,1.1492,1.13495,1.11464,1.08784,1.05359,1.01088,0.95913,0.8987,0.83114,0.759,0.68534,0.61298,0.54409,0.48,0.42125,0.36792,0.31984,0.27689,0.23894,0.20579,0.17698,0.15174,0.12911,0.10804,0.08771,0.06767,0.04797,0.02894,0.01085,-0.00632,-0.02298,-0.03985,-0.05786,-0.07791,-0.10065,-0.12622,-0.15421,-0.18376,-0.21388,-0.24359,-0.27195,-0.29808,-0.32113,-0.34034,-0.35504,-0.36478,-0.36935,-0.36884,-0.36355,-0.35405,-0.34106,-0.32537,-0.30772,-0.28866,-0.26845,-0.24713,-0.22455,-0.20051,-0.17489,-0.14769,-0.11909,-0.08948,-0.05935,-0.02929,0.00006,0.02813,0.05446,0.0787,0.10056,0.11979,0.13611,0.14915,0.15847,0.16354,0.16393,0.1594,0.14998,0.1361,0.11862,0.09888,0.07873
0.00345,0.04151,0.06217,0.0683,0.06793,0.07202,0.09034,0.12794,0.18385,0.25216,0.32473,0.39425,0.45618,0.50885,0.5522,0.58653,0.61187,0.62813,0.63546,0.63455,0.62656,0.61279,0.59443,0.57241,0.54748,0.52023,0.49122,0.461,0.43019,0.39946,0.36936,0.34025,0.31213,0.28469,0.25746,0.23008,0.20243,0.1748,0.14771,0.12184,0.09771,0.07565,0.05572,0.03779,0.0216,0.00677,-0.00716,-0.02055,-0.03362,-0.04642,-0.05887,-0.07092,-0.08253,-0.09377,-0.10482,-0.11592,-0.12718,-0.13846,-0.14933,-0.15936,-0.16827,-0.176,-0.18261,-0.18821,-0.19299,-0.19723,-0.20122,-0.20516,-0.20901,-0.21253,-0.21525,-0.21647,-0.21536,-0.21105,-0.20283,-0.19025,-0.17329,-0.15239,-0.1283,-0.10189,-0.07389,-0.04482,-0.01501,0.01529,0.04574,0.07589,0.1052,0.13314,0.15913,0.1825,0.20228,0.21724,0.22601,0.22745,0.22111,0.20748,0.18777,0.16351,0.13607,0.1066,0.07656
