V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,,
-0.01948,-0.025259184,-0.030189388,-0.03439898,-0.038206327,-0.041923673,-0.045788571,-0.04991,-0.054412041,-0.059426531,-0.065210204,-0.072030612,-0.080107347,-0.089408571,-0.09964,-0.110279796,-0.120690408,-0.130171224,-0.138050408,-0.143735918,-0.146819592,-0.147107143,-0.144645918,-0.139657347,-0.132481837,-0.123558367,-0.11339102,-0.102499388,-0.091381429,-0.080477959,-0.070088163,-0.060384286,-0.051419388,-0.043153061,-0.035514694,-0.028422857,-0.021807347,-0.015627143,-0.009842653,-0.004411429,0.000733469,0.005666327,0.010444286,0.015111633,0.019710816,0.024275102,0.028855102,0.033513469,0.03828449,0.04321,0.048251633,0.053330816,0.058340204,0.063154082,0.067668367,0.071804286,0.07553,0.078823469,0.081716531,0.084234898,0.086387551,0.088207143,0.089696327,0.090868571,0.09173898,0.092320612,0.09264551,0.092727959,0.092573673,0.092169592,0.091494286,0.090503673,0.089142449,0.087340408,0.085024082,0.082113878,0.078551633,0.074307143,0.069387551,0.063869184,0.057900408,0.051670612,0.045415102,0.039367755,0.033772857,0.02884102,0.024748163,0.021625306,0.019533469,0.018482449,0.018463878,0.019467143,0.021455306,0.02435898,0.028012041,0.032224694,0.036767551,0.041475714,0.04632,0.05094551,0.055644918
-0.0114,-0.010246939,-0.011193878,-0.01469449,-0.020783878,-0.029126735,-0.039120204,-0.050105714,-0.061528163,-0.073086531,-0.084690612,-0.096363878,-0.108089184,-0.119651633,-0.13069,-0.140699184,-0.149057143,-0.15504551,-0.158088367,-0.157983878,-0.154973673,-0.149648571,-0.142710612,-0.134769796,-0.126247347,-0.117415714,-0.108492449,-0.099678776,-0.091125714,-0.082843469,-0.074690408,-0.066424898,-0.057862449,-0.049017143,-0.040067755,-0.031272857,-0.022798163,-0.014669796,-0.006791837,0.000947143,0.008596122,0.016145102,0.023512857,0.030665306,0.037563265,0.044228571,0.050683673,0.056930612,0.06289102,0.06855,0.073922857,0.079060408,0.084065714,0.088991837,0.093891837,0.098812653,0.103752857,0.108692041,0.113550408,0.118211633,0.12252102,0.126325918,0.12943,0.13169,0.133127755,0.133959592,0.134430612,0.134623673,0.134486531,0.133913061,0.13281,0.13112102,0.128833061,0.125971429,0.122583673,0.118728163,0.114490612,0.109977143,0.105305714,0.100591429,0.095883469,0.091146735,0.086223265,0.08088,0.074908571,0.068220816,0.06095551,0.053456735,0.04624449,0.039946531,0.035176735,0.032402857,0.03180551,0.033224694,0.03626449,0.040378367,0.044850408,0.048615306,0.05029,0.05440847,0.057758449
0.00693,0.009653469,0.011768571,0.012345102,0.010529184,0.005680204,-0.002667143,-0.014844286,-0.030848776,-0.050138571,-0.071526327,-0.093524898,-0.115003673,-0.135538163,-0.155187143,-0.173914694,-0.191308571,-0.206652041,-0.219147959,-0.22824898,-0.233816327,-0.236122857,-0.235696735,-0.233121837,-0.228855306,-0.223197143,-0.216285306,-0.208194898,-0.19905,-0.189022857,-0.178249388,-0.166793469,-0.154671429,-0.14189,-0.128508367,-0.114654286,-0.100542449,-0.086469796,-0.072777959,-0.059809184,-0.047854082,-0.037155102,-0.027851429,-0.019989592,-0.013493673,-0.008167143,-0.00369449,0.000282041,0.004103673,0.00795,0.0119,0.015899592,0.019883878,0.023770408,0.027508163,0.031070204,0.034471429,0.037752653,0.040940204,0.044027959,0.046979592,0.049749388,0.052313469,0.054645714,0.056726327,0.058512857,0.059959388,0.061020204,0.061667347,0.061891837,0.061721429,0.061209184,0.060408163,0.059361633,0.058096327,0.056622857,0.054913673,0.052927143,0.050607755,0.047893469,0.044731224,0.041061429,0.036840612,0.032078571,0.026907143,0.021587551,0.016469796,0.011964082,0.008558571,0.006713673,0.00672449,0.008562857,0.011703265,0.01518,0.017908571,0.019011837,0.018149184,0.015612041,0.01226,0.010560102,0.008280837
0.00845,0.006632245,0.000567755,-0.009952653,-0.023981224,-0.039738367,-0.055229796,-0.068981429,-0.080330408,-0.089360816,-0.096560816,-0.102670612,-0.108551429,-0.115036327,-0.122631429,-0.131345714,-0.140618367,-0.149509388,-0.157022857,-0.162428367,-0.165528367,-0.166664286,-0.166529592,-0.165782857,-0.164687755,-0.163009184,-0.160200612,-0.155745714,-0.149408571,-0.141316122,-0.131895714,-0.121722245,-0.111354898,-0.101189592,-0.091378163,-0.081927143,-0.072756531,-0.063850816,-0.055293265,-0.047245714,-0.039880408,-0.033316939,-0.027532857,-0.022387347,-0.017586531,-0.012857959,-0.007945714,-0.002719796,0.002789592,0.00848,0.014191633,0.019764286,0.025102449,0.03011551,0.034774694,0.039086122,0.043101429,0.046866327,0.05043898,0.05384102,0.057053469,0.060055918,0.062808571,0.065325714,0.067660408,0.069878776,0.072076327,0.074330204,0.076640204,0.078911633,0.080978571,0.082631633,0.083698571,0.084050408,0.083616735,0.08237102,0.080319592,0.077517143,0.074067551,0.070128776,0.065900204,0.06157449,0.057305102,0.053139796,0.049014286,0.044774286,0.040262041,0.035429796,0.030457959,0.025827347,0.022257143,0.020588571,0.021488163,0.025213878,0.031332245,0.038636735,0.045161224,0.048554694,0.04673,0.05168898,0.054456306
0.02166,0.019988571,0.017892245,0.015123673,0.010975918,0.003994286,-0.007509388,-0.024504286,-0.046774082,-0.072972041,-0.101182245,-0.129478571,-0.156243061,-0.180271224,-0.200807143,-0.217493878,-0.230288163,-0.23939449,-0.245129184,-0.247873265,-0.247963061,-0.245661429,-0.241171633,-0.234684694,-0.226455306,-0.216894082,-0.206563469,-0.196089592,-0.186007143,-0.176594898,-0.167788776,-0.159237347,-0.150442653,-0.14091449,-0.130324694,-0.118604286,-0.105936122,-0.092680612,-0.079272041,-0.066116327,-0.053540816,-0.041727755,-0.030688571,-0.020340612,-0.010507551,-0.001007551,0.008330408,0.01760898,0.026864898,0.03607,0.045125102,0.053860204,0.062074898,0.069587143,0.076201429,0.081788367,0.08631,0.08991,0.092823673,0.095284898,0.097471224,0.09948551,0.101335714,0.102978571,0.10434898,0.10540449,0.106099184,0.106365306,0.106099592,0.10516898,0.103444286,0.100854082,0.097359388,0.092963469,0.087708367,0.081673673,0.07496551,0.067724286,0.060107959,0.052252857,0.044273673,0.036243878,0.028256939,0.020457347,0.013075714,0.006443469,0.000891224,-0.003332449,-0.006076327,-0.007286531,-0.006964694,-0.005112857,-0.001783673,0.002833469,0.008379388,0.014237347,0.019568163,0.023433878,0.02501,0.029608266,0.033226633
0.03346,0.03283,0.027,0.01609,7.70E-04,-0.01867,-0.0422,-0.06938,-0.09915,-0.13053,-0.16327,-0.1975,-0.23268,-0.26681,-0.29676,-0.3196,-0.33389,-0.34012,-0.34021,-0.33658,-0.33125,-0.32542,-0.3196,-0.31394,-0.30839,-0.30276,-0.29673,-0.28994,-0.28208,-0.2729,-0.26229,-0.25032,-0.23725,-0.22342,-0.20914,-0.1946,-0.17992,-0.16528,-0.15094,-0.13727,-0.1247,-0.11352,-0.10385,-0.09556,-0.08842,-0.08228,-0.07706,-0.07266,-0.06887,-0.06538,-0.0619,-0.05825,-0.05442,-0.05057,-0.04687,-0.0435,-0.04057,-0.03812,-0.03613,-0.03442,-0.03266,-0.03049,-0.02772,-0.02444,-0.02093,-0.01754,-0.01459,-0.01225,-0.01057,-0.00947,-0.00877,-0.00835,-0.00811,-0.00804,-0.00821,-0.0087,-0.00959,-0.01089,-0.01255,-0.01445,-0.01647,-0.01851,-0.02046,-0.02218,-0.02357,-0.02467,-0.02564,-0.0267,-0.02794,-0.02918,-0.03005,-0.03017,-0.0294,-0.02798,-0.02656,-0.0258,-0.02583,-0.02605,-0.02532,-0.02275,-0.01826
0.0165,0.0089,-0.00203,-0.01628,-0.03338,-0.05252,-0.07283,-0.09368,-0.11476,-0.13613,-0.15797,-0.18052,-0.20383,-0.22771,-0.25164,-0.27486,-0.29643,-0.31538,-0.33091,-0.34253,-0.35004,-0.35351,-0.35321,-0.34965,-0.34347,-0.33542,-0.32621,-0.31632,-0.30601,-0.29523,-0.28373,-0.27115,-0.25714,-0.24148,-0.22419,-0.20554,-0.18594,-0.16591,-0.14594,-0.12646,-0.10782,-0.09031,-0.07414,-0.05944,-0.04621,-0.03438,-0.02379,-0.01436,-0.00598,0.0014,0.00786,0.01354,0.01863,0.02332,0.02776,0.03201,0.03609,0.03999,0.04368,0.04718,0.05052,0.05374,0.05687,0.05992,0.06288,0.06568,0.06823,0.07045,0.07226,0.0736,0.07442,0.0747,0.07438,0.07343,0.07177,0.06935,0.06616,0.06224,0.05764,0.05251,0.04702,0.04136,0.03576,0.03044,0.02559,0.02143,0.01817,0.01608,0.01538,0.01623,0.01865,0.02246,0.02725,0.03243,0.03726,0.04106,0.04334,0.04399,0.04328,0.04188,0.04069
0.002,-0.00217,-0.0087,-0.01742,-0.02775,-0.03883,-0.04994,-0.0608,-0.07147,-0.08219,-0.09318,-0.10443,-0.11563,-0.12625,-0.13566,-0.14331,-0.14882,-0.15205,-0.15304,-0.15192,-0.14889,-0.14413,-0.13788,-0.13039,-0.12194,-0.11284,-0.10338,-0.09379,-0.08422,-0.07473,-0.06534,-0.05606,-0.04688,-0.0378,-0.02886,-0.02008,-0.01149,-0.00311,0.00502,0.01287,0.02038,0.0275,0.0342,0.04044,0.04623,0.05157,0.05647,0.06095,0.06509,0.06898,0.07273,0.07647,0.08029,0.08428,0.08854,0.09314,0.09814,0.10357,0.10941,0.11566,0.12225,0.12914,0.13625,0.14349,0.15075,0.15788,0.16474,0.17118,0.17706,0.18222,0.18654,0.18988,0.19216,0.19331,0.19329,0.19206,0.18961,0.1859,0.18092,0.17465,0.16708,0.15826,0.14829,0.1373,0.12546,0.113,0.10016,0.08724,0.07457,0.06251,0.05142,0.04167,0.03367,0.02777,0.0242,0.02295,0.02362,0.02529,0.02668,0.02648,0.02379
0.01045,0.00336,-0.00866,-0.02506,-0.04439,-0.06467,-0.08407,-0.10149,-0.1168,-0.13091,-0.14537,-0.16168,-0.18057,-0.20158,-0.22324,-0.2437,-0.26126,-0.27471,-0.28325,-0.28646,-0.28425,-0.27696,-0.26533,-0.25037,-0.23322,-0.21496,-0.19644,-0.17819,-0.16045,-0.14324,-0.12652,-0.11024,-0.09442,-0.07913,-0.06455,-0.05089,-0.03838,-0.0272,-0.01746,-0.00917,-0.00225,0.00343,0.00806,0.01176,0.01468,0.01699,0.01892,0.02075,0.02276,0.02515,0.02801,0.03136,0.03516,0.03938,0.04401,0.04912,0.05482,0.06122,0.06838,0.07634,0.08504,0.09442,0.10438,0.11481,0.12557,0.13649,0.14735,0.15794,0.16797,0.17717,0.18528,0.19204,0.19723,0.20071,0.2024,0.20226,0.20034,0.1967,0.19145,0.1847,0.17661,0.16734,0.15706,0.14598,0.13428,0.12215,0.10975,0.09726,0.08487,0.0728,0.06134,0.05083,0.04163,0.03413,0.02871,0.02563,0.02487,0.02612,0.02876,0.03208,0.03534
-0.00323,-0.01245,-0.02185,-0.03082,-0.03916,-0.04728,-0.0559,-0.06555,-0.07635,-0.08802,-0.10002,-0.11186,-0.12322,-0.13403,-0.14423,-0.15357,-0.16156,-0.16762,-0.17128,-0.17245,-0.17136,-0.16849,-0.16434,-0.15925,-0.15341,-0.14694,-0.13996,-0.13253,-0.12469,-0.11646,-0.10784,-0.09887,-0.0896,-0.08012,-0.07055,-0.06099,-0.05154,-0.04229,-0.03332,-0.02472,-0.01653,-0.00883,-0.00169,0.00485,0.01075,0.01604,0.02075,0.02497,0.02877,0.03223,0.03542,0.03838,0.04117,0.04386,0.04651,0.0492,0.05195,0.05474,0.05753,0.06025,0.06286,0.06531,0.06757,0.06961,0.07141,0.073,0.07439,0.07561,0.07667,0.07755,0.07817,0.07844,0.07822,0.07741,0.07586,0.07347,0.07019,0.06602,0.06106,0.05543,0.04926,0.04266,0.03571,0.02853,0.02125,0.01405,0.0072,0.001,-0.00411,-0.00763,-0.00912,-0.00833,-0.00529,-3.50E-04,0.00589,0.01262,0.01893,0.02401,0.02728,0.02863,0.02834
