V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,,
0.00103,0.002062653,0.004241837,0.007586122,0.011707755,0.016014898,0.019859796,0.022798571,0.024716122,0.025780204,0.026359796,0.026842449,0.027517959,0.028503061,0.029767143,0.031191633,0.032571633,0.03368449,0.034300816,0.034222857,0.03328,0.031372857,0.028508367,0.024798367,0.020465714,0.015833061,0.011255918,0.00705102,0.003437143,0.000477551,-0.001916327,-0.003945714,-0.005880816,-0.007987959,-0.010487143,-0.013508571,-0.017081633,-0.021130816,-0.025503469,-0.02999,-0.034359388,-0.038436735,-0.042114286,-0.045419388,-0.048467959,-0.051488367,-0.054724694,-0.058373061,-0.062585306,-0.06739,-0.072745306,-0.078522449,-0.084596531,-0.090887551,-0.097379388,-0.104112449,-0.111198571,-0.118789592,-0.127046122,-0.136076735,-0.145917551,-0.156442857,-0.167432449,-0.178601429,-0.189763673,-0.200885714,-0.212101429,-0.223609184,-0.235590204,-0.248135102,-0.261211429,-0.274642449,-0.28817,-0.301503469,-0.314340204,-0.326420204,-0.337548163,-0.347577143,-0.356403469,-0.363899388,-0.369855102,-0.373961224,-0.375793469,-0.374808571,-0.370401429,-0.362007959,-0.349162449,-0.331623673,-0.309404898,-0.282825306,-0.252553673,-0.219547143,-0.18494551,-0.150050816,-0.116162041,-0.084583265,-0.056447143,-0.032652449,-0.01376,0.01629949,0.04197298
0.03347,0.046730816,0.058133673,0.065960408,0.069266531,0.067957347,0.062827143,0.05537,0.047478163,0.040995714,0.037312041,0.037049592,0.039983061,0.045274082,0.051872857,0.058843265,0.065528163,0.071477551,0.076353061,0.079878776,0.081819592,0.082052857,0.080633265,0.077851633,0.074174898,0.070195306,0.066517755,0.063638571,0.061912857,0.061496939,0.062358163,0.064331429,0.067158776,0.070546939,0.074233469,0.078031429,0.081840408,0.085669184,0.089583469,0.09366551,0.097934898,0.102366531,0.106825714,0.111162041,0.11520898,0.118879388,0.122127143,0.124957755,0.127391633,0.1294,0.130930612,0.131938367,0.132366327,0.132267551,0.131700204,0.130766735,0.129537143,0.128045714,0.126263469,0.124067551,0.121293673,0.117726327,0.113177143,0.107491429,0.100602653,0.092522245,0.083366327,0.073337347,0.062694898,0.05172551,0.040681429,0.029732857,0.018960204,0.008335714,-0.00222551,-0.012797755,-0.023378571,-0.033875714,-0.04409551,-0.053764898,-0.062540408,-0.070046531,-0.07595898,-0.080098571,-0.082434286,-0.083072245,-0.082168571,-0.079866939,-0.076297347,-0.071570816,-0.065793469,-0.059062857,-0.051535918,-0.043391429,-0.034910816,-0.026466327,-0.018459184,-0.011341633,-0.00548,0.002864306,0.010262938
0.04663,0.065805714,0.085029388,0.102585306,0.117017143,0.127268163,0.132787755,0.133585714,0.130134694,0.123267347,0.114004082,0.10340102,0.092416531,0.081812041,0.072084286,0.063465918,0.055916122,0.049209388,0.043001633,0.036911837,0.030611837,0.023881429,0.016636531,0.008904082,0.000812245,-0.007442857,-0.015664898,-0.023668367,-0.031307143,-0.0385,-0.045218367,-0.051495918,-0.057409388,-0.063050408,-0.068535306,-0.073955714,-0.079378571,-0.08486,-0.090398776,-0.095949796,-0.101476327,-0.106904694,-0.112184286,-0.117255102,-0.122107347,-0.12674102,-0.131184286,-0.135488163,-0.139754694,-0.14408,-0.148563878,-0.153267959,-0.158232857,-0.163466735,-0.168947347,-0.174640408,-0.180497143,-0.186494694,-0.192606735,-0.198841429,-0.205232245,-0.211791429,-0.218556122,-0.225515714,-0.232653469,-0.239927755,-0.247271429,-0.254606531,-0.261848163,-0.268919592,-0.275765714,-0.282344082,-0.28863102,-0.294616735,-0.300274898,-0.305557755,-0.310368571,-0.314551429,-0.317896327,-0.320145306,-0.320990816,-0.320123469,-0.317252857,-0.312120204,-0.304517143,-0.294333469,-0.281532653,-0.266163265,-0.248323469,-0.228160204,-0.205866122,-0.181728571,-0.15620449,-0.129925714,-0.10371551,-0.078497959,-0.055216531,-0.034717755,-0.01768,0.006789816,0.028374939
0.01947,0.028346735,0.036605918,0.042810408,0.045644286,0.044091224,0.03762551,0.02634,0.011009388,-0.007060408,-0.026219592,-0.044697755,-0.060916122,-0.073643673,-0.08218,-0.086384082,-0.086617551,-0.08356551,-0.078052857,-0.070900408,-0.062812653,-0.054364286,-0.046036122,-0.038270408,-0.031457347,-0.025916531,-0.021876122,-0.019390204,-0.018325714,-0.018392245,-0.01918,-0.020262245,-0.021283878,-0.021980408,-0.022208571,-0.021937143,-0.021210204,-0.020091429,-0.01867551,-0.017020816,-0.015169796,-0.013148163,-0.010942857,-0.008541429,-0.005969184,-0.003239592,-0.00042898,0.00234898,0.004928571,0.00716,0.008861633,0.009915102,0.010247347,0.009814286,0.008679592,0.006914286,0.004647143,0.002012857,-0.000873673,-0.003916531,-0.007069388,-0.010323265,-0.013715306,-0.017307143,-0.021183673,-0.025413469,-0.030035306,-0.035087551,-0.040592449,-0.046588367,-0.053107143,-0.060180612,-0.067821837,-0.076044694,-0.084886531,-0.094373878,-0.104533469,-0.115351429,-0.126745102,-0.138534898,-0.150430408,-0.162024286,-0.172786122,-0.182087347,-0.18922,-0.193459184,-0.194143673,-0.190745306,-0.182974898,-0.170846327,-0.15472898,-0.135325714,-0.113655102,-0.090887755,-0.068294898,-0.047113673,-0.028392857,-0.012916939,-0.00107,0.019036286,0.035900939
0.00671,0.009081837,0.010098163,0.009166327,0.005920612,0.000361429,-0.007054082,-0.015421429,-0.023628776,-0.030683878,-0.035900204,-0.03899551,-0.040041633,-0.039362245,-0.037478571,-0.035089796,-0.032964082,-0.031820204,-0.03221,-0.034357551,-0.038088163,-0.0429,-0.048114286,-0.053051633,-0.057188776,-0.060255102,-0.062224082,-0.063241633,-0.063548571,-0.063416122,-0.063083469,-0.062743878,-0.06252551,-0.062510408,-0.06275898,-0.063288571,-0.064106531,-0.065200816,-0.066550204,-0.068133469,-0.069904898,-0.071803061,-0.073747143,-0.075652245,-0.077451429,-0.07908102,-0.080543061,-0.081838571,-0.083036122,-0.08421,-0.085437755,-0.086835714,-0.088501837,-0.09057,-0.093126122,-0.096260816,-0.100018571,-0.104375714,-0.109234898,-0.114487959,-0.120036122,-0.12587449,-0.13211449,-0.13897,-0.146692449,-0.155443469,-0.16527,-0.176074898,-0.18765449,-0.199744286,-0.212064286,-0.224346327,-0.236332041,-0.247798571,-0.258553673,-0.268454082,-0.27739449,-0.285272857,-0.29193102,-0.297122857,-0.300504898,-0.301642857,-0.300069796,-0.295297959,-0.286914286,-0.274598776,-0.258227959,-0.237942653,-0.214217755,-0.187836122,-0.159897755,-0.131655714,-0.104374694,-0.079173878,-0.056907551,-0.038083061,-0.022898776,-0.011230612,-0.00278,0.014152265,0.02766302
0.02813,0.03961,0.05084,0.0598,0.0646,0.06397,0.05777,0.0471,0.03411,0.0215,0.01183,0.00685,0.00714,0.01205,0.02006,0.02927,0.03784,0.04437,0.04803,0.04854,0.04603,0.04096,0.03394,0.02566,0.01677,0.00779,-0.00093,-0.00926,-0.01714,-0.02457,-0.03149,-0.03784,-0.04356,-0.04869,-0.05341,-0.05798,-0.06273,-0.06791,-0.07366,-0.07999,-0.08677,-0.09379,-0.10082,-0.10766,-0.11419,-0.12035,-0.12614,-0.13165,-0.13697,-0.14226,-0.14761,-0.15312,-0.15884,-0.1648,-0.17104,-0.1776,-0.18451,-0.19182,-0.19952,-0.20757,-0.21583,-0.22414,-0.23235,-0.24037,-0.24817,-0.25581,-0.26338,-0.27102,-0.27884,-0.28691,-0.29526,-0.30386,-0.31266,-0.32161,-0.33061,-0.33955,-0.34825,-0.35649,-0.36398,-0.37039,-0.37541,-0.37876,-0.38017,-0.37943,-0.3763,-0.37061,-0.36217,-0.35082,-0.33639,-0.3187,-0.29761,-0.27308,-0.24525,-0.21453,-0.18165,-0.14767,-0.11388,-0.08175,-0.05279,-0.02835,-0.00938
0.0542,0.0707,0.0855,0.09717,0.10503,0.1091,0.10999,0.10865,0.10615,0.10352,0.10164,0.10114,0.10242,0.10559,0.11049,0.11669,0.12354,0.13026,0.13606,0.14026,0.14234,0.142,0.13916,0.13393,0.1266,0.11761,0.10745,0.09665,0.08568,0.07498,0.06489,0.05564,0.04734,0.03999,0.0335,0.02769,0.02234,0.01718,0.01201,0.00664,9.80E-04,-0.00501,-0.01134,-0.01799,-0.02495,-0.03222,-0.03984,-0.04781,-0.05612,-0.06472,-0.07348,-0.08225,-0.09088,-0.09931,-0.10752,-0.11558,-0.12357,-0.13163,-0.13989,-0.14849,-0.15758,-0.16728,-0.17774,-0.18909,-0.20145,-0.2149,-0.22948,-0.24516,-0.26186,-0.27944,-0.29766,-0.31626,-0.33491,-0.35328,-0.37106,-0.38795,-0.4037,-0.4181,-0.43092,-0.44193,-0.45082,-0.45714,-0.46034,-0.45974,-0.45457,-0.44408,-0.42764,-0.40489,-0.37589,-0.34126,-0.30216,-0.26024,-0.2174,-0.17554,-0.13633,-0.10102,-0.07036,-0.04463,-0.0237,-0.00719,0.00541
0.03937,0.05065,0.05979,0.06596,0.06903,0.06953,0.06842,0.06701,0.06672,0.0687,0.07366,0.08164,0.09216,0.10433,0.11707,0.12931,0.14008,0.14866,0.15458,0.15764,0.15788,0.15552,0.15094,0.14463,0.13713,0.12896,0.12063,0.11252,0.10495,0.0981,0.09207,0.08685,0.08239,0.07856,0.07522,0.07219,0.06929,0.0664,0.06344,0.06038,0.05727,0.05415,0.05112,0.04826,0.04563,0.04328,0.04125,0.0395,0.03797,0.03655,0.03513,0.03359,0.03186,0.0299,0.02773,0.02535,0.02278,0.02002,0.01702,0.01369,0.00989,0.00547,2.80E-04,-0.00583,-0.01294,-0.02111,-0.03032,-0.04051,-0.05156,-0.06335,-0.07576,-0.08868,-0.10199,-0.11561,-0.12943,-0.14334,-0.15721,-0.17088,-0.18415,-0.1968,-0.20855,-0.21909,-0.22807,-0.23509,-0.23975,-0.24165,-0.24043,-0.23581,-0.22766,-0.21601,-0.20107,-0.18325,-0.16313,-0.14144,-0.11898,-0.0965,-0.07467,-0.05416,-0.03559,-0.01951,-0.00635
0.06102,0.07826,0.09274,0.10263,0.10684,0.10516,0.09826,0.08764,0.07537,0.06372,0.05478,0.05012,0.05063,0.05645,0.06702,0.0812,0.09754,0.11444,0.13039,0.14411,0.15467,0.16155,0.16462,0.16411,0.16051,0.15444,0.14658,0.13756,0.12792,0.11808,0.10833,0.09886,0.08974,0.08102,0.07268,0.06472,0.05717,0.05006,0.04348,0.03749,0.03211,0.02731,0.023,0.01901,0.01517,0.01133,0.00737,0.00325,-0.00103,-0.00542,-0.00983,-0.01421,-0.01852,-0.02274,-0.02695,-0.03123,-0.03575,-0.04066,-0.04613,-0.05231,-0.05934,-0.06732,-0.07634,-0.08646,-0.09775,-0.11025,-0.12399,-0.13895,-0.15513,-0.17242,-0.19068,-0.2097,-0.22915,-0.24869,-0.2679,-0.28638,-0.30376,-0.3197,-0.33394,-0.34624,-0.3564,-0.36418,-0.36936,-0.37163,-0.37073,-0.36636,-0.35826,-0.34622,-0.33018,-0.31019,-0.28654,-0.25971,-0.23048,-0.1998,-0.16871,-0.13812,-0.10883,-0.08161,-0.05717,-0.03614,-0.01892
0.01231,0.0215,0.03162,0.04141,0.04931,0.05388,0.05413,0.04982,0.04143,0.03006,0.01716,0.00416,-0.00771,-0.01764,-0.02519,-0.03022,-0.0328,-0.03319,-0.03181,-0.02926,-0.02625,-0.02345,-0.02142,-0.02049,-0.02075,-0.02206,-0.02412,-0.02656,-0.02898,-0.03108,-0.03269,-0.03383,-0.03467,-0.03545,-0.03643,-0.03778,-0.03955,-0.04172,-0.04417,-0.04675,-0.04937,-0.05201,-0.05473,-0.05764,-0.06092,-0.06474,-0.06924,-0.07454,-0.08075,-0.08791,-0.09605,-0.1052,-0.1154,-0.12673,-0.13933,-0.15336,-0.16896,-0.18623,-0.20518,-0.22577,-0.24786,-0.27128,-0.29579,-0.32116,-0.34715,-0.37351,-0.40005,-0.42657,-0.45287,-0.47879,-0.50415,-0.52874,-0.55232,-0.5746,-0.59526,-0.61391,-0.63017,-0.64365,-0.65397,-0.66075,-0.66358,-0.66206,-0.65573,-0.64416,-0.62698,-0.6039,-0.5748,-0.5398,-0.49929,-0.45401,-0.40501,-0.35365,-0.30152,-0.25032,-0.20166,-0.15692,-0.11708,-0.08272,-0.05404,-0.031,-0.01335
