V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,,
0.01579,0.068886122,0.097505714,0.096023673,0.067981224,0.027934286,-0.002692653,-0.004328571,0.032286939,0.102628571,0.191557143,0.28074551,0.355856531,0.409878163,0.442492857,0.457402041,0.459724898,0.454380408,0.445271837,0.434992041,0.424749184,0.414411429,0.402913061,0.389018776,0.372104898,0.352477347,0.331117755,0.309071837,0.286914286,0.264571837,0.241467755,0.216859184,0.190231837,0.161611633,0.131725102,0.101891429,0.073537551,0.047664082,0.024442449,0.003161633,-0.017501633,-0.039065918,-0.062607143,-0.08823102,-0.114848571,-0.140626122,-0.163943265,-0.184120408,-0.201543673,-0.21712,-0.231528367,-0.244901837,-0.257131633,-0.268264286,-0.278664286,-0.28881449,-0.29903,-0.309283061,-0.31926,-0.328568163,-0.336823878,-0.343659796,-0.348632857,-0.351264286,-0.351178571,-0.348199388,-0.342416939,-0.33419898,-0.324113878,-0.31269551,-0.300175714,-0.286394082,-0.270925306,-0.253283673,-0.233120408,-0.210355918,-0.185234898,-0.158281429,-0.130155918,-0.101525306,-0.072914694,-0.044628571,-0.016714694,0.010949388,0.03843,0.065520612,0.091566122,0.115530204,0.136168571,0.152197143,0.162457347,0.166098571,0.162800612,0.152798571,0.136713878,0.115393469,0.089966531,0.062050204,0.03394,0.00994551,-0.015943592
-0.14322,-0.119305306,-0.110512653,-0.11237,-0.113902653,-0.102240408,-0.069415918,-0.016077143,0.050000408,0.118474286,0.180780408,0.232267143,0.271640612,0.298948571,0.314117143,0.316963061,0.308162245,0.289813673,0.265160204,0.237559184,0.209559184,0.182548571,0.157019184,0.132931633,0.110004286,0.087886939,0.066319592,0.045336327,0.025342857,0.007031837,-0.008825306,-0.021468776,-0.030167143,-0.034411429,-0.034280816,-0.03059,-0.024521837,-0.017121633,-0.009130204,-0.001253265,0.005616122,0.010474898,0.012552857,0.011683061,0.008333265,0.003332245,-0.002477959,-0.008450816,-0.014254082,-0.0199,-0.025805306,-0.032627347,-0.040902857,-0.050707755,-0.061582245,-0.072616531,-0.082791429,-0.091350204,-0.097947347,-0.102643265,-0.105602653,-0.106902245,-0.106510204,-0.104374286,-0.100500816,-0.094964082,-0.08782102,-0.079081837,-0.068689388,-0.056473061,-0.042205714,-0.025716735,-0.00702449,0.01362449,0.035828571,0.059057143,0.08259,0.105541429,0.127002449,0.146282041,0.163113061,0.177754286,0.190773673,0.20272102,0.213812857,0.223763469,0.231825102,0.237026735,0.238479592,0.235604082,0.228277959,0.216831429,0.202055714,0.185090408,0.167215918,0.149360816,0.131801633,0.114290204,0.09651,0.07889098,0.061242735
-0.13934,-0.092617143,-0.051686531,-0.016010816,0.017233673,0.051989796,0.091651837,0.137711429,0.189082857,0.242431837,0.293244082,0.337273265,0.371840204,0.396483265,0.412677143,0.422815918,0.429123265,0.432977755,0.434868776,0.434698367,0.43220449,0.427207143,0.41963449,0.409447755,0.396533469,0.380757959,0.3621,0.340766531,0.3172,0.292007959,0.265816122,0.239199796,0.212662653,0.186678367,0.16166898,0.137934286,0.115618776,0.094682041,0.07495102,0.056184286,0.038135306,0.020643673,0.003708571,-0.012471429,-0.027510204,-0.041030612,-0.052726939,-0.062445918,-0.070167143,-0.07601,-0.080101224,-0.082601633,-0.08355,-0.082926735,-0.080749184,-0.077216122,-0.07269,-0.067678571,-0.062665918,-0.058027143,-0.053920612,-0.050276939,-0.046936939,-0.043744286,-0.040547347,-0.037180408,-0.033456122,-0.029187551,-0.024246531,-0.018566939,-0.012091429,-0.004715918,0.00378449,0.013732245,0.025426122,0.039014694,0.054375102,0.071088571,0.088489592,0.105789592,0.122257959,0.137365714,0.150839388,0.162630408,0.172788571,0.181289388,0.187993673,0.192638571,0.194950816,0.194714082,0.191793673,0.186141429,0.177778163,0.166888367,0.154024082,0.140203265,0.126804694,0.115318163,0.107,0.092990061,0.081096734
-0.17064,-0.107884286,-0.041096531,0.025568163,0.089334286,0.150902653,0.214569184,0.285892857,0.36804102,0.459702857,0.55541102,0.647654694,0.729228163,0.795000408,0.842737143,0.873070816,0.888602245,0.892611837,0.88785102,0.875837959,0.856821633,0.830165714,0.795066939,0.751363673,0.700322041,0.644847551,0.588903878,0.536405306,0.490108571,0.45099898,0.418415306,0.390746735,0.366231633,0.343511633,0.32171449,0.300318571,0.278950816,0.257464898,0.236014286,0.215095102,0.195454286,0.177887755,0.16308,0.151469592,0.143116939,0.137498571,0.133662245,0.130437755,0.126842245,0.1223,0.116594286,0.109766122,0.101857959,0.092909796,0.082927143,0.071867551,0.059692857,0.046395714,0.032001429,0.016640204,0.000612653,-0.015664082,-0.031683265,-0.046891429,-0.060660816,-0.072336735,-0.081320408,-0.087197551,-0.089822041,-0.089289388,-0.085715714,-0.07901898,-0.068948163,-0.055334286,-0.038426122,-0.018971837,0.002001429,0.023447143,0.044551224,0.064810408,0.083981837,0.101923469,0.118456939,0.133387551,0.146588571,0.15815551,0.168344286,0.177379388,0.185207755,0.191315918,0.194793265,0.194618571,0.190122245,0.181123061,0.167955714,0.151164286,0.131416735,0.109637143,0.08754,0.068835204,0.048599347
-0.12215,-0.091969388,-0.079011837,-0.080123061,-0.085507143,-0.081184694,-0.055576939,-0.005572857,0.062526327,0.136994694,0.206198776,0.26255449,0.303673265,0.331115102,0.347965714,0.35680449,0.358773469,0.353904286,0.342054898,0.323858367,0.30109102,0.276237143,0.251665306,0.228844898,0.208009388,0.188361429,0.168590408,0.147362857,0.123722857,0.097367755,0.068710612,0.038730204,0.008613469,-0.020581837,-0.048115306,-0.073607143,-0.097049184,-0.118736327,-0.139063265,-0.158313878,-0.17654449,-0.193671429,-0.209511429,-0.223862857,-0.236586939,-0.247620612,-0.256967143,-0.264637143,-0.270680408,-0.27517,-0.278304694,-0.280524286,-0.282392449,-0.28449449,-0.287425102,-0.291653673,-0.297381429,-0.304470408,-0.312403061,-0.320545918,-0.328449184,-0.336042653,-0.343570408,-0.351407143,-0.359712245,-0.368119184,-0.375707347,-0.381288571,-0.383819592,-0.38264,-0.377468571,-0.368143673,-0.354376735,-0.335766939,-0.312067959,-0.28356102,-0.25112102,-0.216027143,-0.179602041,-0.142926531,-0.106803878,-0.071836531,-0.03854551,-0.007447143,0.021002857,0.046446122,0.068719796,0.087844694,0.103796939,0.116221429,0.124337755,0.12725,0.124319388,0.115492041,0.101333878,0.08297102,0.062186735,0.041532857,0.02431,0.003821122,-0.01572747
0.03464,0.08799,0.12657,0.146,0.15002,0.15251,0.17316,0.22815,0.32158,0.44281,0.57118,0.6854,0.77226,0.83045,0.8681,0.8966,0.92464,0.95529,0.98671,1.01515,1.03775,1.05379,1.0637,1.06754,1.06417,1.05168,1.02863,0.99475,0.951,0.89909,0.84078,0.77766,0.71122,0.64311,0.57511,0.50895,0.44599,0.38701,0.33225,0.28166,0.2351,0.19241,0.15346,0.11828,0.0872,0.06072,0.03928,0.02288,0.01095,0.00255,-0.00337,-0.00763,-0.01072,-0.01279,-0.0138,-0.01373,-0.01279,-0.01138,-0.00987,-0.00834,-0.00661,-0.00451,-0.00206,4.90E-04,0.00265,0.00391,0.00381,0.00219,-7.20E-04,-0.00438,-0.00798,-0.01062,-0.01141,-0.00966,-0.00498,0.00266,0.01315,0.02638,0.04227,0.06067,0.08118,0.10319,0.12596,0.14879,0.17087,0.19128,0.2089,0.22273,0.23204,0.23667,0.23701,0.23376,0.22754,0.21849,0.20636,0.19083,0.17189,0.14997,0.12591,0.10111,0.07772
-0.136,-0.06922,0.00163,0.07582,0.15452,0.24001,0.3343,0.43806,0.55033,0.66888,0.79092,0.91338,1.03304,1.14651,1.25046,1.34202,1.41927,1.48144,1.52892,1.56288,1.5849,1.59668,1.59971,1.59516,1.58367,1.56541,1.54016,1.50764,1.46773,1.42069,1.36716,1.30801,1.24423,1.17671,1.10629,1.03372,0.95979,0.88537,0.81142,0.73897,0.6691,0.60285,0.54111,0.48443,0.4329,0.38622,0.34383,0.30509,0.26945,0.2364,0.20551,0.1764,0.14885,0.12287,0.09889,0.07776,0.0604,0.04748,0.03905,0.03446,0.03262,0.03224,0.03224,0.03199,0.03142,0.031,0.03146,0.03351,0.03767,0.04415,0.0529,0.06367,0.07613,0.09001,0.10513,0.12138,0.13858,0.15634,0.17413,0.19139,0.20761,0.22235,0.23526,0.24605,0.2545,0.26048,0.26387,0.2646,0.2626,0.25781,0.25019,0.23982,0.2269,0.21182,0.19514,0.17751,0.15953,0.14163,0.12399,0.10675,0.09024
-0.03618,-0.01901,-0.0117,-0.00694,0.00564,0.03659,0.09266,0.17405,0.27428,0.38274,0.48828,0.58225,0.65999,0.72045,0.76481,0.79493,0.81252,0.81891,0.81527,0.80273,0.78244,0.75547,0.72276,0.68514,0.64345,0.59861,0.55167,0.5037,0.4557,0.40855,0.36293,0.31929,0.27791,0.23884,0.20202,0.16729,0.13449,0.10356,0.07446,0.04718,0.0217,-0.00198,-0.02387,-0.04398,-0.06241,-0.07939,-0.09539,-0.111,-0.12688,-0.14351,-0.16118,-0.17989,-0.1995,-0.21981,-0.24061,-0.26171,-0.28296,-0.30416,-0.32508,-0.34545,-0.36491,-0.38311,-0.39971,-0.41438,-0.42677,-0.43657,-0.44347,-0.44723,-0.44772,-0.44493,-0.43897,-0.43001,-0.41826,-0.40387,-0.38701,-0.36781,-0.34644,-0.32297,-0.29743,-0.26973,-0.23976,-0.20751,-0.17321,-0.13733,-0.10046,-0.06324,-0.02636,0.00936,0.04287,0.07292,0.09818,0.1174,0.12967,0.13464,0.13271,0.12507,0.11343,0.09956,0.08491,0.07054,0.05748
0.01984,0.06581,0.10126,0.13211,0.16876,0.22274,0.3017,0.40572,0.52707,0.65333,0.77196,0.87371,0.95391,1.01185,1.04936,1.0695,1.0756,1.07067,1.05699,1.03601,1.00838,0.97419,0.93309,0.88466,0.82873,0.76578,0.69708,0.62457,0.55059,0.47747,0.40715,0.3409,0.27925,0.2221,0.16913,0.12015,0.07538,0.0354,8.70E-04,-0.0278,-0.0508,-0.06891,-0.08341,-0.09566,-0.10679,-0.11739,-0.12766,-0.13755,-0.147,-0.15609,-0.16509,-0.17452,-0.18507,-0.19753,-0.21255,-0.23051,-0.25138,-0.2747,-0.29965,-0.32524,-0.3505,-0.37467,-0.39714,-0.41749,-0.43536,-0.45051,-0.46278,-0.47207,-0.47829,-0.48124,-0.48058,-0.47585,-0.4666,-0.45246,-0.43324,-0.40898,-0.37994,-0.34666,-0.30994,-0.27081,-0.23034,-0.18946,-0.14893,-0.10931,-0.07119,-0.03517,-0.00193,0.02788,0.05367,0.07492,0.09113,0.10195,0.10737,0.10792,0.10471,0.09922,0.09289,0.0868,0.08148,0.07717,0.07407
-0.10595,-0.04315,-8.20E-04,0.01624,0.01105,-0.00434,-0.01273,0.00101,0.04372,0.11218,0.19578,0.28136,0.35796,0.41964,0.46575,0.49899,0.52257,0.53838,0.54679,0.5478,0.54205,0.53107,0.51662,0.49991,0.48123,0.46031,0.43683,0.41088,0.38311,0.35438,0.32539,0.29627,0.26661,0.23573,0.20324,0.16947,0.13547,0.10253,0.07163,0.04313,0.01682,-0.00782,-0.03126,-0.05377,-0.07537,-0.09593,-0.11535,-0.13361,-0.15073,-0.1668,-0.18195,-0.19642,-0.21056,-0.22473,-0.23926,-0.25438,-0.27016,-0.28652,-0.30314,-0.31953,-0.33515,-0.34964,-0.36281,-0.37457,-0.38471,-0.39284,-0.39842,-0.40088,-0.39971,-0.39456,-0.38534,-0.37216,-0.35531,-0.33508,-0.31169,-0.28536,-0.25637,-0.22507,-0.19197,-0.15774,-0.12309,-0.08868,-0.05494,-0.02214,0.00963,0.04027,0.06951,0.09681,0.12126,0.14173,0.15709,0.16647,0.16943,0.1662,0.15774,0.14591,0.13306,0.12142,0.11226,0.10567,0.1007
