V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,,
0.01053,0.008070204,0.008723673,0.013019388,0.020677347,0.030280408,0.039765306,0.047241429,0.051835306,0.054028571,0.055373469,0.05771898,0.062438163,0.070000612,0.080061429,0.091652245,0.103448163,0.114002041,0.12202,0.126631837,0.127525714,0.124932857,0.119488776,0.112018571,0.103380204,0.094262857,0.085075102,0.075939388,0.066787143,0.057473265,0.047912041,0.038147551,0.028366735,0.018813673,0.009697755,0.00111,-0.007032041,-0.014881429,-0.022566327,-0.030123878,-0.037491224,-0.044575102,-0.051297143,-0.057653265,-0.063725918,-0.069638163,-0.075442245,-0.081046327,-0.086265918,-0.09091,-0.094919184,-0.098360816,-0.101365306,-0.10410898,-0.106716122,-0.109276122,-0.111825714,-0.114351837,-0.116756735,-0.118877143,-0.120541633,-0.121656327,-0.122300816,-0.122648571,-0.122872041,-0.123025918,-0.1231,-0.123059592,-0.122893061,-0.122556327,-0.121998571,-0.12116551,-0.119986327,-0.118388367,-0.116291429,-0.113631837,-0.110367959,-0.106467143,-0.101916531,-0.096732857,-0.09096898,-0.084731837,-0.078148776,-0.071347143,-0.064447143,-0.057536122,-0.050703469,-0.044122245,-0.038057755,-0.032902653,-0.029064694,-0.026818571,-0.026171429,-0.026820408,-0.02814898,-0.029480408,-0.030231429,-0.030103265,-0.02906,-0.029371429,-0.02923249
-0.01055,-0.010586939,-0.00833551,-0.003600204,0.003162653,0.011119796,0.019537347,0.028127143,0.03696102,0.046276122,0.056278163,0.066850408,0.07732102,0.086618163,0.093815714,0.098536122,0.100812041,0.100732245,0.098346122,0.093727143,0.087047551,0.078564286,0.068593673,0.057549388,0.045913061,0.034193673,0.022895306,0.01244551,0.003118571,-0.005018776,-0.012047347,-0.018140816,-0.023446122,-0.02802898,-0.031883265,-0.03497,-0.037254082,-0.038809388,-0.039768163,-0.04034,-0.040742041,-0.041153061,-0.041742857,-0.042628571,-0.043898367,-0.045563673,-0.047577551,-0.04979102,-0.052005714,-0.05405,-0.055788367,-0.057196122,-0.058341837,-0.059374898,-0.060451429,-0.061695102,-0.063197143,-0.065008163,-0.067097755,-0.069389592,-0.071794286,-0.074220408,-0.076622857,-0.078945714,-0.081128367,-0.083111224,-0.084816531,-0.086155714,-0.08701,-0.087199796,-0.086525714,-0.084847755,-0.082123265,-0.078426531,-0.073921429,-0.068772449,-0.063117143,-0.057105714,-0.050925714,-0.04481551,-0.039034082,-0.033842653,-0.029445918,-0.025972041,-0.023484286,-0.022032449,-0.021631837,-0.022274694,-0.023862857,-0.026154694,-0.028748776,-0.031107143,-0.032658571,-0.032856939,-0.031399796,-0.028303469,-0.023947143,-0.018950408,-0.01399,-0.00931347,-0.004519755
0.00839,0.008274082,0.010053265,0.013724898,0.018888163,0.025068776,0.03205449,0.039905714,0.04886,0.059095102,0.070629796,0.083249388,0.096525306,0.109828776,0.122367143,0.133325306,0.14210898,0.148422449,0.152257551,0.153750408,0.153074898,0.150415714,0.145977347,0.140034286,0.132970204,0.125230408,0.117239388,0.109323673,0.101651429,0.094266122,0.087123265,0.08011898,0.073123469,0.06601898,0.058734082,0.051272857,0.043747959,0.03631551,0.029142449,0.022374694,0.016109388,0.010406327,0.00525,0.000617347,-0.003557755,-0.007367959,-0.010861837,-0.014110612,-0.017139592,-0.01996,-0.022546939,-0.024883673,-0.026961429,-0.028799796,-0.030403878,-0.031823061,-0.033078571,-0.034191633,-0.035181633,-0.036065306,-0.036885102,-0.037683469,-0.038494898,-0.03933,-0.040187143,-0.041021429,-0.041772449,-0.042393673,-0.042818571,-0.04299,-0.042852857,-0.042369184,-0.041525918,-0.040348367,-0.038889184,-0.037222653,-0.035428163,-0.033574286,-0.031712857,-0.029867959,-0.02807551,-0.026401633,-0.024920612,-0.023713673,-0.022865714,-0.022461633,-0.022548571,-0.023127347,-0.024171429,-0.02564898,-0.027486327,-0.02947,-0.031259388,-0.032385918,-0.032361429,-0.030894898,-0.027903265,-0.023606939,-0.01851,-0.014866021,-0.010720919
0.00639,0.011250816,0.018916531,0.02975,0.043389592,0.058640612,0.073756939,0.087117143,0.097802041,0.105815102,0.111931429,0.117340204,0.123211224,0.130396122,0.139227143,0.149399592,0.16013551,0.170462041,0.179523673,0.186812653,0.192165714,0.1956,0.197108571,0.196537347,0.193577755,0.187878776,0.179265306,0.16792,0.154437143,0.139696735,0.12463551,0.110012245,0.096291429,0.083668367,0.072152041,0.061678571,0.052166327,0.043522857,0.035652653,0.028428367,0.021728367,0.015410816,0.009327143,0.003337551,-0.002624082,-0.008564898,-0.014428571,-0.020141837,-0.025620612,-0.03082,-0.035701429,-0.040262245,-0.044554898,-0.048627551,-0.052597959,-0.056584898,-0.060642857,-0.064817551,-0.069055918,-0.073288571,-0.077379796,-0.081204694,-0.084643878,-0.087598571,-0.09006898,-0.092134286,-0.09392551,-0.095526327,-0.096899796,-0.097846735,-0.098074286,-0.097327347,-0.095464082,-0.092490204,-0.088515714,-0.083699796,-0.078212245,-0.072205714,-0.065812245,-0.059128571,-0.052247959,-0.045276531,-0.038300204,-0.031414082,-0.02466,-0.0181,-0.011834082,-0.006092449,-0.001262449,0.002133469,0.003560204,0.002615714,-0.000781837,-0.006321429,-0.013135714,-0.019867143,-0.024778163,-0.026155306,-0.02289,-0.026034082,-0.027078653
-0.00453,0.001186531,0.008045714,0.01571551,0.023853061,0.032627551,0.042611224,0.05439,0.068050408,0.083021633,0.09831551,0.112919184,0.126206531,0.138092653,0.148868571,0.158787959,0.16769,0.174971837,0.179845714,0.181761633,0.18073102,0.177328571,0.172386531,0.166611837,0.160330204,0.153442449,0.145619592,0.136561837,0.126172857,0.114586327,0.102104694,0.089076122,0.07579449,0.062491429,0.049358367,0.03659,0.024373265,0.01288102,0.002244286,-0.007452041,-0.01617449,-0.023960408,-0.030888571,-0.037061429,-0.042612041,-0.047641633,-0.052226939,-0.056461429,-0.060440612,-0.06424,-0.067911633,-0.071490816,-0.075006939,-0.078450204,-0.081826735,-0.085197755,-0.088604286,-0.092076531,-0.095632041,-0.099287143,-0.103117755,-0.107163878,-0.111436122,-0.115855714,-0.120264898,-0.124466939,-0.128217959,-0.131252653,-0.133301837,-0.134126327,-0.133571429,-0.131569796,-0.128144898,-0.123374286,-0.117338571,-0.110101429,-0.101731633,-0.092287143,-0.081874286,-0.070678367,-0.058987551,-0.047174082,-0.035657551,-0.024886939,-0.015311429,-0.007369388,-0.001390204,0.002502449,0.004531429,0.005227347,0.005268163,0.005225714,0.005281429,0.005209184,0.004584694,0.003121837,0.000986939,-0.001245306,-0.00274,-0.004923572,-0.006905347
-0.02112,-0.02336,-0.02378,-0.02145,-0.01534,-0.00418,0.01362,0.03937,0.07318,0.11362,0.15821,0.20427,0.24928,0.29096,0.32732,0.35694,0.37931,0.39477,0.40412,0.40823,0.40787,0.40378,0.39679,0.3877,0.37723,0.36582,0.35379,0.34139,0.32884,0.31627,0.30373,0.29127,0.27895,0.26668,0.25422,0.24126,0.22757,0.21316,0.19827,0.18323,0.16848,0.15442,0.14139,0.1296,0.11915,0.11,0.10207,0.09525,0.08941,0.08443,0.08017,0.07651,0.07332,0.07051,0.06796,0.06558,0.06325,0.06084,0.05825,0.0555,0.05262,0.04968,0.04672,0.04377,0.04089,0.03807,0.03531,0.03257,0.02977,0.0268,0.02366,0.0204,0.01711,0.01395,0.01105,0.00856,0.00663,0.00539,0.00482,0.00486,0.00546,0.00661,0.0084,0.01093,0.01423,0.01814,0.02223,0.02578,0.028,0.02821,0.02619,0.02229,0.01736,0.01247,0.0085,0.00598,0.00501,0.00529,0.00617,0.00672,0.00597
-0.04491,-0.04281,-0.03759,-0.02932,-0.01859,-0.00612,0.00757,0.0223,0.03832,0.05625,0.07685,0.10083,0.12852,0.15972,0.19348,0.22827,0.26223,0.29358,0.32093,0.34347,0.36089,0.3733,0.38104,0.3846,0.38449,0.38121,0.37522,0.36694,0.35664,0.34455,0.3308,0.31549,0.29875,0.28074,0.26168,0.24183,0.2215,0.20104,0.18082,0.1612,0.14249,0.1249,0.10852,0.09335,0.07931,0.06636,0.05448,0.04372,0.03414,0.02574,0.01841,0.01192,0.00598,3.90E-04,-0.00497,-0.01012,-0.01502,-0.01959,-0.02377,-0.02755,-0.03095,-0.03407,-0.03699,-0.0398,-0.04251,-0.0451,-0.04752,-0.0497,-0.05158,-0.05315,-0.0544,-0.0553,-0.05582,-0.05588,-0.05537,-0.05421,-0.05233,-0.04971,-0.04636,-0.04232,-0.03771,-0.03268,-0.02743,-0.02219,-0.01722,-0.01272,-0.00884,-0.00566,-0.00325,-0.00163,-8.20E-04,-8.60E-04,-0.00179,-0.00364,-0.00631,-0.00962,-0.01329,-0.0171,-0.02099,-0.0251,-0.02971
-0.02339,-0.02063,-0.01572,-0.00842,0.00128,0.01322,0.02725,0.04331,0.06136,0.0811,0.10191,0.12282,0.14277,0.16073,0.17597,0.1881,0.19701,0.20271,0.20533,0.20503,0.2021,0.19688,0.18972,0.18088,0.17061,0.15915,0.14676,0.13373,0.12035,0.10685,0.09342,0.08018,0.06716,0.05443,0.04206,0.03019,0.019,0.00867,-6.70E-04,-0.00896,-0.01624,-0.02261,-0.02819,-0.03312,-0.03751,-0.04149,-0.04521,-0.04887,-0.05264,-0.05662,-0.06083,-0.06524,-0.06978,-0.07444,-0.07923,-0.0842,-0.08943,-0.09496,-0.10084,-0.10704,-0.11351,-0.12018,-0.12692,-0.13359,-0.14006,-0.14618,-0.1518,-0.15679,-0.16105,-0.16449,-0.16701,-0.16855,-0.16902,-0.16835,-0.16648,-0.16338,-0.15901,-0.1534,-0.1466,-0.13868,-0.12976,-0.11997,-0.10942,-0.09825,-0.08662,-0.07475,-0.06291,-0.05141,-0.0406,-0.03082,-0.02243,-0.0157,-0.01086,-0.00802,-0.00715,-0.00809,-0.01042,-0.01345,-0.0163,-0.01818,-0.01871
-0.01164,-0.00532,0.00493,0.01883,0.0353,0.05273,0.06965,0.08533,0.09981,0.11357,0.12712,0.14076,0.15454,0.16824,0.18133,0.19302,0.20248,0.20901,0.21219,0.21181,0.20784,0.20036,0.18969,0.17637,0.16112,0.14469,0.12774,0.11073,0.094,0.07777,0.06218,0.04737,0.03349,0.02069,0.00914,-0.00104,-0.00976,-0.01708,-0.0231,-0.02804,-0.03213,-0.03559,-0.03861,-0.04133,-0.04389,-0.04639,-0.04898,-0.05179,-0.05495,-0.0586,-0.06284,-0.06775,-0.07337,-0.0797,-0.08668,-0.09422,-0.10223,-0.11061,-0.11929,-0.12821,-0.13735,-0.14667,-0.15613,-0.1657,-0.1753,-0.18484,-0.1942,-0.20322,-0.21171,-0.21945,-0.22622,-0.23178,-0.23594,-0.23856,-0.23951,-0.23875,-0.23625,-0.232,-0.22604,-0.21839,-0.20913,-0.19837,-0.1863,-0.17311,-0.15903,-0.14427,-0.12908,-0.11375,-0.09861,-0.08406,-0.07053,-0.05845,-0.04814,-0.03972,-0.03317,-0.02836,-0.02502,-0.02266,-0.02074,-0.01894,-0.01733
-0.00682,-0.00154,0.00559,0.01407,0.02296,0.03145,0.03946,0.04773,0.05756,0.07018,0.08629,0.10571,0.12718,0.1486,0.16771,0.18294,0.1939,0.2012,0.20572,0.20793,0.20776,0.20492,0.19937,0.19151,0.18198,0.17144,0.16052,0.14974,0.13961,0.13048,0.12237,0.11501,0.10784,0.10031,0.09198,0.08269,0.07249,0.06162,0.05045,0.03935,0.02866,0.01862,0.00929,6.50E-04,-0.00739,-0.01495,-0.02214,-0.02907,-0.03578,-0.04233,-0.04876,-0.05511,-0.06141,-0.06764,-0.07373,-0.07964,-0.08533,-0.09083,-0.09615,-0.1013,-0.10627,-0.11106,-0.11566,-0.12008,-0.1243,-0.12827,-0.13192,-0.13517,-0.13794,-0.14012,-0.1416,-0.14227,-0.14202,-0.14074,-0.13833,-0.13467,-0.12971,-0.1234,-0.11576,-0.10685,-0.09682,-0.08586,-0.07419,-0.06206,-0.04975,-0.03756,-0.02582,-0.01492,-0.00521,0.003,0.00947,0.01409,0.01681,0.01755,0.01614,0.01248,0.00683,4.00E-05,-0.0064,-0.01084,-0.012
