V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
2.199000000,2.468750000,2.742970000,2.601670000,1.606160000,-0.265860000,-2.523530000,-4.503490000,-5.780020000,-6.314780000,-6.326200000,-6.072260000,-5.700280000,-5.210460000,-4.528890000,-3.630120000,-2.610400000,-1.657190000,-0.952700000,-0.591560000,-0.554610000,-0.728450000,-0.950670000,-1.057000000,-0.925730000,-0.531230000,0.033270000,0.602630000,1.023790000,1.218080000,1.196380000,1.036940000,0.844200000,0.703500000,0.647450000,0.655740000,0.682900000,0.684280000,0.636100000,0.551750000,0.475490000,0.454810000,0.514080000,0.645140000,0.817920000,1.003370000,1.189120000,1.377430000,1.575090000,1.787700000,2.020110000,2.282980000,2.602430000,3.021580000,3.588540000,4.340840000,5.291460000,6.403520000,7.558140000,8.548950000,9.128090000,9.094670000,8.374410000,7.044780000,5.303800000,3.415750000,1.667890000,0.330070000,-0.402970000,-0.472950000,0.008960000,0.784520000,1.530850000,1.979790000,2.012580000,1.667820000,1.077220000,0.394360000,-0.252030000,-0.786270000,-1.199840000,-1.540660000,-1.873490000,-2.233280000,-2.595330000,-2.875880000,-2.970420000,-2.806050000,-2.367560000,-1.682350000,-0.796120000,0.221690000,1.261860000,2.193640000,2.925610000,3.457300000,3.845380000,4.113640000,4.252740000,4.342280000,4.342280000
2.632380000,2.549410000,2.172570000,1.322170000,-0.086480000,-1.965050000,-4.070920000,-6.109570000,-7.803030000,-8.889490000,-9.140360000,-8.449920000,-6.936440000,-4.959110000,-3.020450000,-1.581170000,-0.865090000,-0.776980000,-0.999630000,-1.195330000,-1.174610000,-0.947990000,-0.660870000,-0.468850000,-0.429050000,-0.476200000,-0.498350000,-0.434610000,-0.303230000,-0.160880000,-0.054650000,-0.005880000,-0.016030000,-0.074460000,-0.161530000,-0.250050000,-0.311310000,-0.326190000,-0.290980000,-0.211610000,-0.093470000,0.065860000,0.276610000,0.548940000,0.883900000,1.267800000,1.672060000,2.061930000,2.412890000,2.723970000,3.015880000,3.314560000,3.630840000,3.950650000,4.242770000,4.473100000,4.608910000,4.614990000,4.463700000,4.166190000,3.784460000,3.381090000,2.945980000,2.396370000,1.685620000,0.923040000,0.365690000,0.277150000,0.781080000,1.810970000,3.150210000,4.510510000,5.617450000,6.284440000,6.448310000,6.152690000,5.495970000,4.582520000,3.502550000,2.333840000,1.156650000,0.072090000,-0.797760000,-1.337680000,-1.481620000,-1.248310000,-0.749590000,-0.157010000,0.360550000,0.690060000,0.797910000,0.735080000,0.629530000,0.644650000,0.891940000,1.344970000,1.840070000,2.187070000,2.303640000,2.244070000,2.244070000
6.547770000,7.170320000,7.744380000,7.642610000,6.320560000,3.965080000,1.451690000,-0.331520000,-1.016840000,-0.752610000,0.094290000,1.178510000,2.244040000,3.095700000,3.590560000,3.679130000,3.448950000,3.110850000,2.910700000,3.012580000,3.424250000,4.007840000,4.564500000,4.937580000,5.080060000,5.061640000,5.013780000,5.044250000,5.182510000,5.389770000,5.608190000,5.800580000,5.960610000,6.106070000,6.264920000,6.455490000,6.673170000,6.899100000,7.119090000,7.328050000,7.517160000,7.664610000,7.745470000,7.747500000,7.671910000,7.525920000,7.321150000,7.076790000,6.820440000,6.581210000,6.376280000,6.202030000,6.050580000,5.946380000,5.961690000,6.200090000,6.761410000,7.681480000,8.864740000,10.075530000,11.011150000,11.389580000,11.008440000,9.814730000,7.991170000,5.964340000,4.242150000,3.150190000,2.679320000,2.563650000,2.489640000,2.267700000,1.884010000,1.452080000,1.132140000,1.052220000,1.242650000,1.621530000,2.036170000,2.324710000,2.374700000,2.161750000,1.747850000,1.234580000,0.707700000,0.219010000,-0.190080000,-0.458710000,-0.507980000,-0.279630000,0.226770000,0.948720000,1.775910000,2.572330000,3.218050000,3.667860000,3.976170000,4.258480000,4.642900000,5.255480000,5.255480000
12.959840000,12.979160000,12.499280000,11.631600000,10.535500000,9.343540000,8.114600000,6.844140000,5.530770000,4.241770000,3.113640000,2.295410000,1.891490000,1.932180000,2.362320000,3.046010000,3.797840000,4.434750000,4.824060000,4.910060000,4.718580000,4.347150000,3.941730000,3.655340000,3.595820000,3.786010000,4.159270000,4.595650000,4.980020000,5.247650000,5.394250000,5.458350000,5.496940000,5.563360000,5.688630000,5.871740000,6.083180000,6.278700000,6.417270000,6.478450000,6.470700000,6.424380000,6.375350000,6.350480000,6.361290000,6.404860000,6.468460000,6.536400000,6.596710000,6.642600000,6.668620000,6.668680000,6.640290000,6.589970000,6.534260000,6.496130000,6.501190000,6.576190000,6.746650000,7.029520000,7.424430000,7.911200000,8.452770000,8.996520000,9.479650000,9.848040000,10.079710000,10.194050000,10.240610000,10.277000000,10.343880000,10.440050000,10.510370000,10.464440000,10.222950000,9.763280000,9.134620000,8.436670000,7.780080000,7.248920000,6.877990000,6.649860000,6.511290000,6.401980000,6.281430000,6.142330000,6.008190000,5.918830000,5.909790000,5.997770000,6.181500000,6.454120000,6.815820000,7.281520000,7.881600000,8.651640000,9.605560000,10.697630000,11.800140000,12.729260000,12.729260000
-3.491350000,-4.542492712,-5.796063220,-6.395987119,-5.511137288,-3.171507797,-0.343652203,1.816333390,2.702854068,2.401550169,1.360847966,0.042485085,-1.214853220,-2.200016102,-2.820163390,-3.080354407,-3.042086271,-2.789037627,-2.415314237,-2.023262542,-1.714300339,-1.566554068,-1.605956949,-1.792854407,-2.041722203,-2.262912034,-2.398935254,-2.435735763,-2.390809492,-2.296925254,-2.192462712,-2.112223051,-2.072646102,-2.070121695,-2.090760847,-2.122772712,-2.159736610,-2.199954237,-2.246056610,-2.301796102,-2.369904237,-2.451596610,-2.543941864,-2.640036610,-2.735294576,-2.835124237,-2.959578305,-3.141766949,-3.419406441,-3.823657119,-4.371670339,-5.066249153,-5.900675763,-6.864824237,-7.943993390,-9.098135593,-10.223304240,-11.127198470,-11.571428640,-11.389540000,-10.623120000,-9.534847500,-8.358087000,-7.332640500,-6.643374000,-6.381960000,-6.532070000,-6.986811500,-7.594034000,-8.204808500,-8.699430000,-8.988523000,-9.004992000,-8.702293000,-8.063267000,-7.112445000,-5.920688000,-4.597387000,-3.274923000,-2.095654000,-1.204250000,-0.758823500,-0.812087000,-1.343810500,-2.233996000,-3.284005000,-4.261703000,-4.952817500,-5.208884000,-4.989513000,-4.388410000,-3.615983000,-2.922680000,-2.491925500,-2.365203000,-2.447480000,-2.588788000,-2.687383500,-2.754781000,-2.925989000,-3.417120000
15.062800000,14.953765250,14.882631360,14.819507800,14.661410340,14.223482710,13.293140000,11.758980850,9.739971356,7.596969153,5.800185254,4.740035932,4.588034576,5.264592373,6.499890678,7.937221695,9.228649661,10.170168640,10.705517120,10.890634070,10.843366270,10.697166440,10.571532370,10.554268140,10.687007120,10.957545760,11.309262710,11.666700510,11.964775760,12.171390850,12.297151690,12.394597800,12.523914240,12.727203730,13.020579320,13.395015760,13.825617120,14.284520510,14.749868310,15.207085760,15.646683390,16.064755250,16.466954750,16.870682540,17.299922710,17.774193050,18.288493730,18.817049320,19.325802030,19.784775250,20.174589320,20.483229830,20.694432370,20.771441860,20.640730850,20.183525250,19.249044240,17.699985080,15.489063730,12.746670000,10.011500000,7.817750000,6.203024000,5.360046000,5.345844000,6.090225000,7.428742000,9.144343000,11.005930000,12.797109000,14.334480000,15.417657000,16.015946000,16.122214000,15.781720000,15.083480000,14.147072000,13.107335000,12.099262000,11.244811000,10.642360000,10.401304000,10.500616000,10.912772000,11.577638000,12.411175000,13.316636000,14.197109000,14.967824000,15.566383000,15.958990000,16.118344000,16.096914000,15.933011000,15.673238000,15.371010000,15.083202000,14.862957000,14.749150000,14.755140000,14.861250000
3.250630000,2.425225763,1.571627119,0.635335254,-0.483400339,-1.795065593,-3.178755085,-4.421048305,-5.277422542,-5.555538305,-5.201997627,-4.328963559,-3.162073390,-1.960626610,-0.954372034,-0.300565254,-0.059355763,-0.193980508,-0.592320508,-1.098632034,-1.551326949,-1.826560169,-1.878134407,-1.751852542,-1.559087797,-1.421191186,-1.415062373,-1.547535254,-1.766017288,-1.991269831,-2.150874915,-2.200507797,-2.130298983,-1.958433559,-1.718060339,-1.442826441,-1.154834576,-0.860065424,-0.552717966,-0.223361695,0.136519661,0.534932881,0.977656610,1.462027119,1.974051525,2.495967627,3.022218475,3.573794915,4.199173898,4.956815085,5.889206610,7.004198305,8.265822712,9.586289322,10.812488980,11.712396610,11.986706440,11.334278640,9.570783390,6.752800000,3.291600000,-0.192396750,-3.196909500,-5.285042250,-6.285561000,-6.309221250,-5.646869000,-4.619993000,-3.470582000,-2.331301250,-1.257830000,-0.278080000,0.573725000,1.246745000,1.685319500,1.855506250,1.768006000,1.478454000,1.066120500,0.610635750,0.182880000,-0.150436250,-0.322040000,-0.272921000,0.025580000,0.553238750,1.243740500,2.008524000,2.764089000,3.447185750,4.016122500,4.446084750,4.726742000,4.864120250,4.884137000,4.831600000,4.757572000,4.698322750,4.661647000,4.627618250,4.547600000
9.034220000,8.476030000,7.591600000,6.292550000,4.611000000,2.827890000,1.393040000,0.686360000,0.830100000,1.682080000,2.957670000,4.356070000,5.634370000,6.639670000,7.313930000,7.676920000,7.796350000,7.757950000,7.643850000,7.522410000,7.445690000,7.443800000,7.515980000,7.632040000,7.751780000,7.850030000,7.929410000,8.015860000,8.143950000,8.338230000,8.598040000,8.896250000,9.195460000,9.469820000,9.716610000,9.954340000,10.212960000,10.522120000,10.900640000,11.350050000,11.854990000,12.389190000,12.923910000,13.437470000,13.921260000,14.378410000,14.816780000,15.241380000,15.651730000,16.046490000,16.431150000,16.822390000,17.243100000,17.701680000,18.157510000,18.495620000,18.544840000,18.152420000,17.276620000,16.024190000,14.596820000,13.190920000,11.924960000,10.828310000,9.876360000,9.037670000,8.305150000,7.700990000,7.261140000,7.013460000,6.962900000,7.088130000,7.344400000,7.668900000,7.986990000,8.218720000,8.291670000,8.162190000,7.832230000,7.349290000,6.791820000,6.251650000,5.820190000,5.575740000,5.566930000,5.795040000,6.206400000,6.703940000,7.177880000,7.545710000,7.783450000,7.928820000,8.054600000,8.235620000,8.523480000,8.919920000,9.356690000,9.709230000,9.849120000,9.703390000,9.271690000
9.412000000,9.788685932,10.076218140,9.948970847,9.150845254,7.678963390,5.819677797,4.024967797,2.720366610,2.147335763,2.311441356,3.044042203,4.112504746,5.296467966,6.406561017,7.283135593,7.814341864,7.972429153,7.833659831,7.551598136,7.290749153,7.159947119,7.182308136,7.309759153,7.464935254,7.583351695,7.635635085,7.626852712,7.582175763,7.529488305,7.487699322,7.464961186,7.465885763,7.500423390,7.585403729,7.739113898,7.972868305,8.284611017,8.657441186,9.063412542,9.471950169,9.859919831,10.218677460,10.554219660,10.881523050,11.218814750,11.585727630,12.003176950,12.490804750,13.061569150,13.717215420,14.447894580,15.233704070,16.041864580,16.814228980,17.447682200,17.785710680,17.649614410,16.920501020,15.634990000,14.076220000,12.623584500,11.476616000,10.785611500,10.560156000,10.696460000,11.033992000,11.410843000,11.699578000,11.820975000,11.741835000,11.465329500,11.020090000,10.450099000,9.805330000,9.134435000,8.481980000,7.889966000,7.399647000,7.049957000,6.871870000,6.889996000,7.081417000,7.406387000,7.804232000,8.205035000,8.546459000,8.792659500,8.948086000,9.056580000,9.180335000,9.365249500,9.610694000,9.863344000,10.043157000,10.089787500,10.001932000,9.843636500,9.712891000,9.691657000,9.801040000
1.954720000,1.455713220,0.548587797,-0.874137627,-2.770871186,-4.889154237,-6.842796949,-8.279851186,-8.973508475,-8.802191525,-7.745315424,-5.986779661,-4.034677627,-2.396561186,-1.417662881,-1.136208475,-1.310006102,-1.584384915,-1.689160339,-1.550138305,-1.270482712,-1.027593898,-0.911345254,-0.894029153,-0.888754237,-0.827221017,-0.703207288,-0.563895593,-0.471286271,-0.467343729,-0.561819492,-0.721900000,-0.893944915,-1.029624576,-1.096647627,-1.084038305,-0.994816441,-0.832618136,-0.593672542,-0.271331525,0.132082881,0.583377797,1.041093390,1.475384237,1.877985593,2.258745424,2.625852203,2.970096610,3.270962881,3.504495593,3.621124915,3.568892712,3.322588644,2.922039322,2.465822373,2.044121525,1.668713390,1.292737119,0.922364237,0.693300000,0.800230000,1.233747000,1.936323000,2.831266000,3.812624000,4.762227500,5.565645000,6.106202500,6.300904000,6.196212000,5.827400000,5.242116500,4.492056000,3.626258000,2.686124000,1.734395000,0.823660000,0.002587000,-0.684048000,-1.198760000,-1.514280000,-1.570864500,-1.421677000,-1.090604000,-0.616528000,-0.053592500,0.530958000,1.051991000,1.427856000,1.671193500,1.820500000,1.927050500,2.036524000,2.172281000,2.314758000,2.412377500,2.451264000,2.446215000,2.422415000,2.398537000,2.367750000
