V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
-10.224391000,-9.991845017,-10.065219530,-10.111141440,-9.376000034,-7.577023610,-5.245791712,-3.140666339,-1.626207831,-0.663675390,-0.111669695,0.156470441,0.260017356,0.303525424,0.357622356,0.416088407,0.401306695,0.237471254,-0.037442186,-0.253351966,-0.276593847,-0.092015458,0.253404068,0.630647780,0.886425305,0.970262746,0.961546254,0.992207661,1.212739915,1.705638627,2.405948831,3.236446051,4.154810458,5.020954390,5.692181966,6.143673407,6.481400746,6.803733305,7.089044220,7.322912407,7.543417831,7.797411881,8.087894220,8.394431034,8.722692983,9.089210780,9.464280966,9.784868373,10.008277360,10.106031080,10.048838880,9.792412593,9.296798492,8.559351729,7.613278390,6.558029102,5.550663220,4.753605407,4.324411000,4.323837000,4.632695000,5.021086179,5.294684385,5.305641308,5.008690949,4.421550077,3.596780692,2.619347103,1.568332256,0.488187692,-0.590870513,-1.608665744,-2.478826846,-3.163320333,-3.703161692,-4.143364462,-4.519884667,-4.896415282,-5.324425308,-5.801263359,-6.281682256,-6.711015077,-7.057998667,-7.332881128,-7.580265308,-7.842376744,-8.126045667,-8.425901923,-8.766274692,-9.162075974,-9.561780769,-9.928460667,-10.291850770,-10.644517850,-10.893461740,-10.977412920,-10.923585690,-10.767031230,-10.513676690,-10.215555000,-9.947278077
-8.295811000,-9.915747136,-12.062174220,-12.909593370,-11.230318420,-7.794089153,-4.385625492,-2.123188068,-0.924800407,-0.301824864,0.014437542,0.036126525,-0.337233169,-1.173514492,-2.347184898,-3.463149458,-4.012290814,-3.736016203,-2.852784576,-1.918885763,-1.410097966,-1.399733559,-1.657469949,-1.935555746,-2.091073797,-2.094377932,-1.980333322,-1.809362678,-1.638117712,-1.483384322,-1.313738661,-1.073374051,-0.728885288,-0.294245593,0.168783136,0.590299271,0.961240051,1.326001203,1.708266254,2.117188220,2.549896695,2.975297000,3.355100288,3.652475576,3.856644864,3.973454136,4.034438576,4.085703254,4.121904237,4.106968339,4.010094949,3.797470288,3.422479610,2.848944322,2.106351949,1.302914847,0.576311051,0.076893441,-0.064933780,0.115500000,0.315701000,0.182638564,-0.439932974,-1.486820000,-2.725514744,-3.902544897,-4.841898923,-5.470150769,-5.803804641,-5.924639308,-5.942059000,-5.949935462,-6.009533077,-6.156919333,-6.400308128,-6.718201077,-7.098332641,-7.567220872,-8.161662846,-8.901609821,-9.807104179,-10.862221920,-12.000936440,-13.131577740,-14.116437000,-14.787928690,-15.007473330,-14.708409770,-13.919971490,-12.793203460,-11.573998690,-10.514716030,-9.780874128,-9.391932077,-9.212948103,-9.029805949,-8.701591615,-8.297095769,-8.091871256,-8.438122000,-8.416722573
-5.134062000,-5.911534000,-6.678152000,-6.813758000,-5.839178000,-4.071276000,-2.221593000,-0.707281000,0.449392000,1.278330000,1.629641000,1.290362000,0.229955000,-1.339710000,-3.063611000,-4.578429000,-5.620702000,-6.063232000,-5.912834000,-5.293771000,-4.424898000,-3.582830000,-3.018541000,-2.854883000,-3.029332000,-3.345458000,-3.572437000,-3.533606000,-3.164123000,-2.523445000,-1.758653000,-1.041000000,-0.463019000,-0.002186000,0.423181000,0.875933000,1.381053000,1.942004000,2.540051000,3.139517000,3.704931000,4.212650000,4.657997000,5.044335000,5.370065000,5.632057000,5.814545000,5.876667000,5.769496000,5.464341000,4.970137000,4.329816000,3.641549000,3.081515000,2.852573000,3.060222000,3.643164000,4.423041000,5.208941000,5.878523000,6.373849000,6.617932308,6.446810821,5.745732615,4.589334359,3.209648718,1.819343231,0.507440308,-0.727096103,-1.890514231,-2.953768333,-3.869968641,-4.619738077,-5.229758000,-5.755509333,-6.250607538,-6.743834410,-7.238273000,-7.721895154,-8.178580128,-8.584261667,-8.902188154,-9.081127641,-9.058262205,-8.777101385,-8.203096641,-7.344259667,-6.254149231,-5.022982051,-3.784179026,-2.705383385,-1.950528769,-1.621690821,-1.718126846,-2.138041615,-2.740221615,-3.424241615,-4.135958846,-4.821163974,-5.475889000,-6.150934094
-15.022838000,-12.350632730,-9.331782254,-6.614403915,-4.142025678,-2.065976339,-0.833973492,-0.542422424,-0.788918695,-1.118744593,-1.426002729,-1.810562102,-2.258680186,-2.688728153,-2.953713085,-2.804923390,-2.111360746,-1.006387593,0.039717746,0.513957746,0.312444492,-0.200647034,-0.485235169,-0.235914085,0.450112881,1.271823169,2.018040390,2.526602068,2.778664746,3.004664949,3.382860475,3.890581610,4.373623678,4.710789068,4.964389949,5.202798780,5.433085441,5.636809915,5.862081814,6.211473068,6.669403661,7.128584068,7.558259220,7.940629831,8.227518593,8.436178390,8.646135763,8.915759153,9.242453729,9.489366102,9.381278746,8.633906559,7.164637000,5.191370288,3.089550119,1.259978271,-0.003770881,-0.609227729,-0.600651288,-0.185339000,0.214964000,0.296056308,-0.025976974,-0.846355846,-2.165983205,-3.866166564,-5.743186692,-7.563929154,-9.131463564,-10.349964460,-11.223698180,-11.800054820,-12.189797380,-12.510571330,-12.858117230,-13.272190150,-13.746781900,-14.245633690,-14.717478620,-15.126454210,-15.440092790,-15.582167770,-15.459911280,-14.942643080,-13.901971380,-12.274294870,-10.163986330,-7.910535000,-6.036408718,-5.027044410,-5.181828769,-6.280989744,-7.993485000,-10.008589850,-12.084281130,-14.014490920,-15.545057540,-16.338023490,-16.059825460,-14.596007000,-13.922602160
-14.100350000,-15.900919320,-16.026508470,-14.061097120,-10.361310510,-6.065346102,-2.505580169,-0.481557288,0.020593559,-0.440095424,-1.219430169,-1.884792203,-2.274676441,-2.421582881,-2.439952712,-2.439296949,-2.484933390,-2.597814068,-2.776050000,-3.020123390,-3.342341017,-3.752448983,-4.232942203,-4.729041864,-5.167988983,-5.496929322,-5.708975085,-5.834411864,-5.909507966,-5.954927458,-5.973163729,-5.948407627,-5.843417966,-5.608168983,-5.206044746,-4.636642203,-3.939380000,-3.181869153,-2.441242881,-1.783658983,-1.249686780,-0.845828305,-0.542546271,-0.287141186,-0.028318814,0.260283898,0.566338983,0.842272712,1.024922373,1.060690508,0.925913729,0.630662542,0.198007288,-0.365598644,-1.072600169,-1.915638983,-2.825300508,-3.674944068,-4.341664407,-4.780190000,-5.041020000,-5.252642000,-5.544256000,-6.002256000,-6.670164000,-7.528425000,-8.492339000,-9.439810500,-10.259266000,-10.886776500,-11.309750000,-11.545946500,-11.622142000,-11.567198500,-11.417539000,-11.224222500,-11.052342000,-10.971906000,-11.046652000,-11.329690000,-11.867770000,-12.717146000,-13.870101000,-15.274232500,-16.798146000,-18.234957500,-19.325270000,-19.792071000,-19.395976000,-18.016466000,-15.735155000,-12.869442500,-9.915872000,-7.412506500,-5.782510000,-5.236557500,-5.772260000,-7.236675500,-9.377959000,-11.847631000,-14.179900000
4.993170000,3.571868136,2.170462712,1.015177966,0.334848814,0.350864407,1.211083898,2.876860847,5.063763898,7.321301017,9.200629322,10.390447120,10.766494070,10.375622030,9.395280339,8.086332373,6.752052373,5.638705085,4.881045932,4.506656949,4.459481695,4.636667119,4.919960678,5.198630169,5.391654237,5.467083220,5.444320847,5.374588983,5.312746780,5.294966441,5.330838305,5.405737119,5.499608305,5.600897119,5.710727627,5.845900508,6.034880847,6.305650678,6.672536949,7.129230169,7.649417966,8.193650508,8.720261864,9.196773729,9.609407458,9.967062542,10.304973900,10.660852880,11.055952880,11.480186270,11.887902540,12.206754240,12.356194410,12.268511690,11.906646610,11.278552880,10.448486440,9.538446610,8.705343729,8.084400000,7.739910000,7.555464000,7.350746000,7.005776000,6.439616000,5.625745000,4.590042000,3.398589000,2.141900000,0.920199000,-0.168990000,-1.008105000,-1.573380000,-1.862701000,-1.912126000,-1.790510000,-1.589718000,-1.411863000,-1.355150000,-1.499901000,-1.896180000,-2.577579000,-3.450330000,-4.405835000,-5.301926000,-5.983720000,-6.309514000,-6.176749000,-5.542858000,-4.436417000,-2.955440000,-1.250993000,0.455630000,2.010450000,3.294078000,4.225810000,4.762394000,4.895411000,4.649612000,4.082579000,3.283730000
-1.562650000,-2.609670678,-3.229639153,-3.134383051,-2.229625763,-0.694652034,1.108865593,2.790807288,4.025776102,4.581425932,4.344468305,3.360787119,1.846606780,0.138452373,-1.404285932,-2.503310508,-3.030796610,-3.020827119,-2.631308136,-2.083454407,-1.597959492,-1.336022881,-1.359996441,-1.630537458,-2.039698814,-2.461187797,-2.796127797,-2.997746102,-3.068601017,-3.036336102,-2.923302203,-2.728690169,-2.434692203,-2.030063898,-1.529015763,-0.970035254,-0.399679322,0.144961356,0.647272881,1.112015085,1.552954068,1.973891356,2.360949322,2.691791017,2.948809322,3.122204237,3.199407288,3.149848983,2.920655085,2.450469492,1.691788136,0.629611695,-0.699873051,-2.186584068,-3.635213898,-4.783818136,-5.354845932,-5.132175763,-4.050351356,-2.256930000,-0.137300000,1.836577750,3.323799000,4.069369000,4.013647000,3.289931250,2.150933000,0.863096000,-0.375770000,-1.463318750,-2.373897500,-3.125476250,-3.752325000,-4.287519000,-4.758840500,-5.199330000,-5.660616000,-6.208667750,-6.895090500,-7.723032000,-8.633655000,-9.520642000,-10.258492000,-10.726448250,-10.823248000,-10.480716250,-9.680956000,-8.467903250,-6.940739000,-5.229394750,-3.465225000,-1.762263750,-0.215514000,1.090337250,2.072779500,2.651903750,2.764518000,2.388310500,1.563094000,0.399878000,-0.916060000
2.861600000,2.461690000,2.260040000,2.338920000,2.555970000,2.627760000,2.366210000,1.830900000,1.261610000,0.890140000,0.807100000,0.955640000,1.204240000,1.425560000,1.546090000,1.562320000,1.527150000,1.511870000,1.560030000,1.660210000,1.752650000,1.762230000,1.636010000,1.362970000,0.967610000,0.492190000,-0.013830000,-0.496290000,-0.900290000,-1.175040000,-1.274470000,-1.160910000,-0.820350000,-0.279910000,0.390590000,1.099560000,1.765590000,2.343460000,2.834100000,3.276700000,3.725620000,4.222780000,4.780410000,5.379650000,5.982280000,6.548220000,7.051020000,7.484140000,7.851880000,8.144790000,8.310820000,8.242770000,7.801760000,6.880200000,5.482850000,3.781850000,2.102190000,0.828720000,0.270240000,0.540090000,1.508040000,2.848360000,4.165100000,5.133430000,5.586590000,5.515900000,5.010300000,4.188640000,3.159490000,2.010380000,0.810370000,-0.386650000,-1.539270000,-2.614120000,-3.580540000,-4.407470000,-5.069070000,-5.560360000,-5.910360000,-6.180110000,-6.447050000,-6.787320000,-7.261610000,-7.899310000,-8.675050000,-9.486000000,-10.149820000,-10.437040000,-10.134520000,-9.121040000,-7.424930000,-5.232740000,-2.840030000,-0.570760000,1.300420000,2.605570000,3.307760000,3.482520000,3.270450000,2.834830000,2.350320000
-10.110760000,-11.219918470,-11.955200000,-11.784290850,-10.425195250,-8.083707288,-5.354516102,-2.881267458,-1.067009492,-0.010801695,0.381881356,0.262538983,-0.229518305,-0.963761695,-1.787594407,-2.518881695,-2.985913390,-3.096966949,-2.888999492,-2.512181695,-2.154781356,-1.956699831,-1.961736271,-2.123852203,-2.348940169,-2.542659492,-2.642134237,-2.623797458,-2.493956610,-2.272353220,-1.975062881,-1.607752373,-1.171644237,-0.680238475,-0.169459831,0.318093220,0.758115085,1.153737966,1.524976102,1.892164237,2.264410169,2.635404068,2.986499322,3.296504237,3.553374746,3.759793729,3.928267797,4.068012203,4.171656610,4.211760000,4.149740000,3.951181864,3.600180508,3.108580678,2.518772034,1.899409322,1.332675424,0.891165254,0.606424407,0.440160000,0.282030000,-0.008138000,-0.537607000,-1.328859500,-2.314146000,-3.361247500,-4.320994000,-5.072963500,-5.553916000,-5.765381500,-5.764205000,-5.642446500,-5.503502000,-5.440457500,-5.521020000,-5.781620000,-6.231338000,-6.862991000,-7.664168000,-8.621650500,-9.717580000,-10.923263000,-12.171804000,-13.374318500,-14.416018000,-15.171217500,-15.528801000,-15.423302500,-14.862578000,-13.940363500,-12.823010000,-11.709126000,-10.774396000,-10.123423500,-9.770108000,-9.657022500,-9.705824000,-9.871381000,-10.164146000,-10.620933500,-11.234510000
-1.762420000,-2.577435763,-3.318917797,-3.591324746,-3.211951356,-2.308720000,-1.193928305,-0.178284915,0.512639492,0.750196610,0.534851695,0.056108136,-0.354608136,-0.463194746,-0.224441356,0.207808983,0.578798305,0.672904237,0.420188475,-0.080570847,-0.616058136,-0.956528475,-1.015474068,-0.844205424,-0.572353390,-0.314231864,-0.109960847,0.062838136,0.232237288,0.391271017,0.493697119,0.486145593,0.353965085,0.119707458,-0.167217966,-0.444625763,-0.646855085,-0.716945763,-0.626797458,-0.393148814,-0.068870847,0.274191017,0.589719153,0.862559661,1.103566102,1.340850508,1.608480169,1.926562881,2.280594746,2.629639322,2.946542712,3.252336780,3.570347119,3.878423390,4.100481017,4.136289492,3.907673559,3.389791864,2.606484915,1.603240000,0.536790000,-0.455933500,-1.485078000,-2.507787500,-3.468502000,-4.304722500,-4.954248000,-5.346336000,-5.441528000,-5.306491500,-4.996115000,-4.577620000,-4.122296000,-3.697966500,-3.383917000,-3.226932500,-3.242840000,-3.442061500,-3.821220000,-4.362959000,-5.036550000,-5.804695000,-6.589969000,-7.339775500,-7.995530000,-8.493312500,-8.767166000,-8.732792000,-8.338706000,-7.672349500,-6.815175000,-5.862541500,-4.905182000,-4.012306500,-3.231607000,-2.563302500,-2.021836000,-1.651350000,-1.503587000,-1.620319000,-2.011710000
