V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
0.027706000,0.600302051,0.620642661,0.192332153,0.222268627,1.224979339,3.114006729,5.291223593,7.113206746,8.292102068,8.826435864,8.846653661,8.540954644,8.160033881,7.923954932,7.843459542,7.772085136,7.596035153,7.356716339,7.229789644,7.350159627,7.709733017,8.173578915,8.597128542,8.885939780,9.017899000,9.077541136,9.224774695,9.568306305,10.121235760,10.759537320,11.295292410,11.663505750,11.923977470,12.119403860,12.234857460,12.289915420,12.344747320,12.444145150,12.560291080,12.667346080,12.798653900,12.989392580,13.232249560,13.471911120,13.680840420,13.863148120,14.035641660,14.231044950,14.419285630,14.475232980,14.241958560,13.607489370,12.552822930,11.166246830,9.644149881,8.271702932,7.358972610,7.098688339,7.420242000,8.001401000,8.496995128,8.723763231,8.541432462,7.963564692,7.130752333,6.229168231,5.410427333,4.720891974,4.127598538,3.579746821,3.053329513,2.551475923,2.077998000,1.628216513,1.209938385,0.858609872,0.579465718,0.341864615,0.168405872,0.151307128,0.397760692,0.937445513,1.713120385,2.597405385,3.475517103,4.253521333,4.831726462,5.149900154,5.197791923,4.972342923,4.468015795,3.717287590,2.805043231,1.822875026,0.832814333,-0.099063692,-0.853254513,-1.253374487,-1.171706000,-1.748861397
-2.821240000,-2.719205017,-2.505614000,-1.866735763,-0.241627288,1.996044729,3.818539017,4.782138169,5.126397661,5.301784814,5.503658356,5.594055237,5.425798576,5.002666746,4.416955407,3.832210831,3.516919169,3.699524424,4.359501576,5.213690085,5.889115966,6.174279983,6.130313186,6.002948119,6.037237441,6.342761915,6.871448203,7.483337661,8.079318610,8.641819339,9.204466051,9.766346881,10.284835070,10.731362780,11.116705590,11.471885310,11.854184760,12.287028370,12.742777880,13.203621440,13.669509980,14.133951080,14.582971360,14.998782240,15.368005320,15.678308390,15.899071170,15.994823320,15.935015560,15.698611680,15.290559390,14.725290360,13.987964660,13.040614030,11.863447470,10.541278150,9.269148390,8.204298780,7.344972153,6.556388000,5.775559000,5.029856744,4.330444333,3.639567000,2.892191513,2.078896436,1.279563615,0.611099615,0.164833744,-0.031685077,-0.006438282,0.178584897,0.432028923,0.645752667,0.728167949,0.621201538,0.290466359,-0.276657179,-1.064497000,-2.026249103,-3.086335103,-4.149463000,-5.118736538,-5.915870795,-6.499349692,-6.861175846,-6.983968333,-6.822030231,-6.347612590,-5.593958897,-4.682606769,-3.820914667,-3.213585179,-2.950514615,-2.970485436,-3.084634462,-2.961579000,-2.471428385,-1.947487974,-1.684223000,-1.177177487
-2.749151000,-2.616377000,-3.359937000,-4.832618000,-6.132064000,-6.292344000,-5.222281000,-3.587807000,-2.063982000,-0.966166000,-0.434580000,-0.634206000,-1.681215000,-3.436435000,-5.400785000,-6.897471000,-7.410328000,-6.862918000,-5.642089000,-4.345293000,-3.487325000,-3.324731000,-3.809518000,-4.637429000,-5.382604000,-5.713446000,-5.532103000,-4.934565000,-4.116171000,-3.269839000,-2.497907000,-1.798008000,-1.126427000,-0.479053000,0.113782000,0.618765000,1.025567000,1.352502000,1.631536000,1.901443000,2.190431000,2.503158000,2.848911000,3.248216000,3.723685000,4.285296000,4.906490000,5.536077000,6.105072000,6.531272000,6.727942000,6.639644000,6.277766000,5.724108000,5.109231000,4.589756000,4.294623000,4.262572000,4.472044000,4.879438000,5.380977000,5.762844846,5.708833974,5.000312462,3.648646718,1.899801974,0.059376231,-1.695408641,-3.322354487,-4.816895615,-6.146489462,-7.234786179,-8.006857154,-8.461129333,-8.677200615,-8.761356000,-8.803460615,-8.870067769,-9.006735615,-9.241707385,-9.599976103,-10.089325230,-10.657231230,-11.196907080,-11.602435690,-11.784715690,-11.678206000,-11.267714620,-10.602459440,-9.762374949,-8.834463154,-7.919353846,-7.119335179,-6.480941000,-5.947779256,-5.378750410,-4.665558923,-3.807188333,-2.946817051,-2.335774000,-1.476403064
-8.436378000,-4.580915119,-1.814466136,-0.305482678,0.898869085,2.351418559,3.476849712,3.680422576,3.119625898,2.236252610,1.246871864,0.204252525,-0.834537068,-1.745601881,-2.294791102,-2.224481000,-1.447280797,-0.151879831,1.289859458,2.490111864,3.144108508,3.077492305,2.466248373,1.780385119,1.413698525,1.468552661,1.817093390,2.213348644,2.472796780,2.601052644,2.687630915,2.772047085,2.877385864,3.011547864,3.133984593,3.190512763,3.246005797,3.436887220,3.787354746,4.188847593,4.589176271,5.074371000,5.605185237,6.063661932,6.376579017,6.551610983,6.657064814,6.775181237,6.885616864,6.923357288,6.778971119,6.241811644,5.142199271,3.489619729,1.595392136,-0.025717119,-0.885786203,-0.629543475,0.811941441,3.127245000,5.537487000,7.314209923,8.156749641,7.923799308,6.759839487,4.988641231,2.972516538,0.971617487,-0.907524308,-2.639691769,-4.197400077,-5.538845718,-6.613009308,-7.365819333,-7.785149000,-7.938289769,-7.922759077,-7.740618513,-7.286358231,-6.476751487,-5.365215513,-4.159321692,-3.110321744,-2.306643410,-1.606585846,-0.812503385,0.156475667,1.142478538,1.791504641,1.724588821,0.710712462,-1.238715974,-3.903869282,-6.959376000,-9.999812462,-12.486488620,-13.791864690,-13.445752000,-11.432724620,-8.272233000,-7.092662962
-3.742841000,-4.419127814,-4.540891983,-3.474430831,-1.739402119,-0.587081695,-0.216504237,0.027494186,0.291082678,0.136695186,-0.624999153,-1.706656814,-2.590786153,-2.834209542,-2.432811322,-1.872861254,-1.723894525,-2.135446220,-2.788728746,-3.299418322,-3.489216085,-3.405484729,-3.236753390,-3.144748220,-3.158098339,-3.181193746,-3.122738407,-2.980477322,-2.823119525,-2.697615678,-2.647744390,-2.685089153,-2.793005085,-2.929141356,-3.021770220,-3.035270322,-2.971141763,-2.829899898,-2.610255559,-2.316921915,-1.973951407,-1.647626322,-1.387642119,-1.200206525,-1.070579203,-0.971939661,-0.858766864,-0.702421678,-0.551332153,-0.554037136,-0.860774525,-1.407060627,-2.047196831,-2.654973746,-3.151653593,-3.531309271,-3.832967424,-4.019964966,-4.017908271,-3.963210000,-4.192662000,-4.807132667,-5.743836462,-6.859265692,-7.975166538,-8.918629667,-9.557595462,-9.824882179,-9.710941205,-9.282759000,-8.741593615,-8.226436000,-7.843997692,-7.661534000,-7.700078154,-7.935128846,-8.338287769,-8.919510282,-9.653197769,-10.482216030,-11.331256620,-12.122220770,-12.780081260,-13.232529560,-13.398357150,-13.201035640,-12.578967330,-11.521555310,-10.101070740,-8.465210359,-6.808909538,-5.327444128,-4.192188487,-3.391325154,-2.908555154,-2.747980744,-2.874358538,-3.198413462,-3.605425179,-4.040062000,-4.405595321
-8.726040000,-8.218484915,-7.502325424,-6.312474068,-4.552136441,-2.629427797,-1.265559153,-0.921449322,-1.476965763,-2.423973051,-3.258801695,-3.693720678,-3.639731186,-3.131272203,-2.287178644,-1.284020000,-0.319479661,0.425728136,0.823464237,0.830096949,0.497962712,-0.052995085,-0.691858305,-1.316948983,-1.863337966,-2.298595593,-2.614549492,-2.817503051,-2.921144407,-2.942493220,-2.899101356,-2.802406271,-2.644092881,-2.398051695,-2.043343898,-1.585685085,-1.061384915,-0.526964576,-0.044166949,0.335950678,0.585273898,0.701940847,0.710381186,0.665639153,0.651687288,0.757766271,1.038715763,1.487111186,2.040518305,2.619073051,3.161897627,3.632606949,3.992463729,4.171809831,4.080009153,3.665735932,2.988940508,2.237921186,1.655149492,1.410280000,1.505840000,1.766130500,2.001959000,2.061787500,1.857390000,1.360507500,0.581219000,-0.446725500,-1.666394000,-2.992009000,-4.313240000,-5.518839000,-6.528578000,-7.312996000,-7.893066000,-8.326972500,-8.691284000,-9.060847000,-9.496763000,-10.046642500,-10.746840000,-11.617885500,-12.605832000,-13.604965000,-14.472754000,-15.061517500,-15.248198000,-14.964437500,-14.221410000,-13.118344500,-11.829380000,-10.569962500,-9.545058000,-8.888283000,-8.615940000,-8.624447500,-8.739190000,-8.792014000,-8.691715000,-8.460233000,-8.213100000
6.453250000,5.825090000,5.632210000,5.966540000,6.816160000,8.068900000,9.520150000,10.908600000,11.984930000,12.581200000,12.645040000,12.229580000,11.457470000,10.481140000,9.450050000,8.489460000,7.689480000,7.097660000,6.712640000,6.485930000,6.337970000,6.185880000,5.971490000,5.677010000,5.323230000,4.955710000,4.625850000,4.371480000,4.203810000,4.108960000,4.063860000,4.056480000,4.097170000,4.214750000,4.442800000,4.803740000,5.295560000,5.887920000,6.531750000,7.176500000,7.784850000,8.339090000,8.838140000,9.288040000,9.692700000,10.050290000,10.354570000,10.597350000,10.769110000,10.855570000,10.829560000,10.643230000,10.230670000,9.528610000,8.512040000,7.229690000,5.821630000,4.506810000,3.534950000,3.109490000,3.308650000,4.042100000,5.071060000,6.090990000,6.836720000,7.152640000,7.002020000,6.435690000,5.554320000,4.481810000,3.348170000,2.275640000,1.364660000,0.680770000,0.245110000,0.033010000,-0.017760000,0.009450000,0.031170000,-0.017710000,-0.174920000,-0.450630000,-0.829170000,-1.266390000,-1.683750000,-1.968590000,-1.989830000,-1.628210000,-0.811170000,0.457790000,2.084330000,3.893410000,5.666350000,7.191370000,8.305770000,8.916570000,9.001310000,8.602410000,7.827040000,6.852380000,5.920130000
2.726370000,0.804620000,-0.626850000,-1.109550000,-0.452680000,1.132500000,3.163510000,5.146960000,6.745740000,7.784260000,8.188860000,7.962700000,7.201330000,6.102660000,4.936150000,3.972320000,3.402850000,3.285130000,3.533550000,3.960700000,4.350790000,4.536550000,4.450130000,4.127290000,3.668760000,3.184890000,2.754600000,2.414200000,2.172460000,2.035670000,2.024150000,2.171000000,2.505700000,3.033160000,3.722770000,4.514800000,5.338690000,6.132830000,6.858660000,7.502940000,8.067330000,8.554010000,8.958000000,9.268940000,9.475980000,9.570080000,9.543130000,9.384810000,9.078110000,8.592800000,7.876230000,6.847910000,5.412650000,3.504360000,1.155230000,-1.443260000,-3.936430000,-5.889140000,-6.934060000,-6.917200000,-5.963420000,-4.432090000,-2.789240000,-1.452100000,-0.667260000,-0.466820000,-0.708360000,-1.170040000,-1.651720000,-2.036670000,-2.301180000,-2.487080000,-2.660480000,-2.878600000,-3.175240000,-3.560850000,-4.030340000,-4.574980000,-5.189830000,-5.868740000,-6.592860000,-7.323920000,-7.999870000,-8.527380000,-8.782520000,-8.632870000,-7.974640000,-6.765530000,-5.041810000,-2.919360000,-0.579360000,1.761150000,3.886250000,5.613930000,6.817180000,7.431130000,7.447210000,6.895450000,5.826390000,4.318490000,2.529480000
0.378740000,0.387666102,1.344772712,3.122854407,5.325494746,7.415824237,8.963899492,9.816302203,10.077677460,9.968653390,9.682855932,9.314205085,8.864492203,8.305040339,7.651208983,7.001683559,6.510457797,6.308199153,6.427520339,6.782394237,7.212942881,7.560925254,7.725163898,7.672747627,7.419583051,7.007361017,6.491867288,5.939404237,5.421553220,5.003987119,4.733132034,4.628602203,4.684495085,4.875664237,5.166796271,5.524737288,5.929301356,6.374440339,6.859010508,7.376176610,7.909998305,8.439262034,8.944103390,9.412175254,9.841943220,10.240582880,10.615729830,10.962253220,11.247809320,11.404090000,11.332860340,10.932677630,10.144011020,8.996421864,7.629907119,6.267989492,5.150056271,4.456622034,4.255984915,4.484210000,4.972270000,5.480548250,5.781163500,5.786827750,5.549680000,5.196143750,4.840681500,4.542754000,4.318824000,4.173019250,4.112477500,4.142480250,4.254584000,4.419703250,4.588333000,4.695270000,4.669892000,4.451376000,4.001912500,3.314597250,2.420600000,1.397027500,0.367219500,-0.514635500,-1.091650000,-1.235123750,-0.869474000,0.016015000,1.369545000,3.082803750,4.989690000,6.862832500,8.428884000,9.420522500,9.656604000,9.110057500,7.920143000,6.344359500,4.688597000,3.257411500,2.334320000
1.417330000,3.576851356,5.427553390,6.807453051,7.599743051,7.743784407,7.273548136,6.344378983,5.217727797,4.201396949,3.564581017,3.457682034,3.867435254,4.626647458,5.477120339,6.162921017,6.518982373,6.521733559,6.282353390,5.986858814,5.816305593,5.875801525,6.153208983,6.582454915,7.084489153,7.601239492,8.107116102,8.600592712,9.088318136,9.573601186,10.054356440,10.527605080,10.994240340,11.459819490,11.931304240,12.412464410,12.901038980,13.389614070,13.869431020,14.333583220,14.776723560,15.197659830,15.599188980,15.984431020,16.350276610,16.680249490,16.940785250,17.081806270,17.041582200,16.757167290,16.181231360,15.301585250,14.154991190,12.826908140,11.433787800,10.092185080,8.887790000,7.861162881,7.015072034,6.329670000,5.742750000,5.186294500,4.612927000,3.964293250,3.254842000,2.574470000,2.050857500,1.795334250,1.858238000,2.208726250,2.741040000,3.300142000,3.716808000,3.843218250,3.563569500,2.856228750,1.761846000,0.349167750,-1.288580000,-3.033524000,-4.737090000,-6.222478000,-7.304574500,-7.825916250,-7.701392000,-6.959717500,-5.759907000,-4.359523500,-3.045202000,-2.000718000,-1.296832500,-0.941471000,-0.937344000,-1.293981250,-1.962427500,-2.733405000,-3.203341000,-2.908187000,-1.596555000,0.582857500,3.170880000
