V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, , 
-0.119890000,-0.147646122,-0.170196735,-0.186232449,-0.195815306,-0.199635714,-0.198461429,-0.192814286,-0.183005306,-0.169266939,-0.151952653,-0.131568163,-0.108835102,-0.084594490,-0.059721429,-0.035035714,-0.011190408,0.011385102,0.032496122,0.052206735,0.070802653,0.088725714,0.106470204,0.124510204,0.143223673,0.162835918,0.183400000,0.204818776,0.226880000,0.249284082,0.271718776,0.293895306,0.315576939,0.336618776,0.356984082,0.376744286,0.396042245,0.415120204,0.434215306,0.453582245,0.473421020,0.493878571,0.515032857,0.536903673,0.559501633,0.582828163,0.606883265,0.631734082,0.657464694,0.684210000,0.712133469,0.741363265,0.772034286,0.804230612,0.838019388,0.873404286,0.910411429,0.949026939,0.989218980,1.030939388,1.074064694,1.118419388,1.163722245,1.209618571,1.255662449,1.301328980,1.346034490,1.389169592,1.430068571,1.468056327,1.502468571,1.532642857,1.557934082,1.577721837,1.591390204,1.598328980,1.597911633,1.589501429,1.572449796,1.546104898,1.509857347,1.463175714,1.405689184,1.337246327,1.258030000,1.168656531,1.070249388,0.964500816,0.853655306,0.740441020,0.627858776,0.518920000,0.416373469,0.322402857,0.238556939,0.165652449,0.103932449,0.053215714,0.013060000,-0.043158368,-0.094007776
-0.033310000,-0.053278776,-0.074707347,-0.095760612,-0.114445918,-0.128836735,-0.137424082,-0.139360000,-0.134597959,-0.123823061,-0.108314898,-0.089612857,-0.069256531,-0.048569796,-0.028545714,-0.009807959,0.007339796,0.022815306,0.036680612,0.049114286,0.060353061,0.070677143,0.080368571,0.089693878,0.098888163,0.108138163,0.117560612,0.127235306,0.137207143,0.147540000,0.158340000,0.169725918,0.181838163,0.194784898,0.208664898,0.223548571,0.239511020,0.256652245,0.275078367,0.294887551,0.316150816,0.338906735,0.363152857,0.388834694,0.415852653,0.444118980,0.473539388,0.504075918,0.535745714,0.568650000,0.602966735,0.638870816,0.676495918,0.715898367,0.757038163,0.799797347,0.844045714,0.889628163,0.936340816,0.983900000,1.031922449,1.079924082,1.127358367,1.173662857,1.218287347,1.260741224,1.300631224,1.337654082,1.371570612,1.402168571,1.429218571,1.452421020,1.471391633,1.485682245,1.494820000,1.498391020,1.496073469,1.487688571,1.473182245,1.452545510,1.425746735,1.392595714,1.352688571,1.305346531,1.249641429,1.184561020,1.109222449,1.023193469,0.926792449,0.821355714,0.709309592,0.594095714,0.479887551,0.371089184,0.271832041,0.185394490,0.113788980,0.057650612,0.016340000,-0.047531939,-0.103862123
-0.027020000,-0.046716939,-0.068612857,-0.091720408,-0.115382449,-0.138789592,-0.160756122,-0.179694286,-0.193924082,-0.201963469,-0.202959388,-0.196898776,-0.184642857,-0.167711837,-0.147882857,-0.126801224,-0.105652245,-0.085068776,-0.065208367,-0.045875714,-0.026700204,-0.007270000,0.012781020,0.033687755,0.055580816,0.078499184,0.102416327,0.127295306,0.153087143,0.179740000,0.207223673,0.235561224,0.264857959,0.295251837,0.326894694,0.359860000,0.394069388,0.429297347,0.465185510,0.501317347,0.537309184,0.572864898,0.607785714,0.642022857,0.675591020,0.708557347,0.740986735,0.772933265,0.804391224,0.835290000,0.865540816,0.895051837,0.923803061,0.951800204,0.979119592,1.005857959,1.032114286,1.057940000,1.083364694,1.108352449,1.132854694,1.156851837,1.180375714,1.203487143,1.226220816,1.248536735,1.270297551,1.291283265,1.311231429,1.329849796,1.346820000,1.361814694,1.374503673,1.384548980,1.391584694,1.395218163,1.395018980,1.390507143,1.381149592,1.366327143,1.345301633,1.317150612,1.280764898,1.234942449,1.178527143,1.110695306,1.031247959,0.940852041,0.841208163,0.735055102,0.625950000,0.517821429,0.414491020,0.319136735,0.234100000,0.160792653,0.099915714,0.051537755,0.015230000,-0.039397449,-0.087904041
-0.079360000,-0.117953265,-0.159617347,-0.201121633,-0.239382041,-0.271961633,-0.297379184,-0.315191429,-0.325720000,-0.329678571,-0.327884694,-0.321090612,-0.309982041,-0.295328367,-0.278010000,-0.258989592,-0.239199388,-0.219454286,-0.200371020,-0.182378571,-0.165707143,-0.150385714,-0.136266531,-0.123064490,-0.110429388,-0.098005918,-0.085481020,-0.072611429,-0.059225714,-0.045237959,-0.030601224,-0.015304694,0.000634490,0.017208571,0.034396735,0.052167143,0.070473265,0.089292245,0.108613469,0.128458163,0.148898980,0.170062653,0.192095714,0.215181837,0.239503061,0.265258163,0.292620612,0.321788980,0.352945306,0.386290000,0.422084898,0.460435918,0.501497959,0.545349388,0.591986122,0.641359592,0.693360000,0.747779184,0.804358367,0.862754286,0.922545714,0.983229796,1.044241429,1.104958571,1.164709592,1.222812041,1.278569184,1.331292041,1.380333265,1.425074082,1.464950000,1.499440612,1.528101224,1.550567755,1.566577959,1.575972653,1.578701224,1.574820000,1.564454082,1.547752041,1.524856122,1.495793265,1.460426735,1.418433673,1.369235714,1.312061429,1.246033265,1.170350000,1.084486327,0.988478163,0.883116735,0.770077143,0.651995714,0.532320612,0.415122653,0.304701429,0.205145918,0.119834898,0.051050000,-0.041383266,-0.126009796
-0.002090000,-0.014180000,-0.030286531,-0.048956531,-0.067489592,-0.082646735,-0.091599388,-0.092747143,-0.086082653,-0.072925306,-0.055313061,-0.035385306,-0.014871020,0.005017347,0.023552857,0.040372245,0.055338367,0.068524694,0.080163878,0.090701020,0.100758163,0.111052857,0.122287551,0.135020408,0.149569796,0.165988163,0.184068571,0.203416327,0.223540000,0.243914898,0.264051633,0.283590816,0.302343878,0.320324898,0.337761224,0.355057143,0.372727755,0.391299184,0.411206122,0.432756327,0.456046122,0.481042653,0.507581429,0.535436327,0.564355918,0.594131429,0.624570612,0.655530408,0.686882653,0.718530000,0.750410816,0.782456531,0.814624694,0.846872857,0.879155510,0.911394694,0.943490000,0.975372857,1.006951429,1.038151429,1.068894082,1.099081429,1.128599388,1.157318571,1.185120612,1.211847143,1.237314286,1.261305306,1.283539388,1.303692449,1.321397143,1.336274286,1.347972449,1.356186327,1.360701633,1.361396327,1.358185510,1.350961429,1.339507959,1.323410000,1.301962041,1.274149388,1.238698980,1.194190000,1.139240000,1.072751020,0.994174082,0.903773673,0.802820612,0.693724694,0.579980204,0.465952857,0.356453061,0.256208163,0.169193878,0.098108980,0.043936939,0.005868776,-0.018420000,-0.064540102,-0.103305612
-0.077810000,-0.115360000,-0.154780000,-0.192660000,-0.225870000,-0.251860000,-0.269080000,-0.277190000,-0.276980000,-0.269960000,-0.257810000,-0.241970000,-0.223540000,-0.203200000,-0.181280000,-0.157740000,-0.132140000,-0.103840000,-0.072200000,-0.036820000,0.002310000,0.044740000,0.089670000,0.136050000,0.182740000,0.228740000,0.273240000,0.315760000,0.356100000,0.394230000,0.430210000,0.464180000,0.496280000,0.526720000,0.555740000,0.583660000,0.610790000,0.637430000,0.663790000,0.689980000,0.716010000,0.741810000,0.767280000,0.792320000,0.816860000,0.840870000,0.864430000,0.887630000,0.910660000,0.933710000,0.956990000,0.980680000,1.004890000,1.029720000,1.055190000,1.081270000,1.107890000,1.134950000,1.162350000,1.189950000,1.217610000,1.245160000,1.272380000,1.299040000,1.324870000,1.349570000,1.372780000,1.394080000,1.413040000,1.429200000,1.442080000,1.451280000,1.456430000,1.457280000,1.453680000,1.445560000,1.432950000,1.415950000,1.394720000,1.369430000,1.340230000,1.307120000,1.269910000,1.228080000,1.180780000,1.126840000,1.064900000,0.993670000,0.912310000,0.820780000,0.720220000,0.613010000,0.502770000,0.393990000,0.291460000,0.199560000,0.121620000,0.059420000,0.013110000,-0.018590000,-0.037920000
-0.087600000,-0.126730000,-0.168820000,-0.211100000,-0.251200000,-0.287420000,-0.318840000,-0.345100000,-0.366170000,-0.382000000,-0.392400000,-0.397000000,-0.395420000,-0.387500000,-0.373450000,-0.353910000,-0.329810000,-0.302180000,-0.271950000,-0.239880000,-0.206520000,-0.172270000,-0.137430000,-0.102240000,-0.066920000,-0.031680000,0.003320000,0.037970000,0.072240000,0.106160000,0.139840000,0.173430000,0.207080000,0.240900000,0.274920000,0.309100000,0.343300000,0.377350000,0.411020000,0.444080000,0.476330000,0.507600000,0.537780000,0.566810000,0.594680000,0.621450000,0.647210000,0.672090000,0.696240000,0.719800000,0.742890000,0.765580000,0.787940000,0.809980000,0.831730000,0.853220000,0.874500000,0.895610000,0.916620000,0.937590000,0.958550000,0.979490000,1.000350000,1.021040000,1.041400000,1.061290000,1.080530000,1.098950000,1.116400000,1.132710000,1.147710000,1.161220000,1.173050000,1.182960000,1.190710000,1.195990000,1.198450000,1.197660000,1.193140000,1.184260000,1.170310000,1.150480000,1.123860000,1.089510000,1.046560000,0.994310000,0.932420000,0.861080000,0.781170000,0.694320000,0.602870000,0.509720000,0.418040000,0.330890000,0.250880000,0.179920000,0.119090000,0.068690000,0.028460000,-0.002310000,-0.024540000
-0.047200000,-0.068470000,-0.092520000,-0.117490000,-0.141130000,-0.161190000,-0.175780000,-0.183610000,-0.184110000,-0.177350000,-0.163950000,-0.144890000,-0.121320000,-0.094400000,-0.065220000,-0.034700000,-0.003580000,0.027600000,0.058450000,0.088720000,0.118210000,0.146800000,0.174360000,0.200810000,0.226060000,0.250100000,0.272900000,0.294470000,0.314800000,0.333910000,0.351780000,0.368400000,0.383750000,0.397830000,0.410680000,0.422350000,0.432980000,0.442740000,0.451860000,0.460630000,0.469350000,0.478350000,0.487950000,0.498450000,0.510120000,0.523240000,0.538040000,0.554750000,0.573570000,0.594710000,0.618310000,0.644550000,0.673540000,0.705380000,0.740110000,0.777690000,0.818020000,0.860890000,0.906010000,0.953040000,1.001570000,1.051160000,1.101350000,1.151700000,1.201790000,1.251260000,1.299750000,1.346960000,1.392620000,1.436450000,1.478180000,1.517500000,1.554070000,1.587490000,1.617320000,1.643030000,1.664060000,1.679780000,1.689550000,1.692700000,1.688590000,1.676540000,1.655870000,1.625880000,1.585770000,1.534700000,1.471820000,1.396390000,1.307920000,1.206460000,1.092830000,0.968850000,0.837510000,0.702840000,0.569620000,0.442840000,0.327010000,0.225590000,0.140600000,0.072610000,0.020990000
-0.129430000,-0.180230000,-0.232720000,-0.283690000,-0.330480000,-0.371020000,-0.403900000,-0.428300000,-0.443850000,-0.450550000,-0.448660000,-0.438700000,-0.421470000,-0.397940000,-0.369210000,-0.336310000,-0.300140000,-0.261440000,-0.220840000,-0.178860000,-0.135980000,-0.092620000,-0.049210000,-0.006190000,0.036000000,0.076880000,0.116020000,0.153040000,0.187650000,0.219630000,0.248880000,0.275320000,0.298920000,0.319660000,0.337580000,0.352760000,0.365340000,0.375610000,0.383910000,0.390700000,0.396470000,0.401740000,0.407020000,0.412750000,0.419340000,0.427140000,0.436440000,0.447490000,0.460500000,0.475680000,0.493250000,0.513410000,0.536400000,0.562420000,0.591680000,0.624280000,0.660300000,0.699710000,0.742380000,0.788080000,0.836490000,0.887170000,0.939640000,0.993320000,1.047620000,1.101900000,1.155490000,1.207740000,1.257980000,1.305530000,1.349730000,1.389930000,1.425470000,1.455760000,1.480280000,1.498570000,1.510320000,1.515330000,1.513510000,1.504850000,1.489410000,1.467250000,1.438420000,1.402940000,1.360710000,1.311560000,1.255230000,1.191340000,1.119510000,1.039460000,0.951150000,0.855030000,0.752250000,0.644790000,0.535470000,0.427790000,0.325520000,0.232210000,0.150800000,0.083180000,0.030130000
-0.012030000,-0.025190000,-0.042790000,-0.063850000,-0.086370000,-0.107870000,-0.125980000,-0.138970000,-0.145990000,-0.147030000,-0.142670000,-0.133760000,-0.121150000,-0.105650000,-0.088010000,-0.069000000,-0.049390000,-0.029930000,-0.011220000,0.006280000,0.022360000,0.036990000,0.050300000,0.062510000,0.073860000,0.084640000,0.095060000,0.105330000,0.115590000,0.125970000,0.136540000,0.147380000,0.158540000,0.170120000,0.182220000,0.194970000,0.208520000,0.222990000,0.238520000,0.255170000,0.272990000,0.292000000,0.312210000,0.333620000,0.356260000,0.380170000,0.405430000,0.432140000,0.460390000,0.490280000,0.521910000,0.555300000,0.590460000,0.627330000,0.665780000,0.705670000,0.746800000,0.788950000,0.831850000,0.875250000,0.918840000,0.962330000,1.005420000,1.047800000,1.089230000,1.129470000,1.168370000,1.205820000,1.241750000,1.276090000,1.308740000,1.339500000,1.368120000,1.394230000,1.417410000,1.437210000,1.453130000,1.464670000,1.471320000,1.472520000,1.467690000,1.456160000,1.437160000,1.409810000,1.373140000,1.326120000,1.267820000,1.197540000,1.115060000,1.020860000,0.916230000,0.803390000,0.685470000,0.566310000,0.450180000,0.341350000,0.243600000,0.159790000,0.091510000,0.039040000,0.001390000
