V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, , 
-0.009270000,-0.008765306,-0.007521224,-0.006068367,-0.004919388,-0.004340816,-0.004279592,-0.004425714,-0.004399592,-0.003919184,-0.002855918,-0.001234490,0.000823469,0.003190612,0.005771429,0.008470408,0.011192041,0.013851224,0.016402653,0.018858980,0.021285510,0.023758571,0.026337347,0.029060816,0.031925714,0.034879796,0.037838163,0.040699796,0.043341429,0.045660612,0.047583061,0.049078776,0.050154286,0.050847143,0.051217347,0.051335714,0.051254490,0.051008571,0.050660816,0.050269592,0.049928776,0.049752857,0.049841429,0.050246122,0.051009388,0.052127755,0.053600000,0.055426122,0.057635510,0.060230000,0.063236939,0.066596531,0.070273265,0.074170816,0.078183061,0.082200204,0.086091429,0.089771837,0.093163878,0.096227143,0.098938776,0.101309388,0.103360204,0.105141429,0.106710816,0.108150816,0.109517959,0.110864898,0.112227347,0.113619184,0.115012857,0.116382653,0.117677959,0.118834286,0.119778163,0.120398163,0.120588980,0.120265714,0.119361224,0.117846939,0.115731224,0.113061429,0.109874286,0.106191020,0.102011429,0.097317551,0.092103265,0.086391837,0.080207143,0.073635714,0.066783673,0.059774286,0.052761224,0.045840816,0.039097959,0.032570612,0.026233061,0.020082857,0.014140000,0.007896123,0.001751919
0.006760000,0.008000000,0.009486939,0.010605306,0.010756735,0.009581224,0.007056327,0.003441429,-0.000701020,-0.004847143,-0.008726735,-0.012381224,-0.015880816,-0.019095510,-0.021725714,-0.023421633,-0.023994694,-0.023422857,-0.021751429,-0.019006531,-0.015265714,-0.010697143,-0.005535918,-0.000014300,0.005628571,0.011184694,0.016500204,0.021502857,0.026217143,0.030760000,0.035260000,0.039778980,0.044296531,0.048732653,0.052964082,0.056910000,0.060546735,0.063931633,0.067165102,0.070345306,0.073518776,0.076725714,0.080042857,0.083598980,0.087487143,0.091737143,0.096257551,0.100855918,0.105311020,0.109450000,0.113132857,0.116251224,0.118745102,0.120622653,0.121998163,0.123054082,0.123904286,0.124624694,0.125190816,0.125609184,0.125882653,0.126066735,0.126235714,0.126495714,0.126949796,0.127680408,0.128716327,0.130028980,0.131541020,0.133110408,0.134580000,0.135780000,0.136540612,0.136721429,0.136231633,0.135034082,0.133189388,0.130854286,0.128213878,0.125393469,0.122421020,0.119187959,0.115497551,0.111095918,0.105778571,0.099434490,0.092061837,0.083684694,0.074419796,0.064530000,0.054463061,0.044792857,0.036096122,0.028730408,0.022747755,0.017905306,0.013860000,0.010320408,0.007150000,0.003357551,-0.000223000
0.016110000,0.018127551,0.019987551,0.021390816,0.022185510,0.022307959,0.021677347,0.020060000,0.017092653,0.012515714,0.006434082,-0.000668980,-0.008241633,-0.015856735,-0.023140000,-0.029700204,-0.035205102,-0.039572041,-0.042887143,-0.045267959,-0.046729184,-0.047164286,-0.046416939,-0.044419592,-0.041247347,-0.037104490,-0.032266939,-0.027021633,-0.021660000,-0.016433061,-0.011520816,-0.007014898,-0.002922653,0.000797347,0.004218980,0.007412857,0.010405918,0.013193673,0.015757755,0.018061020,0.020101837,0.021907551,0.023552857,0.025166531,0.026877551,0.028804082,0.031015918,0.033547959,0.036432041,0.039680000,0.043288776,0.047237347,0.051430204,0.055768571,0.060116531,0.064358571,0.068388571,0.072113469,0.075515714,0.078603469,0.081414694,0.083985306,0.086389592,0.088675714,0.090885918,0.093009592,0.095039592,0.096961224,0.098747551,0.100398571,0.101927143,0.103360612,0.104738980,0.106135714,0.107625510,0.109272041,0.111094898,0.113032857,0.114931224,0.116527143,0.117449592,0.117212857,0.115299796,0.111221837,0.104601429,0.095315306,0.083565714,0.069944490,0.055311224,0.040611224,0.026741020,0.014444286,0.004247755,-0.003548980,-0.008864286,-0.011889184,-0.013000000,-0.012697143,-0.011540000,-0.011943980,-0.011808939
0.002190000,0.001824898,0.001041224,-0.000483878,-0.002956122,-0.006347959,-0.010347143,-0.014434286,-0.018037143,-0.020681224,-0.022107755,-0.022324286,-0.021596122,-0.020289388,-0.018714286,-0.017051020,-0.015433469,-0.014017143,-0.012946122,-0.012281020,-0.011976939,-0.011887143,-0.011838571,-0.011701429,-0.011359796,-0.010722041,-0.009756327,-0.008463061,-0.006870000,-0.005019592,-0.002948163,-0.000693878,0.001713878,0.004240408,0.006829388,0.009452857,0.012078163,0.014708163,0.017379592,0.020126939,0.023006531,0.026048571,0.029274286,0.032704898,0.036370612,0.040257347,0.044381429,0.048716122,0.053210000,0.057830000,0.062556531,0.067388776,0.072366122,0.077477143,0.082695510,0.087945714,0.093142857,0.098210204,0.103115918,0.107834286,0.112372041,0.116751224,0.120963878,0.125007143,0.128876531,0.132582653,0.136143061,0.139585918,0.142940204,0.146219796,0.149388571,0.152381633,0.155112857,0.157498163,0.159431837,0.160818367,0.161577959,0.161642857,0.160965918,0.159516939,0.157268367,0.154188367,0.150211429,0.145238776,0.139128571,0.131699592,0.122775918,0.112226531,0.100054082,0.086439796,0.071782245,0.056638571,0.041715306,0.027807551,0.015630000,0.005770408,-0.001409184,-0.005794490,-0.007530000,-0.013312449,-0.017741102
0.011640000,0.014277755,0.015085918,0.013883469,0.011023061,0.007145510,0.002911633,-0.001188571,-0.004884082,-0.008058571,-0.010652449,-0.012634490,-0.014020204,-0.014854694,-0.015225714,-0.015219592,-0.014870612,-0.014157347,-0.013087143,-0.011688980,-0.010021633,-0.008165714,-0.006195510,-0.004190000,-0.002248776,-0.000447755,0.001181224,0.002655918,0.004057143,0.005492245,0.007065714,0.008860408,0.010911429,0.013222653,0.015787143,0.018565714,0.021512653,0.024540204,0.027550000,0.030462449,0.033219592,0.035801837,0.038250000,0.040669796,0.043168980,0.045826122,0.048696735,0.051805102,0.055113673,0.058560000,0.062038163,0.065438163,0.068624490,0.071502449,0.073989184,0.076032041,0.077675714,0.079050816,0.080298571,0.081516939,0.082767347,0.084100408,0.085550612,0.087128571,0.088841837,0.090674082,0.092561837,0.094409184,0.096103265,0.097562449,0.098744286,0.099642245,0.100308163,0.100815510,0.101238980,0.101621020,0.101933265,0.102067143,0.101855102,0.101124490,0.099697143,0.097414694,0.094159388,0.089852857,0.084495714,0.078237347,0.071317143,0.064075102,0.056858776,0.049958776,0.043600816,0.037902857,0.032898980,0.028520612,0.024600204,0.020985510,0.017556735,0.014295102,0.011320000,0.007974796,0.004748980
0.000820000,0.002930000,0.006240000,0.010090000,0.013590000,0.015800000,0.016100000,0.014590000,0.012040000,0.009560000,0.008210000,0.008580000,0.010730000,0.014440000,0.019360000,0.025090000,0.031070000,0.036590000,0.041030000,0.044140000,0.046150000,0.047620000,0.049120000,0.051010000,0.053440000,0.056480000,0.060090000,0.064170000,0.068590000,0.073200000,0.077920000,0.082710000,0.087540000,0.092380000,0.097110000,0.101590000,0.105640000,0.109140000,0.112040000,0.114430000,0.116450000,0.118280000,0.120050000,0.121810000,0.123610000,0.125480000,0.127510000,0.129720000,0.132150000,0.134770000,0.137560000,0.140490000,0.143520000,0.146600000,0.149670000,0.152670000,0.155590000,0.158390000,0.161040000,0.163520000,0.165790000,0.167800000,0.169510000,0.170940000,0.172110000,0.173090000,0.173910000,0.174550000,0.174910000,0.174880000,0.174320000,0.173140000,0.171300000,0.168840000,0.165870000,0.162530000,0.159050000,0.155650000,0.152570000,0.150030000,0.148140000,0.146900000,0.146140000,0.145570000,0.144770000,0.143190000,0.140210000,0.135250000,0.127880000,0.117970000,0.105740000,0.091740000,0.076770000,0.061810000,0.047860000,0.035820000,0.026200000,0.019130000,0.014350000,0.011380000,0.009620000
0.012400000,0.014750000,0.016720000,0.017620000,0.016800000,0.013900000,0.009030000,0.002670000,-0.004440000,-0.011580000,-0.018170000,-0.023850000,-0.028460000,-0.031950000,-0.034390000,-0.035880000,-0.036450000,-0.036120000,-0.034880000,-0.032780000,-0.029940000,-0.026470000,-0.022440000,-0.017910000,-0.012910000,-0.007480000,-0.001660000,0.004510000,0.010930000,0.017540000,0.024210000,0.030860000,0.037380000,0.043700000,0.049720000,0.055330000,0.060400000,0.064810000,0.068420000,0.071180000,0.073070000,0.074140000,0.074510000,0.074290000,0.073600000,0.072590000,0.071380000,0.070130000,0.069010000,0.068220000,0.067940000,0.068270000,0.069270000,0.070890000,0.073050000,0.075620000,0.078530000,0.081720000,0.085180000,0.088920000,0.092960000,0.097300000,0.101950000,0.106900000,0.112120000,0.117550000,0.123110000,0.128680000,0.134080000,0.139140000,0.143690000,0.147580000,0.150690000,0.152980000,0.154410000,0.154990000,0.154730000,0.153680000,0.151820000,0.149140000,0.145590000,0.141100000,0.135590000,0.128970000,0.121210000,0.112280000,0.102270000,0.091370000,0.079860000,0.068070000,0.056400000,0.045240000,0.034990000,0.025940000,0.018300000,0.012160000,0.007440000,0.003970000,0.001450000,-0.000440000,-0.002030000
-0.001420000,-0.003480000,-0.005990000,-0.008930000,-0.012030000,-0.014810000,-0.016820000,-0.017870000,-0.017930000,-0.017090000,-0.015480000,-0.013250000,-0.010550000,-0.007600000,-0.004570000,-0.001610000,0.001200000,0.003820000,0.006200000,0.008360000,0.010340000,0.012240000,0.014150000,0.016170000,0.018330000,0.020630000,0.023030000,0.025430000,0.027790000,0.030090000,0.032330000,0.034550000,0.036790000,0.039090000,0.041470000,0.043960000,0.046570000,0.049310000,0.052180000,0.055170000,0.058240000,0.061330000,0.064390000,0.067340000,0.070130000,0.072730000,0.075090000,0.077230000,0.079200000,0.081130000,0.083150000,0.085420000,0.088060000,0.091180000,0.094840000,0.099090000,0.103960000,0.109430000,0.115490000,0.122090000,0.129180000,0.136690000,0.144530000,0.152620000,0.160860000,0.169150000,0.177370000,0.185370000,0.193010000,0.200140000,0.206600000,0.212270000,0.217050000,0.220860000,0.223630000,0.225320000,0.225890000,0.225320000,0.223600000,0.220680000,0.216550000,0.211170000,0.204530000,0.196600000,0.187370000,0.176820000,0.164990000,0.151930000,0.137770000,0.122670000,0.106870000,0.090660000,0.074430000,0.058670000,0.043920000,0.030750000,0.019690000,0.011110000,0.005140000,0.001650000,0.000240000
0.004310000,0.003630000,0.001840000,-0.001530000,-0.006690000,-0.013490000,-0.021330000,-0.029260000,-0.036210000,-0.041320000,-0.044180000,-0.044890000,-0.043760000,-0.041130000,-0.037280000,-0.032520000,-0.027290000,-0.022000000,-0.016910000,-0.012050000,-0.007270000,-0.002430000,0.002550000,0.007750000,0.013200000,0.018910000,0.024830000,0.030860000,0.036840000,0.042580000,0.047880000,0.052580000,0.056570000,0.059810000,0.062330000,0.064190000,0.065490000,0.066280000,0.066600000,0.066470000,0.065940000,0.065090000,0.064060000,0.062940000,0.061840000,0.060850000,0.060030000,0.059430000,0.059110000,0.059130000,0.059560000,0.060510000,0.062110000,0.064490000,0.067750000,0.071990000,0.077240000,0.083530000,0.090810000,0.099030000,0.108080000,0.117830000,0.128180000,0.138990000,0.150160000,0.161550000,0.173030000,0.184440000,0.195560000,0.206170000,0.216020000,0.224860000,0.232460000,0.238630000,0.243240000,0.246200000,0.247500000,0.247160000,0.245240000,0.241820000,0.236990000,0.230860000,0.223510000,0.215030000,0.205480000,0.194890000,0.183240000,0.170470000,0.156500000,0.141300000,0.124940000,0.107620000,0.089720000,0.071780000,0.054540000,0.038730000,0.024980000,0.013660000,0.004880000,-0.001490000,-0.005740000
0.002870000,-0.000670000,-0.004950000,-0.009530000,-0.013830000,-0.017410000,-0.020070000,-0.021790000,-0.022790000,-0.023350000,-0.023660000,-0.023780000,-0.023700000,-0.023500000,-0.023220000,-0.022830000,-0.022150000,-0.021000000,-0.019320000,-0.017220000,-0.014900000,-0.012530000,-0.010190000,-0.007870000,-0.005570000,-0.003330000,-0.001200000,0.000790000,0.002640000,0.004360000,0.005990000,0.007550000,0.009070000,0.010600000,0.012200000,0.013910000,0.015760000,0.017750000,0.019850000,0.022050000,0.024340000,0.026700000,0.029090000,0.031460000,0.033760000,0.035960000,0.038020000,0.039930000,0.041710000,0.043380000,0.044990000,0.046560000,0.048140000,0.049770000,0.051520000,0.053420000,0.055510000,0.057810000,0.060300000,0.062930000,0.065610000,0.068220000,0.070670000,0.072900000,0.074900000,0.076710000,0.078410000,0.080090000,0.081820000,0.083630000,0.085500000,0.087370000,0.089180000,0.090840000,0.092310000,0.093540000,0.094550000,0.095400000,0.096160000,0.096890000,0.097600000,0.098200000,0.098580000,0.098520000,0.097790000,0.096160000,0.093410000,0.089370000,0.084010000,0.077380000,0.069690000,0.061190000,0.052210000,0.043130000,0.034290000,0.026070000,0.018810000,0.012780000,0.008170000,0.005080000,0.003390000
