V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, , 
-0.111160000,-0.079952245,-0.072295918,-0.082709388,-0.100927347,-0.114600816,-0.113057551,-0.090630000,-0.047798980,0.009890000,0.074532857,0.138680816,0.197179592,0.247511429,0.289077143,0.322136327,0.346980408,0.363730408,0.372513265,0.373766735,0.368354490,0.357474286,0.342413469,0.324336327,0.304160408,0.282563469,0.260060204,0.237073878,0.213974286,0.191058367,0.168519592,0.146398980,0.124494898,0.102391837,0.079577551,0.055642857,0.030546122,0.004669796,-0.021215918,-0.046177143,-0.069413878,-0.090440408,-0.109125714,-0.125625510,-0.140321020,-0.153672041,-0.166211224,-0.178441429,-0.190773265,-0.203450000,-0.216536939,-0.229887959,-0.243338163,-0.256810000,-0.270311020,-0.283804082,-0.297097143,-0.309755918,-0.321171837,-0.330739184,-0.337994082,-0.342738163,-0.345003265,-0.344968571,-0.342864490,-0.338907347,-0.333284898,-0.326145306,-0.317592653,-0.307666122,-0.296344286,-0.283592041,-0.269431633,-0.253951224,-0.237262449,-0.219434286,-0.200426939,-0.180082857,-0.158153061,-0.134400000,-0.108691633,-0.081106327,-0.051959184,-0.021816327,0.008507143,0.038009592,0.065527143,0.089865510,0.109947551,0.125027143,0.134881429,0.139918571,0.141178163,0.140129592,0.138365306,0.137243673,0.137650000,0.139981837,0.144240000,0.140994752,0.141286706
-0.118620000,-0.076035510,-0.049958776,-0.040030612,-0.039422449,-0.036053061,-0.017419184,0.023975714,0.087871224,0.167307959,0.252210000,0.333126735,0.403446735,0.459819184,0.501582857,0.529908367,0.546939388,0.554984694,0.555845918,0.550536531,0.539352857,0.522361429,0.500034490,0.473683469,0.445460204,0.417730612,0.392219184,0.369491020,0.349108571,0.330233265,0.312051633,0.293761633,0.274306939,0.252158367,0.225596735,0.193524286,0.156305918,0.116015510,0.075784490,0.038748776,0.007020204,-0.018814286,-0.039605714,-0.057170408,-0.073633265,-0.090762857,-0.109591837,-0.130230204,-0.151944898,-0.173290000,-0.192454694,-0.208030204,-0.219586327,-0.227876531,-0.234430612,-0.240833469,-0.248098571,-0.256418571,-0.265376531,-0.274429592,-0.283275918,-0.291880408,-0.300171429,-0.307831429,-0.314356939,-0.319219796,-0.321903878,-0.321835306,-0.318425714,-0.311248163,-0.300242857,-0.285761224,-0.268433673,-0.249012857,-0.228186327,-0.206436939,-0.183971224,-0.160721429,-0.136465714,-0.111022857,-0.084392041,-0.056716939,-0.028191429,0.001031429,0.030874286,0.061166531,0.091285102,0.119878571,0.144869592,0.163861429,0.174681020,0.175852857,0.166919184,0.148618776,0.122931020,0.092825714,0.061792857,0.033483878,0.011430000,-0.017124869,-0.044191851
-0.212930000,-0.179419388,-0.156429184,-0.147059592,-0.148088571,-0.150677347,-0.144571633,-0.123161429,-0.085921837,-0.037318367,0.015902041,0.066988980,0.110578367,0.143359184,0.164348571,0.174595510,0.176544898,0.173106327,0.166522653,0.157540612,0.145569184,0.129714286,0.109880816,0.087252449,0.063798163,0.041267551,0.020488367,0.001338980,-0.016815714,-0.034623878,-0.052389184,-0.069850816,-0.086114082,-0.099888571,-0.109982041,-0.115765714,-0.117446122,-0.116074694,-0.113354286,-0.111134082,-0.110795306,-0.112801429,-0.116772857,-0.122003469,-0.127956939,-0.134437551,-0.141578367,-0.149587551,-0.158530408,-0.168180000,-0.178094898,-0.187820204,-0.197036735,-0.205595102,-0.213466531,-0.220644898,-0.227085714,-0.232802857,-0.237833673,-0.242225510,-0.245943673,-0.248878776,-0.250807959,-0.251432857,-0.250549184,-0.248067143,-0.243892041,-0.237758980,-0.229212449,-0.217836939,-0.203500000,-0.186337143,-0.166548980,-0.144231020,-0.119389184,-0.092161429,-0.063005102,-0.032672857,-0.001999388,0.028300612,0.057712653,0.085877551,0.112564490,0.137606939,0.160667143,0.180975306,0.197321224,0.208293061,0.212813673,0.210719796,0.203006122,0.191608571,0.178751224,0.166198980,0.154581633,0.143202041,0.130520612,0.115149592,0.096790000,0.087592945,0.074305678
-0.043410000,0.031629592,0.095456939,0.142694286,0.174675510,0.200407143,0.232979388,0.283195714,0.354510816,0.442387755,0.537448980,0.629682449,0.711422041,0.778452041,0.829850000,0.867236735,0.893544490,0.911518776,0.922432653,0.925767551,0.920090000,0.904355714,0.878746735,0.844566735,0.803638571,0.757806939,0.708748571,0.657999796,0.607058571,0.557389184,0.510278980,0.466682449,0.427127755,0.391800612,0.360661020,0.333402857,0.309321633,0.287367551,0.266335306,0.245184898,0.223291020,0.200552041,0.177338571,0.154396531,0.132676122,0.113153673,0.096608367,0.083342857,0.073053469,0.065090000,0.058788367,0.053751224,0.049840000,0.046880000,0.044355510,0.041480816,0.037422857,0.031657551,0.024125918,0.015215714,0.005624082,-0.003902041,-0.012728571,-0.020468571,-0.027022653,-0.032510816,-0.037173265,-0.041252857,-0.044821429,-0.047619388,-0.049064286,-0.048430000,-0.045073469,-0.038586531,-0.028831429,-0.015871837,0.000076700,0.018637143,0.039263061,0.061218163,0.083584082,0.105406531,0.125879592,0.144534694,0.161250000,0.176173265,0.189519796,0.201393265,0.211650408,0.219809592,0.225141020,0.226810000,0.224134286,0.216825714,0.205230816,0.190376122,0.173710612,0.156622041,0.139970000,0.128921312,0.114477726
-0.071510000,-0.038052041,-0.019748776,-0.016201224,-0.019845306,-0.017349388,0.004541224,0.052431429,0.123435510,0.207170000,0.291014898,0.365251429,0.425544082,0.472245714,0.508082857,0.535875714,0.557365510,0.573116939,0.583017755,0.586967347,0.585306122,0.578758571,0.568064286,0.553612245,0.535450612,0.513807755,0.489580408,0.464361224,0.439902857,0.417358980,0.396814082,0.377329184,0.357420204,0.335680000,0.311334286,0.284512857,0.256223878,0.227911429,0.200852653,0.175718776,0.152526939,0.130815102,0.109988571,0.089556531,0.069222653,0.048785918,0.028149184,0.007198776,-0.014093878,-0.035660000,-0.057243878,-0.078403878,-0.098677959,-0.117695510,-0.135236327,-0.151225714,-0.165761429,-0.179032041,-0.191250816,-0.202477347,-0.212497551,-0.220959592,-0.227494694,-0.231837143,-0.233855510,-0.233562041,-0.231044694,-0.226423061,-0.219739388,-0.210937347,-0.199925714,-0.186686939,-0.171346939,-0.154160408,-0.135507347,-0.115833469,-0.095540000,-0.074885714,-0.053968163,-0.032831429,-0.011566531,0.009683673,0.030820612,0.051822245,0.072681429,0.093247959,0.113113265,0.131502245,0.147263469,0.159032857,0.165451429,0.165445714,0.158341020,0.143927551,0.122517347,0.095177755,0.063986327,0.032127551,0.003690000,-0.018045218,-0.044691078
0.017690000,0.059890000,0.081860000,0.083030000,0.073380000,0.072000000,0.098480000,0.162600000,0.259090000,0.370380000,0.475180000,0.557730000,0.612800000,0.644420000,0.660910000,0.669970000,0.676560000,0.683350000,0.692190000,0.704570000,0.721070000,0.740410000,0.759300000,0.773330000,0.778300000,0.771470000,0.752130000,0.721520000,0.682200000,0.637390000,0.590140000,0.542710000,0.496310000,0.451350000,0.408110000,0.367170000,0.329220000,0.294760000,0.263760000,0.235810000,0.210360000,0.187060000,0.166000000,0.147410000,0.131350000,0.117430000,0.105000000,0.093570000,0.083100000,0.073920000,0.066440000,0.060870000,0.057140000,0.055150000,0.054910000,0.056540000,0.060130000,0.065730000,0.073310000,0.082700000,0.093600000,0.105620000,0.118330000,0.131180000,0.143560000,0.154930000,0.165130000,0.174400000,0.183300000,0.192540000,0.202810000,0.214650000,0.228240000,0.243410000,0.259810000,0.276990000,0.294440000,0.311530000,0.327510000,0.341560000,0.352870000,0.360780000,0.364900000,0.365300000,0.362470000,0.357040000,0.349420000,0.339560000,0.327030000,0.311090000,0.291010000,0.266570000,0.238550000,0.208740000,0.179360000,0.152190000,0.127860000,0.105900000,0.085490000,0.066350000,0.049560000
-0.065850000,-0.009640000,0.048930000,0.110400000,0.177550000,0.254430000,0.344480000,0.448740000,0.565020000,0.688340000,0.812050000,0.929300000,1.034420000,1.123780000,1.196050000,1.251840000,1.293020000,1.321930000,1.340770000,1.351300000,1.354680000,1.351600000,1.342360000,1.326960000,1.305190000,1.276790000,1.241710000,1.200180000,1.152800000,1.100420000,1.043970000,0.984400000,0.922630000,0.859480000,0.795650000,0.731680000,0.668010000,0.605100000,0.543530000,0.483970000,0.427170000,0.373850000,0.324640000,0.280060000,0.240490000,0.206100000,0.176690000,0.151670000,0.130130000,0.111000000,0.093260000,0.076000000,0.058670000,0.041100000,0.023610000,0.006880000,-0.008260000,-0.021090000,-0.031080000,-0.037980000,-0.041820000,-0.042880000,-0.041660000,-0.038720000,-0.034480000,-0.029110000,-0.022590000,-0.014840000,-0.005840000,0.004280000,0.015300000,0.026880000,0.038630000,0.050200000,0.061360000,0.072040000,0.082300000,0.092310000,0.102250000,0.112300000,0.122530000,0.132940000,0.143450000,0.153890000,0.164110000,0.173880000,0.182900000,0.190770000,0.196990000,0.201140000,0.202860000,0.202000000,0.198500000,0.192400000,0.183750000,0.172680000,0.159410000,0.144390000,0.128320000,0.112270000,0.097620000
-0.017490000,-0.008530000,-0.006330000,-0.006830000,-0.004160000,0.008060000,0.034600000,0.076830000,0.132180000,0.195160000,0.259270000,0.318880000,0.370330000,0.411990000,0.443720000,0.466090000,0.479910000,0.486010000,0.485310000,0.478740000,0.467250000,0.451650000,0.432580000,0.410460000,0.385600000,0.358300000,0.328930000,0.297950000,0.265980000,0.233660000,0.201560000,0.170120000,0.139650000,0.110330000,0.082340000,0.055840000,0.030950000,0.007750000,-0.013800000,-0.033890000,-0.052780000,-0.070800000,-0.088220000,-0.105210000,-0.121820000,-0.138010000,-0.153680000,-0.168810000,-0.183460000,-0.197880000,-0.212410000,-0.227400000,-0.243130000,-0.259670000,-0.276950000,-0.294810000,-0.313080000,-0.331620000,-0.350230000,-0.368680000,-0.386690000,-0.404010000,-0.420430000,-0.435810000,-0.450030000,-0.462930000,-0.474280000,-0.483810000,-0.491250000,-0.496420000,-0.499310000,-0.500050000,-0.498850000,-0.495740000,-0.490580000,-0.483050000,-0.472840000,-0.459800000,-0.443970000,-0.425530000,-0.404630000,-0.381410000,-0.355940000,-0.328290000,-0.298550000,-0.266920000,-0.233820000,-0.199790000,-0.165560000,-0.131890000,-0.099550000,-0.069230000,-0.041400000,-0.016170000,0.006770000,0.028040000,0.048240000,0.067480000,0.085040000,0.099460000,0.109040000
-0.047060000,-0.003900000,0.026730000,0.051820000,0.082740000,0.131610000,0.206450000,0.307860000,0.429000000,0.558590000,0.685060000,0.799760000,0.898110000,0.978960000,1.043070000,1.091720000,1.126070000,1.147310000,1.156980000,1.156980000,1.149200000,1.134950000,1.114640000,1.087840000,1.053590000,1.010880000,0.959130000,0.898700000,0.831140000,0.759000000,0.685340000,0.612980000,0.544090000,0.480000000,0.421250000,0.367920000,0.319840000,0.276890000,0.238940000,0.205790000,0.176980000,0.151740000,0.129110000,0.108040000,0.087710000,0.067670000,0.047970000,0.028940000,0.010850000,-0.006320000,-0.022980000,-0.039850000,-0.057860000,-0.077910000,-0.100650000,-0.126220000,-0.154210000,-0.183760000,-0.213880000,-0.243590000,-0.271950000,-0.298080000,-0.321130000,-0.340340000,-0.355040000,-0.364780000,-0.369350000,-0.368840000,-0.363550000,-0.354050000,-0.341060000,-0.325370000,-0.307720000,-0.288660000,-0.268450000,-0.247130000,-0.224550000,-0.200510000,-0.174890000,-0.147690000,-0.119090000,-0.089480000,-0.059350000,-0.029290000,0.000060000,0.028130000,0.054460000,0.078700000,0.100560000,0.119790000,0.136110000,0.149150000,0.158470000,0.163540000,0.163930000,0.159400000,0.149980000,0.136100000,0.118620000,0.098880000,0.078730000
0.003450000,0.041510000,0.062170000,0.068300000,0.067930000,0.072020000,0.090340000,0.127940000,0.183850000,0.252160000,0.324730000,0.394250000,0.456180000,0.508850000,0.552200000,0.586530000,0.611870000,0.628130000,0.635460000,0.634550000,0.626560000,0.612790000,0.594430000,0.572410000,0.547480000,0.520230000,0.491220000,0.461000000,0.430190000,0.399460000,0.369360000,0.340250000,0.312130000,0.284690000,0.257460000,0.230080000,0.202430000,0.174800000,0.147710000,0.121840000,0.097710000,0.075650000,0.055720000,0.037790000,0.021600000,0.006770000,-0.007160000,-0.020550000,-0.033620000,-0.046420000,-0.058870000,-0.070920000,-0.082530000,-0.093770000,-0.104820000,-0.115920000,-0.127180000,-0.138460000,-0.149330000,-0.159360000,-0.168270000,-0.176000000,-0.182610000,-0.188210000,-0.192990000,-0.197230000,-0.201220000,-0.205160000,-0.209010000,-0.212530000,-0.215250000,-0.216470000,-0.215360000,-0.211050000,-0.202830000,-0.190250000,-0.173290000,-0.152390000,-0.128300000,-0.101890000,-0.073890000,-0.044820000,-0.015010000,0.015290000,0.045740000,0.075890000,0.105200000,0.133140000,0.159130000,0.182500000,0.202280000,0.217240000,0.226010000,0.227450000,0.221110000,0.207480000,0.187770000,0.163510000,0.136070000,0.106600000,0.076560000
